Date, Close/Last, Volume, Open, High, Low
03/30/2020, $72.67, 1486203, $71.06, $73.18, $71.06
03/27/2020, $70.91, 1829770, $71.55, $73.21, $70.28
03/26/2020, $73.72, 3267458, $70, $74.4465, $69.65
03/25/2020, $69, 2628144, $67.12, $71.79, $65.11
03/24/2020, $67, 2868917, $65.53, $68.184, $64.6
03/23/2020, $63.37, 2989765, $66.8, $67.5599, $62.09
03/20/2020, $66.46, 3258446, $65.99, $71, $64.96
03/19/2020, $65.76, 3430844, $68.54, $68.59, $64.17
03/18/2020, $68.87, 4123865, $65.19, $69.88, $65.18
03/17/2020, $70.44, 3341896, $66.02, $70.53, $63.94
03/16/2020, $64.13, 4742810, $63.41, $66.62, $61.13
03/13/2020, $69.2, 3261168, $66.53, $69.51, $63.75
03/12/2020, $63.42, 5054974, $64, $67.14, $62.155
03/11/2020, $68.84, 4985886, $70.76, $71.73, $67.565
03/10/2020, $72.91, 3537258, $73.05, $73.62, $69.66
03/09/2020, $70.75, 4598185, $72.59, $74.19, $70.17
03/06/2020, $78.56, 2959913, $77.95, $78.9, $76.495
03/05/2020, $80.46, 2322637, $82.14, $83.25, $79.7
03/04/2020, $84.35, 1905295, $81.77, $84.43, $80.72
03/03/2020, $80.32, 3017230, $81.89, $85, $79.28
03/02/2020, $81.97, 3407549, $77.31, $82, $77.235
02/28/2020, $77.07, 3755580, $74.97, $77.07, $74.17
02/27/2020, $77.43, 2879719, $76.68, $80.3, $76.37
02/26/2020, $78.11, 2526026, $78.66, $80.27, $78.09
02/25/2020, $77.95, 2767995, $80.7, $80.88, $77.69
02/24/2020, $80.5, 2919380, $82.22, $82.59, $80.02
02/21/2020, $85.07, 1762536, $83.9, $85.09, $83.4025
02/20/2020, $84.34, 2543584, $84.9, $84.99, $83.36
02/19/2020, $85.35, 4741298, $84.7, $85.84, $83.45
02/18/2020, $84.79, 2873640, $85.66, $86.08, $84.53
02/14/2020, $85.82, 1965430, $85.72, $85.86, $85.115
02/13/2020, $85.47, 1596270, $85.1, $85.68, $84.66
02/12/2020, $85.43, 1464200, $85.4, $86.06, $85.29
02/11/2020, $85.09, 1543233, $85.03, $85.67, $84.84
02/10/2020, $84.43, 2066861, $83.04, $84.635, $82.925
02/07/2020, $83.17, 1447645, $84.61, $84.79, $82.92
02/06/2020, $84.82, 835477, $85.31, $85.39, $84.58
02/05/2020, $84.93, 2345127, $84.53, $85.5, $84.39
02/04/2020, $83.52, 1676020, $82.85, $83.9, $82.78
02/03/2020, $82.15, 1919771, $83.29, $83.69, $82.11
01/31/2020, $82.56, 2850446, $84.03, $84.335, $82.34
01/30/2020, $84.38, 3026658, $84.9, $85.03, $83.6
01/29/2020, $87.24, 1131523, $87.55, $88.36, $87.15
01/28/2020, $87.18, 1652210, $86.85, $87.48, $86.19
01/27/2020, $86.56, 1867959, $86.54, $87.17, $86.21
01/24/2020, $88.26, 1164489, $89.45, $89.46, $87.58
01/23/2020, $89.07, 1228291, $89.62, $89.98, $88.66
01/22/2020, $90.13, 1665822, $89.94, $90.64, $89.842
01/21/2020, $89.61, 2697372, $89.8, $90.15, $89.46
01/17/2020, $90.12, 3718336, $89.97, $90.28, $89.205
01/16/2020, $89.46, 1595891, $89.12, $89.49, $88.86
01/15/2020, $88.62, 1630364, $87.63, $89.11, $87.55
01/14/2020, $87.99, 1675253, $87.27, $88.21, $86.7
01/13/2020, $87.46, 1630160, $87.81, $88.32, $86.7384
01/10/2020, $87.59, 1417028, $87.72, $88.235, $87.32
01/09/2020, $87.27, 1912699, $86.46, $87.7, $86.17
01/08/2020, $85.92, 1847585, $85.96, $86.47, $85.2
01/07/2020, $85.08, 1723146, $83.96, $85.26, $83.94
