Date, Close/Last, Volume, Open, High, Low
03/30/2020, $75.24, 10671560, $73.52, $76.24, $73.47
03/27/2020, $72.67, 12293280, $71.63, $75.06, $70.71
03/26/2020, $73.83, 15985180, $68.82, $74.3142, $68.76
03/25/2020, $67.91, 20017320, $67.92, $70.675, $65.55
03/24/2020, $67.49, 18376340, $68.16, $71.82, $67.09
03/23/2020, $64.5, 19218990, $67.38, $67.75, $62.55
03/20/2020, $68.82, 18844490, $73, $73, $66.81
03/19/2020, $71.06, 19739930, $69.1, $74.85, $65.33
03/18/2020, $71.03, 23712810, $70, $71.39, $64.685
03/17/2020, $73.02, 23204990, $75.71, $77.71, $69.99
03/16/2020, $74.27, 20916000, $79, $82.18, $73.58
03/13/2020, $85.37, 21867670, $83.36, $86.32, $80.695
03/12/2020, $78.61, 19935690, $78.85, $81.29, $77.06
03/11/2020, $84.85, 10385830, $85.8, $86.64, $83.57
03/10/2020, $87.53, 12965840, $88.19, $88.22, $83.76
03/09/2020, $85.27, 15806150, $84, $87.34, $82.43
03/06/2020, $88.82, 12664560, $88.73, $89.76, $87.26
03/05/2020, $90.61, 9688386, $90.06, $91.712, $89.43
03/04/2020, $91.75, 16590380, $89.27, $91.86, $88.95
03/03/2020, $87.57, 12660860, $89.44, $90.9, $85.66
03/02/2020, $88.69, 12171080, $86, $88.78, $83.55
02/28/2020, $85.71, 18460270, $82.79, $85.71, $81.58
02/27/2020, $85.42, 14184060, $86.19, $89.45, $84.2035
02/26/2020, $88.41, 9789105, $88.62, $91.175, $88.19
02/25/2020, $89.18, 11366410, $93.32, $93.46, $88.11
02/24/2020, $93.14, 10705080, $92.17, $93.87, $92.145
02/21/2020, $94.96, 6678156, $93.96, $95.5183, $93.38
02/20/2020, $94.23, 5446168, $93.93, $94.39, $92.59
02/19/2020, $94.14, 6349082, $93.77, $94.79, $93.02
02/18/2020, $93.61, 9406845, $93.67, $94.5, $93.26
02/14/2020, $94.05, 11175780, $95.23, $95.3, $93.77
02/13/2020, $95.35, 10613000, $96.85, $97.36, $95.23
02/12/2020, $97.79, 10591000, $95.98, $97.86, $95.71
02/11/2020, $96, 10682780, $95.26, $97.0801, $95.01
02/10/2020, $94.75, 13998250, $92.36, $95.5, $92.11
02/07/2020, $92.29, 19090320, $89.74, $92.98, $88.88
02/06/2020, $87.18, 7769696, $87.89, $87.96, $86.22
02/05/2020, $86.63, 10020590, $85.06, $87.135, $84.88
02/04/2020, $84.36, 8251461, $83.59, $84.71, $83.59
02/03/2020, $82.3, 10146410, $81.31, $82.6, $80.92
01/31/2020, $81.02, 13870120, $81.54, $81.72, $80.4099
01/30/2020, $81.78, 10870020, $82.58, $82.7935, $81.18
01/29/2020, $83.2, 5704705, $83.8, $84, $83.13
01/28/2020, $83.77, 8614383, $84.99, $84.99, $83.64
01/27/2020, $84.02, 13832030, $85.05, $85.93, $84
01/24/2020, $83.54, 13215420, $85.43, $85.48, $82.76
