Date, Close/Last, Volume, Open, High, Low
03/30/2020, $79.34, 47540240, $82.83, $84.4, $78.47
03/27/2020, $74.56, 8360561, $77.5, $77.5, $73.612
03/26/2020, $75.81, 10546010, $71.08, $75.97, $71
03/25/2020, $70.75, 9351358, $68.95, $72.6272, $68.15
03/24/2020, $69.69, 10903740, $64.91, $69.97, $64.5
03/23/2020, $62.82, 13037140, $67.07, $67.49, $61.61
03/20/2020, $68, 15131370, $74.05, $74.86, $67.95
03/19/2020, $74.5, 14476030, $81.36, $81.81, $73.55
03/18/2020, $79.26, 17541140, $74.98, $81.99, $74.39
03/17/2020, $79.49, 13315310, $75.52, $79.79, $73.34
03/16/2020, $73.66, 14358970, $70.65, $79.25, $70
03/13/2020, $81.65, 18317160, $77.91, $82.67, $74.83
03/12/2020, $74.74, 13876300, $73.28, $78.15, $72.01
03/11/2020, $78.09, 11534360, $78.53, $79.07, $76.35
03/10/2020, $80.88, 9417572, $79.23, $81, $75.93
03/09/2020, $77.02, 10284960, $76.61, $79.34, $75.1
03/06/2020, $81.74, 10647880, $78.6, $82.3, $78.09
03/05/2020, $80.52, 9288683, $80.29, $81.47, $79.13
03/04/2020, $82.09, 8660411, $80.66, $82.33, $79.46
03/03/2020, $77.99, 9510566, $81.58, $83.5, $77.26
03/02/2020, $81.61, 11483550, $77.88, $81.68, $77.25
02/28/2020, $77.03, 16672980, $77.12, $78.1626, $74.02
02/27/2020, $79.19, 8657223, $80.4, $82.03, $79.16
02/26/2020, $81.36, 7380113, $82.13, $82.88, $81.11
02/25/2020, $81.13, 7022157, $84.93, $85.37, $80.7777
02/24/2020, $84.63, 5667245, $85.45, $85.67, $84.07
02/21/2020, $87.45, 5570994, $88.04, $88.25, $87.16
02/20/2020, $88.46, 3657505, $89.1, $89.56, $88.04
02/19/2020, $89.36, 3464882, $88.83, $89.93, $88.69
02/18/2020, $88.88, 4492281, $89.42, $89.49, $88.305
02/14/2020, $89.66, 3919818, $88.87, $89.71, $88.31
02/13/2020, $88.68, 4448862, $88.5, $89.04, $87.7
02/12/2020, $88.79, 3389518, $89.56, $89.59, $88.575
02/11/2020, $89.17, 2661864, $88.64, $89.41, $88.53
02/10/2020, $88.3, 4219431, $87.21, $88.3, $87.21
02/07/2020, $87.87, 4472282, $89.23, $89.51, $87.675
02/06/2020, $89.47, 4270871, $90, $90.08, $89.25
02/05/2020, $89.56, 3565733, $88.865, $89.61, $88.55
02/04/2020, $88.23, 3904607, $88.15, $89.25, $88.15
02/03/2020, $87.06, 4675901, $87.78, $88.4, $86.75
01/31/2020, $87.14, 5914103, $89.13, $89.23, $86.9
01/30/2020, $89.16, 5248070, $88.29, $89.21, $87.97
01/29/2020, $89.14, 3914384, $89.61, $90.23, $89.07
01/28/2020, $89.54, 4983710, $89.7, $90.03, $89.39
01/27/2020, $89.59, 4482196, $89.11, $89.995, $88.89
01/24/2020, $90.4, 4219102, $90.85, $91.53, $90.21
01/23/2020, $90.73, 7418780, $91.81, $91.85, $90.16
01/22/2020, $91.86, 9841587, $90.78, $92.45, $90.03
01/21/2020, $89.73, 7458072, $88.86, $90.04, $88.61
01/17/2020, $89, 5879746, $88.45, $89.2, $88.305
01/16/2020, $88.28, 5023287, $87.94, $88.31, $87.42
01/15/2020, $87.38, 5389727, $86.11, $87.85, $86.11
01/14/2020, $85.74, 8751380, $84.13, $86, $84.01
01/13/2020, $85.12, 5571496, $85.5, $85.73, $84.74
01/10/2020, $85.36, 4680396, $86.79, $86.99, $85.17
01/09/2020, $86.44, 6432489, $86.3, $86.68, $85.75
