Date, Close/Last, Volume, Open, High, Low
04/13/2020, $172.57, 1918535, $176.18, $177.01, $169.56
04/09/2020, $177.92, 3743781, $173.23, $179.87, $172.51
04/08/2020, $171.73, 2466264, $166.58, $172.69, $165.07
04/07/2020, $164.12, 3002732, $171.08, $171.49, $163.93
04/06/2020, $166.05, 3089966, $158.98, $166.75, $157.04
04/03/2020, $152.15, 3766837, $155.6, $158.72, $148.28
04/02/2020, $156.27, 3030044, $154.05, $160.5, $153.55
04/01/2020, $154.68, 2973098, $158.57, $160.8177, $152.58
03/31/2020, $163.26, 2963228, $167.43, $169.88, $162.16
03/30/2020, $169.82, 2731346, $164.12, $170.37, $163.78
03/27/2020, $162.88, 3802537, $165, $169.29, $160.61
03/26/2020, $171.34, 5194535, $153.4, $171.6, $150
03/25/2020, $151.82, 4795680, $156.44, $159.69, $148.11
03/24/2020, $156.85, 4685083, $152.26, $157.6262, $149.49
03/23/2020, $143.69, 6173888, $148.01, $148.01, $137.152
03/20/2020, $149.94, 6449708, $157.53, $159.47, $147.42
03/19/2020, $158.5, 6338256, $151.36, $177.8, $151.36
03/18/2020, $151.15, 5860155, $151.57, $159.8, $142
03/17/2020, $157.71, 6081186, $154, $160.66, $152.48
03/16/2020, $152.54, 5324876, $148.29, $166.51, $143.51
03/13/2020, $166.51, 5742804, $160.62, $166.71, $152.93
03/12/2020, $152.53, 6357925, $153, $158.75, $147.08
03/11/2020, $165.11, 5188257, $169.32, $171.165, $162.65
03/10/2020, $174.56, 4349451, $171.08, $174.74, $166.04
03/09/2020, $164.11, 5112245, $165.4, $170.88, $160.1
03/06/2020, $178.75, 3284386, $177.45, $180.31, $173.92
03/05/2020, $182.56, 3548249, $185.09, $187.46, $180.92
03/04/2020, $188.86, 3875483, $185.8, $189.71, $184.3
03/03/2020, $182.22, 3514000, $189.77, $191.9, $180.62
03/02/2020, $189.55, 4317919, $182, $189.82, $178.02
02/28/2020, $180.59, 5785220, $180.26, $183.2, $175.3
02/27/2020, $186.44, 3040446, $192.2, $194.35, $186.37
02/26/2020, $195.67, 2671071, $198.67, $201.445, $194.7926
02/25/2020, $197.1, 2883563, $204.78, $205.48, $195.86
02/24/2020, $204.36, 2600408, $204.47, $207.869, $203.45
02/21/2020, $211.89, 2088815, $212.59, $213.55, $210.49
02/20/2020, $213.9, 1481699, $215.88, $216.32, $211.61
02/19/2020, $215.92, 1806042, $215, $216.39, $214.3757
02/18/2020, $213.76, 1699427, $212.5, $214.06, $211.2
02/14/2020, $212.37, 2096562, $213.25, $213.535, $211.35
02/13/2020, $212.4, 1721214, $209.87, $213.54, $209.3363
02/12/2020, $211.99, 1801311, $212.2, $212.87, $211.54
02/11/2020, $212.14, 1321019, $213.38, $213.98, $211.76
02/10/2020, $212.55, 1421591, $210.19, $212.97, $210.19
02/07/2020, $211.58, 1447728, $213.34, $213.39, $211.09
02/06/2020, $214.16, 1611488, $213, $214.38, $212.31
02/05/2020, $212.22, 2102667, $213.89, $214.46, $210.41
02/04/2020, $212.53, 2243007, $210, $213.79, $209.745
02/03/2020, $207.8, 2345746, $205.34, $208.42, $205.25
01/31/2020, $205.21, 1793599, $208.5, $209.6275, $204
01/30/2020, $208.37, 1579621, $207.5, $208.93, $205.2
01/29/2020, $207.96, 1491605, $210.68, $211.211, $207.79
01/28/2020, $210.24, 1810188, $207.87, $210.9588, $207.25
01/27/2020, $206.55, 1381344, $205.18, $207.84, $204.85
01/24/2020, $208.57, 2348904, $211, $211.59, $208.05
01/23/2020, $210.68, 2368512, $209.4, $210.81, $208.865
01/22/2020, $209.41, 1873641, $210.2, $211.86, $209.35
01/21/2020, $209.15, 2687176, $207.5, $210.16, $207
01/17/2020, $209.2, 2584508, $210, $210.65, $208.35
01/16/2020, $208.98, 2691624, $208.14, $209.095, $207.9
01/15/2020, $207.26, 1985994, $208, $208.435, $206.73
01/14/2020, $207.73, 2499150, $209.55, $211, $207.03
01/13/2020, $209.59, 2202982, $207.49, $209.84, $207.49
01/10/2020, $207.66, 1573086, $206.93, $208.31, $206.725
01/09/2020, $206.15, 2910619, $205.5, $207.28, $205.16
01/08/2020, $204.33, 2271506, $204, $205.45, $203.53
01/07/2020, $203.93, 3098925, $203.2, $206.26, $203.19
01/06/2020, $208.43, 2841444, $208.27, $208.79, $206.81
01/03/2020, $209.8, 1802087, $208.5, $210.625, $207
01/02/2020, $210.15, 2221991, $210.86, $211.92, $208.81
12/31/2019, $210.57, 1371627, $209.98, $211.055, $209.4401
12/30/2019, $210.64, 1194083, $212.24, $212.24, $209.05
12/27/2019, $212.22, 1292186, $212.45, $212.63, $211.61
12/26/2019, $212.05, 1059826, $211.61, $212.12, $211.26
12/24/2019, $211.61, 998507, $210.71, $211.67, $210.56
12/23/2019, $210.83, 2220907, $210.96, $211.29, $208.8401
12/20/2019, $211.1, 4148819, $211.11, $213.25, $209.07
12/19/2019, $208.3, 3944194, $202.06, $208.3, $202.06
12/18/2019, $205.76, 3003776, $203.6, $206.17, $203.51
12/17/2019, $203.4, 2377398, $205, $205.72, $202.95
12/16/2019, $205, 2702455, $207.12, $208.66, $204.97
12/13/2019, $206.66, 1648289, $203.06, $206.72, $203.01
12/12/2019, $203.92, 1932584, $202.16, $204.43, $201.24
12/11/2019, $202.3, 1669688, $202.13, $202.62, $200.34
12/10/2019, $201.88, 1403363, $202.03, $202.26, $200.8661
12/09/2019, $202.03, 2001037, $201.77, $202.8799, $201.44
12/06/2019, $202.55, 1345728, $201.4, $202.82, $200.49
12/05/2019, $199.85, 1816575, $200, $200.03, $198.88
12/04/2019, $199.58, 1221849, $199.76, $200.39, $199.24
12/03/2019, $198.75, 1539900, $197.54, $199.29, $196.47
12/02/2019, $199.59, 1262291, $201.44, $201.69, $198.05
11/29/2019, $201.16, 750578, $201.24, $201.655, $200
11/27/2019, $201.25, 1205044, $200.54, $201.36, $199.19
11/26/2019, $200.92, 2325325, $198.36, $201, $197.77
11/25/2019, $198.36, 1951868, $197.64, $198.38, $197.4
11/22/2019, $196.66, 1117880, $198.05, $198.42, $195.1
11/21/2019, $196.78, 1217370, $197.42, $197.93, $196.1437
11/20/2019, $197.71, 1477345, $198.73, $199.76, $196.77
11/19/2019, $198.34, 1342180, $198.2, $198.75, $197.39
11/18/2019, $198.02, 1561030, $197.43, $198.95, $196.76
11/15/2019, $196.81, 2426211, $195.9, $197.56, $195.81
11/14/2019, $196.25, 1672930, $194, $196.41, $193.83
11/13/2019, $194.5, 1922750, $191.15, $194.77, $190.49
11/12/2019, $191.43, 1522849, $190.17, $191.65, $189.87
11/11/2019, $190.06, 1167010, $188.76, $190.46, $188.55
11/08/2019, $189.7, 1282384, $188.66, $189.71, $188.27
11/07/2019, $189.09, 1676799, $189.31, $190.2, $188.665
11/06/2019, $189.23, 1652201, $186.99, $189.2675, $186.91
11/05/2019, $186.88, 1536601, $188, $188, $185.48
11/04/2019, $187.8, 1156782, $188.51, $189.17, $187.39
11/01/2019, $188.22, 1502137, $186.7, $188.345, $186.107
10/31/2019, $185.42, 1574829, $186.16, $188.06, $184.34
10/30/2019, $186.58, 1243282, $185.15, $187.04, $184.289
10/29/2019, $184.8, 1553999, $182.55, $185.75, $182.37
10/28/2019, $182.87, 1832708, $184.41, $185.93, $182.56
10/25/2019, $183.07, 1389245, $184.67, $184.83, $183.02
10/24/2019, $185, 2017655, $185.05, $187.015, $184.65
10/23/2019, $184.07, 2276462, $182.39, $184.84, $181.965
10/22/2019, $182.72, 1773966, $187.27, $188.11, $182.34
10/21/2019, $187.34, 1347967, $186.95, $187.535, $185.388
10/18/2019, $187.08, 2896692, $186.87, $188.13, $186.61
10/17/2019, $186.04, 1491370, $186.96, $187.3252, $185.16
10/16/2019, $186.57, 1925404, $184.59, $186.985, $184.16
10/15/2019, $187, 1466912, $185.82, $187.38, $185.555
10/14/2019, $185.5, 1350313, $185.36, $186.33, $184.22
10/11/2019, $184.97, 2385165, $185.71, $187.71, $184.74
10/10/2019, $183.83, 2145784, $183.83, $184.87, $182.6
10/09/2019, $184.34, 1795494, $183.79, $185.295, $183.22
10/08/2019, $182.2, 2283676, $185.41, $185.72, $182
10/07/2019, $186.81, 1651509, $188.29, $188.7, $186.79
10/04/2019, $189.64, 1582556, $186.81, $189.82, $186.1
10/03/2019, $185.81, 2225685, $185.32, $186.09, $182.85
10/02/2019, $184.85, 2945581, $188.34, $188.65, $182.89
10/01/2019, $189.62, 2074618, $192.6, $193.365, $189.405
09/30/2019, $192.35, 2027320, $191.49, $193.35, $191.41
09/27/2019, $191.38, 2012577, $193.56, $193.58, $190.39
09/26/2019, $192.12, 3729686, $188.06, $193.34, $187.2835
09/25/2019, $190.87, 2841660, $191.6, $192, $188.71
09/24/2019, $190.14, 2964087, $194.44, $195.87, $189.78
09/23/2019, $192.84, 1669831, $192.33, $193.94, $192.01
09/20/2019, $193.09, 2654578, $195.05, $196.23, $192.45
09/19/2019, $194.67, 1578574, $194.48, $196.13, $194.22
09/18/2019, $194.13, 1895580, $194.18, $194.585, $191.54
09/17/2019, $194.95, 1465897, $193.36, $195.79, $193.36
09/16/2019, $194.16, 1359991, $193.37, $195.22, $193.01
09/13/2019, $194.62, 1592554, $196, $196, $193.9601
09/12/2019, $195.52, 2122176, $194.7, $196.23, $191.93
09/11/2019, $191.37, 2430280, $190, $192.47, $189.24
09/10/2019, $189.66, 3630960, $192.98, $193.54, $187.89
09/09/2019, $194.83, 2702837, $200.97, $201.12, $192.84
09/06/2019, $201.12, 2184065, $200, $202.8, $199.044
09/05/2019, $199.49, 2216109, $199.8, $199.8, $198.45
09/04/2019, $197.71, 1250656, $197.83, $198.36, $197.37
09/03/2019, $195.75, 1696454, $196.36, $197.76, $195.44
08/30/2019, $198.17, 2176628, $200, $200.68, $196.77
08/29/2019, $198.74, 1494242, $198, $199.91, $197.435
08/28/2019, $196.84, 1326231, $196.89, $197.53, $194.57
08/27/2019, $197.16, 1632696, $196.02, $197.4, $195.24
08/26/2019, $195.47, 1642518, $194.34, $195.47, $193.47
08/23/2019, $192.81, 2290363, $195, $197.925, $191.57
08/22/2019, $196.34, 1160851, $196.46, $196.97, $194.27
08/21/2019, $195.73, 1044737, $195.69, $196.84, $195.07
08/20/2019, $194.2, 1423474, $195.11, $195.98, $193.12
08/19/2019, $195.18, 1891034, $195, $196.29, $194.52
08/16/2019, $193.22, 2526872, $191.12, $193.66, $190.47
08/15/2019, $189.56, 1932571, $187.35, $190.23, $186.7
08/14/2019, $186.97, 2316494, $190.4, $191.39, $186.81
08/13/2019, $192.88, 2139683, $188.76, $193.02, $188.76
08/12/2019, $190, 1597201, $191.48, $191.885, $189.32
08/09/2019, $191.48, 1831838, $193.61, $193.675, $190.21
08/08/2019, $194.18, 1804069, $190, $194.28, $189.38
08/07/2019, $188.87, 2495136, $187.21, $189.36, $184.4
08/06/2019, $188.81, 2055580, $186.67, $189.56, $186.51
08/05/2019, $185.55, 2422017, $189.58, $191, $184.23
08/02/2019, $193.01, 1833142, $194.47, $194.47, $190.5
08/01/2019, $194.16, 1837094, $193.33, $197.215, $193.2275
07/31/2019, $192.58, 1566043, $196.06, $196.39, $190.51
07/30/2019, $195.65, 1143875, $196.37, $197.23, $195.35
07/29/2019, $197.35, 1319729, $197, $197.47, $196.2
07/26/2019, $196.93, 1255354, $195.1, $197.03, $194.58
07/25/2019, $194.97, 1531045, $195.01, $195.6, $193.69
07/24/2019, $194.47, 1250881, $194, $194.55, $192.88
07/23/2019, $194.46, 1111757, $195.32, $195.495, $193
07/22/2019, $194.44, 1090004, $194.65, $195.4, $194.31
07/19/2019, $193.93, 1583180, $194.83, $195.96, $193.86
07/18/2019, $194.82, 1562376, $193.69, $195.64, $193.19
07/17/2019, $193.81, 1557712, $194.84, $195.11, $193.54
