Date, Close/Last, Volume, Open, High, Low
04/13/2020, $36.07, 3178506, $37.26, $37.4, $35.6527
04/09/2020, $37.58, 4278712, $36.79, $37.84, $36.66
04/08/2020, $36.48, 2560764, $36.23, $36.84, $35.7734
04/07/2020, $35.98, 3180875, $36.81, $37.58, $35.86
04/06/2020, $35.78, 5224630, $35.84, $36.015, $35.26
04/03/2020, $34.65, 2581951, $34.05, $34.785, $33.85
04/02/2020, $34.33, 3022752, $33.72, $35.2, $33.54
04/01/2020, $33.87, 3496899, $33.7, $34.97, $33.515
03/31/2020, $35.18, 3882352, $35.86, $36.48, $34.73
03/30/2020, $35.83, 3215323, $33.78, $36, $33.28
03/27/2020, $33.5, 3277729, $33.5, $34.43, $33.15
03/26/2020, $34.46, 3557034, $33.12, $34.79, $32.83
03/25/2020, $32.7, 3921497, $32.38, $34.035, $31.88
03/24/2020, $32.32, 5301801, $30.85, $32.49, $30.5
03/23/2020, $29.31, 4870422, $30.22, $31, $28.92
03/20/2020, $30.61, 5009887, $33.89, $33.89, $30.43
03/19/2020, $33.46, 3483901, $32.92, $35, $31.6
03/18/2020, $33.02, 4471637, $33.13, $33.33, $31.06
03/17/2020, $35.26, 4465180, $33.53, $35.28, $33.1
03/16/2020, $32.68, 5684975, $31.1, $34.59, $31.01
03/13/2020, $34.64, 6236577, $33.01, $34.69, $31.33
03/12/2020, $31.54, 7272714, $32.97, $33.76, $31.46
03/11/2020, $35.07, 4993461, $35.71, $36.33, $34.57
03/10/2020, $37.12, 7447284, $36.46, $37.15, $34.66
03/09/2020, $35.3, 6746975, $35.49, $37.54, $34.98
03/06/2020, $37.64, 4051157, $36.95, $38.11, $36.9
03/05/2020, $38.33, 2848466, $38.38, $38.855, $38.01
03/04/2020, $39.37, 2971270, $38.77, $39.39, $38.33
03/03/2020, $38.06, 4886647, $38.57, $39.5989, $37.84
03/02/2020, $38.84, 4829282, $38.19, $38.84, $37.57
02/28/2020, $37.65, 8056958, $36.63, $37.65, $35.78
02/27/2020, $37.62, 4476174, $39.25, $39.31, $37.59
02/26/2020, $39.87, 5252015, $40.66, $41.12, $39.86
02/25/2020, $40.43, 3364837, $42.89, $42.9399, $40.39
02/24/2020, $42.82, 3010970, $42.76, $43.01, $42.5
02/21/2020, $43.9, 2645815, $44.09, $44.15, $43.58
02/20/2020, $44.23, 1951031, $43.75, $44.33, $43.6756
02/19/2020, $43.97, 2257222, $44.5, $44.53, $43.88
02/18/2020, $44.45, 2512078, $44.48, $44.65, $44.16
02/14/2020, $44.77, 2513189, $45.08, $45.16, $44.62
02/13/2020, $45.27, 2317471, $45.42, $45.63, $45.02
02/12/2020, $45.61, 2280971, $45.95, $46.165, $45.59
02/11/2020, $46.12, 2200143, $45.9, $46.51, $45.73
02/10/2020, $45.68, 1695346, $45.6, $45.87, $45.36
02/07/2020, $45.71, 2289391, $45.73, $46, $45.55
02/06/2020, $45.98, 2387330, $46.19, $46.33, $45.94
02/05/2020, $46.07, 3038555, $45.78, $46.135, $45.69
02/04/2020, $45.37, 2567381, $45.5, $45.685, $45.27
02/03/2020, $44.96, 3939435, $44.97, $45.27, $44.64
01/31/2020, $44.76, 8398285, $45.48, $45.62, $44.55
01/30/2020, $45.8, 5958841, $45.62, $46, $44.7825
01/29/2020, $43.68, 2803504, $44.06, $44.1, $43.66
01/28/2020, $43.92, 2219424, $43.7, $44.105, $43.525
01/27/2020, $43.53, 2718508, $43.76, $43.9, $43.365
01/24/2020, $44.3, 2169271, $45.05, $45.06, $43.98
01/23/2020, $44.97, 1459888, $44.74, $45.04, $44.51
01/22/2020, $44.93, 2101386, $45.24, $45.31, $44.89
01/21/2020, $45.12, 2663411, $45.1, $45.385, $44.87
01/17/2020, $45.25, 2741675, $45.4, $45.55, $45.11
01/16/2020, $45.34, 2584955, $44.65, $45.46, $44.585
01/15/2020, $44.39, 2586664, $44.35, $44.84, $44.01
01/14/2020, $44.5, 4798491, $44.51, $44.6399, $44.08
01/13/2020, $44.42, 3167771, $44.04, $44.48, $43.98
01/10/2020, $43.95, 2311398, $44.37, $44.46, $43.8
01/09/2020, $44.15, 4080169, $44.33, $44.33, $43.03
01/08/2020, $44.61, 3346368, $45.11, $45.23, $44.38
01/07/2020, $45.11, 2301528, $45.57, $45.69, $45.1
01/06/2020, $45.66, 2831733, $45.79, $45.845, $45.32
01/03/2020, $46.02, 2259499, $45.89, $46.19, $45.72
01/02/2020, $46.11, 2995993, $46.57, $46.64, $45.88
12/31/2019, $46.35, 1787220, $45.98, $46.38, $45.98
12/30/2019, $46.12, 1375597, $46.44, $46.458, $46.02
12/27/2019, $46.3, 1355006, $46.38, $46.4, $46.11
12/26/2019, $46.2, 985139, $46.03, $46.38, $45.95
12/24/2019, $46.08, 708280, $46.25, $46.27, $46.01
12/23/2019, $46.02, 1866619, $45.86, $46.05, $45.53
12/20/2019, $45.79, 6372995, $45.96, $46.59, $45.7
12/19/2019, $45.64, 3144207, $45.38, $45.65, $45.28
12/18/2019, $45.31, 4433861, $46.14, $46.15, $44.87
12/17/2019, $46.21, 3205007, $46.45, $47.2, $46.17
12/16/2019, $45.98, 5367039, $45.39, $46.23, $45.37
12/13/2019, $45.2, 3857152, $45.11, $45.5, $44.83
12/12/2019, $44.91, 3332895, $44.12, $45.045, $44.11
12/11/2019, $44.23, 1999359, $44.05, $44.33, $43.96
12/10/2019, $44, 2601880, $44.08, $44.22, $43.92
12/09/2019, $44.07, 2632298, $43.88, $44.35, $43.83
