Date, Close/Last, Volume, Open, High, Low
04/13/2020, $139.53, 1728671, $140.23, $140.9206, $136.02
04/09/2020, $142.52, 2683410, $140.23, $143.81, $139.91
04/08/2020, $138.53, 2726592, $138, $139.6, $136.35
04/07/2020, $136.96, 2870654, $145.54, $147.17, $136.75
04/06/2020, $139.65, 3664182, $135, $140.45, $134.35
04/03/2020, $128.57, 1567490, $130.7, $132.53, $126.6924
04/02/2020, $131.55, 3808191, $127.72, $132.61, $127.43
04/01/2020, $129.72, 2905449, $129.98, $133.405, $128.09
03/31/2020, $136.68, 3513047, $134.98, $139.4, $134.22
03/30/2020, $137.82, 2522320, $132.4, $138.535, $131.77
03/27/2020, $131.38, 2997814, $130.36, $136, $128.92
03/26/2020, $137.06, 4041046, $123.06, $138.14, $122.6
03/25/2020, $122.59, 3941861, $120.76, $130, $116.49
03/24/2020, $120.96, 4884199, $114.66, $122.04, $114.3
03/23/2020, $109.07, 4794469, $108.53, $112.06, $104.89
03/20/2020, $112.06, 6257644, $118.92, $119.47, $107.1
03/19/2020, $117.37, 4022176, $117.8, $123.17, $110
03/18/2020, $117.6, 5108621, $120.86, $122.59, $103.1101
03/17/2020, $129.39, 4274804, $124.45, $130.53, $118.43
03/16/2020, $122.46, 4415890, $128.06, $131.72, $122.05
03/13/2020, $144.5, 3604922, $136.99, $144.53, $129.27
03/12/2020, $130.28, 5497208, $137.55, $137.8741, $125.86
03/11/2020, $148.01, 2750984, $149.65, $151.9211, $145.69
03/10/2020, $154.42, 4152369, $156.95, $157.12, $147.21
03/09/2020, $150.92, 4551601, $149.1, $155.22, $146.28
03/06/2020, $159.15, 3137434, $153.42, $160.11, $153.005
03/05/2020, $160.67, 3359661, $159.44, $163.15, $158.93
03/04/2020, $164.39, 2847640, $158.42, $164.62, $156.81
03/03/2020, $155.24, 3095168, $161.63, $164.44, $154
03/02/2020, $163, 3194691, $155.55, $163.09, $154.24
02/28/2020, $154.74, 4585812, $153.41, $159.45, $150.53
02/27/2020, $157.53, 2843642, $164.06, $165.97, $157.46
02/26/2020, $166.33, 2319739, $169, $170.8, $166.23
02/25/2020, $167.18, 2606831, $174.65, $175.49, $166.895
02/24/2020, $174.54, 2084064, $175.78, $177.18, $173.9
02/21/2020, $178.58, 3538453, $179.8, $180.43, $177.35
02/20/2020, $180.77, 1501665, $180.67, $181.75, $178.5
02/19/2020, $181.25, 1651517, $180.5, $181.74, $180.19
02/18/2020, $179.93, 1512243, $181.36, $182.32, $179.74
02/14/2020, $181.25, 1566513, $180.16, $181.28, $179.395
02/13/2020, $180.11, 1913906, $177.47, $180.99, $177.07
02/12/2020, $178.03, 2622477, $178.69, $180.8505, $176.9
02/11/2020, $177.97, 1584176, $180.25, $180.25, $177.79
02/10/2020, $179.36, 2153756, $178.66, $179.815, $178.31
02/07/2020, $179.1, 2311532, $179.78, $179.9, $178.485
02/06/2020, $180.26, 1600799, $179.75, $180.47, $178.8
02/05/2020, $178.62, 2675204, $178.37, $179.01, $176.81
02/04/2020, $175.92, 3423514, $176.67, $178.07, $174.8
02/03/2020, $173.94, 2162833, $173.88, $175.17, $172.995
01/31/2020, $171.39, 3316666, $174.5, $175.44, $170.84
01/30/2020, $175.005, 2731668, $168.96, $175.08, $168.3402
01/29/2020, $171.04, 3842815, $171.85, $174.28, $170.935
01/28/2020, $178.3, 1641967, $176.03, $178.955, $175.9
01/27/2020, $175.74, 1622489, $175.19, $176.63, $174.49
01/24/2020, $177.21, 1676654, $178.83, $178.93, $176.18
01/23/2020, $177.83, 1520335, $177.77, $178.4581, $177.01
01/22/2020, $178.33, 2060125, $178.32, $179.89, $177.19
01/21/2020, $176.2, 2016385, $174.95, $177.6, $174.95
01/17/2020, $176.87, 2818213, $176.03, $176.91, $175.1
01/16/2020, $174.88, 2281180, $173.86, $174.94, $172.935
01/15/2020, $172.81, 2114613, $172.07, $174.49, $171.81
01/14/2020, $171.23, 1688109, $172.12, $172.35, $170.5
01/13/2020, $172.36, 926674, $171.52, $172.47, $171.1
01/10/2020, $171.09, 968720, $172, $172, $170.635
01/09/2020, $171.21, 1189646, $170.38, $171.34, $170.12
01/08/2020, $169.71, 1675559, $168.79, $170.51, $168.17
01/07/2020, $168.13, 1879115, $169.29, $169.455, $167.95
01/06/2020, $170.19, 1205933, $169.08, $170.34, $168.825
01/03/2020, $169.96, 1000060, $168.06, $170.45, $168.06
01/02/2020, $170.32, 1364626, $171.96, $172, $169.2
12/31/2019, $170.5, 903032, $169.22, $170.66, $169.22
12/30/2019, $169.59, 867072, $170.51, $170.85, $169.03
12/27/2019, $170.77, 821431, $170.77, $170.95, $169.754
12/26/2019, $170.35, 1714090, $170.35, $170.82, $169.58
12/24/2019, $169.91, 350248, $169.95, $170.31, $169.35
12/23/2019, $170.02, 1139895, $171.27, $171.36, $169.74
12/20/2019, $171.09, 3947248, $170.28, $171.32, $168.23
12/19/2019, $168.74, 1984839, $167.26, $169.39, $166.74
12/18/2019, $167.56, 2069897, $168.38, $169.74, $167.25
12/17/2019, $168.32, 1838805, $168.81, $169.44, $168.04
12/16/2019, $168.59, 2404032, $169.16, $169.66, $168.48
12/13/2019, $168.26, 1308380, $166.69, $168.39, $166.01
12/12/2019, $167.16, 1931103, $166.26, $167.55, $165.23
12/11/2019, $167.24, 1245785, $168.06, $168.31, $166.51
12/10/2019, $168.43, 1523413, $169.07, $169.225, $168.16
12/09/2019, $169.07, 1508186, $169.68, $170.11, $168.8096
12/06/2019, $169.98, 1300116, $169.61, $170.59, $169.505
12/05/2019, $168.36, 1748817, $168.89, $169.01, $167.5194
12/04/2019, $168.57, 1863695, $167.12, $168.87, $166.84
12/03/2019, $167.13, 2953108, $166.77, $167.44, $166.22
12/02/2019, $168.59, 1342031, $170.53, $170.87, $168.15
11/29/2019, $170.78, 706162, $170.82, $171.5, $170.24
11/27/2019, $171.48, 1093436, $171.8, $171.9, $170.96
11/26/2019, $171.62, 2021047, $170.21, $171.92, $170.15
11/25/2019, $170.2, 1259539, $170.27, $170.9406, $169.78
11/22/2019, $169.65, 1279067, $171.12, $171.5, $169.07
11/21/2019, $169.86, 1184828, $170.23, $170.74, $169.15
11/20/2019, $170.58, 1286941, $170.54, $171.58, $169
11/19/2019, $171.09, 1284047, $171.5, $172.73, $170.91
11/18/2019, $170.73, 1444542, $170.64, $171.33, $170
11/15/2019, $171.17, 1611220, $171.19, $171.19, $169.07
11/14/2019, $170.14, 2367904, $168.77, $170.48, $167.79
11/13/2019, $168.98, 2346840, $166.98, $169.5225, $166.47
11/12/2019, $166.36, 1921680, $164.15, $166.49, $163.76
11/11/2019, $163.42, 1417883, $162, $163.92, $161.64
11/08/2019, $162.73, 1787538, $161.73, $163.08, $161.175
11/07/2019, $162.1, 2166846, $160.54, $163.58, $159.88
11/06/2019, $159.66, 2142857, $157.87, $160.18, $157.345
11/05/2019, $157.01, 3924499, $161.35, $161.74, $156.89
11/04/2019, $161.88, 2542856, $164.21, $164.61, $161.71
11/01/2019, $162.98, 1375890, $163.4, $163.75, $162.13
10/31/2019, $162.23, 6511280, $163.42, $164.41, $160.68
10/30/2019, $164.15, 2878301, $158.8, $164.33, $158.26
10/29/2019, $162.83, 1557212, $162.63, $164.355, $162.46
10/28/2019, $162.48, 1378516, $162.58, $162.92, $160.93
10/25/2019, $161.96, 2199993, $162.01, $163.36, $161.575
10/24/2019, $162.54, 1100972, $160.95, $162.64, $160.1
10/23/2019, $160.04, 1726606, $159.27, $160.76, $159.09
10/22/2019, $159.49, 1336003, $162.35, $163.29, $159.46
10/21/2019, $162.03, 1726695, $164.08, $164.49, $161.3
10/18/2019, $163.54, 1661796, $164.33, $164.445, $162.92
10/17/2019, $163.83, 1091688, $164.54, $165.2, $163.61
10/16/2019, $164.16, 1665162, $163.74, $164.45, $162.06
10/15/2019, $164.12, 1355762, $162.54, $164.45, $162.49
10/14/2019, $162.46, 1288020, $162.65, $163.81, $162.12
10/11/2019, $162.52, 1994228, $162.41, $163.84, $161
10/10/2019, $160.72, 1597573, $157.93, $160.97, $157.86
10/09/2019, $158.46, 1658697, $157.64, $158.94, $156.6
