Date, Close/Last, Volume, Open, High, Low
04/13/2020, $75.82, 992659, $77.94, $78.89, $74.59
04/09/2020, $79, 1659951, $76.53, $81.25, $76.53
04/08/2020, $76.01, 1365697, $72.12, $76.905, $71.6
04/07/2020, $71.53, 2606538, $75.64, $75.64, $71.21
04/06/2020, $74.29, 1320770, $71.21, $75.04, $70.76
04/03/2020, $68.75, 2175540, $70.21, $71.65, $68.37
04/02/2020, $71.67, 2064956, $66.85, $72.31, $66.76
04/01/2020, $67.73, 1976801, $69.91, $70.59, $65.895
03/31/2020, $72.83, 2556924, $76.75, $76.75, $72.48
03/30/2020, $78.17, 2470024, $76.02, $78.77, $74.66
03/27/2020, $74.24, 1829817, $70.87, $77.02, $70.44
03/26/2020, $72.79, 2056060, $67.14, $73.69, $66.64
03/25/2020, $67.54, 2397373, $64.13, $69.12, $61.593
03/24/2020, $65.29, 2620470, $63.4, $65.49, $60.3
03/23/2020, $61.37, 3118409, $63.08, $64.94, $58.74
03/20/2020, $62.93, 3145762, $71.5, $71.635, $62.01
03/19/2020, $71.88, 3094856, $76.75, $78.16, $70.95
03/18/2020, $76.15, 2533260, $71.94, $77.38, $70.18
03/17/2020, $77.69, 3872136, $67.71, $79.18, $66.86
03/16/2020, $65.95, 3280471, $70.02, $72.33, $64.93
03/13/2020, $76.15, 2490850, $75.66, $76.51, $71.2
03/12/2020, $72.4, 2950579, $75.5, $76.815, $71.04
03/11/2020, $80.87, 2737945, $80.96, $81.86, $79.59
03/10/2020, $82.59, 2920841, $81.99, $83.59, $79.16
03/09/2020, $81.6, 4268426, $82, $83.37, $80.02
03/06/2020, $85.35, 3040899, $83.81, $85.69, $81.3
03/05/2020, $86.05, 2061771, $85.6, $87.12, $85.11
03/04/2020, $87.07, 1952673, $83.74, $87.655, $83.74
03/03/2020, $83.16, 2231890, $84.17, $86, $82.96
03/02/2020, $84.42, 2835748, $79.29, $84.46, $79.15
02/28/2020, $79, 4614961, $80.08, $80.28, $77.19
02/27/2020, $81.57, 2564011, $85.15, $85.805, $81.57
02/26/2020, $85.21, 2840838, $84.73, $86.47, $84.035
02/25/2020, $83.56, 2613111, $84.9, $85.32, $83.32
02/24/2020, $84.82, 1700536, $85, $85.62, $84.54
02/21/2020, $85.34, 2212936, $85.66, $86.42, $85.23
02/20/2020, $85.66, 1999047, $85.55, $85.92, $85.1
02/19/2020, $85.88, 1598577, $86.64, $86.71, $85.77
02/18/2020, $86.75, 2305848, $87.16, $87.325, $86.5
02/14/2020, $86.79, 1754321, $86, $86.87, $85.8
02/13/2020, $85.75, 1069670, $84.57, $85.85, $84.37
02/12/2020, $84.57, 1155439, $83.96, $84.74, $83.8
02/11/2020, $84.27, 1498106, $84.16, $84.48, $83.87
02/10/2020, $83.98, 1220500, $83.75, $84.03, $83.25
02/07/2020, $83.6, 1597912, $83.45, $83.76, $83.27
02/06/2020, $83.17, 1388321, $82.72, $83.35, $82.57
02/05/2020, $82.68, 1071230, $82.11, $82.74, $81.94
02/04/2020, $82.27, 1595503, $82.65, $83.02, $82.105
02/03/2020, $82.63, 1105701, $82.23, $82.705, $82.08
01/31/2020, $82.05, 2038434, $81.81, $82.41, $81.61
01/30/2020, $81.9, 1086120, $80.97, $81.94, $80.77
01/29/2020, $81.02, 1493356, $80.73, $81.07, $80.44
01/28/2020, $80.32, 1350689, $80.2, $80.67, $79.97
01/27/2020, $80.11, 1774848, $80.33, $80.84, $79.75
01/24/2020, $80.39, 1185829, $80.25, $80.83, $80.025
01/23/2020, $80.3, 1269782, $79.94, $80.365, $79.69
01/22/2020, $79.91, 2366319, $80.14, $80.44, $79.88
01/21/2020, $80.03, 1732705, $79.75, $80.06, $79.36
01/17/2020, $79.75, 1552813, $79.24, $79.895, $79.16
01/16/2020, $79.21, 2065904, $78.7, $79.3, $78.7
01/15/2020, $78.2, 1732371, $77.8, $78.325, $77.58
01/14/2020, $77.61, 1439745, $77.59, $77.87, $77.105
01/13/2020, $77.63, 1280756, $77.02, $77.76, $77.02
01/10/2020, $77.01, 1073951, $76.8, $77.3, $76.7
01/09/2020, $76.59, 1460743, $76.24, $76.68, $76.07
01/08/2020, $76.3, 1034685, $76.81, $76.81, $76.19
01/07/2020, $76.43, 1227283, $75.88, $76.44, $75.54
01/06/2020, $76.15, 1382407, $76.08, $76.385, $75.91
01/03/2020, $76.08, 1239926, $75.84, $76.55, $75.84
01/02/2020, $76.05, 1446270, $76.94, $77.1, $75.76
12/31/2019, $76.8, 1388933, $76.54, $77.04, $76.49
12/30/2019, $76.56, 1106183, $76.05, $76.59, $76.05
12/27/2019, $76.3, 1659820, $75.94, $76.33, $75.592
12/26/2019, $75.64, 639949, $75.84, $75.91, $75.31
12/24/2019, $75.75, 476164, $75.66, $75.88, $75.33
12/23/2019, $75.64, 961525, $76.56, $76.56, $75.47
12/20/2019, $76.57, 4155889, $75.72, $77.005, $75.51
12/19/2019, $75.45, 6537412, $76.07, $76.48, $75.43
12/18/2019, $76.03, 2484457, $75.57, $76.14, $75.03
12/17/2019, $75.61, 1494016, $75.75, $76.37, $75.535
12/16/2019, $75.76, 1505937, $75.05, $75.8, $74.91
12/13/2019, $75.02, 972164, $74.47, $75.18, $73.96
12/12/2019, $74.71, 1173822, $74.78, $75.19, $74.395
12/11/2019, $74.95, 1485564, $75, $75.18, $74.37
12/10/2019, $74.59, 1685706, $74.46, $75.03, $74.29
12/09/2019, $74.95, 1579276, $75.28, $75.29, $74.74
12/06/2019, $75.19, 1319201, $74.91, $75.55, $74.72
12/05/2019, $75.09, 1636311, $74.2, $75.09, $74.14
12/04/2019, $74.36, 962239, $73.54, $74.5, $73.51
12/03/2019, $73.81, 851706, $73.94, $74.18, $73.65
12/02/2019, $73.68, 1369516, $74.06, $74.415, $73.67
11/29/2019, $74.33, 703254, $74.44, $74.69, $74.25
11/27/2019, $74.18, 1382992, $74.14, $74.32, $73.7
11/26/2019, $74.13, 1775317, $73.88, $74.44, $73.56
