Date, Close/Last, Volume, Open, High, Low
03/30/2020, $83.71, 5390573, $84.87, $86.45, $79.83
03/27/2020, $83.4, 3255255, $79.79, $86.59, $79.1308
03/26/2020, $81.8, 3903506, $73.48, $82.88, $73.25
03/25/2020, $73.29, 5448598, $71.38, $76.31, $69.35
03/24/2020, $72.05, 4937521, $71.66, $73.78, $68.09
03/23/2020, $70, 5499756, $71.02, $71.84, $65.135
03/20/2020, $71.45, 5611003, $80.95, $81.1, $70.26
03/19/2020, $80.81, 4741652, $88, $88.06, $79.57
03/18/2020, $88.28, 5517910, $85.02, $92.855, $81.01
03/17/2020, $91.2, 6641778, $83.64, $95.77, $83.49
03/16/2020, $81.66, 5564629, $78.57, $86.18, $77.76
03/13/2020, $86.47, 5127501, $86.43, $87.15, $81.71
03/12/2020, $82.54, 7534018, $83, $85.97, $73.53
03/11/2020, $89.72, 4213666, $92.91, $92.96, $88.04
03/10/2020, $94.72, 5729024, $98.32, $98.33, $91.23
03/09/2020, $94.96, 6660614, $92.81, $99.39, $92.52
03/06/2020, $97.7, 5815534, $95.9, $97.72, $93.85
03/05/2020, $98.79, 5285655, $98.37, $100.18, $97.72
03/04/2020, $99.82, 4027236, $96.37, $100.65, $96.37
03/03/2020, $95.45, 6823018, $95, $97.8025, $94.05
03/02/2020, $95.09, 4936258, $89.55, $95.3063, $89.335
02/28/2020, $89.26, 6764169, $90.03, $90.03, $86.42
02/27/2020, $91.86, 5865608, $97.31, $97.51, $91.79
02/26/2020, $97.43, 3258474, $98.4, $99.02, $97.39
02/25/2020, $98.17, 3356560, $100.23, $100.624, $97.935
02/24/2020, $100.04, 3279645, $101.63, $102.3, $100.03
02/21/2020, $101.71, 3361334, $102.05, $103.14, $101.61
02/20/2020, $102.38, 3344545, $102.95, $103.99, $102.04
02/19/2020, $103.5, 1910110, $104.15, $104.39, $103.44
02/18/2020, $104.33, 2121920, $104.08, $104.6307, $103.835
02/14/2020, $103.76, 1377056, $103.15, $103.88, $102.92
02/13/2020, $102.85, 2555129, $102.2, $103.18, $101.66
02/12/2020, $101.79, 1503509, $101.78, $102.35, $101.35
02/11/2020, $102.22, 1497982, $102, $102.4175, $101.76
02/10/2020, $101.92, 1541038, $101.67, $101.98, $101.21
02/07/2020, $101.34, 2260943, $102.04, $102.19, $101.24
02/06/2020, $102.25, 2752689, $101.98, $102.72, $101.98
02/05/2020, $102.12, 4064644, $102.73, $103.1, $101.97
02/04/2020, $102.87, 3203280, $103.82, $104.97, $102.85
