Date, Close/Last, Volume, Open, High, Low
03/30/2020, $36.26, 4316012, $35.63, $36.75, $34.5
03/27/2020, $35.4, 6082986, $34.18, $37.155, $33.74
03/26/2020, $35.77, 10740120, $37.2, $41.22, $34.78
03/25/2020, $36.73, 14430970, $29.45, $38.23, $29.19
03/24/2020, $29.11, 6025717, $27.5, $29.22, $26.68
03/23/2020, $25.69, 6926061, $26.43, $26.99, $25.13
03/20/2020, $26.73, 6986029, $27.32, $29.35, $26.23
03/19/2020, $26.9, 7171344, $25.17, $28.45, $24.19
03/18/2020, $25.27, 7493354, $27.86, $28.59, $23.07
03/17/2020, $30.15, 7086580, $29.51, $30.35, $27.01
03/16/2020, $28.99, 5979271, $30.1, $32.5201, $28.82
03/13/2020, $34.69, 6242100, $33.54, $34.85, $31.16
03/12/2020, $31.42, 6058072, $33.41, $34.69, $31.41
03/11/2020, $36.94, 5903398, $37.91, $38.09, $36.33
03/10/2020, $39.22, 6961977, $39.04, $39.27, $37.21
03/09/2020, $37.59, 7871314, $38, $40.145, $36.75
03/06/2020, $40.78, 6310777, $39.72, $40.96, $39.27
03/05/2020, $41.58, 5574499, $43.21, $43.21, $41.19
03/04/2020, $44.55, 7922725, $44.19, $44.62, $43.12
03/03/2020, $43.33, 7326031, $45.03, $45.65, $43.08
03/02/2020, $45.29, 6569002, $43.12, $45.3, $42.92
02/28/2020, $42.85, 8944888, $43.31, $43.865, $41.915
02/27/2020, $44.4, 6232324, $45.77, $46.385, $44.38
02/26/2020, $46.55, 5292023, $48.05, $48.3, $46.1
02/25/2020, $47.7, 4013932, $49.3, $49.42, $47.51
02/24/2020, $49.23, 4080343, $50.54, $50.7, $49.1901
02/21/2020, $51.53, 2977612, $51.28, $51.72, $51.12
02/20/2020, $51.49, 2623719, $51.48, $51.65, $51.14
02/19/2020, $51.55, 2182604, $51.92, $51.95, $51.55
02/18/2020, $51.88, 2210024, $52.4, $52.5, $51.74
02/14/2020, $52.81, 2073482, $52.5, $52.82, $52.4
02/13/2020, $52.46, 2568456, $52.41, $52.655, $52.12
02/12/2020, $52.4, 2474400, $53.02, $53.09, $52.38
02/11/2020, $52.94, 2026683, $52.89, $53.35, $52.83
02/10/2020, $52.74, 2168874, $52.83, $52.91, $52.44
02/07/2020, $52.93, 2341690, $52.71, $53.285, $52.67
02/06/2020, $52.74, 3480507, $53.24, $53.38, $52.455
02/05/2020, $53.28, 4929505, $52.65, $53.28, $52.42
02/04/2020, $52.17, 3685222, $52.5, $52.815, $52.17
02/03/2020, $52.01, 4109776, $51.85, $52.45, $51.85
01/31/2020, $51.57, 4313371, $52.72, $52.8022, $51.5215
01/30/2020, $53.04, 2551971, $51.94, $53.119, $51.94
01/29/2020, $52.38, 1566444, $52.56, $52.775, $52.35
01/28/2020, $52.37, 2576743, $52.07, $52.69, $52
01/27/2020, $51.83, 2619612, $51.72, $52.1, $51.65
01/24/2020, $52.39, 2793831, $52.73, $52.8, $52.01
01/23/2020, $52.56, 3005685, $52.24, $52.67, $51.92
01/22/2020, $52.53, 2523435, $53.02, $53.06, $52.47
01/21/2020, $52.84, 2968827, $53.2, $53.39, $52.83
01/17/2020, $53.42, 3369765, $52.89, $53.46, $52.79
01/16/2020, $52.79, 3048551, $52.55, $52.92, $52.47
01/15/2020, $52.3, 4637065, $52.16, $52.57, $52.12
01/14/2020, $52.2, 3212458, $52.45, $52.5, $52.12
01/13/2020, $52.5, 3201020, $52.15, $52.51, $52.11
01/10/2020, $52.07, 2842765, $52.68, $53.03, $52.05
01/09/2020, $52.5, 3646545, $52.6, $52.76, $52.35
01/08/2020, $52.49, 2854867, $52.44, $52.95, $52.375
01/07/2020, $52.33, 3922262, $52.75, $52.855, $52.25
01/06/2020, $52.83, 2760703, $52.65, $52.92, $52.615
01/03/2020, $52.98, 2125444, $52.82, $53.22, $52.77
01/02/2020, $53.35, 3115356, $53.04, $53.37, $52.82
12/31/2019, $52.9, 2326664, $52.75, $53.1, $52.66
12/30/2019, $52.74, 1593081, $52.71, $52.96, $52.7
12/27/2019, $52.62, 1730922, $52.8, $52.93, $52.54
12/26/2019, $52.62, 1830483, $52.8, $52.89, $52.55
12/24/2019, $52.76, 984667, $52.65, $52.8813, $52.575
12/23/2019, $52.54, 2477938, $53.2, $53.23, $52.44
12/20/2019, $53.14, 6487256, $53.55, $53.63, $52.95
12/19/2019, $52.99, 3001112, $52.78, $53.03, $52.665
12/18/2019, $52.91, 2706485, $53.33, $53.33, $52.89
12/17/2019, $53.11, 2818513, $53.2, $53.645, $53.09
12/16/2019, $53.07, 4308660, $53.22, $53.3, $52.43
12/13/2019, $53.17, 3896642, $53.73, $53.98, $52.91
12/12/2019, $53.9, 2906399, $53.13, $54.04, $52.985
12/11/2019, $53.05, 3551990, $53.29, $53.29, $52.61
12/10/2019, $53.16, 2499682, $53.04, $53.33, $52.925
12/09/2019, $53.05, 2060376, $52.77, $53.12, $52.68
12/06/2019, $52.99, 2685435, $53.3, $53.33, $52.98
12/05/2019, $52.72, 2861791, $52.41, $52.82, $52.34
12/04/2019, $52.33, 3100003, $51.66, $52.52, $51.66
12/03/2019, $51.73, 5013412, $52.07, $52.24, $51.29
12/02/2019, $52.68, 5337106, $54.72, $54.83, $52.64
11/29/2019, $54.84, 1270649, $54.83, $55.07, $54.755
11/27/2019, $54.82, 2171229, $54.97, $54.99, $54.525
11/26/2019, $54.73, 3997726, $54.29, $54.74, $54.04
11/25/2019, $54.3, 2098044, $54.12, $54.35, $54.055
11/22/2019, $53.99, 1856916, $53.92, $54.06, $53.74
11/21/2019, $53.87, 1938882, $54.22, $54.22, $53.75
11/20/2019, $54.13, 2053834, $53.98, $54.27, $53.84
11/19/2019, $54.08, 2840093, $54.26, $54.52, $54.04
11/18/2019, $54.39, 2934168, $54.26, $54.55, $54.14
11/15/2019, $54.4, 2711717, $54.41, $54.48, $53.88
11/14/2019, $54.18, 2175341, $54.16, $54.29, $54.005
11/13/2019, $54.14, 1714758, $53.66, $54.2, $53.48
11/12/2019, $53.97, 2033604, $54.06, $54.17, $53.87
11/11/2019, $54.03, 1395842, $53.71, $54.33, $53.66
11/08/2019, $54.14, 1849025, $54.08, $54.23, $53.87
11/07/2019, $54.15, 2725382, $53.8, $54.28, $53.7
11/06/2019, $53.7, 2784835, $52.95, $53.72, $52.84
11/05/2019, $52.94, 3376507, $53.4, $53.405, $52.59
11/04/2019, $53.45, 2171298, $53.87, $53.93, $53.39
11/01/2019, $53.61, 2238654, $53.49, $53.61, $53.195
10/31/2019, $53.16, 3395690, $53.15, $53.36, $52.835
10/30/2019, $53.36, 1970464, $53.5, $53.59, $53.13
10/29/2019, $53.58, 2248008, $53.34, $53.885, $53.26
10/28/2019, $53.51, 2164710, $53.57, $53.84, $53.43
10/25/2019, $53.26, 2749857, $52.6, $53.64, $52.6
10/24/2019, $52.56, 2147696, $52.5, $52.65, $52.27
10/23/2019, $52.47, 2765317, $52.42, $52.8, $52.25
10/22/2019, $52.42, 2531847, $52.87, $52.96, $52.35
10/21/2019, $52.9, 2828298, $53, $53.21, $52.845
10/18/2019, $52.71, 3490064, $52.65, $52.86, $52.54
10/17/2019, $52.65, 2254917, $52.93, $53.1, $52.65
10/16/2019, $52.66, 3347923, $52.88, $52.93, $52.59
10/15/2019, $52.83, 2781842, $52.6, $53.03, $52.57
10/14/2019, $52.51, 2612640, $52.25, $52.7, $52.2
10/11/2019, $52.44, 3665054, $52.29, $52.9, $52.29
10/10/2019, $52.07, 2581301, $51.65, $52.27, $51.435
10/09/2019, $51.5, 2685644, $51.38, $51.7, $51.36
10/08/2019, $51.04, 3065550, $51.5, $51.64, $51.02
10/07/2019, $51.95, 2777089, $52.09, $52.175, $51.67
10/04/2019, $52.1, 3250093, $51.21, $52.29, $51.21
10/03/2019, $51.18, 3143501, $50.55, $51.32, $50.43
10/02/2019, $50.58, 4184036, $51.22, $51.37, $50.47
10/01/2019, $51.54, 3413969, $52.55, $52.61, $51.39
09/30/2019, $52.32, 4004714, $52, $52.78, $51.945
09/27/2019, $51.89, 3625747, $52.1, $52.17, $51.58
09/26/2019, $51.91, 3953033, $52.24, $52.4, $51.89
09/25/2019, $52.17, 3664315, $52.25, $52.47, $51.63
09/24/2019, $52.42, 3684088, $52.38, $52.91, $52.29
09/23/2019, $52.35, 3238641, $51.74, $52.61, $51.65
09/20/2019, $51.97, 6665393, $52.79, $52.89, $51.95
09/19/2019, $52.56, 2463158, $52.66, $53.07, $52.54
09/18/2019, $52.61, 2284389, $52.44, $52.665, $52.26
09/17/2019, $52.44, 2603541, $51.83, $52.44, $51.69
09/16/2019, $51.91, 2512564, $51.53, $51.96, $51.41
09/13/2019, $51.77, 3827021, $51.82, $52.17, $51.69
09/12/2019, $51.47, 3089972, $51.31, $51.69, $51.18
09/11/2019, $51.4, 3255413, $51, $51.44, $50.61
09/10/2019, $50.97, 3967207, $51.14, $51.28, $50.54
09/09/2019, $51.08, 3046683, $51.52, $51.6, $50.81
09/06/2019, $51.57, 3388848, $51.3, $51.84, $51.22
09/05/2019, $51.13, 2922062, $51.19, $51.63, $51.015
09/04/2019, $50.79, 2916061, $50.79, $50.89, $50.6199
09/03/2019, $50.38, 3775069, $49.75, $50.43, $49.6
08/30/2019, $50.18, 3867882, $49.92, $50.32, $49.76
08/29/2019, $49.6, 3264021, $49.57, $49.915, $49.4
08/28/2019, $49.12, 3194763, $48.8, $49.2, $48.76
08/27/2019, $48.98, 3849347, $49.12, $49.51, $48.72
08/26/2019, $48.95, 3295051, $48.68, $49.06, $48.5
08/23/2019, $48.36, 4366823, $49.35, $49.588, $48.14
08/22/2019, $49.51, 5260451, $49.05, $49.66, $48.41
08/21/2019, $48.98, 8496955, $51, $51, $48.97
08/20/2019, $51.86, 2558101, $52.13, $52.56, $51.8
08/19/2019, $52.68, 2677662, $53.23, $53.36, $52.66
08/16/2019, $52.65, 2738271, $52.42, $52.83, $52.24
08/15/2019, $52.07, 2790495, $51.48, $52.23, $51.48
08/14/2019, $51.28, 3354881, $52.2, $52.69, $51.25
08/13/2019, $52.92, 2747759, $52.17, $53.12, $52.03
08/12/2019, $52.32, 1999134, $52.6, $53.19, $52.27
08/09/2019, $52.88, 2279843, $52.9, $53.07, $52.4
08/08/2019, $52.88, 2968620, $52.46, $53.02, $52.38
08/07/2019, $52.11, 3378164, $51.49, $52.41, $50.94
08/06/2019, $52.03, 3750215, $51.42, $52.06, $50.99
08/05/2019, $51.36, 4235677, $51.94, $52.35, $51.15
08/02/2019, $52.53, 3600914, $52.29, $52.87, $51.79
08/01/2019, $52.31, 4429044, $52.58, $53.375, $52.095
07/31/2019, $52.64, 5368699, $52.81, $53.34, $52.235
07/30/2019, $52.88, 2698620, $52.83, $53.27, $52.66
07/29/2019, $52.96, 3568400, $53.74, $53.84, $52.75
07/26/2019, $53.89, 4372935, $53.8, $54, $52.855
07/25/2019, $53.77, 3158349, $53.86, $54.08, $53.48
07/24/2019, $53.92, 6052024, $55.12, $55.2, $53.4616
07/23/2019, $55.19, 2388909, $55.05, $55.21, $54.56
07/22/2019, $55.06, 3105733, $55.05, $55.37, $54.79
07/19/2019, $55, 3987588, $56.37, $56.49, $54.96
07/18/2019, $56.13, 2136536, $55.79, $56.2106, $55.53
07/17/2019, $55.64, 2843765, $56.12, $56.19, $55.49
07/16/2019, $56.11, 3330452, $56.23, $56.61, $55.795
07/15/2019, $56.57, 3026551, $57.15, $57.18, $56.52
07/12/2019, $56.89, 2209135, $56.64, $56.96, $56.34
07/11/2019, $56.36, 2830878, $56.55, $56.64, $56.07
07/10/2019, $56.51, 2202899, $56.59, $57.08, $56.365
07/09/2019, $56.53, 2536248, $56.33, $56.75, $56.245
07/08/2019, $56.65, 1855653, $56.68, $56.94, $56.56
07/05/2019, $56.81, 2153501, $56.91, $56.96, $56.52
07/03/2019, $56.85, 1599408, $56.43, $56.93, $56.39
07/02/2019, $56.21, 2560833, $55.97, $56.24, $55.71
07/01/2019, $55.82, 2894979, $55.49, $55.84, $55.16
06/28/2019, $54.81, 3337228, $54.8, $54.96, $54.605
06/27/2019, $54.55, 2979257, $54.36, $54.93, $54.36
06/26/2019, $54.24, 2779238, $54.95, $54.99, $54.165
06/25/2019, $54.95, 2674479, $55.1, $55.36, $54.87
06/24/2019, $55.02, 3910701, $54.96, $55.32, $54.83
06/21/2019, $54.95, 4826936, $55.33, $55.67, $54.91
06/20/2019, $55.34, 3248556, $55.47, $55.49, $54.63
06/19/2019, $55.14, 2619325, $55.18, $55.45, $55.015
06/18/2019, $54.92, 2554899, $54.71, $55.305, $54.635
06/17/2019, $54.55, 1769554, $55.13, $55.23, $54.495
06/14/2019, $55.04, 2923599, $54.57, $55.11, $54.33
06/13/2019, $54.47, 2890927, $54.53, $54.735, $54.31
06/12/2019, $54.38, 2571010, $54.19, $54.65, $54.19
06/11/2019, $54.04, 2685211, $54.57, $54.78, $53.92
06/10/2019, $54.35, 2942930, $54.89, $54.98, $54.29
06/07/2019, $54.55, 2343696, $54, $54.73, $53.96
06/06/2019, $53.82, 3297680, $53.91, $54.005, $53.52
06/05/2019, $53.76, 3046656, $53.09, $53.885, $53.01
06/04/2019, $53, 3319602, $52.9, $53.1, $52.46
06/03/2019, $52.43, 4181353, $51.26, $52.47, $51.14
05/31/2019, $51.3, 2448746, $51.27, $51.685, $51.11
05/30/2019, $51.57, 1907320, $51.49, $51.92, $51.4
05/29/2019, $51.43, 2603831, $51.3, $51.51, $51.04
05/28/2019, $51.3, 4302070, $51.91, $52.2925, $51.3
05/24/2019, $52.01, 2540377, $51.6, $52.1, $51.6
