Date, Close/Last, Volume, Open, High, Low
03/30/2020, $176.31, 2498108, $174.64, $177.33, $174.31
03/27/2020, $173, 3421364, $170.96, $176.59, $170.96
03/26/2020, $175.54, 5473122, $170.13, $175.93, $170.04
03/25/2020, $169, 5966581, $169.72, $172.52, $168.3
03/24/2020, $170.85, 3690656, $172.68, $174.99, $170.59
03/23/2020, $167.7, 4942216, $167.79, $172.53, $164.73
03/20/2020, $170.88, 5989506, $173.22, $174.46, $168.11
03/19/2020, $171.26, 6022844, $167.19, $175.28, $164.14
03/18/2020, $169.23, 7096908, $171, $172.2, $158.67
03/17/2020, $171.84, 7408181, $167.22, $174.19, $159.07
03/16/2020, $164.7, 7849512, $173.75, $175.99, $164.46
03/13/2020, $183.85, 4884651, $179.94, $184.78, $178.36
03/12/2020, $174.57, 8800776, $178.66, $180.73, $172.88
03/11/2020, $185.5, 4701857, $186.53, $188.23, $184.04
03/10/2020, $189.21, 5107629, $188.27, $189.95, $184.95
03/09/2020, $185.46, 5194637, $185.2, $189.21, $184
03/06/2020, $191.95, 4726128, $189.27, $192.38, $188.795
03/05/2020, $192.89, 3348617, $193.95, $195.25, $192.04
03/04/2020, $195.94, 2927731, $193.69, $195.98, $193.27
03/03/2020, $191.94, 5338811, $193.98, $195.6, $190.14
03/02/2020, $193.84, 3775647, $190.67, $193.84, $188.46
02/28/2020, $190.67, 4951886, $185.81, $190.68, $185.41
02/27/2020, $189.52, 4765238, $191.4, $194, $188.04
02/26/2020, $193.19, 2013968, $194.14, $195.74, $193.01
02/25/2020, $193.73, 3266967, $198.43, $198.43, $193.13
02/24/2020, $198.17, 3327179, $197.55, $198.8, $197.3
02/21/2020, $200.15, 2710542, $198.15, $200.4, $198
02/20/2020, $198.74, 1840157, $198.45, $198.93, $197.31
02/19/2020, $198.81, 2238397, $198.05, $199.17, $197.54
02/18/2020, $198, 1737510, $197.82, $198.98, $197.24
02/14/2020, $198.32, 3059386, $199.4, $199.4, $197.94
02/13/2020, $199.26, 2450460, $200.8, $201.4, $199.14
02/12/2020, $202.1, 2591074, $200.85, $202.215, $200.58
02/11/2020, $200.99, 2422111, $200, $201.71, $199.77
02/10/2020, $199.65, 3858041, $197.12, $200.29, $197.03
02/07/2020, $197.05, 4255933, $194.28, $197.76, $193.79
02/06/2020, $192.88, 2761367, $192.83, $193.17, $191.86
02/05/2020, $192.1, 2509359, $190.8, $192.51, $190.77
02/04/2020, $190.16, 1910045, $189.67, $190.64, $189.4867
02/03/2020, $188.44, 2443345, $186.67, $188.57, $186.67
01/31/2020, $186.64, 1808642, $187.22, $187.55, $186.5
01/30/2020, $187.61, 2684645, $188, $188.49, $187.03
01/29/2020, $188.8, 1319495, $189.28, $189.57, $188.8
01/28/2020, $189.25, 2038497, $189.76, $189.94, $189.14
01/27/2020, $189, 5606117, $190, $190.9, $189
01/24/2020, $188.19, 3447097, $190, $190.39, $187.82
01/23/2020, $190.6, 3021426, $191.29, $191.43, $189.9
01/22/2020, $191.66, 2048230, $192.33, $192.73, $191.53
01/21/2020, $192.58, 3079781, $192.04, $193.16, $192.015
01/17/2020, $192.68, 2091826, $193.48, $193.76, $192.34
01/16/2020, $193.83, 2235054, $193.85, $194.43, $193.38
01/15/2020, $193.85, 2643923, $192.59, $194.61, $192.52
01/14/2020, $192.54, 2682533, $191.15, $192.71, $190.77
01/13/2020, $191.38, 2251960, $192.29, $192.29, $190.85
01/10/2020, $191.83, 3130815, $192.76, $193.42, $191.735
01/09/2020, $192.65, 2684507, $191.38, $192.66, $191.21
01/08/2020, $191.15, 3434418, $191.5, $192.29, $191.1
01/07/2020, $190.47, 4457696, $191.5, $191.85, $190.47
01/06/2020, $191.5, 5029739, $190.95, $191.94, $190.6
01/03/2020, $191.08, 2088557, $190.26, $192, $190.25
01/02/2020, $192.24, 1554209, $191.84, $192.24, $190.99
12/31/2019, $191.17, 1311603, $190.3, $191.32, $190.07
12/30/2019, $190.57, 890086, $191.15, $191.77, $190.34
12/27/2019, $191.4, 1286322, $192.18, $192.18, $190.94
12/26/2019, $191.58, 1188058, $191.65, $192.27, $191.28
12/24/2019, $191.42, 550487, $191.53, $191.76, $191
12/23/2019, $191.53, 3241933, $190.49, $191.72, $190.46
12/20/2019, $190.3, 2990483, $190.8, $192.26, $190.3
12/19/2019, $189.61, 3368444, $190.21, $190.53, $189.57
12/18/2019, $190.34, 2774324, $190.5, $190.93, $189.87
12/17/2019, $190.63, 2301254, $190.2, $190.9, $189.9
12/16/2019, $190.12, 1725275, $189.71, $190.36, $189.01
12/13/2019, $188.34, 2992787, $188.3, $190.41, $187.95
12/12/2019, $188.27, 1408215, $186.85, $188.37, $186.635
12/11/2019, $186.64, 1689450, $185.92, $186.87, $185.69
12/10/2019, $185.61, 1485891, $185.4, $186.18, $185.21
12/09/2019, $185.27, 2638321, $186.12, $186.88, $185.22
12/06/2019, $186.37, 1463459, $186.4, $186.91, $186.23
12/05/2019, $186.08, 1272953, $186.59, $186.9, $185.95
12/04/2019, $186.66, 1422524, $185.05, $186.8439, $185.05
12/03/2019, $185.09, 2838304, $184.75, $185.7, $184.0467
12/02/2019, $184.34, 2637538, $185.1, $185.78, $184.28
11/29/2019, $184.94, 610276, $185.41, $185.41, $184.56
11/27/2019, $185.38, 1105805, $184.84, $185.77, $184.74
11/26/2019, $184.92, 2489229, $185.27, $185.82, $184.28
11/25/2019, $185, 1571036, $184.3, $185.36, $184.02
11/22/2019, $183.79, 1740976, $184.53, $185, $183.4
11/21/2019, $184.54, 1825405, $184.6, $184.83, $183.4
11/20/2019, $184.96, 2464205, $185.2, $185.2, $183.768
11/19/2019, $185.22, 2220389, $184.54, $186.08, $184.48
11/18/2019, $184.5, 2890836, $183.45, $184.92, $183.22
11/15/2019, $183.61, 3212120, $182.73, $183.77, $182.39
11/14/2019, $182.47, 2454115, $181.12, $182.5, $180.76
11/13/2019, $181.6, 2939824, $181.79, $182.66, $181.14
11/12/2019, $181.96, 2414529, $181.01, $183.79, $180.7
11/11/2019, $181.58, 1755763, $180.46, $181.62, $180.0301
11/08/2019, $181.28, 2345935, $178.75, $181.45, $178.53
11/07/2019, $178.68, 2292396, $178.78, $179.35, $177.95
11/06/2019, $178.55, 3570816, $178.61, $178.97, $177.01
11/05/2019, $178.41, 2954168, $179.5, $179.88, $177.63
11/04/2019, $178.8, 3493159, $178.8, $179.74, $178.8
11/01/2019, $178.29, 3168670, $177, $179.52, $175.91
10/31/2019, $176.11, 1170908, $175.66, $176.33, $175.46
10/30/2019, $175.79, 1206415, $174.91, $176, $174.43
10/29/2019, $174.64, 1104343, $174.39, $174.91, $173.52
10/28/2019, $174.22, 2812234, $173.98, $174.85, $173.83
10/25/2019, $173.84, 1698315, $173.9, $174.23, $173.05
10/24/2019, $173.93, 3257021, $175.08, $175.39, $172.97
10/23/2019, $175, 1936174, $174.91, $175.37, $174.59
