Date, Close/Last, Volume, Open, High, Low
04/13/2020, $98, 2225674, $101.82, $102.25, $97.38
04/09/2020, $100.34, 2714203, $98.94, $102.19, $97.8
04/08/2020, $97.25, 1951966, $94.04, $98.37, $91.5
04/07/2020, $92.53, 2677473, $97.6, $99.57, $92.26
04/06/2020, $93.52, 2408457, $90.53, $94.63, $88.6401
04/03/2020, $85.96, 3264330, $85.09, $86.99, $83.7548
04/02/2020, $85.79, 2579951, $86.27, $89.73, $84.04
04/01/2020, $86.4, 2683991, $86.49, $88.8, $85.35
03/31/2020, $91.73, 2534960, $93.4, $94.19, $91.21
03/30/2020, $94.64, 2745374, $88.28, $95.29, $85.48
03/27/2020, $88.46, 2662532, $86.11, $92.587, $85.13
03/26/2020, $89.5, 3563478, $83.11, $90.51, $83.01
03/25/2020, $83, 3539566, $77.86, $86.71, $75.01
03/24/2020, $77.92, 3197668, $78.1, $79.18, $75.7
03/23/2020, $73.23, 3181239, $71.74, $75.92, $68.865
03/20/2020, $73.87, 3911134, $76.36, $78.66, $70.76
03/19/2020, $74.69, 2475797, $74.13, $78.52, $70.73
03/18/2020, $75.55, 3617445, $81.64, $83.75, $64.13
03/17/2020, $87.94, 2917937, $87.16, $90.65, $85.2692
03/16/2020, $84.98, 3607740, $78, $90.535, $78
03/13/2020, $92.77, 3606114, $89.46, $93.06, $83.1
03/12/2020, $83.8, 4397735, $86.04, $90.38, $83.72
03/11/2020, $92.77, 2661990, $96.25, $96.68, $90.55
03/10/2020, $99.26, 2511182, $99.36, $100.2, $94.58
03/09/2020, $95.61, 2527123, $99.57, $100.16, $94.02
03/06/2020, $107.14, 3277466, $104.21, $107.71, $103.91
03/05/2020, $108.46, 2459881, $111.15, $112.09, $107.04
03/04/2020, $114.51, 1905902, $111.33, $114.89, $110.17
03/03/2020, $109.2, 2810344, $112.43, $113.58, $108
03/02/2020, $112.67, 2794625, $104.59, $112.76, $104.59
02/28/2020, $105.25, 4179813, $106.58, $107.9, $102.91
02/27/2020, $109.92, 2367068, $114.59, $115.03, $109.87
02/26/2020, $115.73, 2479025, $117.96, $119.01, $115.72
02/25/2020, $117.31, 2046443, $120.75, $120.8, $117.14
02/24/2020, $120.54, 1745582, $121.45, $122.37, $120.18
02/21/2020, $123.62, 1477670, $123.29, $124.03, $122.9222
02/20/2020, $123.46, 2146134, $123.99, $124.48, $123.05
02/19/2020, $124.26, 1414649, $124.6, $125, $123.85
02/18/2020, $124.3, 1663721, $125.4, $125.92, $124.11
02/14/2020, $125.57, 1110898, $124.93, $125.59, $124.65
02/13/2020, $124.89, 1367476, $123.65, $124.92, $123.2
02/12/2020, $123.78, 1549109, $125.25, $125.25, $122.945
02/11/2020, $125.1, 1739604, $123.9, $125.4115, $123.72
02/10/2020, $123.95, 1534299, $124.34, $124.83, $123.27
02/07/2020, $124.43, 1331592, $123.87, $124.76, $123.605
02/06/2020, $123.89, 1506724, $124.77, $125.425, $123.79
02/05/2020, $124.67, 2718384, $121.07, $124.94, $121.07
02/04/2020, $119.95, 1848480, $120.16, $121.16, $119.91
02/03/2020, $119.05, 1439702, $119, $120.07, $118.8
01/31/2020, $118.54, 1754476, $119.21, $120.11, $118.27
01/30/2020, $119.88, 1289419, $117.59, $119.98, $117.57
01/29/2020, $118.36, 1878790, $118.5, $118.72, $117.67
01/28/2020, $117.54, 1496518, $116.88, $118.145, $116.88
01/27/2020, $116.58, 1135196, $117, $117.93, $116.56
01/24/2020, $118.28, 2152165, $118.24, $118.75, $117.48
01/23/2020, $118.15, 1502433, $117.06, $118.39, $116.1025
01/22/2020, $117.65, 1274111, $118.24, $118.69, $117.585
01/21/2020, $117.8, 1314122, $117.15, $118.27, $117.06
01/17/2020, $117.55, 1725663, $116.4, $117.62, $115.85
01/16/2020, $116.15, 1902984, $114.54, $116.16, $114.27
01/15/2020, $114.26, 1692535, $113.62, $114.625, $113.05
01/14/2020, $113.8, 1899079, $114.35, $114.39, $113.44
01/13/2020, $114.48, 1526091, $113.48, $114.49, $113.45
01/10/2020, $113.45, 1431212, $113.96, $114.16, $113.18
01/09/2020, $113.78, 1462006, $113, $113.91, $112.72
01/08/2020, $112.5, 1748857, $112.55, $113.83, $112.435
01/07/2020, $112.19, 1640983, $112.68, $112.99, $112.16
01/06/2020, $113.16, 1214837, $112.34, $113.21, $112.04
01/03/2020, $112.83, 1047144, $111.84, $113.095, $111.77
01/02/2020, $112.82, 1212402, $112.97, $113, $111.66
12/31/2019, $112.45, 1109030, $111.82, $112.48, $111.59
12/30/2019, $111.77, 920262, $112, $112.05, $111.34
12/27/2019, $111.87, 1041606, $111.87, $112.12, $111.41
12/26/2019, $111.6, 822900, $111.16, $112.12, $111.14
12/24/2019, $111.17, 831741, $110.95, $111.61, $110.95
12/23/2019, $110.88, 1834729, $111.82, $112, $110.39
12/20/2019, $111.58, 3457820, $112.43, $113.32, $111.51
12/19/2019, $111.21, 2351873, $109.45, $111.21, $108.98
12/18/2019, $109.65, 1672249, $110.18, $110.18, $109.19
12/17/2019, $109.85, 3208096, $109.89, $110.62, $109.445
12/16/2019, $109.62, 2329896, $109.9, $110.115, $109.17
12/13/2019, $109.7, 1523393, $109.8, $110.29, $109.2305
12/12/2019, $110.35, 1757153, $109.39, $110.57, $108.93
12/11/2019, $109.59, 1489278, $110.54, $110.675, $109.07
12/10/2019, $110.74, 1030984, $111.34, $111.76, $110.63
12/09/2019, $111.32, 1798029, $111.05, $111.55, $110.6
12/06/2019, $111.1, 1805106, $110.17, $111.51, $110.17
12/05/2019, $109.54, 2608519, $110.16, $110.33, $109.34
12/04/2019, $110.14, 1209072, $109.36, $110.515, $109.12
12/03/2019, $109.44, 1269616, $110.29, $110.39, $108.96
12/02/2019, $111.14, 1180662, $111.71, $111.85, $111.02
11/29/2019, $111.35, 817942, $112.22, $112.5, $111.2935
11/27/2019, $112.02, 1599873, $112.36, $112.5, $111.6
11/26/2019, $112.62, 2128433, $110.89, $112.64, $110.64
11/25/2019, $110.64, 956210, $110.25, $111.11, $110.25
11/22/2019, $110.04, 1036147, $110.3, $111, $109.91
11/21/2019, $110.2, 1755922, $110.31, $110.64, $109.3
11/20/2019, $110.4, 1787859, $110.77, $111.18, $109.89
11/19/2019, $111.03, 1682165, $111.54, $111.77, $110.91
11/18/2019, $111.51, 1669011, $110.86, $111.51, $110.76
11/15/2019, $111.1, 1459480, $110.97, $111.32, $110.455
11/14/2019, $110.8, 988066, $110.36, $110.86, $110.0977
11/13/2019, $110.57, 1816338, $109.47, $110.99, $109.06
11/12/2019, $110.13, 2052970, $109.62, $111, $109.29
11/11/2019, $109.38, 1011123, $107.7, $109.43, $107.41
11/08/2019, $108.19, 1374493, $107.54, $108.305, $107.34
11/07/2019, $107.72, 1974526, $106.95, $108.41, $106.81
11/06/2019, $106.95, 1948164, $105.87, $106.99, $105.67
11/05/2019, $105.84, 1554513, $106.93, $107.07, $105.805
11/04/2019, $106.49, 1410250, $106.55, $107.525, $106.36
11/01/2019, $105.9, 2281392, $106.98, $107.39, $105.46
10/31/2019, $106.42, 1600628, $104.47, $106.46, $104.0721
10/30/2019, $104.95, 2267377, $107.47, $107.61, $103.65
10/29/2019, $108.22, 1785280, $106.8, $108.22, $106.315
10/28/2019, $106.6, 1937422, $107.63, $108.27, $106.59
10/25/2019, $107.24, 1758091, $108.19, $108.2, $106.73
10/24/2019, $108.26, 1105735, $108.4, $108.55, $107.9
10/23/2019, $108.18, 1061577, $107.5, $108.4, $107.5
10/22/2019, $107.5, 1420061, $108.67, $108.72, $107.08
10/21/2019, $109.13, 1450810, $108.94, $109.29, $108.43
10/18/2019, $108.41, 1671790, $108.2, $108.69, $107.58
10/17/2019, $107.74, 1052435, $107.79, $108.41, $107.33
10/16/2019, $107.49, 1337595, $107.53, $107.75, $106.23
10/15/2019, $108.07, 1489393, $108.62, $109.13, $108.02
10/14/2019, $108.23, 1528108, $107.74, $108.535, $107.5
10/11/2019, $107.93, 1298959, $108.21, $108.97, $107.87
10/10/2019, $107.14, 1245533, $106.52, $108.04, $106.51
10/09/2019, $106.57, 848364, $106.6, $107.06, $106.2875
10/08/2019, $105.9, 1424233, $106.72, $106.99, $105.87
10/07/2019, $107.46, 1337313, $108.17, $108.73, $107.4537
10/04/2019, $108.46, 1720601, $105.73, $108.5, $105.73
10/03/2019, $105.65, 1284691, $105.58, $106.18, $104.82
10/02/2019, $105.61, 1535148, $106.63, $107.13, $104.955
10/01/2019, $107.17, 2534950, $109, $109.45, $106.98
09/30/2019, $108.68, 2168445, $108.38, $108.86, $107.75
09/27/2019, $107.83, 1553025, $108.54, $108.54, $107.1
09/26/2019, $108.11, 1982518, $107.65, $108.64, $107.29
09/25/2019, $107.66, 2304956, $108, $108.25, $107.3
09/24/2019, $107.76, 2160718, $108.87, $109.55, $107.48
09/23/2019, $108.41, 1091907, $107.57, $108.7, $107.22
09/20/2019, $107.92, 2099893, $108.67, $109.02, $107.33
09/19/2019, $108.36, 1602037, $108.16, $109.1, $108.12
09/18/2019, $107.99, 2086665, $108, $108.695, $107.18
09/17/2019, $107.94, 1916445, $106.38, $107.97, $106.12
09/16/2019, $106.38, 1299715, $105.47, $106.41, $105.05
09/13/2019, $105.81, 1909411, $106.91, $107.23, $105.505
09/12/2019, $106.58, 1310359, $106.32, $106.85, $105.57
09/11/2019, $106.15, 1398674, $105.45, $106.16, $104.73
09/10/2019, $105.68, 1396241, $105.99, $106.02, $103.94
09/09/2019, $105.79, 1075539, $106.03, $106.1, $104.8
09/06/2019, $105.31, 993699, $104.27, $105.55, $104.03
09/05/2019, $104.38, 1158389, $105, $105.59, $104.23
09/04/2019, $103.9, 1236397, $103.51, $104.08, $103.19
09/03/2019, $102.54, 1969118, $101.81, $102.74, $101.61
08/30/2019, $102.39, 2077847, $102.91, $103.19, $101.9
08/29/2019, $102.22, 1296796, $102.69, $102.91, $101.81
08/28/2019, $102.41, 1433271, $102.23, $102.89, $101.65
08/27/2019, $102.63, 1274869, $103.71, $104.07, $102.4
08/26/2019, $103.21, 1230731, $102.52, $103.28, $101.87
08/23/2019, $101.98, 1418498, $104.02, $105.36, $101.49
08/22/2019, $104.5, 1098027, $104.54, $104.84, $103.42
08/21/2019, $103.89, 921009, $103.72, $103.96, $103.3
08/20/2019, $103.22, 923653, $103.71, $104.2948, $103.15
08/19/2019, $103.99, 1640169, $104.46, $104.46, $103.74
08/16/2019, $103.22, 1947645, $102.35, $103.67, $102.09
08/15/2019, $101.84, 1249800, $101.86, $102.36, $101.13
08/14/2019, $101.69, 2244892, $103.39, $103.72, $100.83
08/13/2019, $104.44, 1456879, $102.53, $104.88, $102.04
08/12/2019, $102.85, 1027931, $103.76, $104.735, $102.58
08/09/2019, $104.09, 1984705, $105.1, $105.31, $103.16
08/08/2019, $105.3, 1462357, $103.98, $105.59, $103.57
08/07/2019, $103.33, 1771365, $102.49, $104.34, $100.8402
08/06/2019, $103.87, 1913791, $101.89, $103.9, $101.32
08/05/2019, $101.78, 1853087, $103.69, $104.06, $101.33
08/02/2019, $104.51, 1727225, $104.68, $105.06, $103.32
08/01/2019, $104.88, 2091167, $107.69, $107.84, $104.28
07/31/2019, $107.4, 3523892, $105.29, $109.13, $105.29
07/30/2019, $101.83, 1265599, $101.5, $102.5, $101.23
07/29/2019, $101.81, 1407637, $103, $103.45, $101.72
07/26/2019, $102.93, 893722, $102.06, $102.98, $101.52
07/25/2019, $102.04, 1034948, $102.24, $102.43, $101.68
07/24/2019, $102.08, 1017262, $101.48, $102.16, $100.89
07/23/2019, $101.51, 1257467, $101.2, $101.61, $100.43
07/22/2019, $101.21, 1008680, $101.34, $101.97, $101.07
07/19/2019, $101.41, 1294731, $103.33, $103.33, $101.36
