Date, Close/Last, Volume, Open, High, Low
03/30/2020, $87.26, 3507367, $85.43, $87.56, $83.54
03/27/2020, $84.01, 2538328, $85.02, $86.62, $83.3
03/26/2020, $86.14, 2851294, $83.73, $86.39, $83.69
03/25/2020, $84.47, 2355752, $85.09, $86.76, $83.27
03/24/2020, $85.93, 2920183, $82.98, $87, $81.1
03/23/2020, $81.13, 3492082, $81.89, $83.43, $77.2275
03/20/2020, $80.35, 2874984, $84.63, $85.84, $79.55
03/19/2020, $83.5, 3321579, $82.51, $87.92, $81.2921
03/18/2020, $82.5, 3875778, $78.65, $84.92, $77.81
03/17/2020, $82.36, 4390162, $76.9, $82.65, $75.57
03/16/2020, $75.56, 4032001, $73.69, $81.56, $72.67
03/13/2020, $80.44, 4517182, $80.78, $82.4, $77.52
03/12/2020, $76.71, 4875234, $78.24, $81.99, $73.98
03/11/2020, $83.77, 3239782, $86.41, $88.41, $82.175
03/10/2020, $88.84, 3233083, $88.89, $89.36, $84.51
03/09/2020, $86.42, 3089694, $86.5, $90.39, $85.07
03/06/2020, $91.98, 2859774, $91.02, $92.39, $89.31
03/05/2020, $94.18, 1831104, $93.5, $95.89, $93.04
03/04/2020, $97.22, 2554011, $94.77, $97.28, $94.12
03/03/2020, $93.72, 2455431, $93.78, $97.16, $91.79
03/02/2020, $96.16, 3570993, $90.48, $96.48, $90.48
02/28/2020, $94.03, 3320432, $90, $94.08, $89.7
02/27/2020, $92.09, 2861142, $93, $95.035, $90.905
02/26/2020, $94.78, 2586506, $96.99, $97.97, $94.43
02/25/2020, $96.14, 3976146, $100.46, $100.85, $94.77
02/24/2020, $99.02, 3052969, $100.77, $102.15, $97.75
02/21/2020, $103.14, 1728580, $102.15, $103.21, $101.52
02/20/2020, $102.54, 1652317, $102.96, $103.29, $100.95
02/19/2020, $103.21, 3179555, $102.38, $103.61, $101.95
02/18/2020, $102.16, 2522037, $102.85, $103.35, $101.5
02/14/2020, $102.56, 1577910, $104.46, $104.52, $102.23
02/13/2020, $103.42, 1943869, $105.3, $106.5, $103.18
02/12/2020, $105.19, 3422030, $102.49, $105.23, $101.57
