Date, Close/Last, Volume, Open, High, Low
03/30/2020, $47.3, 7839167, $45.4, $47.51, $45.33
03/27/2020, $45.05, 10624180, $47.7, $48.13, $44.84
03/26/2020, $49.2, 11869400, $46.23, $49.39, $45.34
03/25/2020, $44.73, 11550730, $44.93, $48.22, $43.7668
03/24/2020, $45.14, 16338450, $44.24, $46.24, $43.03
03/23/2020, $40.17, 15138430, $38.64, $41.54, $37.92
03/20/2020, $37.99, 13967140, $41.49, $43.26, $37.8
03/19/2020, $40.19, 13066570, $38.68, $42.07, $36.858
03/18/2020, $39.18, 18870020, $40.57, $41.76, $36.64
03/17/2020, $44.86, 16361230, $41.76, $46.07, $39.77
03/16/2020, $40.53, 13762990, $44.05, $46.7, $40.41
03/13/2020, $50.89, 15539270, $48.67, $51.23, $45.35
03/12/2020, $45.11, 18043720, $48.775, $50.36, $45.1
03/11/2020, $52.49, 12977850, $54.28, $54.99, $51.41
03/10/2020, $56.17, 10107410, $54.4, $56.17, $52.565
03/09/2020, $52.07, 10305890, $52.81, $55.33, $52
03/06/2020, $57.79, 8958735, $57, $58.48, $56.25
03/05/2020, $59.13, 9842549, $58.56, $60.44, $58.26
03/04/2020, $60.52, 7925764, $59.44, $60.65, $58.27
03/03/2020, $58.04, 14036620, $59.97, $61.38, $57.56
03/02/2020, $60.16, 10795210, $58.7, $60.19, $57
02/28/2020, $58.12, 14945270, $54.19, $58.18, $54.08
02/27/2020, $57, 15746190, $57.2, $58.5, $56.4
02/26/2020, $59.81, 10855350, $59.58, $60.76, $59.31
02/25/2020, $58.86, 9942547, $61.92, $62.28, $58.48
02/24/2020, $61.08, 11223690, $61.13, $61.85, $60.4
02/21/2020, $64.27, 9660153, $65.91, $66.13, $63.625
02/20/2020, $66.4, 7535934, $67, $67.35, $65.22
02/19/2020, $67.41, 8502634, $66.5, $67.735, $66.27
02/18/2020, $65.16, 10218490, $64.23, $66, $63.85
02/14/2020, $66.85, 8103993, $67.46, $67.9, $66.55
02/13/2020, $67.37, 21742730, $66.75, $69.44, $65.95
02/12/2020, $65.37, 11592170, $64.93, $65.68, $64.62
02/11/2020, $64.45, 6203824, $63.6, $64.7, $63.34
02/10/2020, $62.92, 5121109, $61.08, $62.96, $61.08
02/07/2020, $61.71, 6093168, $62.84, $62.98, $61.63
02/06/2020, $63.19, 4870591, $64.02, $64.16, $63.05
02/05/2020, $63.8, 8252083, $63.98, $64.445, $62.87
02/04/2020, $63.01, 12322100, $61.41, $63.65, $61.1987
02/03/2020, $59.72, 7850022, $58.68, $60.25, $58.66
01/31/2020, $57.99, 10132160, $59.82, $59.85, $57.53
01/30/2020, $60.25, 9656093, $61.54, $62.03, $59.42
01/29/2020, $59.82, 6532570, $60.07, $60.66, $59.49
01/28/2020, $60.19, 6228135, $59.76, $60.35, $58.92
01/27/2020, $59.05, 9350583, $59.95, $60.45, $58.82
01/24/2020, $62, 8007737, $64.8, $64.93, $61.61
