Date, Close/Last, Volume, Open, High, Low
04/13/2020, $242.93, 367516, $234.88, $243.59, $234.21
04/09/2020, $237.92, 821185, $243.17, $244.23, $234.59
04/08/2020, $244.37, 425750, $241.43, $246.74, $238.05
04/07/2020, $239.65, 698888, $247.25, $252, $234.49
04/06/2020, $242.46, 661026, $229.21, $244.2, $227.76
04/03/2020, $218.3, 576433, $215.34, $219.65, $211.9
04/02/2020, $216.2, 673637, $209.5, $218, $207.7945
04/01/2020, $211.25, 920085, $223.14, $226.93, $209.72
03/31/2020, $232.47, 945710, $234.51, $237.57, $229.1106
03/30/2020, $235.13, 645282, $226.31, $237.36, $222
03/27/2020, $223.02, 752143, $226.53, $233.63, $221.57
03/26/2020, $230.37, 728553, $214.41, $232.39, $212.51
03/25/2020, $212.31, 1030086, $214.81, $221.8399, $208.37
03/24/2020, $217.43, 1315128, $218.75, $223.829, $210.48
03/23/2020, $208.35, 892170, $212.97, $223.87, $204.28
03/20/2020, $213.11, 1309557, $229.17, $229.27, $209.32
03/19/2020, $221.09, 910661, $220.51, $229.016, $211.12
03/18/2020, $221.67, 1103652, $215.4, $226.43, $210.4
03/17/2020, $234.29, 1238015, $211.89, $237.4, $203.705
03/16/2020, $206.35, 1232876, $226.63, $226.63, $205.61
03/13/2020, $235.42, 1393862, $215, $235.5, $214.69
03/12/2020, $204.46, 1312348, $201.51, $219.21, $200.07
03/11/2020, $217.73, 737049, $222.19, $225.175, $214.61
03/10/2020, $229.12, 1003289, $231.16, $232.705, $219.6
03/09/2020, $222.41, 1058663, $222.53, $231.51, $216.7
03/06/2020, $237.78, 1034162, $239.59, $241.77, $230.5
03/05/2020, $248.06, 821910, $251.03, $254.86, $246.615
03/04/2020, $259.5, 733275, $254.22, $259.5, $249.525
03/03/2020, $249.07, 811245, $256.98, $261.87, $246.66
03/02/2020, $258.81, 1386638, $242.08, $259.08, $241.51
02/28/2020, $242.19, 1674522, $234.02, $246.1737, $234.02
02/27/2020, $244.15, 1534852, $241.86, $261.09, $234.96
02/26/2020, $270.19, 659351, $268.17, $274.65, $266.36
