Date, Close/Last, Volume, Open, High, Low
03/30/2020, $230.58, 2095953, $224.66, $233.88, $220.16
03/27/2020, $222.96, 2585280, $217.61, $228.5, $217.16
03/26/2020, $235.67, 2705284, $221.28, $238.79, $215
03/25/2020, $216.37, 3521376, $190.09, $226.84, $187.04
03/24/2020, $196.84, 3130601, $183.98, $201, $181.115
03/23/2020, $174.68, 3236699, $188.54, $189.575, $171.03
03/20/2020, $191.59, 4780250, $204.29, $217.94, $185.69
03/19/2020, $200.87, 3321964, $206.22, $212.62, $193.475
03/18/2020, $206.96, 3649862, $224.45, $230, $186.61
03/17/2020, $238.32, 3100791, $229.76, $246.71, $224.92
03/16/2020, $224.04, 2815367, $226.5, $247.981, $216.27
03/13/2020, $270.34, 3027411, $267.5, $271.36, $251.05
03/12/2020, $256.21, 3100233, $262.03, $278.69, $253.46
03/11/2020, $281.69, 3416190, $278.6, $289.16, $275.14
03/10/2020, $286.05, 2611638, $278.33, $288.11, $273
03/09/2020, $269.82, 2712913, $264, $276.36, $260.81
03/06/2020, $282.19, 3414629, $278.18, $284.13, $268.93
03/05/2020, $287.16, 2868570, $287.65, $288.275, $281.25
03/04/2020, $296.42, 5162150, $286.55, $297.52, $285.34
03/03/2020, $256.38, 3017715, $270.13, $280.72, $255.88
03/02/2020, $271.27, 3317679, $259.6, $272.19, $250.38
02/28/2020, $257.09, 2984016, $249.94, $260.55, $249.35
02/27/2020, $257.86, 2329027, $263.06, $268.08, $257.47
02/26/2020, $268.15, 1733219, $269.84, $274.03, $262.71
02/25/2020, $267.4, 1954896, $279.21, $279.48, $264.49
02/24/2020, $277.5, 2518812, $283.49, $283.5, $276.58
02/21/2020, $294.71, 1111009, $292.03, $296.79, $290.17
02/20/2020, $293.94, 1889542, $301.38, $301.68, $293.69
02/19/2020, $304.06, 1338842, $302.01, $304.52, $299.295
02/18/2020, $302.45, 1972513, $297.45, $304.34, $295.77
02/14/2020, $297.82, 1433772, $299.29, $300.86, $295.46
02/13/2020, $298.87, 1931282, $294.73, $299.52, $294.555
02/12/2020, $296, 2763319, $286.27, $296.73, $286.27
02/11/2020, $279.91, 1777129, $277.04, $279.94, $273.78
02/10/2020, $276.55, 1149181, $275.88, $278.03, $274.02
02/07/2020, $276.48, 1597510, $279.7, $281.84, $276.28
02/06/2020, $282.33, 1760034, $288.78, $288.78, $280.03
02/05/2020, $287.33, 2448937, $275.36, $293.18, $275.36
02/04/2020, $273.37, 1413799, $269.9, $277.37, $269.9
02/03/2020, $266.43, 1925713, $266.11, $270.645, $262.79
01/31/2020, $265.28, 2206930, $265.68, $268.555, $264.01
01/30/2020, $265.89, 2738461, $269.26, $270.44, $261.694
01/29/2020, $272.91, 4450976, $279.5, $282.33, $272.16
01/28/2020, $290.32, 1985903, $285, $293.62, $284.13
01/27/2020, $283.79, 2399865, $293.63, $293.805, $278.95
01/24/2020, $297.28, 1088693, $304.84, $305.58, $295.42
01/23/2020, $304.4, 1089312, $303.46, $305.36, $301.285
01/22/2020, $303.51, 998038, $306.68, $306.68, $302.14
01/21/2020, $305.99, 992428, $303.94, $308.23, $303.17
01/17/2020, $305.39, 1312630, $305.07, $305.65, $300.08
01/16/2020, $305.05, 704236, $302.92, $305.24, $302.09
01/15/2020, $301.55, 1401215, $297.26, $304.8, $297.22
01/14/2020, $296.88, 1067742, $296.04, $298.05, $294.82
01/13/2020, $296.74, 1756534, $306.88, $307, $296.34
01/10/2020, $307.74, 1049867, $307.94, $309.1, $306.43
01/09/2020, $306.41, 1439908, $307.83, $309, $305.79
01/08/2020, $307.48, 2067797, $300.89, $308.76, $298.51
01/07/2020, $299.54, 1313711, $299.2, $300.28, $294.61
01/06/2020, $300.45, 1308650, $295.75, $300.56, $294.77
01/03/2020, $296.88, 986799, $293.68, $299.53, $293.68
01/02/2020, $300.87, 1186195, $302.67, $302.8199, $297.2
12/31/2019, $302.03, 916006, $305.3, $305.55, $300.17
12/30/2019, $305.31, 831662, $306.54, $306.57, $304.46
12/27/2019, $306.42, 604860, $305.06, $306.6, $304.6295
12/26/2019, $304.76, 484570, $304.82, $305.24, $304.01
12/24/2019, $304.5, 333068, $303.82, $304.77, $302.48
12/23/2019, $303.18, 1308159, $303.1, $304.605, $300.44
12/20/2019, $303, 2823555, $301.72, $303.32, $297.68
12/19/2019, $298.22, 1941209, $294.5, $299.78, $293.905
12/18/2019, $293.18, 1105286, $290.94, $294.75, $290.11
12/17/2019, $290.74, 1107560, $291, $293.3, $289.01
12/16/2019, $291.78, 2021029, $285.7, $297.354, $285.02
12/13/2019, $284.12, 897140, $285.06, $288.62, $283.55
12/12/2019, $284.42, 1110616, $281.83, $285.04, $280.4
12/11/2019, $280.6, 1149709, $283.1, $284.45, $279.65
12/10/2019, $283.85, 863438, $282.58, $284.36, $280.365
12/09/2019, $282.33, 1224954, $285.43, $285.43, $282.24
12/06/2019, $285.27, 1618526, $282.09, $285.61, $280.85
12/05/2019, $286.3, 969991, $286.72, $288.36, $284.23
12/04/2019, $287.38, 895950, $288.01, $289.1084, $285.73
12/03/2019, $286.19, 1182340, $285.01, $286.97, $282.35
12/02/2019, $287.43, 1261957, $289.62, $292.23, $287
11/29/2019, $288.66, 512549, $289.18, $290.75, $287.5
11/27/2019, $289.45, 1189024, $288.63, $291.6, $286.92
11/26/2019, $287.24, 2464607, $292.31, $293.88, $286.85
11/25/2019, $293.89, 1451963, $291, $294.29, $290.21
11/22/2019, $291.83, 1149411, $294.01, $296.99, $290.06
11/21/2019, $293.73, 1368517, $292.86, $295.97, $289.28
11/20/2019, $292.7, 1208982, $293.54, $293.69, $288.045
11/19/2019, $292.72, 2286875, $294.48, $295.155, $290.12
11/18/2019, $294, 2349621, $297.6, $307.38, $293.715
11/15/2019, $297.82, 2661813, $281.79, $298.62, $278.64
11/14/2019, $282.01, 1186936, $283, $284.48, $281.92
11/13/2019, $283.74, 1309738, $281.8, $287.66, $280.83
11/12/2019, $283.67, 1302645, $278.53, $284.98, $278.53
11/11/2019, $279.15, 992954, $279.78, $281.22, $277.7337
11/08/2019, $282.09, 1229659, $280.01, $283.44, $279.01
11/07/2019, $279.77, 1614037, $277.72, $281.03, $277.72
11/06/2019, $277.32, 1603858, $272.51, $277.55, $272.5
11/05/2019, $273, 1404500, $273.86, $275.81, $271.675
11/04/2019, $271.72, 1175214, $272.4, $273.52, $266.53
11/01/2019, $270.75, 1432674, $269.32, $275.71, $268.69
10/31/2019, $269.08, 1877442, $272.46, $275.23, $266.63
10/30/2019, $273.46, 962795, $271.79, $274.19, $270.5
10/29/2019, $272.64, 1537881, $266.68, $275.69, $266.32
10/28/2019, $267.67, 1598904, $264.6, $271.09, $263.01
10/25/2019, $263.07, 1369210, $258.91, $263.42, $258.095
10/24/2019, $259.49, 1584362, $264.79, $265.6, $257.35
10/23/2019, $263.51, 2746075, $252.68, $272.96, $251.635
10/22/2019, $260.25, 2882580, $253.16, $264.96, $253.16
10/21/2019, $253.07, 2439857, $250.93, $254.3, $249.49
10/18/2019, $249.4, 1534594, $248.9, $250.36, $246.2
10/17/2019, $249.25, 1430622, $245.98, $250.08, $245.225
10/16/2019, $245.02, 1750604, $247.13, $248.52, $244.34
10/15/2019, $248.94, 2857595, $240.73, $251.74, $240.51
10/14/2019, $234.82, 1254208, $237.61, $238.98, $234.69
10/11/2019, $237.55, 1567260, $239.81, $244.92, $236.97
10/10/2019, $237.23, 1153437, $237.4, $239.64, $235.68
10/09/2019, $238.25, 951486, $237.6, $238.67, $236.105
10/08/2019, $235.52, 1579035, $239.07, $239.94, $234.91
10/07/2019, $241.03, 1246231, $241.75, $242.5093, $240.421
10/04/2019, $241.79, 921442, $238.72, $241.8, $238.6675
10/03/2019, $238.23, 1378450, $237.28, $239.49, $235.9
10/02/2019, $237.9, 1283679, $237.66, $241.93, $236.37
10/01/2019, $238.44, 1695642, $241.35, $241.44, $235.12
09/30/2019, $240.1, 1499526, $237.22, $242.37, $236.03
09/27/2019, $237.69, 1148661, $240.27, $241.47, $237.1
09/26/2019, $238.8, 2446082, $243.79, $244.7651, $235.45
09/25/2019, $244, 1568522, $247.69, $250.47, $243.97
09/24/2019, $248.19, 1909094, $252.62, $252.965, $246.17
09/23/2019, $251.4, 1320991, $250.85, $252.43, $249.355
09/20/2019, $252.09, 2195385, $255.58, $256.14, $251.55
09/19/2019, $255.45, 1838513, $252.58, $257.23, $251
09/18/2019, $251.79, 2004417, $255.9, $259.71, $251.39
09/17/2019, $257.29, 1221036, $258.49, $259.26, $255.82
09/16/2019, $258.58, 1748446, $252.5, $260.28, $252.46
09/13/2019, $253.08, 2052408, $250.55, $256.58, $249.01
09/12/2019, $248.16, 1827119, $251.47, $253.28, $248.02
09/11/2019, $249.81, 1382632, $253, $254.5, $248.39
09/10/2019, $252.59, 2220113, $251.08, $254.21, $248.2
09/09/2019, $250.45, 1303843, $250.81, $252.23, $247.61
09/06/2019, $249.38, 2241118, $252.88, $255.97, $248.69
09/05/2019, $251.22, 2881741, $254.4, $255.365, $249.22
09/04/2019, $254.23, 1292939, $260.53, $261.96, $253.99
09/03/2019, $258.1, 1038344, $259.81, $260.5, $256.31
08/30/2019, $261.52, 1159150, $260.99, $263.24, $260.51
08/29/2019, $259.79, 1504244, $256.33, $260.35, $254.67
08/28/2019, $253.81, 1360005, $250.85, $256.87, $250.185
08/27/2019, $251.3, 2045481, $261.12, $261.8052, $251.01
08/26/2019, $260.51, 1236990, $262.36, $264.155, $259.84
08/23/2019, $260.38, 1375085, $261.35, $264.24, $259.29
08/22/2019, $261.06, 1524425, $268.26, $269.025, $260.82
08/21/2019, $267.88, 981110, $268.21, $269.39, $266.5
08/20/2019, $266.57, 1446415, $271.79, $272.8, $266.33
08/19/2019, $273.41, 1385873, $278, $278.81, $273.08
08/16/2019, $275.54, 776357, $276.87, $278.26, $275.05
