Date, Close/Last, Volume, Open, High, Low
03/30/2020, $206.53, 1281981, $198.47, $208.59, $197.1
03/27/2020, $193.17, 1173102, $195.31, $199.15, $191.335
03/26/2020, $201.34, 1512830, $192.98, $202.8, $189.98
03/25/2020, $191.15, 2165356, $193.36, $204.62, $189.72
03/24/2020, $194.42, 2161662, $185.56, $200.72, $179.27
03/23/2020, $176.73, 2162916, $186.41, $194.61, $173.9124
03/20/2020, $189.15, 2155623, $190.97, $193.85, $182.2875
03/19/2020, $191.04, 1818214, $199.5, $204.86, $188.58
03/18/2020, $201.57, 2582167, $190.71, $211.53, $182.825
03/17/2020, $205.1, 2284668, $185.35, $205.76, $181.5891
03/16/2020, $180.35, 1809066, $170.15, $191.2, $167.43
03/13/2020, $206.36, 2180356, $197.15, $206.52, $188.67
03/12/2020, $187.73, 2288657, $197.9, $206.17, $178.48
03/11/2020, $207.8, 1525370, $210, $213.1295, $203.45
03/10/2020, $214.58, 1962466, $210.93, $214.58, $204.62
03/09/2020, $205.15, 2393738, $214.99, $214.99, $204.74
03/06/2020, $229.71, 2175040, $226.23, $231.5299, $225.44
03/05/2020, $234, 1548198, $230.5, $234.73, $229.16
03/04/2020, $237.2, 1213896, $231.42, $237.44, $229.79
03/03/2020, $227.36, 1607750, $231.09, $237.22, $224.545
03/02/2020, $230.65, 1625428, $221.09, $230.84, $220.63
02/28/2020, $219.61, 2353636, $217.39, $222.78, $213.81
02/27/2020, $224.09, 1410271, $231.88, $233.28, $223.99
02/26/2020, $235.52, 1310211, $235.95, $240.17, $235.11
02/25/2020, $235.49, 1423702, $245.54, $246.39, $234.82
02/24/2020, $245.53, 1330688, $249.76, $251.094, $244.68
02/21/2020, $254.97, 1586978, $255.24, $255.59, $253.7
02/20/2020, $255.4, 922888, $254.9, $256.01, $252.11
02/19/2020, $255.82, 930972, $256.41, $257.01, $255.01
02/18/2020, $255.74, 857924, $255.91, $256.59, $254.97
02/14/2020, $256.01, 650821, $255.22, $256.045, $254.65
02/13/2020, $254.88, 666187, $253.89, $256.32, $253.26
02/12/2020, $254.1, 690002, $252.8, $254.71, $252.61
02/11/2020, $252.41, 965404, $253.28, $254.31, $252.22
02/10/2020, $251.71, 861567, $251.5, $252, $250.32
02/07/2020, $249.92, 730778, $250.4, $251.37, $249.13
02/06/2020, $251.06, 1517600, $250.73, $251.62, $248.82
02/05/2020, $250.28, 1590793, $248.72, $250.59, $243.14
02/04/2020, $247.09, 1447307, $244.91, $248, $243.28
02/03/2020, $243.01, 1639635, $239.89, $243.67, $238.365
01/31/2020, $238.71, 1596415, $240.34, $240.65, $237.81
01/30/2020, $241.41, 1074123, $236.32, $241.74, $236.135
01/29/2020, $237.27, 708977, $237.93, $237.93, $235.56
01/28/2020, $236.45, 1338464, $234.09, $237.42, $233.735
01/27/2020, $233.47, 1368900, $240.4, $240.87, $233.36
01/24/2020, $243.95, 1763452, $237.54, $244.6076, $237.54
01/23/2020, $237.29, 1072415, $235.82, $237.72, $233.6409
01/22/2020, $238.04, 927849, $238.61, $239.14, $236.92
01/21/2020, $237.18, 1699951, $236.46, $239.12, $235.34
01/17/2020, $237, 1857040, $236.05, $237.3505, $235.17
01/16/2020, $235.77, 756632, $236.87, $237.23, $235.475
01/15/2020, $235.46, 779460, $235.08, $236.73, $233.7622
01/14/2020, $234.52, 944150, $236.03, $236.99, $233.89
01/13/2020, $236.86, 1376823, $232.36, $237.27, $232.28
01/10/2020, $232, 949007, $234.5, $235.29, $231.25
01/09/2020, $233.5, 1320933, $230.07, $233.73, $229.28
01/08/2020, $228.09, 965676, $227.71, $228.95, $225.86
01/07/2020, $226.86, 1518946, $225.41, $228.83, $224.91
01/06/2020, $225.9, 1737940, $225.15, $228.15, $224.935
01/03/2020, $226, 1710385, $228.65, $230.2702, $225.98
01/02/2020, $231.14, 1311297, $235.25, $236.8, $230.84
12/31/2019, $234.99, 527149, $234.67, $235.13, $233.43
12/30/2019, $235.33, 470820, $235.81, $236.08, $234.33
12/27/2019, $235.49, 416051, $237.14, $237.31, $235.01
12/26/2019, $236.08, 344770, $236.31, $236.31, $234.8
12/24/2019, $235.05, 162656, $234.98, $236.12, $234
12/23/2019, $235.14, 831038, $236.07, $236.37, $234.38
12/20/2019, $235, 1738211, $233.96, $235.82, $233.1625
12/19/2019, $233.06, 912781, $232.83, $235.23, $232.83
12/18/2019, $233.11, 1056053, $235.09, $235.52, $230.58
12/17/2019, $235.61, 1220782, $234.78, $236.7, $233.83
12/16/2019, $234.44, 1089203, $232.11, $234.58, $231.79
12/13/2019, $230.74, 881050, $231.59, $234.49, $230.56
12/12/2019, $232.4, 2177397, $229.79, $232.805, $229.35
12/11/2019, $229.5, 1248077, $230.4, $230.47, $228.42
12/10/2019, $229.5, 928850, $230.77, $231.71, $229.37
12/09/2019, $230.82, 1009442, $232.35, $233.15, $230.82
12/06/2019, $232.03, 628773, $232.8, $232.8891, $231.545
12/05/2019, $230.46, 1029232, $229.16, $231.23, $229.0673
12/04/2019, $228.92, 972846, $230.5, $231.37, $228.92
12/03/2019, $229.69, 1236097, $229.92, $231.4235, $227.98
12/02/2019, $230.97, 1245249, $236, $236.2, $230.71
11/29/2019, $236.33, 653412, $236.38, $238.18, $235.32
11/27/2019, $236.04, 685093, $234.4, $236.31, $233.1
11/26/2019, $234.4, 1475814, $234.2, $235.82, $232.28
11/25/2019, $234.74, 1333438, $238.24, $239.1207, $233.14
11/22/2019, $237.6, 981443, $237.86, $239, $235.25
11/21/2019, $237.64, 781140, $237.28, $238.08, $235.58
11/20/2019, $237.9, 1228326, $241.06, $241.78, $236.99
11/19/2019, $241.31, 856759, $241.23, $241.9, $240.22
11/18/2019, $241.19, 976219, $239.09, $241.78, $239.09
11/15/2019, $240.92, 1307225, $239.52, $241, $238.63
11/14/2019, $238.18, 949491, $236.38, $238.54, $236.26
11/13/2019, $237.52, 1214891, $236.72, $238.09, $236.04
11/12/2019, $237.01, 1151963, $236.13, $237.74, $235.25
11/11/2019, $235.03, 908024, $233.03, $235.49, $232.5697
11/08/2019, $233.87, 1811439, $231.71, $234.61, $230.29
