Date, Close/Last, Volume, Open, High, Low
03/30/2020, $75.83, 2701450, $74.56, $76.19, $73.57
03/27/2020, $74.27, 1905911, $75.98, $77.32, $74.05
03/26/2020, $79.17, 2582535, $74.98, $80.1, $74.51
03/25/2020, $74.92, 2600435, $74.44, $77.96, $72.005
03/24/2020, $74.15, 2935811, $72.48, $74.99, $71.61
03/23/2020, $69, 3712600, $68.94, $71.88, $65
03/20/2020, $70.04, 3133979, $68.8, $72.69, $68.61
03/19/2020, $68.76, 3070913, $67.31, $69.5, $64.32
03/18/2020, $68.41, 2956103, $65.56, $68.45, $63.05
03/17/2020, $71.33, 2894462, $69.61, $73.14, $66.75
03/16/2020, $68.34, 3517326, $69.88, $73.84, $64.1
03/13/2020, $79.6, 4231921, $79.22, $80.86, $73.4425
03/12/2020, $75.12, 3639248, $78.84, $82.31, $75.11
03/11/2020, $84.27, 2458284, $87.54, $87.87, $82.37
03/10/2020, $90.49, 2894658, $88.34, $90.51, $84.6
03/09/2020, $85.53, 2327108, $86.67, $98.1, $85
03/06/2020, $92.56, 1585754, $90.22, $92.97, $90.08
03/05/2020, $93.42, 1681017, $94.36, $95.54, $92.75
03/04/2020, $97, 1264980, $94.53, $97.06, $93.67
03/03/2020, $92.97, 1813242, $94.62, $97.64, $92.72
03/02/2020, $94.93, 2539835, $92.41, $94.95, $90.61
02/28/2020, $91.68, 2994763, $90.45, $92.43, $89.19
02/27/2020, $92.58, 2126077, $93.53, $95.6, $92.56
02/26/2020, $95.67, 2459770, $96.37, $98.03, $95.39
02/25/2020, $95.47, 2528622, $98.43, $99.05, $95.2
02/24/2020, $97.67, 2196083, $98, $99.5, $96.05
02/21/2020, $101.75, 1184519, $102.9, $103.39, $101.17
02/20/2020, $103.71, 1195365, $102.78, $103.845, $102.52
02/19/2020, $103.11, 1054721, $102, $103.45, $101.79
02/18/2020, $101.39, 1489792, $103.28, $103.41, $101
02/14/2020, $104.07, 684085, $104.38, $104.6862, $103.62
02/13/2020, $104.37, 962019, $102.74, $104.64, $102.57
02/12/2020, $103.55, 993595, $103.65, $104.03, $103.11
02/11/2020, $102.62, 1375281, $103.16, $104.2, $102.59
02/10/2020, $102.8, 1789262, $102.61, $103.17, $102.47
02/07/2020, $103.36, 1394490, $103.23, $103.51, $102.45
02/06/2020, $103.96, 704909, $104.87, $104.87, $103.57
02/05/2020, $104.63, 1002522, $105.66, $105.66, $104.06
02/04/2020, $103.84, 1548895, $101.85, $103.91, $101.71
02/03/2020, $99.95, 1485628, $100.22, $101.03, $99.74
01/31/2020, $99.47, 1553725, $101.39, $101.77, $98.95
01/30/2020, $101.87, 1237328, $102.34, $103.26, $100.91
01/29/2020, $103.42, 1043936, $104.02, $105.38, $103.31
01/28/2020, $103.41, 1575296, $103.54, $104.37, $103.15
01/27/2020, $102.63, 1733420, $103.38, $103.89, $102.6
01/24/2020, $105.36, 1142380, $107.06, $107.48, $104.9
01/23/2020, $106.34, 1755040, $105.79, $106.44, $104.33
01/22/2020, $106.63, 2875397, $107.16, $109.13, $105.11
01/21/2020, $108.26, 1714065, $108.75, $109.7433, $108.11
01/17/2020, $109.45, 1275338, $109.12, $110.06, $108
01/16/2020, $109.79, 590768, $109.37, $109.79, $108.82
01/15/2020, $108.71, 699501, $109.93, $110, $108.18
01/14/2020, $109.5, 1027512, $108.89, $110.24, $108.75
01/13/2020, $109.11, 721282, $108.47, $109.14, $108.33
01/10/2020, $108.32, 756096, $108.83, $108.98, $108.03
01/09/2020, $108.75, 1188407, $109, $109.42, $108.48
01/08/2020, $108.37, 807916, $108, $108.94, $107.39
01/07/2020, $108.11, 834249, $108.02, $108.535, $107.58
01/06/2020, $107.53, 1098209, $107.28, $107.56, $106.68
01/03/2020, $108.09, 698910, $107.6, $108.3, $107.44
01/02/2020, $109.23, 1171531, $108.4, $109.23, $107.78
12/31/2019, $108.23, 793434, $107.87, $108.3886, $107.5
12/30/2019, $108.28, 591519, $108.24, $108.61, $107.43
12/27/2019, $108.06, 699591, $108.39, $108.6, $107.72
12/26/2019, $107.99, 423004, $107.56, $108, $106.95
12/24/2019, $107.23, 165691, $107.47, $107.47, $106.95
12/23/2019, $107.26, 759881, $107.61, $107.95, $106.69
12/20/2019, $107.15, 1898027, $107.76, $108.14, $106.82
12/19/2019, $107.05, 792675, $106.32, $107.07, $106.18
12/18/2019, $106.22, 1548130, $107.17, $107.17, $106.015
12/17/2019, $106.9, 931267, $107.82, $107.92, $106.86
12/16/2019, $107.79, 944147, $108.5, $109.315, $107.665
12/13/2019, $107.14, 1118974, $107.84, $108.3, $106.94
12/12/2019, $108.02, 1285897, $105.81, $108.23, $105.46
12/11/2019, $105.93, 1094654, $105.34, $106.39, $105.07
12/10/2019, $105.12, 1102961, $105, $105.41, $104.2
12/09/2019, $104.46, 797245, $103.94, $104.61, $103.75
12/06/2019, $104.03, 733901, $103.84, $104.39, $103.72
12/05/2019, $102.98, 971749, $103.36, $103.56, $102.84
12/04/2019, $102.99, 728113, $102.4, $104.2, $102.375
12/03/2019, $101.78, 1144494, $101.68, $101.85, $100.45
12/02/2019, $102.7, 951785, $104, $104.36, $102.54
11/29/2019, $104, 435913, $103.54, $104.19, $103.2
11/27/2019, $103.77, 919335, $103, $103.85, $102.84
11/26/2019, $103.03, 2316586, $103.45, $103.45, $102.475
11/25/2019, $103.25, 1178044, $102, $103.32, $101.66
11/22/2019, $101.74, 656464, $102.22, $102.33, $101.22
11/21/2019, $101.78, 865714, $102.35, $102.43, $101.35
11/20/2019, $102.22, 1016647, $102.42, $103.01, $101.58
11/19/2019, $103.26, 814006, $102.84, $103.42, $102.22
11/18/2019, $102.45, 1429628, $102.37, $102.87, $101.84
11/15/2019, $102.25, 1032448, $101.65, $102.74, $101.53
