Date, Close/Last, Volume, Open, High, Low
04/13/2020, $62.75, 8054734, $60.317, $63, $60.02
04/09/2020, $60.46, 8404908, $61.28, $61.8, $59.55
04/08/2020, $61.07, 7420277, $60.36, $61.495, $59.91
04/07/2020, $59.87, 14929020, $62.53, $62.55, $58.12
04/06/2020, $61.6, 10077430, $61.13, $62.395, $60.1
04/03/2020, $59.98, 7150304, $61.26, $61.72, $58.77
04/02/2020, $60.78, 8032936, $58.27, $61.09, $58.01
04/01/2020, $57.5, 7315683, $58, $59.61, $57.055
03/31/2020, $59.48, 10128830, $58.04, $60.1, $57.83
03/30/2020, $58.47, 9311318, $58.34, $59.75, $57.5141
03/27/2020, $56.96, 8513697, $56.55, $58.63, $55.76
03/26/2020, $57.72, 9994827, $53.06, $57.78, $53.06
03/25/2020, $52.87, 11194740, $55.01, $55.7099, $52.52
03/24/2020, $54.43, 14885480, $58.34, $61.25, $53.82
03/23/2020, $56.47, 19601590, $52.805, $57.66, $52.33
03/20/2020, $52.05, 12916120, $55.25, $55.595, $51.38
03/19/2020, $54.13, 10151170, $55.62, $58.16, $53.72
03/18/2020, $55.59, 14550110, $53, $58.22, $52.05
03/17/2020, $56.16, 10799600, $53.66, $57, $50.51
03/16/2020, $52.76, 10456780, $53.11, $57.07, $52.48
03/13/2020, $59.04, 9942981, $57, $59.05, $53.1
03/12/2020, $54.56, 11644180, $55.1, $57.49, $52.83
03/11/2020, $59.33, 10531440, $58.75, $60.46, $58.4
03/10/2020, $60.71, 15378110, $59.45, $61.12, $57.93
03/09/2020, $57.35, 13169610, $56.6, $59.12, $55.4
03/06/2020, $59.97, 9745151, $59.65, $60.875, $58.355
03/05/2020, $61.52, 6978477, $60.78, $62.3, $60.34
03/04/2020, $62.55, 7306474, $60, $62.59, $59.59
03/03/2020, $58.75, 9825852, $60.56, $61.82, $58.14
03/02/2020, $60.59, 9483090, $58.3, $60.65, $57.91
02/28/2020, $58.13, 10456180, $56.29, $58.18, $55.923
02/27/2020, $58.33, 9014174, $57.8, $60.29, $57.52
02/26/2020, $59.37, 8275104, $59.74, $60.5, $58.96
02/25/2020, $59.51, 10451760, $61.8, $62.02, $59.31
02/24/2020, $62.31, 6101950, $61.21, $63.2, $61.01
02/21/2020, $63.375, 3476886, $63.82, $63.931, $63.07
02/20/2020, $64, 4219722, $64.02, $64.53, $62.93
02/19/2020, $64.37, 4865969, $64, $64.43, $63.79
02/18/2020, $63.74, 5317895, $63.36, $64.12, $63.26
02/14/2020, $63.52, 4242634, $62.69, $63.54, $62.31
02/13/2020, $62.59, 3642361, $62.25, $62.94, $62
02/12/2020, $62.8, 5244177, $61.5, $63.12, $61.44
02/11/2020, $61.19, 5350588, $61.93, $61.93, $60.58
02/10/2020, $61.63, 5279576, $61.42, $61.945, $60.77
02/07/2020, $61.53, 12936110, $61.33, $62.8412, $60.38
02/06/2020, $60.26, 9591480, $59.19, $60.64, $59
02/05/2020, $58.85, 5985924, $60.14, $60.14, $58.44
02/04/2020, $59.21, 6653690, $58.86, $59.38, $57.37
02/03/2020, $58.21, 4825357, $58.64, $58.9, $58.09
01/31/2020, $58.48, 8184161, $60.2, $60.3, $58.3469
01/30/2020, $60.89, 5287128, $59.92, $60.9, $59.92
01/29/2020, $60.4, 4339829, $60.49, $60.57, $59.9
01/28/2020, $60.03, 5644292, $58.79, $60.365, $58.61
01/27/2020, $58.32, 6420173, $58.19, $58.69, $57.78
01/24/2020, $59.4, 7688779, $60.22, $60.35, $58.95
01/23/2020, $60.13, 5297196, $60.32, $60.55, $60.06
01/22/2020, $60.32, 6110151, $61.65, $61.9, $60.235
01/21/2020, $61.42, 6914153, $61, $61.64, $60.81
01/17/2020, $61.24, 8752814, $60.61, $61.28, $60.44
01/16/2020, $60.43, 7185596, $60, $60.45, $59.72
01/15/2020, $59.64, 5703328, $60.05, $60.45, $59.28
01/14/2020, $60.05, 7311520, $59.58, $60.575, $58.91
01/13/2020, $59.24, 4530121, $59.12, $59.58, $58.82
01/10/2020, $58.95, 4425050, $59.76, $59.76, $58.73
01/09/2020, $59.34, 7767809, $60.24, $60.43, $58.86
01/08/2020, $59.88, 5022348, $60, $60.885, $59.85
01/07/2020, $60.335, 4930894, $59.69, $60.41, $59.21
01/06/2020, $59.74, 4911322, $58.47, $59.87, $58.435
01/03/2020, $58.67, 4466831, $58.03, $58.93, $57.65
01/02/2020, $58.65, 5189778, $59.91, $60.05, $58.56
12/31/2019, $59.42, 3437756, $58.72, $59.47, $58.65
12/30/2019, $58.88, 3028520, $59.35, $59.5539, $58.615
12/27/2019, $59.185, 3386409, $59.21, $59.59, $58.78
12/26/2019, $58.89, 2325547, $58.81, $59.27, $58.71
12/24/2019, $58.81, 1562888, $58.78, $59.03, $58.52
12/23/2019, $58.89, 4395775, $59.6, $59.745, $58.83
12/20/2019, $59.22, 8966312, $59.4, $59.71, $58.79
12/19/2019, $59.13, 4384306, $58.71, $59.23, $58.525
12/18/2019, $59.02, 6681145, $58.34, $59.12, $57.96
12/17/2019, $58.26, 4388023, $58.7, $58.74, $58.1
12/16/2019, $58.61, 4576098, $59.23, $59.34, $58.57
12/13/2019, $58.65, 5756492, $58.5, $58.74, $57.7908
12/12/2019, $58.56, 9015112, $56.6, $58.81, $56.48
12/11/2019, $56.48, 5575667, $55.94, $56.98, $55.94
12/10/2019, $55.94, 4686013, $54.46, $55.99, $54.1
12/09/2019, $54.39, 4557809, $55.12, $55.4, $54.37
12/06/2019, $55.21, 5051548, $55.12, $55.4194, $54.8
12/05/2019, $54.99, 5272828, $54.09, $55.04, $53.74
12/04/2019, $53.88, 4752232, $54.75, $54.87, $53.755
12/03/2019, $54.59, 5399686, $53.61, $54.61, $53.52
12/02/2019, $54.23, 4637534, $54.93, $54.98, $53.36
11/29/2019, $54.83, 2393290, $54.13, $55.18, $54.007
11/27/2019, $54.48, 3636918, $54.33, $54.56, $53.9
11/26/2019, $54.17, 4226674, $53.93, $54.23, $53.56
11/25/2019, $53.73, 4125965, $53.23, $53.76, $53.02
11/22/2019, $53.04, 4583063, $53.77, $53.9, $52.59
11/21/2019, $53.69, 3960571, $53.95, $54.29, $53.31
11/20/2019, $54.085, 7421968, $53.24, $54.19, $53.145
11/19/2019, $53.28, 5092647, $53.1, $53.38, $52.48
11/18/2019, $52.73, 6443840, $53.43, $53.45, $52.2742
11/15/2019, $53.44, 5327303, $53.15, $53.71, $52.7
11/14/2019, $52.7, 7186225, $52.32, $52.98, $52.1
11/13/2019, $52.33, 11585930, $51.6, $52.63, $51.46
11/12/2019, $51.95, 12566430, $52.7, $53.05, $51.69
11/11/2019, $52.52, 6830019, $53.85, $53.93, $52.24
11/08/2019, $54.3, 15899890, $53.5, $54.84, $52.65
11/07/2019, $54.55, 12512270, $56.75, $56.82, $54.3546
11/06/2019, $56.36, 6239442, $55.78, $56.59, $55.47
11/05/2019, $55.54, 5036329, $55.8, $56.27, $55.01
11/04/2019, $55.71, 10345270, $55.56, $56.01, $54.17
11/01/2019, $55.82, 10202910, $56.21, $57.43, $55.46
10/31/2019, $56.03, 6621587, $55.93, $56.07, $54.74
10/30/2019, $55.87, 8537516, $55.25, $55.95, $54.405
10/29/2019, $54, 5680034, $54.47, $54.63, $53.62
10/28/2019, $54.56, 7507573, $55.99, $56.18, $54.21
10/25/2019, $55.26, 6320240, $56.21, $56.275, $55.02
10/24/2019, $55.44, 5700614, $55.18, $55.735, $54.62
10/23/2019, $54.8, 3368286, $54.56, $55.33, $54.35
10/22/2019, $54.52, 4491840, $55.67, $55.72, $54.49
10/21/2019, $55.51, 5946880, $55.25, $55.82, $54.725
10/18/2019, $54.54, 8531046, $55.66, $55.688, $53.38
10/17/2019, $55.59, 5995260, $56, $56.46, $55.51
10/16/2019, $55.59, 5764574, $55.4, $55.9398, $55.14
10/15/2019, $55.56, 6878469, $55.15, $55.6, $54.16
10/14/2019, $55.01, 5969793, $54.35, $55.2, $54.01
10/11/2019, $54.82, 8632567, $54.35, $55.38, $54.15
10/10/2019, $53.69, 8790451, $52.93, $53.84, $51.45
10/09/2019, $53.43, 9079005, $53.76, $54.75, $53.2
10/08/2019, $54.13, 7335792, $54.75, $55.3, $54.1
10/07/2019, $55.41, 6623619, $55.06, $55.89, $54.56
10/04/2019, $55.44, 8782953, $54.75, $55.49, $54.55
10/03/2019, $54.07, 14694840, $52.19, $54.77, $52.07
10/02/2019, $52.25, 13592900, $51.9, $52.54, $50.25
10/01/2019, $52.9, 9247348, $53.34, $53.55, $52.24
09/30/2019, $52.92, 7438370, $52.6, $52.995, $52.31
09/27/2019, $52.33, 7801124, $54.21, $54.72, $52.05
09/26/2019, $54.22, 6575900, $54.72, $55.07, $54.16
09/25/2019, $54.94, 5196544, $53.89, $55.04, $53.58
09/24/2019, $53.96, 8340328, $54.61, $54.63, $53.4125
09/23/2019, $54.18, 4539727, $54.47, $54.74, $53.67
09/20/2019, $54.76, 7505581, $55.04, $55.48, $54.52
09/19/2019, $55.01, 4569363, $55.43, $55.56, $54.71
09/18/2019, $55.12, 5453088, $55.21, $55.23, $54.13
09/17/2019, $55.35, 6980832, $55.5, $55.72, $54.77
09/16/2019, $55.78, 6471327, $55.18, $55.94, $55.17
09/13/2019, $55.95, 6401832, $55.64, $56.02, $55.315
09/12/2019, $55.45, 10921160, $56.46, $57.52, $55.14
09/11/2019, $54.91, 9687337, $56.54, $56.77, $54.41
09/10/2019, $56.03, 8427626, $54.75, $56.1473, $54.28
09/09/2019, $55.19, 9138653, $55.25, $55.55, $54.2
09/06/2019, $54.58, 7034027, $54.67, $55.01, $54.26
09/05/2019, $54.58, 11780720, $55.15, $56.5966, $53.77
09/04/2019, $53.5, 9989393, $52.06, $53.61, $52.01
09/03/2019, $51.06, 6268898, $50.48, $51.57, $50.43
08/30/2019, $50.6, 5891610, $51.29, $51.405, $50.17
08/29/2019, $50.96, 6268704, $51, $51.43, $50.26
08/28/2019, $50.21, 7232411, $50.63, $50.935, $49.54
08/27/2019, $51.09, 18226100, $50.5, $52.22, $49.9606
08/26/2019, $48.69, 5200812, $47.99, $48.7, $47.53
08/23/2019, $47.33, 7126115, $48.6, $49.38, $47.16
08/22/2019, $49.08, 4002846, $49.29, $49.29, $48.33
08/21/2019, $49.04, 4001823, $49.1, $49.54, $48.71
08/20/2019, $48.8, 5863315, $47.67, $49.04, $47.5
08/19/2019, $47.92, 5522828, $47.55, $48.3, $47.28
08/16/2019, $46.66, 5801282, $45.94, $47.17, $45.79
08/15/2019, $45.51, 6013685, $45.53, $45.73, $44.91
08/14/2019, $45.26, 9156176, $47.09, $47.27, $45
08/13/2019, $48.13, 5263316, $46.99, $48.37, $46.47
08/12/2019, $47.08, 6292119, $47.73, $48.35, $46.95
08/09/2019, $48.06, 10794030, $48.76, $49.09, $47.11
08/08/2019, $49.33, 8935876, $48.41, $49.565, $47.91
08/07/2019, $48.1, 7468459, $46.11, $48.23, $46.1
08/06/2019, $46.59, 7171514, $47.45, $47.59, $46.3846
08/05/2019, $46.1, 10855080, $47.87, $47.95, $45.515
08/02/2019, $49.02, 9745008, $49.8, $51.35, $48.65
08/01/2019, $50.19, 10901780, $48.93, $51.24, $48.81
07/31/2019, $48.74, 8712326, $48.79, $49.9297, $48.38
07/30/2019, $48.29, 4904995, $48.1, $48.36, $47.5
