Date, Close/Last, Volume, Open, High, Low
04/13/2020, $161.41, 758539, $165.7, $166.51, $159.02
04/09/2020, $167.36, 1751349, $162.8, $172.91, $162.8
04/08/2020, $160.73, 1195471, $149.01, $161.57, $146.58
04/07/2020, $147.35, 998733, $153.32, $154.38, $145.94
04/06/2020, $145.07, 1175803, $139.72, $146.28, $139.25
04/03/2020, $132.22, 1147620, $133.66, $138.06, $130.2741
04/02/2020, $135.34, 1555335, $135.01, $142.09, $131.93
04/01/2020, $138.02, 2248065, $139.65, $140.45, $130.79
03/31/2020, $147.17, 2165411, $150.43, $152.24, $142.7641
03/30/2020, $152.1, 2100286, $160.23, $161.64, $144.175
03/27/2020, $160.27, 1374345, $146.01, $164.9277, $145.68
03/26/2020, $151.06, 1761885, $140.66, $151.92, $138.335
03/25/2020, $140.78, 1938170, $125.58, $149.27, $123.7
03/24/2020, $127.46, 2236273, $126.19, $129.34, $123
03/23/2020, $121.08, 2070209, $131.62, $131.62, $118.17
03/20/2020, $131.62, 1568984, $147.72, $150.95, $128.58
03/19/2020, $146.57, 1292729, $153.49, $155.575, $145.31
03/18/2020, $153.88, 1563275, $169.76, $176.745, $147.07
03/17/2020, $181.59, 1992224, $167.25, $182.415, $162.06
03/16/2020, $163.47, 1463056, $175.84, $178.245, $163.47
03/13/2020, $193.16, 1343648, $189.9, $193.925, $179.15
03/12/2020, $181.98, 1766878, $182.25, $196.65, $179.12
03/11/2020, $195.85, 1101577, $203.22, $203.25, $195
03/10/2020, $208.84, 1354370, $201.43, $209, $195.99
03/09/2020, $197.17, 1306028, $200.49, $203.61, $197.17
03/06/2020, $209.06, 918968, $208.47, $210.11, $202.86
03/05/2020, $213.31, 801391, $214.75, $216.47, $210.73
03/04/2020, $217.72, 990229, $211.71, $218.03, $210.8226
03/03/2020, $208.73, 1099227, $209.67, $216.57, $207.38
03/02/2020, $209.67, 1275719, $201.76, $209.67, $199.81
02/28/2020, $200.59, 1702857, $204.17, $204.33, $195.57
02/27/2020, $207.67, 1120919, $218.83, $219.85, $207.51
02/26/2020, $221.22, 907519, $221.91, $223.22, $220.24
02/25/2020, $221.41, 855862, $226.68, $227.41, $220.98
02/24/2020, $225.79, 726725, $226.58, $229.09, $224.5
02/21/2020, $228.02, 811841, $226.95, $229.06, $226.89
02/20/2020, $227.15, 779213, $225.51, $227.19, $225.02
02/19/2020, $225.8, 692433, $228.54, $229.4, $225.74
02/18/2020, $228.07, 443542, $228.06, $228.22, $225.82
02/14/2020, $227.53, 456885, $226.18, $228.005, $225.67
02/13/2020, $225.59, 730546, $224, $226.32, $224
02/12/2020, $224.39, 851546, $222.82, $225.22, $222.32
02/11/2020, $222.88, 814664, $221.5, $223.91, $221.37
02/10/2020, $221.75, 884744, $220.99, $221.75, $219.105
02/07/2020, $219.17, 471490, $219.76, $220.115, $218.05
02/06/2020, $219.13, 568951, $217.61, $219.27, $215.68
02/05/2020, $217.61, 464451, $218.63, $219.77, $217.445
02/04/2020, $218.77, 655671, $216.94, $219.67, $216.19
02/03/2020, $216.69, 499859, $217.32, $218.78, $216.1
01/31/2020, $216.69, 609604, $217.94, $219.13, $216.04
01/30/2020, $218.01, 536452, $215.99, $218.35, $215.3564
01/29/2020, $216.62, 734359, $220.03, $220.03, $216.3
01/28/2020, $219.27, 516191, $218.65, $220.88, $218.04
01/27/2020, $218.86, 786479, $218.44, $219.42, $217.14
01/24/2020, $219.33, 566881, $218.83, $219.4, $217.66
01/23/2020, $218.49, 554338, $216.86, $218.71, $216.01
01/22/2020, $216.64, 718906, $219.85, $220.7, $215.81
01/21/2020, $219.3, 730051, $216.42, $219.41, $216.29
01/17/2020, $216.07, 1213303, $215.26, $216.85, $214.66
01/16/2020, $214.89, 545238, $212.2, $214.94, $211.34
01/15/2020, $211.9, 796635, $211.6, $212.45, $210.53
01/14/2020, $209.51, 550582, $210.21, $210.21, $207.83
01/13/2020, $211.02, 490241, $208.23, $211.03, $208.23
01/10/2020, $208.45, 736074, $206.78, $208.87, $206.26
01/09/2020, $206.35, 738816, $205.48, $206.88, $204.91
01/08/2020, $205.87, 872346, $205.29, $206.83, $204.56
01/07/2020, $205.02, 850660, $208.19, $208.58, $204.78
01/06/2020, $209.58, 601972, $209.06, $209.87, $208.24
01/03/2020, $209.23, 672070, $206.38, $209.57, $206.31
01/02/2020, $207.24, 817428, $210.46, $210.91, $206.07
12/31/2019, $209.7, 575972, $207.47, $209.73, $207.19
12/30/2019, $207.62, 492228, $206.66, $208.71, $206.51
12/27/2019, $208.84, 356670, $209.31, $209.86, $207.93
12/26/2019, $208.32, 275625, $208.49, $208.89, $207.09
12/24/2019, $207.94, 112654, $207.52, $208.21, $206.74
12/23/2019, $207.09, 413015, $208.96, $209.08, $206.66
12/20/2019, $208.01, 1481418, $208.05, $209.4, $207.66
12/19/2019, $207.74, 798161, $207.66, $208.82, $207.15
12/18/2019, $207.47, 669098, $207.6, $208.215, $206.08
12/17/2019, $206.64, 561903, $209.56, $210, $206.3
12/16/2019, $209.37, 723158, $208.73, $209.96, $207.035
12/13/2019, $208.64, 599122, $209.33, $210.83, $206.29
12/12/2019, $209.16, 763345, $211.72, $212.8, $208.13
12/11/2019, $212.07, 406694, $215.57, $215.98, $211.56
12/10/2019, $215.28, 388853, $215.91, $216.84, $213.32
12/09/2019, $215.91, 396205, $216.16, $216.16, $213.98
12/06/2019, $215.94, 468697, $215.96, $216.67, $214.82
12/05/2019, $215.91, 699592, $214.65, $216.07, $213.57
12/04/2019, $215.32, 618217, $212.75, $215.88, $212.75
12/03/2019, $213.5, 767289, $210.95, $213.78, $210.5
12/02/2019, $211.2, 578270, $214.42, $214.94, $210.96
11/29/2019, $214.41, 292488, $215.27, $217.21, $213.9
11/27/2019, $215.57, 556319, $215.61, $215.63, $214
11/26/2019, $215.61, 1026255, $212.51, $215.61, $212.16
11/25/2019, $212.15, 583592, $212.11, $213.95, $211.4888
11/22/2019, $211.28, 397136, $212.86, $213.73, $210.53
11/21/2019, $212.69, 349485, $215.86, $215.86, $212.43
11/20/2019, $216.36, 432178, $217.58, $218.22, $215.97
11/19/2019, $217.06, 421573, $216.6, $217.61, $215.2
11/18/2019, $215.27, 335387, $215.12, $216.82, $214.8
11/15/2019, $214.53, 530865, $212.65, $214.53, $212.12
11/14/2019, $212.62, 471470, $212.12, $213.15, $211.53
11/13/2019, $211.59, 475566, $209.67, $212.56, $208.74
11/12/2019, $208.99, 559567, $210.62, $212.48, $208.63
11/11/2019, $210.48, 358928, $209.48, $211.26, $209.48
11/08/2019, $209.85, 449827, $209.2, $210.97, $208.62
11/07/2019, $209.14, 667524, $211.59, $211.59, $207.31
11/06/2019, $212.29, 597188, $211.28, $213.07, $211.27
11/05/2019, $210.66, 1132640, $213.43, $213.43, $208.59
11/04/2019, $214.24, 766580, $216.65, $216.65, $212.97
11/01/2019, $217.24, 916652, $217.99, $219.41, $214.52
10/31/2019, $217.66, 838446, $219.19, $220.56, $217.27
10/30/2019, $218.98, 984967, $216.11, $219.06, $214.78
10/29/2019, $215.31, 1830460, $216.7, $216.7, $214.06
10/28/2019, $216.99, 1122418, $219.42, $219.42, $216.385
10/25/2019, $219.41, 522212, $219.74, $220.83, $218.85
10/24/2019, $220.24, 407084, $221.28, $222.07, $219.48
10/23/2019, $221.53, 554194, $222.12, $222.14, $219.2
10/22/2019, $221.83, 765655, $222.52, $222.87, $220.83
10/21/2019, $222.04, 762654, $220.23, $222.04, $219.09
10/18/2019, $220.17, 573272, $219.33, $220.4, $218.24
10/17/2019, $219.08, 516710, $218.94, $220.12, $218.7
10/16/2019, $219.21, 585552, $217.51, $219.33, $215.89
10/15/2019, $217.37, 658556, $218.2, $218.77, $215.6
10/14/2019, $218.08, 391918, $218.01, $218.18, $216.8
10/11/2019, $218.08, 410931, $218.97, $219.07, $216.69
10/10/2019, $218.68, 474791, $218.6, $219.6, $216.54
10/09/2019, $218.75, 599688, $218.07, $219.71, $217.61
10/08/2019, $217.73, 831291, $218.05, $219.42, $215.52
10/07/2019, $219.2, 517032, $218.97, $219.52, $217.4
10/04/2019, $219, 674298, $218.19, $219.17, $217.24
10/03/2019, $217.97, 880235, $214.58, $218.44, $214.58
10/02/2019, $215, 887536, $213.71, $215.16, $212.13
10/01/2019, $214, 724486, $214.73, $215.48, $212.12
09/30/2019, $215.33, 907794, $213.98, $216.33, $213.845
09/27/2019, $214.27, 689629, $214.38, $215.31, $212.815
09/26/2019, $215.58, 963321, $213.8, $216.13, $213.275
09/25/2019, $212.74, 1531873, $211.38, $213.77, $211.33
09/24/2019, $211.37, 554081, $211, $212.73, $210.28
09/23/2019, $210.44, 465626, $208, $211.33, $208
09/20/2019, $209.06, 997097, $211, $211.25, $209.05
09/19/2019, $210.76, 346980, $211.83, $212.43, $210.2
09/18/2019, $211.31, 359878, $212.03, $212.36, $210.01
09/17/2019, $211.51, 470704, $210.54, $212.54, $210.43
09/16/2019, $209.9, 560982, $208.24, $210.38, $206.67
09/13/2019, $207.11, 733287, $208.65, $209.6, $205.48
09/12/2019, $209.53, 776835, $211.82, $213, $208.5
09/11/2019, $209.72, 679770, $209.74, $209.89, $207
09/10/2019, $210.25, 698217, $213, $213, $208.21
09/09/2019, $213.88, 601234, $215.53, $215.53, $213.09
09/06/2019, $215.75, 694528, $214.95, $216.5596, $214.835
09/05/2019, $214.71, 594911, $215.49, $216.24, $213.87
09/04/2019, $216.16, 720097, $215.47, $216.8, $214.75
09/03/2019, $214.09, 505169, $211.92, $214.57, $211.92
08/30/2019, $212.56, 502083, $213.12, $213.14, $211.1
08/29/2019, $211.97, 560860, $210.57, $212.22, $209.7
08/28/2019, $209.45, 382422, $208.18, $209.7, $208.08
08/27/2019, $208.08, 670479, $209.86, $210.86, $208.05
08/26/2019, $208.71, 381947, $207.17, $208.85, $206.08
08/23/2019, $206.16, 602701, $208.63, $209.985, $205.51
08/22/2019, $208.88, 347717, $208.25, $209.32, $206.96
08/21/2019, $207.95, 422047, $207.09, $208.74, $206.31
08/20/2019, $206.54, 634577, $208.26, $209.13, $206.17
08/19/2019, $207.71, 374113, $206.91, $208.48, $205.27
08/16/2019, $205.84, 544632, $205.12, $206.845, $203.83
08/15/2019, $204.42, 607577, $202.2, $204.87, $201.88
08/14/2019, $201.59, 552015, $204.01, $204.83, $201.21
08/13/2019, $204.2, 911817, $205.46, $205.46, $202.53
08/12/2019, $205.56, 452882, $205.87, $207.57, $204.887
08/09/2019, $206.01, 846995, $206.09, $207.48, $203.65
08/08/2019, $206.52, 548414, $203.97, $206.65, $202.67
08/07/2019, $204.27, 604339, $202.53, $206.15, $200.28
08/06/2019, $203.09, 689890, $200.62, $203.67, $199.465
08/05/2019, $200.62, 715976, $204.94, $206.99, $197.85
08/02/2019, $205.76, 857343, $203.63, $207.46, $203.24
08/01/2019, $203.14, 1511438, $203.74, $204.59, $199.37
07/31/2019, $208.79, 912578, $210.86, $213.56, $207.685
07/30/2019, $210.86, 767460, $209.9, $213.18, $209.9
07/29/2019, $210.44, 456914, $209.15, $211.8, $208.32
07/26/2019, $208.38, 527854, $206.98, $208.495, $206.48
07/25/2019, $206.85, 372390, $206.85, $207.22, $205.38
07/24/2019, $206.85, 333173, $207.31, $207.31, $205.65
07/23/2019, $206.84, 488942, $205.62, $207.44, $204.07
07/22/2019, $205.15, 411567, $207.08, $207.27, $204.72
07/19/2019, $206.83, 562054, $210.48, $211.06, $206.09
07/18/2019, $210.19, 355554, $210.61, $210.89, $208.36
07/17/2019, $210.97, 465859, $211.24, $212.14, $209.22
07/16/2019, $211.01, 446098, $211.29, $211.5, $209.89
07/15/2019, $211.29, 409297, $210.53, $212.54, $209.9
07/12/2019, $210.48, 410869, $211.5, $211.695, $209.71
07/11/2019, $211.4, 577344, $213.38, $213.53, $210.21
07/10/2019, $213.77, 624719, $212.72, $214.1, $211.015
07/09/2019, $211.51, 582425, $209.92, $211.82, $209.23
07/08/2019, $210.11, 509290, $207.97, $210.29, $207.935
07/05/2019, $207.87, 294677, $207.95, $208.28, $204.32
07/03/2019, $209.33, 405434, $206.45, $209.37, $206.04
07/02/2019, $205.56, 672933, $202.89, $205.71, $202.601
07/01/2019, $202.31, 513266, $204.08, $204.08, $199.28
06/28/2019, $203.18, 818258, $201.65, $203.84, $201.19
06/27/2019, $201.44, 482541, $200.71, $202.99, $200.33
06/26/2019, $201.28, 680498, $204.59, $204.59, $200.0625
06/25/2019, $204.41, 623392, $208.49, $209.25, $204.33
06/24/2019, $208.14, 488017, $208.28, $209.41, $207.07
06/21/2019, $207.8, 1434392, $211.04, $211.04, $206.27
06/20/2019, $210.47, 772385, $210.1, $211.73, $210.035
06/19/2019, $209.19, 621006, $207.56, $210.06, $207.03
06/18/2019, $208.62, 639471, $210.66, $211.75, $207.02
06/17/2019, $209.63, 672518, $208.83, $210.19, $208.83
06/14/2019, $208.09, 518666, $206.81, $208.29, $206.65
06/13/2019, $207.09, 616220, $207.19, $207.59, $205.91
06/12/2019, $207.19, 815334, $209.06, $210.57, $206.15
06/11/2019, $209.34, 527983, $209.66, $210.055, $207.39
06/10/2019, $209.36, 460640, $209.25, $209.38, $207.15
06/07/2019, $209.06, 352705, $209.39, $210.93, $208.57
06/06/2019, $208.74, 326480, $207.76, $208.91, $206.52
06/05/2019, $207.76, 461420, $203.06, $207.83, $202.15
06/04/2019, $202, 550428, $203.68, $203.97, $200.28
06/03/2019, $203.84, 632517, $203.46, $204.36, $201.96
05/31/2019, $203.01, 657629, $201.11, $204.209, $200.41
05/30/2019, $201.39, 500328, $201.4, $202.5, $200.8127
05/29/2019, $201.31, 811339, $203.2, $203.4, $200.26
05/28/2019, $202.71, 1347192, $206.21, $206.59, $202.71
05/24/2019, $205.28, 544979, $204.4, $206.01, $204.25
05/23/2019, $203.74, 517184, $202.8, $204.05, $201.66
05/22/2019, $203.31, 466613, $202.45, $203.415, $201.865
05/21/2019, $202.21, 616442, $200.71, $202.61, $200.61
05/20/2019, $200.55, 508838, $203.19, $203.19, $199.635
05/17/2019, $203.14, 470853, $201.83, $203.28, $201.35
05/16/2019, $202.76, 488351, $201.79, $203.11, $200.75
05/15/2019, $200.7, 382970, $199.89, $201.45, $199.125
05/14/2019, $199.75, 572629, $200.34, $201.57, $199.41
05/13/2019, $200.64, 406654, $199.22, $200.89, $198.88
