Date, Close/Last, Volume, Open, High, Low
03/30/2020, $240.11, 5234349, $232.2, $241.36, $228.44
03/27/2020, $230.69, 3944771, $233, $242.09, $230
03/26/2020, $243.17, 6023343, $226.03, $244.8, $226.03
03/25/2020, $217.55, 6444245, $212.19, $243.9999, $209.2201
03/24/2020, $212.76, 6296977, $205.64, $218.71, $201.2938
03/23/2020, $193.47, 4692052, $192.884, $195.97, $177.75
03/20/2020, $192.22, 7404367, $202, $208.68, $187.91
03/19/2020, $194.45, 7443821, $167.64, $207.47, $165
03/18/2020, $167.87, 9899262, $185.66, $187.48, $155.67
03/17/2020, $199.51, 7066156, $191.82, $200.01, $181.475
03/16/2020, $187.58, 7693502, $208.18, $218.8, $180.2254
03/13/2020, $234.22, 8471369, $225.505, $234.465, $201.16
03/12/2020, $218.78, 6428111, $226.99, $242.76, $216.32
03/11/2020, $245.97, 3604372, $253.88, $256.49, $242.49
03/10/2020, $262.9, 5507531, $256.59, $263.68, $243.4
03/09/2020, $247.72, 4393360, $251.08, $260.27, $244.245
03/06/2020, $269.45, 3016877, $266.98, $270.93, $262.5
03/05/2020, $274.04, 2437413, $277.26, $283.09, $272.45
03/04/2020, $285.45, 2347789, $277.54, $285.72, $274.77
03/03/2020, $274.25, 2992968, $284.65, $288.48, $271.57
03/02/2020, $284.97, 3197647, $276.76, $285.4, $271.155
02/28/2020, $272.62, 4460424, $263.33, $274.13, $262.74
02/27/2020, $273.95, 3483709, $280.3, $285.31, $273.54
02/26/2020, $285.88, 2308856, $284.35, $288.2, $284
02/25/2020, $282.68, 3189198, $294.11, $295.73, $281.07
02/24/2020, $291.6, 3684871, $294.2, $298.8, $290.06
02/21/2020, $304.5, 2453090, $308.5, $309.45, $302.29
02/20/2020, $309.24, 2552088, $313.96, $315.69, $306.12
02/19/2020, $315.69, 2052525, $313, $316.83, $311.7
02/18/2020, $310.75, 2670324, $315, $315.01, $308.05
02/14/2020, $317.77, 1913664, $324.84, $325.7, $317.1
02/13/2020, $323.97, 1385663, $321.48, $325.46, $320.95
02/12/2020, $324.7, 1531020, $322.04, $325.09, $321.63
02/11/2020, $320.16, 1552703, $316.65, $320.79, $316.01
02/10/2020, $314.2, 1921810, $312.37, $314.595, $310.3
02/07/2020, $315.23, 1588405, $318.32, $318.52, $314.865
02/06/2020, $319.69, 2268311, $318.84, $319.88, $314.23
02/05/2020, $317.38, 2482475, $317.5, $319.81, $315.86
02/04/2020, $311.6, 2255873, $311.79, $314.565, $309.655
02/03/2020, $305.23, 2128994, $305.63, $306.6, $303.64
01/31/2020, $305.16, 2212297, $314.16, $314.585, $303.622
01/30/2020, $315.2, 2112818, $314.32, $315.52, $308.59
01/29/2020, $317.51, 2367301, $320.82, $325.43, $317.14
01/28/2020, $318.31, 2316594, $313.53, $319.23, $312.7718
01/27/2020, $309.03, 3884315, $316.41, $319.88, $308.64
01/24/2020, $324, 5578152, $330.5, $331.58, $320.77
01/23/2020, $319.65, 3026645, $315.18, $319.8, $310.82
01/22/2020, $312.88, 2926382, $310.8, $317.92, $310.5
01/21/2020, $308.07, 2196869, $307.8, $309.51, $306.33
01/17/2020, $308.79, 2689804, $308.66, $308.94, $304.07
01/16/2020, $307.05, 2150771, $305, $307.86, $304.205
01/15/2020, $303.14, 2273260, $307.31, $307.88, $300.7
01/14/2020, $308.18, 2891287, $302, $309.15, $301.59
01/13/2020, $301.18, 2205420, $300.02, $303.8, $299.67
01/10/2020, $299.22, 4071143, $305.45, $305.55, $298.8
01/09/2020, $306.26, 4245089, $312.32, $312.9899, $303.05
01/08/2020, $308.74, 3207546, $312.98, $313.4907, $308.41
01/07/2020, $312.64, 1863062, $315.25, $316.5765, $312.25
01/06/2020, $313.72, 2081081, $310.845, $313.92, $309.625
01/03/2020, $314.19, 2287663, $317.51, $320, $314.08
01/02/2020, $322.39, 1966411, $319.32, $322.5, $317.3184
12/31/2019, $316.02, 1248887, $313.12, $316.36, $312.8
12/30/2019, $313.46, 1310404, $316.52, $317.33, $312.75
12/27/2019, $316.53, 1448916, $319.3, $319.35, $315.22
12/26/2019, $317.98, 1585786, $321.27, $321.74, $316.82
12/24/2019, $320.5, 702376, $320, $320.68, $319.01
12/23/2019, $319.53, 2025490, $320.54, $322.3344, $317.61
12/20/2019, $319, 5054233, $322.47, $322.47, $316.91
12/19/2019, $324.1, 3179904, $329.21, $329.255, $323.71
12/18/2019, $327.44, 3517881, $324.4, $331.2, $323.55
12/17/2019, $323.8, 2025210, $323.74, $324.95, $321.75
12/16/2019, $323.13, 3793328, $317.97, $327.5995, $317.5301
12/13/2019, $315.42, 7098711, $318.06, $319.77, $310.62
12/12/2019, $327.8, 3918733, $319.73, $330.16, $319.43
12/11/2019, $319.72, 2084755, $315.18, $321.35, $315.18
12/10/2019, $315.06, 1456678, $315.1, $315.91, $313.25
12/09/2019, $314.38, 2479303, $316, $317.15, $313.94
12/06/2019, $316.05, 1693928, $314.64, $316.34, $312.06
12/05/2019, $311.19, 1549453, $310.59, $312.459, $309.06
12/04/2019, $309.72, 1443954, $309.75, $311.37, $307.13
12/03/2019, $306.52, 1912356, $305.82, $309, $303.13
12/02/2019, $310.72, 2317709, $317.72, $317.93, $310.56
11/29/2019, $316.21, 922924, $316.85, $317.79, $315
11/27/2019, $318.44, 2018344, $317.94, $319.94, $316.47
11/26/2019, $316.27, 3080101, $319, $320.18, $316.05
11/25/2019, $319.62, 1963663, $316.61, $320.1842, $316.27
11/22/2019, $314.92, 1321643, $316.64, $319.48, $313.71
11/21/2019, $315.25, 1931735, $311.14, $315.7, $309.8
11/20/2019, $311.67, 1995247, $315.9, $316.83, $309
11/19/2019, $317.7, 3174632, $316.65, $325.67, $316.65
11/18/2019, $311.07, 1585106, $311.82, $313.41, $308.03
11/15/2019, $312.91, 1812044, $312.27, $313.06, $310.075
11/14/2019, $308.97, 1727126, $310.75, $311.8374, $306.11
11/13/2019, $313.67, 1334797, $312.48, $315.705, $312
11/12/2019, $315.53, 1688039, $314, $316.405, $313.257
11/11/2019, $312.75, 915445, $311.2, $313.24, $310.84
11/08/2019, $313.41, 1783010, $309.87, $313.6, $305.13
11/07/2019, $311.74, 2398255, $315.58, $319.5, $310.65
11/06/2019, $313.16, 1807599, $312.06, $314.28, $308.71
11/05/2019, $314.04, 3871146, $305, $316.78, $304.47
11/04/2019, $305, 3407532, $299.52, $305.46, $299.1001
11/01/2019, $296.59, 2123401, $292.99, $296.59, $292.09
10/31/2019, $292.85, 2788055, $289.8, $294.08, $287.8
10/30/2019, $290.24, 1728068, $290.01, $290.97, $286.52
10/29/2019, $288.16, 1327229, $292.28, $293.7, $288.07
10/28/2019, $291.55, 1299941, $291.16, $292.48, $288.32
10/25/2019, $289.82, 2086877, $283.26, $291.37, $283.2231
10/24/2019, $282.31, 1715972, $282.89, $283.5, $278.7
10/23/2019, $280.32, 2099789, $282.96, $283.54, $278.76
10/22/2019, $287.46, 1344039, $289.59, $290.86, $287.24
10/21/2019, $289.57, 1374668, $288.44, $291.9, $287.06
10/18/2019, $286.73, 1698053, $289.5, $289.94, $284
10/17/2019, $289.43, 1362019, $290.14, $291.715, $288.32
10/16/2019, $288.48, 2076893, $289, $290.1, $286.54
10/15/2019, $290.32, 2149904, $282.64, $290.62, $282.2
10/14/2019, $281.66, 1336895, $280.42, $282.65, $279.88
10/11/2019, $280.91, 2389088, $279.49, $284.08, $279.09
10/10/2019, $274.45, 1810886, $274.56, $278.78, $273.655
10/09/2019, $273.15, 1666927, $273.68, $274.91, $272.02
10/08/2019, $270.33, 2306738, $274.06, $274.9, $268.91
10/07/2019, $276.08, 1910303, $280.01, $281.02, $275.7
10/04/2019, $281.43, 2591666, $278.49, $281.7, $275.2
10/03/2019, $274.43, 1901869, $270, $274.5, $267.22
10/02/2019, $270.07, 2000229, $273.46, $273.8, $268.32
10/01/2019, $274.85, 1958915, $278.27, $279.65, $273.3824
09/30/2019, $276.07, 2020410, $275.79, $276.72, $272.5
09/27/2019, $274.14, 2894245, $276.63, $281.2769, $272.96
09/26/2019, $276.91, 2765225, $275.26, $278.66, $272.68
09/25/2019, $275.77, 5595904, $271.75, $277.21, $270
09/24/2019, $282.31, 2104247, $287.32, $288.9, $279.75
09/23/2019, $285.46, 1558379, $283.62, $287.16, $282.08
09/20/2019, $284.26, 3689318, $287.67, $288.4, $281.82
09/19/2019, $290.64, 1977918, $288.5, $291.945, $287.23
09/18/2019, $287.74, 1737065, $288.49, $290.755, $283.88
09/17/2019, $288.83, 2203473, $288.02, $289.3, $283.75
09/16/2019, $288.66, 2217572, $286.8, $290.27, $285.7
09/13/2019, $290.32, 6255696, $297.65, $297.99, $283.89
09/12/2019, $300.58, 3310930, $301.43, $302.33, $296.47
09/11/2019, $298.01, 1925989, $296.32, $298.78, $294.55
09/10/2019, $294.44, 2085102, $291.35, $294.45, $288.82
09/09/2019, $292.61, 2168905, $295, $297.2, $290.4
09/06/2019, $291.91, 1374758, $291.85, $293.3, $289.3
09/05/2019, $291.02, 2094058, $288.36, $293.68, $288.355
09/04/2019, $283.02, 1986835, $278.79, $284.35, $278.2
09/03/2019, $274.05, 2221028, $280, $280.85, $270.93
08/30/2019, $282.64, 1672115, $285.36, $285.9, $279.9
08/29/2019, $283.37, 1643001, $281.49, $285.49, $281.05
08/28/2019, $276.06, 1720195, $274.33, $276.41, $270.47
08/27/2019, $275.57, 1429887, $279.15, $280.22, $274.91
08/26/2019, $277.22, 1425016, $276.95, $277.95, $275
08/23/2019, $272.13, 2576280, $283.99, $285.48, $271.05
08/22/2019, $287.62, 1229940, $288.39, $289.41, $284.55
08/21/2019, $287.5, 1938488, $284.64, $288.26, $284.05
08/20/2019, $280.37, 1792071, $278.16, $284.955, $277.01
08/19/2019, $278.78, 1748910, $279.5, $280.065, $275.6125
08/16/2019, $273.78, 1820305, $272.15, $275.75, $271.98
08/15/2019, $268.64, 2014233, $272, $272.78, $264.85
08/14/2019, $271.56, 2710811, $278.79, $280.1525, $270.38
08/13/2019, $283.7, 2294124, $275.3, $285.5, $272.03
08/12/2019, $275.64, 2003969, $273.38, $278.21, $272.54
08/09/2019, $275.73, 3073462, $269.58, $280.55, $269.58
08/08/2019, $270.98, 2916338, $270.38, $272.5599, $262.5
08/07/2019, $270.05, 2224408, $264.03, $272.722, $263
08/06/2019, $266.44, 2219934, $270.13, $272.18, $264.56
08/05/2019, $267.66, 2776482, $271.95, $272.24, $264.08
08/02/2019, $278.53, 2007951, $282.07, $283.84, $275.91
08/01/2019, $285.34, 2191069, $289.13, $297.82, $282.32
07/31/2019, $289.99, 2081939, $300.03, $300.83, $286.67
07/30/2019, $299.56, 1116439, $299.09, $300.93, $297.1
07/29/2019, $301.74, 1206805, $301.23, $302.55, $296.9576
07/26/2019, $300.92, 1499559, $301.59, $303.015, $300.53
07/25/2019, $300.39, 1574066, $302.13, $302.13, $299.4
07/24/2019, $303.77, 1901044, $301.2, $304.88, $300.5
07/23/2019, $300.78, 1969162, $299.5, $302.36, $299.21
07/22/2019, $296.15, 3391297, $293, $299.99, $292.24
07/19/2019, $290, 2204995, $291.83, $293.16, $289.53
07/18/2019, $289.78, 1936983, $286.18, $290.3, $283.8
07/17/2019, $285.08, 1545297, $285.56, $287.29, $283.19
07/16/2019, $284.13, 1461752, $286.99, $287.79, $282.3914
07/15/2019, $288.34, 3033669, $291.104, $294.49, $287.27
07/12/2019, $285.39, 2197117, $276.38, $285.93, $276.38
07/11/2019, $276.06, 2071327, $275.24, $277.4523, $272.95
07/10/2019, $274.5, 3013447, $277.86, $278.8, $274
07/09/2019, $275.53, 2613246, $273.45, $275.98, $272.41
07/08/2019, $274.96, 3429056, $280, $281.1851, $274.39
07/05/2019, $282.66, 2456533, $283.65, $285.44, $281.97
07/03/2019, $284.89, 4941080, $283.7, $288.78, $283.015
07/02/2019, $295.33, 1901117, $298.88, $300.67, $293.9
07/01/2019, $300.35, 4495568, $301.68, $305.75, $296.325
06/28/2019, $287.86, 4926498, $287.86, $289.3, $284.82
06/27/2019, $285.71, 2181273, $282.93, $288.45, $282.23
06/26/2019, $281.44, 2477396, $278.58, $284.03, $278.1
06/25/2019, $276.51, 2443597, $279.16, $282.88, $276.02
06/24/2019, $279.2, 2050617, $275.52, $279.45, $275
06/21/2019, $273.99, 4539947, $276.61, $281, $273.96
06/20/2019, $279.05, 5729124, $282.51, $285.45, $277.16
06/19/2019, $277.49, 2892032, $278.78, $279.07, $273.71
06/18/2019, $278.05, 5492044, $268.15, $283.02, $266.4615
06/17/2019, $265.97, 3578549, $264.84, $268.7, $261.34
06/14/2019, $265.93, 10079720, $258.11, $268.09, $257.47
06/13/2019, $281.61, 3773457, $281.52, $282.89, $277.41
06/12/2019, $279.73, 2705712, $281.67, $283.16, $277.41
06/11/2019, $283.48, 3710648, $290.49, $291.75, $279.4126
06/10/2019, $280.21, 2327989, $276.73, $284.77, $276.72
06/07/2019, $274.87, 2596690, $274.78, $277.8744, $273.28
06/06/2019, $272.79, 3268676, $267.02, $275, $265.28
