Date, Close/Last, Volume, Open, High, Low
04/13/2020, $127.24, 764885, $129.79, $130.48, $125.41
04/09/2020, $131.75, 1177288, $126.38, $132.87, $125.6
04/08/2020, $125.35, 953026, $119.26, $126.33, $117.65
04/07/2020, $118.27, 1261413, $124, $124.95, $116.82
04/06/2020, $121.52, 1224040, $116.2, $123.3, $116.2
04/03/2020, $113.32, 1187670, $118.39, $118.8, $112.6
04/02/2020, $117.64, 945140, $111.54, $118.45, $110.95
04/01/2020, $112.8, 1355682, $115, $117.99, $110.56
03/31/2020, $119.56, 2831789, $124.92, $126.5, $117.19
03/30/2020, $126.72, 1584323, $122.86, $127.27, $121.87
03/27/2020, $120.77, 1169921, $116.77, $125.03, $115
03/26/2020, $119.32, 1634190, $108.53, $121.87, $108.53
03/25/2020, $110.45, 1756961, $103.77, $114.27, $101.352
03/24/2020, $103.95, 2167342, $100.71, $105.28, $96.63
03/23/2020, $97.07, 2781023, $100.38, $100.38, $92
03/20/2020, $100.69, 3441199, $115.12, $115.12, $98.25
03/19/2020, $115.12, 2393331, $129, $130.26, $114.06
03/18/2020, $130.08, 2661173, $129.61, $133.22, $122.63
03/17/2020, $138.5, 2364388, $121.33, $140.29, $120.5
03/16/2020, $118.81, 2367944, $115.5, $132.36, $115.35
03/13/2020, $128.29, 1667010, $121.36, $128.33, $116.535
03/12/2020, $117.97, 2493908, $122.21, $127.45, $114.28
03/11/2020, $129.67, 2157227, $135.35, $136.625, $128.28
03/10/2020, $137.71, 2185439, $138.15, $140.75, $131.3
03/09/2020, $137.19, 2322250, $133.15, $139.78, $132.65
03/06/2020, $141, 1492788, $136.01, $141.7, $134.6324
03/05/2020, $139.36, 1218411, $138.52, $140.49, $136.7
03/04/2020, $140.31, 1528742, $133.07, $140.33, $133.07
03/03/2020, $131.42, 1639241, $131.22, $134.75, $130.6
03/02/2020, $130.84, 1860395, $124.33, $130.94, $124.08
02/28/2020, $123.66, 3988848, $124.11, $125.8, $120.62
02/27/2020, $127.78, 1277804, $132.77, $134.39, $127.72
02/26/2020, $133.04, 1118590, $132.95, $134.93, $132.59
