Date, Close/Last, Volume, Open, High, Low
03/30/2020, $873.99, 265310, $834.9, $883.64, $832.92
03/27/2020, $851.63, 250972, $852.27, $882.1252, $827.5
03/26/2020, $884.99, 362739, $870.18, $895.42, $857.03
03/25/2020, $844.43, 360010, $821.36, $884.06, $805.24
03/24/2020, $808.43, 416909, $755.64, $824.99, $751.85
03/23/2020, $723.22, 435145, $711.65, $741.865, $684.91
03/20/2020, $728.13, 470234, $830.25, $831.65, $720.88
03/19/2020, $827.29, 463081, $799.47, $834.78, $730
03/18/2020, $808.5, 421641, $867, $873.7543, $756.03
03/17/2020, $913.92, 439243, $870.51, $927.02, $846.68
03/16/2020, $851.33, 435143, $910, $945.15, $840.91
03/13/2020, $1012.73, 458560, $1020.66, $1020.66, $939.635
03/12/2020, $978.19, 423007, $1040.13, $1045.8, $976.9
03/11/2020, $1089.03, 424435, $1133.47, $1133.47, $1073.13
03/10/2020, $1148.3, 612718, $1137.58, $1166.205, $1112.4
03/09/2020, $1113.69, 576663, $1013.58, $1126, $1011.77
03/06/2020, $1060.31, 375843, $1008.5, $1066.71, $1002.03
03/05/2020, $1029.87, 347867, $1037.72, $1043.25, $1006.62
03/04/2020, $1058.24, 501249, $1040, $1063.25, $1008.67
03/03/2020, $1024.71, 828122, $1003.99, $1082.3, $997.89
03/02/2020, $1046.89, 488185, $1042, $1051.29, $1013.34
02/28/2020, $1032.51, 597832, $983.09, $1037.05, $977.06
02/27/2020, $1004.98, 322691, $998.9, $1033.5, $994.5458
02/26/2020, $1014.06, 295328, $1039.54, $1045.2689, $1010.77
02/25/2020, $1032.69, 307819, $1059.73, $1063.34, $1031.38
02/24/2020, $1056.64, 333769, $1051.9, $1062.99, $1043
02/21/2020, $1068.03, 212169, $1077.17, $1082.4136, $1062.6533
02/20/2020, $1082.52, 219089, $1065.49, $1085.85, $1065.49
02/19/2020, $1066.79, 166472, $1074.91, $1077, $1066.06
02/18/2020, $1073.85, 243359, $1075, $1079.32, $1066.36
02/14/2020, $1053.21, 198731, $1068.24, $1073.58, $1047.425
02/13/2020, $1066.55, 240228, $1057.69, $1071.85, $1057.69
02/12/2020, $1063.57, 191385, $1054.64, $1066.4, $1048.09
02/11/2020, $1051.22, 164712, $1052.37, $1056.2, $1048.51
02/10/2020, $1053.72, 191563, $1061.24, $1066.65, $1052.29
02/07/2020, $1058.91, 218483, $1057.06, $1066.79, $1047.865
02/06/2020, $1062.31, 278537, $1075.26, $1081.84, $1061.69
02/05/2020, $1073.25, 302068, $1056.34, $1077.02, $1050.735
02/04/2020, $1050.21, 280348, $1058.16, $1063.96, $1042.92
02/03/2020, $1050.45, 262531, $1062.13, $1069.32, $1050.17
01/31/2020, $1057.96, 311031, $1080.92, $1094.53, $1056.11
01/30/2020, $1086.58, 326404, $1089.75, $1092.625, $1079.915
01/29/2020, $1096.51, 181309, $1108.2, $1118.23, $1096.08
01/28/2020, $1107.58, 207575, $1116.63, $1119, $1104.13
01/27/2020, $1114.49, 211958, $1123.22, $1127.66, $1112.695
01/24/2020, $1140.23, 250109, $1166.35, $1167.16, $1136.78
01/23/2020, $1166, 250323, $1151.56, $1168.3, $1149
01/22/2020, $1157.33, 227289, $1155.77, $1162.89, $1146.09
01/21/2020, $1155, 300213, $1152.1, $1165.01, $1149.36
01/17/2020, $1154.58, 309998, $1144.53, $1155.47, $1140
01/16/2020, $1142.12, 196626, $1143.94, $1147.08, $1136.345
01/15/2020, $1134.29, 186368, $1129.83, $1148.69, $1129.83
01/14/2020, $1136.6, 333016, $1125.43, $1136.965, $1115.47
01/13/2020, $1128.37, 219903, $1128.98, $1134.04, $1118.79
01/10/2020, $1132.22, 208106, $1151, $1151, $1130.54
01/09/2020, $1145.39, 205968, $1152.07, $1154.11, $1144.15
01/08/2020, $1147.49, 207991, $1141.63, $1157.42, $1137.35
01/07/2020, $1145.38, 275178, $1160.67, $1168.13, $1141.39
01/06/2020, $1165.71, 296896, $1167.01, $1177.74, $1147.14
01/03/2020, $1187.98, 188757, $1175.74, $1190.305, $1175.74
01/02/2020, $1189.74, 212177, $1194.86, $1197.58, $1179.61
12/31/2019, $1191.31, 191478, $1184.22, $1193.49, $1182.77
12/30/2019, $1183.25, 202490, $1205.83, $1205.83, $1179.51
12/27/2019, $1202.59, 140695, $1211.97, $1213.3272, $1200.23
12/26/2019, $1210.72, 146976, $1217.26, $1220.38, $1209.44
12/24/2019, $1219.31, 77224, $1213.4, $1224.09, $1213.4
12/23/2019, $1213.87, 178528, $1225.42, $1226.7362, $1213.85
12/20/2019, $1226.74, 360542, $1228.48, $1228.48, $1219.28
12/19/2019, $1219.08, 245099, $1222.16, $1225.56, $1212.47
12/18/2019, $1228.05, 236691, $1222.27, $1229.29, $1214.26
12/17/2019, $1221.83, 206290, $1232.15, $1235, $1220.1
12/16/2019, $1225.22, 290112, $1234, $1235.92, $1221.43
12/13/2019, $1235.32, 187856, $1242.34, $1242.34, $1225.46
12/12/2019, $1230.92, 301276, $1239.17, $1253.5636, $1227.69
12/11/2019, $1244.83, 381982, $1266.56, $1268.99, $1231.96
12/10/2019, $1250, 601291, $1240, $1274.4075, $1225.23
12/09/2019, $1169, 263125, $1175.65, $1186.36, $1167.4736
12/06/2019, $1172.66, 214459, $1167, $1181.78, $1166.44
12/05/2019, $1162.66, 279040, $1164.69, $1168.66, $1157.7575
12/04/2019, $1163.09, 223073, $1152.01, $1169.97, $1150.07
12/03/2019, $1152.3, 267185, $1171, $1171, $1144.567
12/02/2019, $1177.65, 170231, $1181.54, $1181.54, $1169.24
11/29/2019, $1177.92, 99213, $1184.99, $1188.18, $1176.28
11/27/2019, $1182.88, 170908, $1177.55, $1183.73, $1175.57
11/26/2019, $1177.79, 289382, $1169.13, $1181.54, $1167.745
11/25/2019, $1167.95, 137062, $1167.25, $1175.84, $1166.34
11/22/2019, $1163.87, 125683, $1159.3, $1170.98, $1157.88
11/21/2019, $1162.45, 154870, $1164.66, $1171.96, $1157.02
11/20/2019, $1159.65, 129357, $1172.8, $1172.8, $1152.01
11/19/2019, $1173.98, 172333, $1186.08, $1188.015, $1165.78
11/18/2019, $1187.65, 200846, $1172.01, $1187.92, $1166.17
11/15/2019, $1171.88, 224204, $1175.81, $1175.81, $1161.39
11/14/2019, $1174.9, 107829, $1168.59, $1176.72, $1167.01
11/13/2019, $1174.76, 179725, $1161.57, $1175.36, $1154.145
11/12/2019, $1166.97, 206657, $1161.89, $1173, $1156.165
11/11/2019, $1177.05, 151890, $1163.21, $1184.995, $1163.21
11/08/2019, $1165.86, 137498, $1166.59, $1169.44, $1155.9
11/07/2019, $1165.61, 162220, $1166.61, $1170.24, $1160.11
11/06/2019, $1161.48, 161557, $1152.18, $1163, $1144.12
11/05/2019, $1151.06, 181948, $1150.07, $1163.625, $1145.7
11/04/2019, $1150.07, 194728, $1164.51, $1167.87, $1139.29
11/01/2019, $1156.28, 186469, $1148.03, $1156.28, $1140.65
10/31/2019, $1144.38, 180200, $1143.11, $1149.99, $1136.145
10/30/2019, $1148.5, 135859, $1142.9, $1149.57, $1134.155
10/29/2019, $1145.64, 157281, $1148.05, $1152.47, $1138.86
10/28/2019, $1149.77, 195475, $1129.46, $1155.11, $1129.46
10/25/2019, $1129.47, 238296, $1122.97, $1135.08, $1120.45
10/24/2019, $1123.78, 246678, $1110, $1126.64, $1109.69
10/23/2019, $1093.48, 186857, $1100, $1102.85, $1090.775
10/22/2019, $1100.11, 141878, $1110.79, $1117.19, $1099.01
10/21/2019, $1109.92, 149846, $1112.58, $1112.58, $1098.615
10/18/2019, $1110, 158149, $1107.5, $1115, $1102.55
10/17/2019, $1105.11, 199268, $1107.69, $1116.99, $1100.875
10/16/2019, $1106.98, 164924, $1104.02, $1110.59, $1096.92
10/15/2019, $1104.44, 207297, $1087.52, $1111.2324, $1087.52
10/14/2019, $1086.64, 171092, $1083.64, $1089, $1074.92
10/11/2019, $1085.97, 153017, $1084.69, $1095.78, $1082.5
10/10/2019, $1077.23, 182966, $1060.9, $1079.23, $1060.9
10/09/2019, $1058.55, 135543, $1060.14, $1063.245, $1049.525
10/08/2019, $1049.5, 146464, $1053.38, $1060.1, $1049.28
10/07/2019, $1060.81, 186437, $1057.4, $1069, $1054.53
10/04/2019, $1060.33, 190815, $1052.6, $1060.86, $1044.15
10/03/2019, $1052.33, 219186, $1054.06, $1055.75, $1039.74
10/02/2019, $1052.86, 238689, $1078.89, $1078.89, $1049.15
10/01/2019, $1083.67, 236762, $1081.8, $1090.25, $1075.49
09/30/2019, $1084.62, 240106, $1084.39, $1093.42, $1078.5
09/27/2019, $1085.65, 259057, $1089.17, $1093.44, $1078.13
09/26/2019, $1085.69, 254288, $1091.45, $1094.76, $1070.31
09/25/2019, $1093.06, 317631, $1096.82, $1100.116, $1082.04
09/24/2019, $1096.63, 675885, $1160, $1164.85, $1082.11
09/23/2019, $1147.26, 310859, $1160.94, $1167.3, $1147.26
09/20/2019, $1159.37, 282484, $1172.5, $1174.95, $1157.01
09/19/2019, $1157.79, 261585, $1168.06, $1180.49, $1155.78
09/18/2019, $1162.53, 208462, $1157.6, $1168.68, $1156
09/17/2019, $1156, 209655, $1136.17, $1162.09, $1130.67
09/16/2019, $1130.66, 180995, $1147.07, $1150.62, $1126.92
09/13/2019, $1149.26, 207150, $1131.75, $1150.8, $1129.4505
09/12/2019, $1129.07, 372323, $1157.7, $1164.42, $1126.17
09/11/2019, $1156.92, 294446, $1155.22, $1163.89, $1135.15
09/10/2019, $1152.55, 284690, $1126.68, $1154.89, $1116.91
09/09/2019, $1127.19, 408082, $1148.92, $1156.92, $1122.84
09/06/2019, $1143.34, 206214, $1141.65, $1154.33, $1137.7
09/05/2019, $1134.54, 203680, $1128.01, $1144.52, $1128.01
09/04/2019, $1122.72, 204393, $1112.23, $1125.09, $1100.825
09/03/2019, $1102.83, 175792, $1097.97, $1107.33, $1087.57
08/30/2019, $1101.69, 298345, $1123.84, $1124.49, $1095.57
08/29/2019, $1113.71, 240008, $1102.81, $1122.285, $1101.67
08/28/2019, $1097.69, 339683, $1064, $1105.46, $1060.5
08/27/2019, $1064.79, 317783, $1071.48, $1078.84, $1061.47
08/26/2019, $1066.96, 164524, $1072.1, $1073.31, $1059.92
08/23/2019, $1065.28, 301807, $1079.44, $1088.25, $1062.19
08/22/2019, $1081.55, 205308, $1086.04, $1092.92, $1074.32
08/21/2019, $1087.97, 249885, $1099.28, $1102.31, $1084.76
08/20/2019, $1091.11, 213139, $1099.35, $1109.65, $1090.78
08/19/2019, $1095.5, 218333, $1099.71, $1105.94, $1088.34
08/16/2019, $1091.74, 262081, $1086.22, $1097.31, $1080
08/15/2019, $1083.54, 375875, $1062.48, $1087.62, $1053.45
08/14/2019, $1059.68, 386348, $1070.06, $1075.32, $1058.91
08/13/2019, $1081.28, 433830, $1050, $1085.64, $1032.6
08/12/2019, $1072.66, 275113, $1085.46, $1085.76, $1065.35
08/09/2019, $1088.66, 204140, $1087.13, $1107.99, $1084.37
08/08/2019, $1088.17, 198874, $1077.66, $1094.56, $1077.66
08/07/2019, $1074.77, 196616, $1076.8, $1078.5, $1057.055
08/06/2019, $1082.26, 232680, $1062.59, $1084.87, $1054.46
08/05/2019, $1062.92, 391485, $1082.35, $1084.61, $1054.62
08/02/2019, $1096.12, 250665, $1097.34, $1101.81, $1086.83
08/01/2019, $1102.82, 328125, $1124.17, $1124.435, $1094.54
07/31/2019, $1123.04, 275052, $1142.42, $1142.43, $1108.33
07/30/2019, $1144.2, 171856, $1146.78, $1147.505, $1139.59
07/29/2019, $1148.82, 191944, $1143.14, $1150.98, $1139.72
07/26/2019, $1146.18, 233883, $1146, $1149.91, $1142.49
07/25/2019, $1146.21, 311776, $1167.44, $1171.91, $1142.11
07/24/2019, $1172.94, 162407, $1171.3, $1175.09, $1162.34
07/23/2019, $1171.31, 180149, $1175.29, $1176.4, $1157.03
07/22/2019, $1175.16, 177374, $1172.48, $1179.3, $1166.13
07/19/2019, $1172.25, 205698, $1166.27, $1181.02, $1161.73
07/18/2019, $1162.85, 321572, $1152, $1163.1299, $1123.135
07/17/2019, $1160, 221107, $1182.62, $1182.62, $1158.55
07/16/2019, $1180, 201492, $1179.61, $1186.6, $1169.67
07/15/2019, $1178.38, 179698, $1169.33, $1179.91, $1163.72
07/12/2019, $1164.71, 142767, $1147.18, $1166.9, $1147.18
07/11/2019, $1148.91, 190460, $1148.97, $1154.61, $1144.29
07/10/2019, $1148.47, 155769, $1147.12, $1152.899, $1139.735
07/09/2019, $1143.09, 181010, $1143.38, $1155.07, $1139.85
07/08/2019, $1144.22, 163512, $1131.79, $1145.51, $1129.58
07/05/2019, $1130.31, 129755, $1129.65, $1136.05, $1124.055
07/03/2019, $1130.38, 107505, $1119.71, $1135.34, $1116.66
07/02/2019, $1115.48, 175293, $1102.79, $1117.41, $1100.14
07/01/2019, $1098.79, 200928, $1109, $1116.83, $1091.82
06/28/2019, $1099.47, 360702, $1094.93, $1102.29, $1085.23
06/27/2019, $1084.08, 204745, $1090.67, $1092.5, $1077.36
06/26/2019, $1086.6, 244304, $1096.1, $1099.81, $1079.005
06/25/2019, $1097.83, 261848, $1109.18, $1109.4, $1096.36
06/24/2019, $1110.95, 220302, $1121.99, $1121.99, $1103.21
06/21/2019, $1118.47, 267411, $1125.98, $1125.98, $1110.26
06/20/2019, $1128.2, 219152, $1124.98, $1135.39, $1113.4
06/19/2019, $1122.65, 276476, $1124.13, $1132.98, $1105.725
06/18/2019, $1126, 279480, $1128.55, $1135.23, $1123.87
06/17/2019, $1124.36, 213491, $1124.04, $1127.58, $1119.13
06/14/2019, $1119.87, 192484, $1116.53, $1121.37, $1108.06
06/13/2019, $1113.95, 200125, $1115.53, $1120, $1107.46
06/12/2019, $1106.77, 213267, $1095.9, $1109.02, $1090.28
06/11/2019, $1095.39, 279749, $1114.23, $1119, $1092.97
06/10/2019, $1111.23, 188124, $1105.05, $1119.76, $1096.73
06/07/2019, $1099.14, 333735, $1094.57, $1111.11, $1094.57
06/06/2019, $1090.54, 345932, $1074.1, $1094.99, $1058.04
06/05/2019, $1068.89, 307722, $1045.1, $1069.04, $1041.945
06/04/2019, $1036.27, 296031, $1044.31, $1049.99, $1031.39
06/03/2019, $1037.65, 357183, $1027.12, $1050.45, $1027.12
05/31/2019, $1027.11, 498828, $1030.5, $1033.0375, $1010.01
05/30/2019, $1045.29, 204921, $1032.96, $1047.465, $1031.3
05/29/2019, $1027.54, 356970, $1042.92, $1045.34, $1021.52
05/28/2019, $1051.14, 521526, $1055.25, $1081.58, $1049.48
05/24/2019, $1052.19, 375861, $1039.07, $1055.98, $1036.72
05/23/2019, $1034.82, 284961, $1037.22, $1037.22, $1020.25
05/22/2019, $1043.93, 318034, $1021.4, $1047.19, $1021
05/21/2019, $1032.25, 697685, $1007, $1037.52, $980.7229
05/20/2019, $977.83, 427332, $984.38, $991.52, $974.665
05/17/2019, $984.09, 279644, $976.37, $993.18, $976.37
05/16/2019, $981.34, 274629, $979.11, $992.72, $970.34
05/15/2019, $978.36, 203600, $987.37, $988.7, $975.59
05/14/2019, $989.8, 274547, $985.24, $992.805, $979.7
05/13/2019, $982.56, 269182, $990.15, $993.53, $980.62
05/10/2019, $1000.59, 250314, $1000.03, $1005.55, $984.0528
05/09/2019, $1004.48, 238835, $1000.48, $1008.1, $994.42
05/08/2019, $1005.6, 231028, $1015.69, $1019.47, $1001.01
05/07/2019, $1015.36, 233665, $1030.09, $1033.64, $1010.3
05/06/2019, $1030.64, 228040, $1023.99, $1038.99, $1018.43
05/03/2019, $1033.38, 253862, $1043, $1048.94, $1026.01
05/02/2019, $1038.31, 195497, $1024.92, $1039.43, $1024.29
05/01/2019, $1023.9, 236961, $1029.71, $1045.89, $1023.07
04/30/2019, $1028.31, 255121, $1019.94, $1030.45, $1015.46
04/29/2019, $1022.5, 198278, $1032.78, $1035.855, $1021.65
04/26/2019, $1033.55, 278458, $1023.29, $1043.23, $1023.29
04/25/2019, $1042.35, 370163, $1034.96, $1046.62, $1023.08
04/24/2019, $1042.6, 206736, $1048.66, $1056.94, $1040.63
04/23/2019, $1047.76, 308426, $1035.48, $1060.76, $1032.09
04/22/2019, $1035.2, 234114, $1045, $1047.11, $1035
04/18/2019, $1045.05, 268835, $1048.93, $1050.27, $1032.065
04/17/2019, $1051.37, 230671, $1067, $1069.47, $1040.5021
04/16/2019, $1061.59, 245914, $1069.34, $1069.955, $1057.96
04/15/2019, $1064.59, 324052, $1064.31, $1074.67, $1057.33
04/12/2019, $1060.3, 247449, $1069.85, $1072.22, $1055.02
04/11/2019, $1068.57, 261432, $1063.67, $1070.92, $1058.73
04/10/2019, $1060.17, 324925, $1046.88, $1062.52, $1042.32
04/09/2019, $1040.4, 276688, $1050, $1054.41, $1037.66
04/08/2019, $1052.54, 290106, $1048.16, $1058.31, $1044
04/05/2019, $1048.52, 251975, $1045, $1049.73, $1037.27
04/04/2019, $1040.69, 219153, $1044.47, $1048.8706, $1033.95
04/03/2019, $1045.53, 187071, $1046.56, $1049.5799, $1041.84
04/02/2019, $1041.98, 202711, $1032, $1044.38, $1029.79
04/01/2019, $1029.71, 329834, $1039.33, $1048.53, $1018.22
03/29/2019, $1024.12, 322018, $1010.14, $1028.1, $1005.02
03/28/2019, $1005.17, 239778, $1004.91, $1011.4599, $1003.65
03/27/2019, $1003.2, 270607, $996.42, $1007.58, $989.5332
03/26/2019, $997.31, 262281, $999.31, $1004.6209, $987.28
03/25/2019, $995.86, 197090, $982.47, $1002, $982.47
03/22/2019, $981.27, 298757, $999.97, $1015.78, $979.25
03/21/2019, $1001.09, 292434, $984.5, $1003.74, $983.46
03/20/2019, $980.98, 323647, $976.09, $982.98, $970.8
03/19/2019, $978.99, 313066, $980, $988.24, $976.38
03/18/2019, $975.59, 418941, $961.84, $984.725, $961.84
03/15/2019, $962.23, 359105, $950.71, $962.46, $943.87
03/14/2019, $950.22, 375098, $943.7, $952.71, $938.285
03/13/2019, $940.58, 300430, $936.58, $942.73, $932.91
03/12/2019, $934.61, 249690, $942.82, $942.82, $924.25
03/11/2019, $940.03, 288341, $948.11, $948.6952, $937.66
03/08/2019, $934.73, 252044, $939.12, $942, $929.335
03/07/2019, $940.55, 445882, $933.91, $943.62, $932.13
03/06/2019, $935.35, 298977, $944.22, $952.99, $934.78
03/05/2019, $939.83, 286273, $935, $948, $930.42
03/04/2019, $932.95, 298271, $934.41, $939, $916.85
03/01/2019, $929.32, 465676, $945.39, $946, $919.58
02/28/2019, $938.97, 667868, $910.16, $938.97, $910.16
02/27/2019, $911.93, 430626, $900, $925.85, $900
02/26/2019, $935, 781344, $959.89, $964.39, $932.39
02/25/2019, $889.6, 364288, $913.4, $914.83, $886.95
02/22/2019, $911.66, 240049, $910.65, $914.24, $901.04
02/21/2019, $906.33, 244553, $921.96, $921.96, $905.39
02/20/2019, $921.14, 270263, $917, $925, $908.92
02/19/2019, $916.68, 293170, $920, $926.75, $910.01
02/15/2019, $919.75, 293014, $910.83, $922.28, $909
02/14/2019, $904.96, 381986, $888.04, $908.77, $885.51
02/13/2019, $891.36, 289517, $890.44, $894.545, $882.87
02/12/2019, $890.9, 362748, $888.55, $899.99, $887.92
02/11/2019, $887.91, 276707, $875.38, $888.87, $871.33
02/08/2019, $874.08, 278804, $873.16, $889.88, $868.75
02/07/2019, $878.77, 316141, $874.88, $879.95, $860
02/06/2019, $868.08, 238785, $870.86, $873.98, $863.975
02/05/2019, $869.42, 281378, $873.74, $878.02, $863.59
02/04/2019, $869.44, 242743, $852.3, $869.913, $848.39
02/01/2019, $849.91, 253943, $848, $854.47, $838.525
01/31/2019, $847.34, 494697, $844.67, $848.44, $832.62
01/30/2019, $843.17, 228597, $828.92, $847.132, $828.86
01/29/2019, $830.66, 258301, $818.94, $831.9, $814.495
01/28/2019, $819.01, 273760, $812.09, $821.41, $803.28
01/25/2019, $814.64, 319713, $818.39, $822.05, $805.74
01/24/2019, $814.79, 341495, $831.75, $836.79, $811.03
01/23/2019, $834.55, 252342, $832.49, $838.24, $824.52
01/22/2019, $829.2, 344939, $843.99, $848.28, $824.53
01/18/2019, $844.32, 299691, $844.74, $855.45, $834.83
01/17/2019, $842.31, 245851, $832.58, $848.995, $830.46
01/16/2019, $832.96, 297351, $831.74, $835.07, $819.85
01/15/2019, $829.58, 287195, $826.51, $831.36, $819.5
01/14/2019, $826.98, 356906, $823.02, $829.37, $813.27
01/11/2019, $822.88, 296938, $822.84, $829.035, $817.195
01/10/2019, $827.34, 305895, $815.01, $828.55, $811
01/09/2019, $820.36, 323900, $817.61, $832.62, $813.725
01/08/2019, $811.37, 472664, $830, $830, $798.41
01/07/2019, $822.32, 495426, $834.68, $835.63, $816.505
01/04/2019, $835.63, 383844, $851.39, $856.7, $832.615
01/03/2019, $845.58, 360317, $838.93, $850.86, $834.29
01/02/2019, $838.48, 333375, $831.67, $844.56, $829.01
12/31/2018, $838.34, 258273, $844.19, $847.06, $825.695
12/28/2018, $839.01, 257523, $847.58, $856, $835.32
12/27/2018, $843.04, 252375, $831.75, $843.04, $818.83
12/26/2018, $839.06, 302132, $823.3, $839.37, $820.55
12/24/2018, $822.82, 163327, $826, $833.52, $817.73
12/21/2018, $826.04, 691645, $817.95, $837.67, $803.85
12/20/2018, $826.22, 577726, $830.97, $833.18, $817.7
12/19/2018, $835.87, 411626, $857, $865.53, $831.65
12/18/2018, $857.24, 337818, $865.13, $868.49, $853.01
12/17/2018, $854.18, 461618, $866.71, $870.98, $840.7
12/14/2018, $871.24, 369397, $885.83, $893.515, $868.04
12/13/2018, $883.48, 254727, $886.2, $895.71, $877.8
12/12/2018, $889.34, 325777, $882.01, $895.885, $877.51
12/11/2018, $878.34, 279488, $888.76, $896.03, $873.17
12/10/2018, $885.87, 374655, $874.07, $890.33, $864.44
12/07/2018, $870.16, 394567, $866.87, $881, $861
12/06/2018, $868.68, 592208, $865.47, $877.94, $852.11
12/04/2018, $880.07, 932704, $867.1, $894.37, $854.5
12/03/2018, $824.46, 530435, $814.05, $829.71, $807.055
11/30/2018, $809.07, 602896, $827.09, $827.09, $804.57
11/29/2018, $825.83, 275078, $835.53, $836.74, $824.02
11/28/2018, $833.7, 349925, $835.38, $840.65, $826.6
11/27/2018, $835.23, 268734, $820, $837.16, $819.98
11/26/2018, $820, 429221, $835.4, $842.0996, $818.36
