Date, Close/Last, Volume, Open, High, Low
03/30/2020, $22.04, 80449110, $21.65, $22.35, $21.27
03/27/2020, $21.6, 91522850, $21.68, $22.2, $21.1
03/26/2020, $22.72, 116271100, $21.31, $22.95, $21.17
03/25/2020, $21.1, 146991300, $21.71, $22.1, $20.4089
03/24/2020, $21.03, 147882400, $19.42, $21.15, $19.01
03/23/2020, $18.08, 181898500, $19.26, $19.67, $17.95
03/20/2020, $19.67, 150910400, $21.76, $21.84, $19.56
03/19/2020, $21.2, 122461300, $20.26, $21.75, $19
03/18/2020, $20.79, 148272500, $20.27, $20.97, $19.7
03/17/2020, $21.98, 120065700, $21.06, $22.685, $20.03
03/16/2020, $20.44, 121688800, $19.85, $21.727, $19.58
03/13/2020, $24.16, 128357400, $22.19, $24.25, $21.48
03/12/2020, $20.51, 139552600, $20.59, $22.87, $20.15
03/11/2020, $22.67, 127543800, $22.84, $23.96, $22.26
03/10/2020, $23.61, 134863600, $23.25, $23.675, $21.585
03/09/2020, $21.93, 145196000, $22.23, $23.49, $21.51
03/06/2020, $25.71, 119121200, $25.47, $26.21, $25.1
03/05/2020, $26.78, 110878700, $27.24, $27.35, $26.4
03/04/2020, $28.39, 111239800, $28.25, $28.42, $27.395
03/03/2020, $27.75, 138698500, $29.37, $29.745, $27.62
03/02/2020, $29.37, 147776300, $28.35, $29.38, $27.44
02/28/2020, $28.5, 171263600, $28, $28.75, $27.7
02/27/2020, $29.13, 121148300, $29.55, $30.3, $28.91
02/26/2020, $30.63, 80065690, $31.39, $31.6, $30.56
02/25/2020, $31.08, 91586820, $32.69, $32.76, $30.84
02/24/2020, $32.73, 79159580, $33.18, $33.21, $32.52
02/21/2020, $34.36, 46675460, $34.53, $34.635, $34.135
02/20/2020, $34.85, 42604080, $34.46, $35.08, $34.46
02/19/2020, $34.72, 29632110, $34.45, $34.85, $34.41
02/18/2020, $34.27, 40327240, $34.77, $34.83, $34.01
02/14/2020, $34.85, 26447710, $34.88, $34.96, $34.7
02/13/2020, $34.91, 31775120, $34.76, $35.03, $34.55
02/12/2020, $34.92, 36656690, $35.08, $35.45, $34.785
02/11/2020, $34.77, 32476330, $34.85, $35.04, $34.76
02/10/2020, $34.69, 24373790, $34.44, $34.69, $34.38
02/07/2020, $34.61, 31263030, $34.32, $34.655, $34.245
02/06/2020, $34.67, 39511500, $34.94, $35.01, $34.6
