Date, Close/Last, Volume, Open, High, Low
04/13/2020, $86, 2498313, $85.61, $86.6, $84.57
04/09/2020, $86.89, 3891177, $84.43, $87.8, $83.5
04/08/2020, $84.48, 2951502, $83.1, $85.18, $82.155
04/07/2020, $82.51, 2792987, $86.74, $87, $82.48
04/06/2020, $84.93, 2874052, $84.04, $85.43, $82.79
04/03/2020, $81.42, 3271170, $81.43, $82.69, $80.2
04/02/2020, $82.22, 3161139, $78.35, $82.361, $77.98
04/01/2020, $78.66, 3017812, $78.77, $80.85, $77.82
03/31/2020, $81.19, 2767713, $81.66, $84.355, $80.755
03/30/2020, $82.19, 2371219, $80.87, $82.985, $80.31
03/27/2020, $79.79, 4446268, $78, $80.67, $76.37
03/26/2020, $80.17, 4465717, $74.43, $80.74, $73.91
03/25/2020, $73.57, 5993799, $72.78, $74.86, $72.21
03/24/2020, $73.91, 4685491, $73.07, $75.73, $72.1
03/23/2020, $71.81, 4664013, $74.85, $75.09, $69.69
03/20/2020, $75.75, 6097484, $76.85, $78.74, $74.04
03/19/2020, $78.17, 6492212, $85.18, $85.2, $77.16
03/18/2020, $84.59, 7524253, $76.2, $85.22, $75.95
03/17/2020, $80.51, 5921725, $73.36, $81.28, $72.8795
03/16/2020, $71.57, 4351916, $72.66, $77.14, $69.1
03/13/2020, $80.99, 5774162, $78.55, $81.32, $73.59
03/12/2020, $75.47, 6982509, $73.1, $77.26, $71.28
03/11/2020, $77.97, 3685420, $80.92, $81.9, $76.38
03/10/2020, $82.98, 3490474, $80.51, $83.31, $78.7319
03/09/2020, $78.4, 4109051, $80.65, $81.73, $78.1
03/06/2020, $85.38, 3442818, $85.09, $86.19, $82.95
03/05/2020, $87.65, 3821839, $89.04, $89.94, $86.42
03/04/2020, $91.06, 4342596, $87.26, $91.14, $87.09
03/03/2020, $85.91, 3240754, $86.92, $88.98, $84.56
03/02/2020, $87.18, 3370530, $83.37, $87.234, $82.9
02/28/2020, $83.47, 4659608, $81.81, $83.59, $80.59
02/27/2020, $84.27, 3004349, $85.25, $87.02, $84.23
02/26/2020, $87.03, 3126905, $87.79, $88.7, $86.88
02/25/2020, $86.99, 2620356, $89.82, $90.23, $86.2
02/24/2020, $89.53, 2380637, $90.77, $91.33, $89.19
02/21/2020, $92.67, 1529456, $92.67, $93.16, $92.24
02/20/2020, $93.06, 1778209, $93.1, $93.5, $92.41
02/19/2020, $93.16, 1616311, $92.36, $93.57, $92.21
02/18/2020, $92.22, 1820615, $92.59, $92.65, $91.04
02/14/2020, $93.14, 1740189, $92.9, $93.43, $91.9
02/13/2020, $92.57, 2146496, $91.36, $92.89, $90.99
02/12/2020, $91.43, 1590927, $91.86, $92.19, $91.1061
02/11/2020, $91.85, 1706516, $91.83, $92.3, $91.42
02/10/2020, $91.28, 2597683, $90.7, $91.39, $90.245
02/07/2020, $91.25, 2306038, $92.71, $92.96, $91.18
02/06/2020, $93.3, 3888352, $93.9, $95, $92.75
02/05/2020, $91.31, 3184991, $91.33, $91.65, $90.45
02/04/2020, $90.87, 2213329, $90.66, $91.62, $90.07
02/03/2020, $89.69, 1498465, $89.98, $90.64, $89.65
01/31/2020, $89.22, 1796691, $90.28, $90.32, $89.05
01/30/2020, $90.64, 1608469, $89.85, $90.7, $89.27
01/29/2020, $90.5, 1548201, $90.71, $91.17, $90.48
01/28/2020, $90.55, 1952233, $90.7, $90.94, $90.26
01/27/2020, $90.53, 2222430, $89.68, $90.96, $89.12
01/24/2020, $90.78, 1610778, $91.24, $91.47, $90.51
01/23/2020, $91.1, 2129415, $91.03, $91.43, $90.53
01/22/2020, $91.16, 2815351, $91.61, $91.86, $90.58
01/21/2020, $91.07, 4284864, $89.52, $91.865, $89.31
01/17/2020, $89.73, 4474921, $89.84, $89.93, $89.21
01/16/2020, $89.99, 2243904, $90, $90, $89.32
01/15/2020, $89.56, 2561016, $89.2, $89.95, $88.69
01/14/2020, $89.21, 3836286, $88.76, $89.27, $87.89
01/13/2020, $89.37, 5007745, $87.47, $90.3, $87.1
01/10/2020, $85.9, 3118879, $86.97, $87.05, $85.65
01/09/2020, $86.54, 2098938, $86.61, $87.08, $85.86
01/08/2020, $86.73, 3576601, $85.61, $86.99, $85.54
01/07/2020, $85.49, 4803158, $84.71, $85.93, $84.6996
01/06/2020, $85.29, 3501721, $85.3, $85.59, $84.15
01/03/2020, $85.5, 1871712, $84.48, $85.76, $84.39
01/02/2020, $85.87, 2957832, $85, $85.87, $84.18
12/31/2019, $83.62, 1292679, $83.38, $83.66, $83.15
12/30/2019, $83.43, 866292, $84.1, $84.2201, $83.07
12/27/2019, $84.05, 798061, $84.57, $84.57, $83.93
12/26/2019, $84.33, 838579, $84.85, $84.91, $83.86
12/24/2019, $84.69, 628567, $84.52, $84.78, $84.15
12/23/2019, $84.52, 2201576, $82.79, $84.66, $82.5
12/20/2019, $82.49, 3904880, $82.5, $82.97, $82.245
12/19/2019, $82.22, 2814877, $83.61, $83.68, $82.1
12/18/2019, $83.66, 3911317, $83.33, $83.76, $82.99
12/17/2019, $83.25, 3486017, $82.68, $83.27, $81.28
12/16/2019, $83.86, 2870197, $84.52, $84.69, $83.68
12/13/2019, $83.96, 1836636, $83.64, $84.04, $83.18
12/12/2019, $83.51, 2319613, $83.15, $83.81, $82.74
12/11/2019, $83.01, 2939158, $82.45, $83.13, $82.06
12/10/2019, $82.29, 3200494, $80.82, $82.51, $80.63
