Date, Close/Last, Volume, Open, High, Low
04/13/2020, $248.06, 1308978, $245.52, $248.84, $241.595
04/09/2020, $247.45, 2389842, $250, $250.58, $243.53
04/08/2020, $250, 2504362, $239.15, $251.71, $235.32
04/07/2020, $237.55, 2351975, $240, $243, $235.06
04/06/2020, $237.69, 2254331, $231.09, $239.18, $229.425
04/03/2020, $226.73, 1263705, $231.01, $232.86, $222.79
04/02/2020, $233.28, 1557462, $225.06, $233.61, $224.42
04/01/2020, $225.4, 2003239, $221.71, $229.77, $220
03/31/2020, $229.77, 2698755, $222.06, $231.05, $219
03/30/2020, $222.87, 1925918, $220.05, $223.71, $217.33
03/27/2020, $216.58, 2251523, $212.57, $221.51, $211.44
03/26/2020, $219.35, 2664864, $204.8, $219.55, $204.37
03/25/2020, $203.6, 3489286, $205.54, $209.27, $199.15
03/24/2020, $202.85, 3490633, $209.41, $211.77, $199.5
03/23/2020, $200.58, 4464382, $219.26, $223.39, $197.75
03/20/2020, $220.12, 3699647, $217.81, $224.72, $216.22
03/19/2020, $220.96, 2641842, $236.5, $237.655, $220.56
03/18/2020, $234.72, 3687975, $239.1, $251.97, $228
03/17/2020, $248.52, 3872919, $230.54, $248.94, $223.34
03/16/2020, $223.14, 2908621, $216, $234.54, $208.65
03/13/2020, $236.5, 3459320, $227.99, $239.02, $216.09
03/12/2020, $220.57, 3731536, $223.3, $234.88, $220.54
03/11/2020, $231.91, 1983197, $231.17, $234.4, $229.16
03/10/2020, $237.31, 2627647, $236.77, $239.12, $229.931
03/09/2020, $230.78, 2589771, $225.55, $234.66, $223
03/06/2020, $239.12, 4223955, $237.4, $239.89, $230.59
03/05/2020, $244.14, 2274659, $241.64, $244.82, $239.77
03/04/2020, $247.11, 1954917, $244.3, $247.88, $243.2
03/03/2020, $239.5, 1948620, $245.84, $249.36, $235.3505
03/02/2020, $245.32, 2234243, $237.84, $245.32, $234.05
02/28/2020, $237.82, 3588387, $237.01, $238.89, $231.62
02/27/2020, $242.69, 2637558, $244.62, $250.41, $242.41
02/26/2020, $246.15, 2056019, $247.35, $249.82, $245.11
02/25/2020, $245.43, 2223517, $251.31, $252.2, $243.15
02/24/2020, $250.53, 1637869, $250.62, $252.86, $249.31
02/21/2020, $257.35, 1867706, $252.56, $258.79, $252.38
02/20/2020, $253.46, 1131959, $255.31, $257.75, $252.03
02/19/2020, $256.07, 1540229, $257.2, $258.41, $255.62
02/18/2020, $256, 1842135, $260.75, $261.79, $255.67
02/14/2020, $260.22, 2320526, $255.03, $260.3399, $253.6252
02/13/2020, $254.35, 1897088, $252.06, $256.44, $250.86
02/12/2020, $252.23, 2383449, $256.76, $257.38, $250.07
02/11/2020, $256.41, 2605004, $253.66, $259.2537, $253.08
02/10/2020, $252, 2603914, $247.22, $252.8599, $246.54
02/07/2020, $246.91, 3712590, $251.6, $251.72, $246.48
02/06/2020, $252.25, 10053870, $253, $262.7, $241.75
02/05/2020, $285.99, 1402108, $286.33, $286.72, $283.55
02/04/2020, $284.45, 1268598, $283.28, $286.41, $282.4901
02/03/2020, $279.31, 1782125, $277.23, $281.75, $276.86
01/31/2020, $275.18, 1736446, $279.54, $280.9772, $274.49
01/30/2020, $281.15, 1372061, $280, $282.01, $279.55
01/29/2020, $282.2, 927607, $283.05, $283.945, $281.39
