Date, Close/Last, Volume, Open, High, Low
04/13/2020, $322.94, 2083845, $318.01, $325.11, $316.79
04/09/2020, $321.05, 1480276, $315.1, $322.45, $314.01
04/08/2020, $316.95, 1932343, $305.25, $319.39, $301.01
04/07/2020, $301.21, 2457796, $314.94, $319.6, $299.61
04/06/2020, $311.39, 3181488, $308.49, $314.14, $300.6
04/03/2020, $300.51, 1422849, $303.7, $311.525, $296.805
04/02/2020, $304.47, 3286691, $290.1, $307.15, $290
04/01/2020, $293.27, 2177809, $308.81, $313.462, $290.35
03/31/2020, $316.38, 2869284, $313.48, $319.94, $309.2
03/30/2020, $316.13, 1747331, $300, $321.41, $298.08
03/27/2020, $296.75, 1653113, $297, $307.14, $294.25
03/26/2020, $304.94, 2270494, $284.74, $306.77, $284.505
03/25/2020, $284.98, 2678911, $274.73, $300.84, $268.13
03/24/2020, $276.19, 3464065, $278.89, $283.26, $269.98
03/23/2020, $269.19, 2695449, $283.35, $288.055, $262.25
03/20/2020, $278.77, 2730104, $288.02, $301.88, $277.81
03/19/2020, $288.02, 2470019, $293.15, $297.48, $283.28
03/18/2020, $298.68, 2767265, $293.71, $306.74, $277.51
03/17/2020, $305.32, 2626160, $285.33, $314.65, $284.135
03/16/2020, $281.72, 3862648, $281.86, $309.35, $273.59
03/13/2020, $305.21, 3641090, $279.14, $306, $276.24
03/12/2020, $268.88, 2901039, $280, $285.42, $266.01
03/11/2020, $294.25, 1879300, $295.99, $303.36, $291.96
03/10/2020, $305.63, 2378951, $304.49, $308.775, $289.585
03/09/2020, $297.19, 2149461, $301, $306.97, $293.7604
03/06/2020, $317.95, 1513179, $308.27, $319.18, $306.17
03/05/2020, $317.7, 1470424, $319.73, $326.45, $315
03/04/2020, $328.45, 1752361, $319.29, $328.45, $316.41
03/03/2020, $315.78, 2036116, $320.28, $333, $311.87
03/02/2020, $327.89, 2364903, $308.64, $328.23, $307.83
02/28/2020, $308.39, 2396721, $300.23, $310.54, $299.001
02/27/2020, $310.08, 2221502, $324.72, $325.55, $309.63
02/26/2020, $327.45, 1411869, $326.98, $330.93, $323.61
02/25/2020, $324.11, 1831162, $327.2, $330.61, $322.7
02/24/2020, $325.98, 1732708, $331.5, $336, $325.42
02/21/2020, $336.71, 923304, $336.97, $337.82, $334.6
02/20/2020, $336.64, 1497864, $342.18, $343, $332.5
02/19/2020, $341.04, 1488496, $338, $341.77, $335.42
02/18/2020, $337.1, 1515642, $343.66, $344, $334.09
02/14/2020, $333, 1023247, $334, $335.4, $331.83
02/13/2020, $334.25, 1307289, $329.2, $338.875, $329
02/12/2020, $331.76, 1603271, $331.66, $334.71, $329.04
02/11/2020, $332.29, 1806294, $338.06, $340.05, $329.72
02/10/2020, $338.93, 1867026, $332, $339.56, $330.24
02/07/2020, $338.7, 2209373, $335.39, $340.32, $331.66
02/06/2020, $337.24, 3613625, $338.39, $348.66, $333.5
02/05/2020, $332.87, 10159160, $285.63, $374.99, $279.175
02/04/2020, $283.29, 1684515, $276.4, $285.6, $275.94
02/03/2020, $272.73, 1257840, $270.61, $275.3, $269.76
01/31/2020, $268.85, 1701673, $276.08, $276.28, $267.59
01/30/2020, $277.53, 1601196, $288.12, $288.12, $276.14
01/29/2020, $282.52, 1167396, $282.05, $283.38, $279.66
01/28/2020, $281.95, 1136569, $283.96, $284.285, $280.72
01/27/2020, $281.14, 1405659, $278.14, $282.335, $276.235
01/24/2020, $278.14, 1260633, $284.21, $284.99, $277.32
01/23/2020, $284.21, 1936176, $287.23, $288.08, $281.21
01/22/2020, $288.1, 1571001, $288.17, $290.845, $287.6
01/21/2020, $287.19, 2253524, $286.54, $287.84, $282.756
01/17/2020, $285.5, 1765147, $287.32, $288, $284.9
01/16/2020, $286.14, 2800044, $294.49, $294.8, $284.24
01/15/2020, $293.09, 1976036, $298.94, $300.37, $292.41
01/14/2020, $298.97, 2112700, $294.1, $306.35, $291.27
01/13/2020, $293.9, 1401120, $294.81, $295.5, $290.83
01/10/2020, $296.51, 1164465, $294.64, $298.74, $294.36
