Date, Close/Last, Volume, Open, High, Low
04/13/2020, $36, 7002812, $36.98, $37, $35.41
04/09/2020, $37.14, 8038605, $36.34, $37.88, $36.17
04/08/2020, $35.65, 5860639, $35.09, $35.9, $34.71
04/07/2020, $34.8, 8191587, $37.18, $37.305, $34.74
04/06/2020, $35.24, 6782107, $35.63, $35.72, $34.45
04/03/2020, $33.75, 5085403, $33.46, $34.23, $32.9632
04/02/2020, $33.64, 6709735, $32.4, $33.945, $32.07
04/01/2020, $32.7, 7727181, $31.95, $33.095, $31.38
03/31/2020, $33.68, 7049836, $33.56, $34.88, $33.29
03/30/2020, $34, 6232210, $32.6, $34.18, $31.72
03/27/2020, $32.54, 5764585, $31.63, $33.535, $31.28
03/26/2020, $33, 8442571, $31.93, $33.17, $30.93
03/25/2020, $31.64, 9866701, $31.51, $32.885, $29.51
03/24/2020, $31, 9411694, $29.21, $31.59, $29.17
03/23/2020, $27.49, 8555226, $28.81, $28.96, $26.93
03/20/2020, $29.07, 9555948, $30.3, $31.31, $28.87
03/19/2020, $30, 7907605, $28.46, $31.32, $27.7
03/18/2020, $28.76, 10176630, $28.06, $29.5406, $26.4
03/17/2020, $29.97, 11954600, $30.13, $30.6, $28.19
03/16/2020, $29.18, 9714885, $29.14, $32.62, $29
03/13/2020, $34.13, 9089324, $31.75, $34.13, $30.45
03/12/2020, $29.52, 9726587, $31.85, $32.34, $29.4
03/11/2020, $34.2, 8600293, $35.62, $35.92, $33.7
03/10/2020, $36.55, 8741406, $36.51, $36.61, $35.04
03/09/2020, $34.95, 8351880, $34.8, $37.44, $34.2
03/06/2020, $38.07, 9299774, $37.57, $38.74, $37.36
03/05/2020, $39.3, 10984110, $38.56, $40.12, $38.16
03/04/2020, $40.5, 12017480, $39.31, $40.91, $38.65
03/03/2020, $38.83, 14057780, $40.89, $40.94, $38.1
03/02/2020, $40.96, 11490650, $40.03, $40.96, $39.2
02/28/2020, $39.9, 14506950, $39.515, $40.07, $38.54
02/27/2020, $40.96, 11049290, $40.51, $42.82, $40.23
02/26/2020, $41.37, 6741572, $41.82, $42.07, $41.19
02/25/2020, $41.59, 5765061, $43.21, $43.42, $41.33
02/24/2020, $43.13, 5088329, $44.02, $44.12, $42.8968
02/21/2020, $45.04, 5058517, $45.51, $45.74, $44.83
02/20/2020, $45.83, 2925869, $45.8, $46.3, $45.6
02/19/2020, $45.92, 3956973, $45.3, $46.01, $45.2
02/18/2020, $45.29, 3253802, $45.8, $46.03, $45.18
02/14/2020, $45.9, 3770824, $46.1, $46.23, $45.69
02/13/2020, $46.03, 2699350, $46.44, $46.6, $45.955
02/12/2020, $46.56, 2631647, $46.81, $47.195, $46.5139
02/11/2020, $46.42, 3480555, $46.66, $46.795, $46.31
02/10/2020, $46.49, 3079060, $46.98, $47.055, $46.34
02/07/2020, $47.25, 3866985, $47.23, $47.505, $46.98
02/06/2020, $47.54, 5696917, $47.25, $47.625, $47.06
02/05/2020, $46.98, 5209430, $46.48, $47.195, $46.45
02/04/2020, $45.95, 6870934, $45.84, $46.63, $45.83
02/03/2020, $45.21, 6482200, $45.04, $45.875, $44.92
01/31/2020, $44.78, 6765759, $45.04, $45.19, $44.34
01/30/2020, $45.4, 5153412, $44.16, $45.48, $44.1
01/29/2020, $44.46, 9835988, $45.1, $45.18, $44.28
01/28/2020, $44.97, 8295772, $45.4, $45.43, $44.81
01/27/2020, $45.05, 5940144, $45.17, $45.76, $45.04
01/24/2020, $45.95, 6416428, $46.66, $46.7, $45.54
01/23/2020, $47.02, 5586173, $46.48, $47.44, $46.25
01/22/2020, $46.73, 6344932, $46.92, $47.07, $46.5
01/21/2020, $46.78, 7863205, $46.31, $47.5, $46.23
01/17/2020, $46.18, 12580020, $46.85, $46.96, $45.86
01/16/2020, $46.72, 12395220, $46.75, $47.45, $46.36
01/15/2020, $50.69, 4273620, $50.73, $50.89, $50.37
01/14/2020, $51.01, 3150124, $50.83, $51.21, $50.645
01/13/2020, $50.88, 3557461, $50.67, $50.89, $50.545
01/10/2020, $50.54, 3307775, $51.39, $51.39, $50.42
01/09/2020, $51.48, 2775413, $51.51, $51.6, $51.27
01/08/2020, $51.31, 3941404, $51.45, $51.57, $51.01
01/07/2020, $51.25, 3573860, $50.69, $51.42, $50.69
01/06/2020, $50.74, 3978978, $50.31, $50.75, $50.0227
01/03/2020, $50.27, 2276082, $50.26, $50.43, $49.8
01/02/2020, $50.92, 2587186, $50.46, $50.92, $50.215
12/31/2019, $50.33, 2264833, $50.14, $50.48, $50.06
12/30/2019, $50.18, 3458208, $50.54, $50.71, $50.085
12/27/2019, $50.32, 1859160, $50.53, $50.635, $50.17
12/26/2019, $50.49, 1211867, $50.46, $50.65, $50.29
12/24/2019, $50.35, 763740, $50.39, $50.47, $50.165
12/23/2019, $50.37, 2084437, $50.65, $50.7, $50.09
12/20/2019, $50.63, 8378257, $50.94, $51.11, $50.48
12/19/2019, $50.85, 4391393, $50.95, $51.25, $50.73
12/18/2019, $51, 5175174, $51.11, $51.26, $50.92
12/17/2019, $51.16, 4071024, $50.62, $51.25, $50.51
12/16/2019, $50.16, 3239857, $50.73, $51.04, $50.1
12/13/2019, $50.22, 3885607, $51.03, $51.4, $50.16
12/12/2019, $51.22, 4453253, $50.13, $51.3955, $49.92
12/11/2019, $49.88, 4365258, $49.93, $50.37, $49.8
12/10/2019, $49.84, 3265747, $49.76, $49.91, $49.53
12/09/2019, $49.7, 2665017, $49.57, $49.89, $49.41
12/06/2019, $49.64, 3687027, $49.83, $49.93, $49.61
12/05/2019, $49.27, 2372529, $49.03, $49.295, $48.9
12/04/2019, $48.78, 2189061, $48.12, $48.89, $48.12
12/03/2019, $48.12, 3845601, $48.61, $48.69, $47.91
12/02/2019, $49.13, 3429775, $49.11, $49.395, $48.96
11/29/2019, $48.97, 3290357, $48.88, $49.1, $48.64
11/27/2019, $48.96, 2820100, $49.02, $49.15, $48.775
11/26/2019, $48.78, 3525746, $49.37, $49.43, $48.545
11/25/2019, $49.33, 2359774, $48.86, $49.445, $48.8527
11/22/2019, $48.8, 3133657, $48.65, $49.1, $48.56
11/21/2019, $48.57, 2743634, $48.99, $49.11, $48.5
11/20/2019, $48.88, 3204842, $48.56, $48.94, $48.38
11/19/2019, $48.69, 3054830, $48.99, $49, $48.56
11/18/2019, $48.73, 2930857, $48.63, $49.025, $48.43
11/15/2019, $48.57, 4286131, $48.56, $48.62, $48.1936
11/14/2019, $48.42, 2034717, $48.32, $48.63, $48.18
11/13/2019, $48.35, 2806342, $48.38, $48.765, $48.04
11/12/2019, $48.9, 3443831, $49.21, $49.31, $48.78
11/11/2019, $49.06, 2988305, $49.2, $49.57, $48.985
11/08/2019, $49.2, 3748684, $49.33, $49.67, $48.98
11/07/2019, $49.4, 5281346, $49.54, $50.03, $49.39
11/06/2019, $49.13, 3460007, $49.15, $49.49, $48.93
11/05/2019, $49.17, 6953238, $48.94, $49.65, $48.87
11/04/2019, $48.72, 6596940, $47.74, $48.74, $47.595
11/01/2019, $47.16, 7002211, $47.09, $47.6, $46.94
10/31/2019, $46.75, 8581636, $46.44, $46.75, $46.18
10/30/2019, $46.62, 5709160, $46.57, $46.845, $46.32
10/29/2019, $46.63, 8328269, $46.66, $47.175, $46.61
10/28/2019, $46.89, 5010894, $46.75, $47.02, $46.615
10/25/2019, $46.38, 5696967, $45.92, $46.75, $45.86
10/24/2019, $46.28, 5723127, $46.68, $46.85, $45.96
10/23/2019, $46.73, 6547837, $46.04, $46.95, $46.04
10/22/2019, $46.14, 5818266, $45.62, $46.72, $45.33
10/21/2019, $45.67, 6941720, $45.53, $45.97, $45.47
10/18/2019, $45.34, 7161704, $44.32, $45.91, $44.25
10/17/2019, $44.38, 4233931, $44.99, $45.2, $44.33
10/16/2019, $44.44, 7767075, $45, $45.67, $44.42
