Date, Close/Last, Volume, Open, High, Low
03/30/2020, $1308.23, 600977, $1261.27, $1321.89, $1216.98
03/27/2020, $1255.15, 701507, $1344.87, $1355.455, $1253.605
03/26/2020, $1406, 616548, $1380.33, $1429.4784, $1353.52
03/25/2020, $1365.85, 998892, $1259.47, $1449.475, $1246.95
03/24/2020, $1259.47, 853989, $1218.62, $1279, $1200.575
03/23/2020, $1152.24, 859891, $1166.98, $1226.14, $1107.285
03/20/2020, $1177.43, 1146558, $1216.34, $1299.95, $1157.41
03/19/2020, $1191.48, 980599, $1211.16, $1236.64, $1150
03/18/2020, $1233.75, 933395, $1277.86, $1327.09, $1165.02
03/17/2020, $1368.26, 1080433, $1309.56, $1370.52, $1252.91
03/16/2020, $1289.67, 987186, $1275, $1411.83, $1252.2168
03/13/2020, $1421.33, 1153267, $1336.8, $1421.67, $1270.87
03/12/2020, $1280.4, 1282208, $1297, $1369.99, $1280
03/11/2020, $1442.5, 829972, $1522.29, $1528.53, $1420.56
03/10/2020, $1559, 742033, $1589.95, $1615, $1499.935
03/09/2020, $1527.8, 770546, $1483.99, $1588.67, $1476.51
03/06/2020, $1612.09, 1077741, $1603.09, $1684, $1584
03/05/2020, $1647.44, 788783, $1662.99, $1680.04, $1632.58
03/04/2020, $1732.13, 593630, $1697.15, $1736.89, $1671.2353
03/03/2020, $1683.02, 704463, $1726.63, $1749.99, $1646.925
03/02/2020, $1728.98, 869405, $1709.75, $1732.92, $1651.755
02/28/2020, $1695.66, 977187, $1643.64, $1718, $1634.54
02/27/2020, $1659.85, 1338011, $1612.98, $1730, $1592.45
02/26/2020, $1678.2, 903845, $1731.22, $1742.9354, $1659.64
02/25/2020, $1726.58, 958358, $1803, $1811.31, $1711.01
02/24/2020, $1792.54, 886060, $1830.93, $1835.495, $1777.88
02/21/2020, $1928.72, 358496, $1965, $1968.095, $1922.155
02/20/2020, $1970.91, 359202, $1960, $1987.76, $1956.39
02/19/2020, $1968.49, 241349, $1982.76, $1989.99, $1962.32
02/18/2020, $1976.28, 363541, $1972.25, $1988.19, $1961.95
02/14/2020, $1990.96, 535943, $1998.44, $2024.88, $1984.66
02/13/2020, $1959.94, 389065, $1944, $1960.88, $1929.1
02/12/2020, $1960.36, 473170, $1923.95, $1967, $1911.21
02/11/2020, $1909.3, 408894, $1894.48, $1918.89, $1892.62
02/10/2020, $1886.64, 470217, $1901.69, $1912.59, $1883
02/07/2020, $1909.59, 449586, $1950.23, $1960, $1904.16
02/06/2020, $1960.9, 412047, $1958.9, $1971.995, $1937.0118
02/05/2020, $1939.29, 552467, $1898.7, $1943.98, $1882.71
02/04/2020, $1864.51, 662662, $1857.06, $1895.5, $1848.175
02/03/2020, $1839.03, 634605, $1838.87, $1858.16, $1830.0501
01/31/2020, $1830.55, 717933, $1865.93, $1865.93, $1820.44
01/30/2020, $1872.09, 589269, $1871.42, $1885.5125, $1858.86
01/29/2020, $1893.95, 445507, $1924.04, $1933.04, $1890.09
01/28/2020, $1917.45, 512932, $1914.67, $1937.02, $1900
01/27/2020, $1908.89, 708948, $1906.41, $1917.9, $1868.04
01/24/2020, $1962.96, 580568, $1998, $2000.8068, $1954.74
01/23/2020, $1993.2, 368553, $1986.24, $2006.39, $1975.12
01/22/2020, $2000.24, 357431, $2004.33, $2014.24, $1992.04
01/21/2020, $1990.57, 711750, $2006, $2014.51, $1963.87
01/17/2020, $2054.69, 470801, $2060, $2064.04, $2046.905
01/16/2020, $2054.75, 546830, $2073.01, $2073.01, $2040.97
01/15/2020, $2065.16, 308969, $2073.56, $2083.99, $2061.38
01/14/2020, $2071.48, 331704, $2074.6, $2085.995, $2067.155
01/13/2020, $2080.5, 255114, $2090.25, $2090.25, $2073.01
01/10/2020, $2086.9, 198485, $2088.37, $2094, $2076.94
01/09/2020, $2084.29, 274027, $2072, $2089.9999, $2072
01/08/2020, $2062.9, 326068, $2066.84, $2088.66, $2057.14
01/07/2020, $2068.05, 346694, $2047.39, $2072.83, $2038.54
01/06/2020, $2047.4, 384040, $2050, $2059.79, $2035
01/03/2020, $2065.48, 293992, $2042.47, $2067.69, $2035
01/02/2020, $2074.58, 310369, $2068.4, $2077.4143, $2053.22
12/31/2019, $2053.73, 226931, $2046.51, $2057.99, $2039.97
12/30/2019, $2053.87, 224732, $2071.99, $2082.67, $2050.47
12/27/2019, $2072.54, 280016, $2063, $2080.99, $2053.645
12/26/2019, $2064.32, 182675, $2049.34, $2068.81, $2047.6518
12/24/2019, $2044, 97345, $2032.24, $2047.3049, $2031.29
