Date, Close/Last, Volume, Open, High, Low
03/30/2020, $455.35, 1177358, $438, $456.25, $434.51
03/27/2020, $434.34, 1044182, $428.54, $449.48, $421.12
03/26/2020, $451.9, 1598329, $408.06, $454.5, $405.57
03/25/2020, $401.38, 1950996, $384.9, $439.99, $377
03/24/2020, $371.7, 1319554, $349.3, $373.06, $346.2885
03/23/2020, $327.42, 1422874, $354.72, $354.72, $326.28
03/20/2020, $354.72, 1363213, $401.01, $402.395, $350.96
03/19/2020, $397.36, 1593658, $367.29, $415.15, $351.3018
03/18/2020, $373.36, 1969554, $357.17, $374.57, $323.98
03/17/2020, $386.76, 1609663, $366.21, $398.24, $355.39
03/16/2020, $357.28, 1569371, $368.44, $376.57, $354.0101
03/13/2020, $413.78, 1579445, $415.11, $419.24, $388.0001
03/12/2020, $386.22, 1669907, $398.38, $420, $383.43
03/11/2020, $430.97, 1263679, $445, $447.985, $422.17
03/10/2020, $459, 1608337, $441.33, $459.02, $434.23
03/09/2020, $419.01, 1478230, $411.39, $436.1, $405.15
03/06/2020, $450.41, 1460371, $452.04, $458.96, $440.52
03/05/2020, $472.47, 1022212, $477.37, $482.395, $464.58
03/04/2020, $495.31, 1175004, $488.09, $497.77, $479.295
03/03/2020, $482.07, 1589823, $488.34, $503.98, $476.1826
03/02/2020, $487.94, 1278217, $467.14, $488.18, $461.57
02/28/2020, $463.01, 2039371, $459.25, $465.41, $449.02
02/27/2020, $475.82, 1286083, $495.64, $500.86, $475.78
02/26/2020, $508.47, 959697, $508.17, $517.96, $505.49
02/25/2020, $506, 1064637, $530.26, $531.13, $502.47
02/24/2020, $528, 1063898, $536.05, $541.3101, $527.65
02/21/2020, $557, 494166, $563.41, $564.85, $555
02/20/2020, $566.92, 475404, $570, $572.95, $560.6187
02/19/2020, $572.07, 383200, $567.98, $573, $566.19
02/18/2020, $564.81, 403248, $565, $565.215, $562.31
02/14/2020, $565.94, 472391, $565.74, $568.92, $562.71
02/13/2020, $568.55, 479675, $568.69, $572.75, $567.37
02/12/2020, $572.48, 426314, $574.84, $576.81, $570.01
02/11/2020, $570.44, 598959, $564.05, $571.31, $563.875
02/10/2020, $561.1, 744099, $553.44, $561.25, $553.3036
02/07/2020, $555.74, 712908, $550, $556.01, $549.495
02/06/2020, $554.67, 824432, $548.07, $555.235, $541.3301
