Date, Close/Last, Volume, Open, High, Low
04/13/2020, $67.32, 1721886, $69.27, $69.75, $66.49
04/09/2020, $69.94, 4218716, $68.14, $70.47, $67.72
04/08/2020, $67.59, 2541843, $66.04, $68.08, $64.98
04/07/2020, $65.86, 2659019, $67.17, $69.25, $65.7
04/06/2020, $65.62, 2401789, $64.1, $66.66, $64.01
04/03/2020, $62.17, 2608669, $63.83, $66.48, $61.81
04/02/2020, $64.56, 3559831, $63.73, $66.88, $63.73
04/01/2020, $64.17, 3267433, $62, $65.34, $61.57
03/31/2020, $64.66, 4809983, $65.55, $66.425, $63.74
03/30/2020, $65.99, 3774670, $64.83, $66.9, $64.13
03/27/2020, $64.38, 3738356, $61.08, $65.79, $60.686
03/26/2020, $62.56, 3413961, $59.8, $63.37, $58
03/25/2020, $56.02, 3144944, $58.06, $59.89, $55.73
03/24/2020, $58.22, 3478188, $54.17, $59.58, $53.79
03/23/2020, $51.94, 4180978, $54.24, $54.79, $51.26
03/20/2020, $54.89, 3951205, $59.77, $59.77, $54.33
03/19/2020, $60.11, 3830029, $63.92, $64.575, $55.15
03/18/2020, $64.45, 3188486, $60.45, $64.78, $58.73
03/17/2020, $64.63, 5024040, $59.7, $67.63, $57.85
03/16/2020, $58.43, 3641169, $59.25, $59.9, $53.91
03/13/2020, $63.84, 5489731, $65.24, $65.72, $59.58
03/12/2020, $63.18, 3204112, $66.49, $68.845, $61.67
03/11/2020, $69.76, 2321118, $71.12, $71.84, $68.82
03/10/2020, $72.96, 3415322, $73.99, $74.465, $69.25
03/09/2020, $72.51, 3092903, $72.03, $74.52, $69.99
03/06/2020, $76.05, 2418039, $75.22, $76.46, $73.64
03/05/2020, $77.03, 2258551, $77.6, $77.63, $75.88
03/04/2020, $78.56, 2327534, $77.17, $78.73, $76.66
03/03/2020, $76.15, 2494235, $75.3, $77.2, $74.39
03/02/2020, $75.17, 2610845, $70.92, $75.2, $70.79
02/28/2020, $70.46, 4412189, $70.13, $71.04, $68.17
02/27/2020, $72.01, 3990063, $75.19, $76.22, $71.98
02/26/2020, $75.67, 4313650, $75.1, $76.91, $74.98
02/25/2020, $74.53, 2524130, $76.5, $76.6, $74.11
