Date, Close/Last, Volume, Open, High, Low
03/30/2020, $54.39, 18013520, $53.2, $55.08, $53.2
03/27/2020, $52.79, 14498370, $51.11, $53.78, $50.87
03/26/2020, $52.25, 21601730, $50.46, $53.32, $50.31
03/25/2020, $49.35, 20921290, $49.03, $51.9451, $48.17
03/24/2020, $49.24, 16484850, $48.18, $49.5, $47.39
03/23/2020, $46.4, 21237020, $47.19, $48.4, $45.76
03/20/2020, $48.4, 20370800, $49.05, $50.64, $47.25
03/19/2020, $48.79, 20058310, $50.11, $50.7248, $48.1275
03/18/2020, $50.24, 27384170, $51.63, $52.39, $48.02
03/17/2020, $54.09, 17519640, $51.83, $54.1, $51.2
03/16/2020, $51.11, 20582760, $50.13, $53.7588, $48.01
03/13/2020, $54.99, 23503560, $54.89, $55.5, $51.78
03/12/2020, $52.75, 22963000, $52.33, $54.9, $50.62
03/11/2020, $56.51, 19771940, $56.78, $57.96, $55.81
03/10/2020, $57.93, 24830990, $58.82, $58.95, $55.91
03/09/2020, $57.66, 22385910, $56.01, $59.14, $56
03/06/2020, $60.31, 14833930, $58.88, $60.42, $58.755
03/05/2020, $60.5, 15119360, $60.7, $61.24, $59.84
03/04/2020, $61.48, 18228260, $60.2, $61.68, $59.6875
03/03/2020, $59.2, 18250050, $60.86, $61.85, $58.3442
03/02/2020, $60.34, 19500310, $59.57, $60.775, $58.68
02/28/2020, $59.06, 28294860, $57.76, $59.21, $56.37
02/27/2020, $59.58, 20624840, $61, $61.58, $59.56
02/26/2020, $62.04, 11266850, $61.75, $63.39, $61.61
02/25/2020, $62.14, 15706040, $63.89, $63.91, $61.6
02/24/2020, $63.97, 12105010, $64.08, $65.06, $63.69
02/21/2020, $65.63, 10134810, $64.87, $65.87, $64.8
02/20/2020, $65.17, 11360500, $65.63, $65.98, $64.89
02/19/2020, $65.71, 9905376, $66, $66.05, $65.36
02/18/2020, $66.07, 13832960, $66.51, $66.97, $65.44
02/14/2020, $66.38, 7530791, $66.25, $66.83, $65.98
02/13/2020, $66.08, 9149461, $66.72, $66.95, $66.04
02/12/2020, $67, 11213680, $67.09, $67.495, $66.57
02/11/2020, $66.99, 7261691, $67.35, $67.55, $66.97
02/10/2020, $66.91, 13218470, $65.88, $67.12, $65.8
02/07/2020, $66.25, 13093710, $66.68, $67.01, $65.84
02/06/2020, $67.1, 16488540, $67, $67.8, $66.39
02/05/2020, $65.59, 14991620, $64.92, $65.85, $64.85
02/04/2020, $64.29, 11740190, $64.07, $64.94, $64.05
02/03/2020, $63.58, 15987100, $63.1, $64.24, $63.05
01/31/2020, $62.95, 12898020, $63.63, $63.69, $62.51
01/30/2020, $63.81, 10783740, $63.8, $64.31, $63.39
01/29/2020, $64.14, 10763850, $65.02, $65.09, $64.125
01/28/2020, $64.81, 12761940, $64.13, $65.365, $63.9
01/27/2020, $63.7, 20951130, $63.26, $64.63, $63.09
01/24/2020, $64.16, 22453040, $66.39, $66.74, $63.605
01/23/2020, $66.87, 13183670, $67.13, $67.25, $66.03
01/22/2020, $67.43, 15187040, $67.91, $68.34, $67.22
01/21/2020, $67.43, 12519550, $66.7, $67.62, $66.532
01/17/2020, $66.72, 14374960, $66.75, $67.2114, $66.7
