Date, Close/Last, Volume, Open, High, Low
04/13/2020, $46.68, 27944320, $47.5, $47.57, $45.27
04/09/2020, $47.41, 43659220, $46.94, $49.22, $46.365
04/08/2020, $44.26, 32944830, $42.85, $44.445, $41.9693
04/07/2020, $41.25, 35220740, $44.81, $45.59, $41.12
04/06/2020, $41.12, 30064670, $39.8, $41.335, $39.51
04/03/2020, $37.49, 25327090, $39, $39.46, $36.67
04/02/2020, $39.23, 29532140, $38.36, $39.66, $37.3
04/01/2020, $38.51, 29219520, $39.14, $40.25, $38
03/31/2020, $42.12, 26219110, $43.63, $44.225, $41.65
03/30/2020, $44.08, 27459000, $44.05, $44.26, $41.57
03/27/2020, $43.8, 25484520, $44.13, $45.5, $43
03/26/2020, $46.02, 31566030, $43.68, $46.29, $43
03/25/2020, $41.86, 38211110, $42.31, $44.7, $39.43
03/24/2020, $40.66, 34100580, $37.65, $40.92, $37.34
03/23/2020, $35.39, 33013300, $37.55, $38.15, $34.62
03/20/2020, $38.06, 38163900, $40.46, $40.99, $37.2
03/19/2020, $39.64, 43397150, $35.47, $41.24, $34.2
03/18/2020, $36.43, 48351380, $37.06, $37.99, $32
03/17/2020, $40.25, 51650020, $42, $43.98, $38.8
03/16/2020, $41.19, 35133760, $40.49, $45.23, $39.57
03/13/2020, $51.04, 40519840, $47.82, $51.24, $45.31
03/12/2020, $43.26, 45941590, $45.3, $49, $42.82
03/11/2020, $50.79, 36731400, $53.95, $54.33, $50.02
03/10/2020, $55.58, 32527540, $54.73, $55.7, $51.5
03/09/2020, $51.37, 35625570, $54.31, $55.61, $51
03/06/2020, $61.28, 29916590, $60.46, $62.31, $59.74
03/05/2020, $63.49, 27277560, $64.8, $65.12, $63.01
03/04/2020, $67.39, 24188500, $66.05, $67.52, $64.3632
03/03/2020, $65.05, 29547740, $67.86, $68.43, $64.47
03/02/2020, $67.59, 29006420, $63.85, $67.61, $63.12
02/28/2020, $63.46, 46029790, $62, $64.45, $61.34
02/27/2020, $64.45, 34656830, $66.1, $66.885, $64.4
02/26/2020, $68.18, 25579940, $70.02, $70.61, $68.16
02/25/2020, $69.43, 27451030, $72.63, $73.21, $69
02/24/2020, $72.53, 21096230, $73.38, $74.05, $72.44
02/21/2020, $76.44, 14020010, $77.56, $77.96, $76.15
02/20/2020, $78.22, 11763380, $77.66, $78.695, $77.31
02/19/2020, $78.05, 9145241, $77.87, $78.39, $77.62
02/18/2020, $77.58, 10364200, $78.61, $78.86, $77.51
02/14/2020, $78.79, 9056594, $78.89, $79.09, $78.45
02/13/2020, $79, 8946172, $78.89, $79.279, $78.62
02/12/2020, $79.33, 9484132, $79.9, $80.765, $79.3
02/11/2020, $79.09, 9437214, $78.75, $79.55, $78.64
02/10/2020, $78.48, 8418259, $78.08, $78.74, $78.05
02/07/2020, $78.69, 8341713, $78.13, $79.0537, $78.06
02/06/2020, $78.97, 12826360, $79.8, $79.86, $78.4
02/05/2020, $78.85, 13070420, $77.92, $78.9783, $77.81
02/04/2020, $76.5, 12173170, $76.75, $77.27, $76.43
02/03/2020, $75.13, 11099180, $74.7, $76.21, $74.7
01/31/2020, $74.41, 17101150, $75.96, $76.18, $73.91
01/30/2020, $77.43, 12498150, $75.74, $77.54, $75.5
01/29/2020, $76.48, 9480350, $77.54, $77.9, $76.41
01/28/2020, $77.24, 10960220, $77.21, $78.13, $76.78
01/27/2020, $76.71, 15859620, $76.26, $77, $75.85
01/24/2020, $78.42, 15036070, $79.62, $79.67, $77.64
01/23/2020, $79.8, 11618420, $79.58, $80.085, $78.92
01/22/2020, $80.1, 8045841, $80.2, $80.4803, $79.861
01/21/2020, $79.9, 10522040, $80.48, $80.91, $79.87
01/17/2020, $81.12, 12413060, $81.16, $81.4, $80.805
01/16/2020, $81, 10425960, $81.96, $82.13, $80.845
01/15/2020, $81.24, 16063570, $81.73, $82.05, $80.73
01/14/2020, $81.91, 24975430, $81.2, $83.11, $80.97
01/13/2020, $80.65, 16587550, $79.5, $80.715, $79
01/10/2020, $79.25, 10062880, $80, $80.01, $79.07
01/09/2020, $80.08, 12897120, $80.98, $80.98, $79.73
01/08/2020, $79.36, 11293790, $78.77, $80, $78.68
01/07/2020, $78.76, 10494450, $79.29, $79.3, $78.73
01/06/2020, $79.45, 10066510, $78.72, $79.55, $78.72
01/03/2020, $79.7, 12657010, $79.8, $80.515, $79.45
01/02/2020, $81.23, 12734570, $80.13, $81.26, $80.03
12/31/2019, $79.89, 8032049, $79.32, $79.94, $79.1
12/30/2019, $79.51, 10087140, $80.15, $80.415, $79.34
12/27/2019, $79.67, 10867890, $80, $80.18, $79.58
12/26/2019, $79.83, 11996440, $78.75, $79.84, $78.65
12/24/2019, $78.59, 4576212, $78.7, $78.94, $78.46
12/23/2019, $78.76, 9258210, $78.67, $78.97, $78.44
12/20/2019, $78.51, 32019420, $78.94, $79.05, $78.04
12/19/2019, $78.2, 13006990, $78, $78.52, $77.945
12/18/2019, $77.92, 12644670, $77.7, $78.33, $77.66
12/17/2019, $77.74, 14409280, $77.29, $78.125, $77.13
12/16/2019, $76.91, 13968380, $77.36, $77.6, $76.9
12/13/2019, $76.39, 13447140, $77.05, $77.83, $76.06
12/12/2019, $77.05, 15834680, $75.81, $77.52, $75.62
12/11/2019, $75.55, 10487700, $76.12, $76.21, $75.5
12/10/2019, $75.78, 13020910, $75.07, $76.27, $74.87
12/09/2019, $75.33, 8924703, $75.18, $75.92, $75.0795
12/06/2019, $75.81, 9879563, $75.93, $76.22, $75.6
12/05/2019, $74.71, 9581401, $74.65, $74.845, $74.35
12/04/2019, $74.23, 8267136, $73.83, $74.59, $73.42
12/03/2019, $73.33, 13789720, $73.38, $73.47, $72.5
12/02/2019, $74.52, 11093070, $75.42, $75.93, $74.43
11/29/2019, $75.12, 6246876, $75.43, $75.7972, $74.99
11/27/2019, $75.72, 7593335, $75.84, $76.13, $75.5
11/26/2019, $75.46, 11307000, $75.84, $75.84, $74.82
11/25/2019, $75.68, 11498010, $74.93, $75.85, $74.87
11/22/2019, $74.87, 7910668, $74.1, $74.92, $73.97
11/21/2019, $73.9, 8585096, $74.08, $74.63, $73.51
11/20/2019, $73.91, 12801440, $74.63, $74.72, $73.22
11/19/2019, $74.82, 9096818, $74.97, $75.24, $74.47
11/18/2019, $74.4, 8526789, $74.29, $74.64, $73.56
11/15/2019, $74.4, 10295020, $74.34, $74.46, $73.68
11/14/2019, $73.84, 9460540, $73.61, $74.01, $73.33
11/13/2019, $73.91, 14057050, $74.25, $74.91, $73.71
11/12/2019, $75.07, 11067460, $75.55, $75.96, $75.01
11/11/2019, $75.6, 6022082, $75.45, $76.08, $75.24
11/08/2019, $76.12, 7927508, $75.48, $76.12, $75.055
11/07/2019, $75.81, 14340530, $75.41, $76.28, $75.41
11/06/2019, $74.42, 12629240, $74.42, $75.05, $73.97
11/05/2019, $74.83, 14403240, $75.19, $75.97, $74.64
11/04/2019, $75.15, 12585220, $74.94, $75.27, $74.11
11/01/2019, $73.84, 12935240, $72.25, $73.99, $72.1
10/31/2019, $71.86, 16863990, $72.36, $72.97, $71.33
10/30/2019, $72.97, 12431540, $72.75, $73.353, $72.1
10/29/2019, $73.09, 9592294, $73.14, $73.79, $72.72
10/28/2019, $73.59, 13086930, $73.73, $74.28, $73.4447
10/25/2019, $73.17, 10497570, $71.97, $73.42, $71.81
10/24/2019, $72.3, 7465989, $72.55, $72.86, $71.86
10/23/2019, $72.45, 10329690, $71.9, $72.47, $71.73
10/22/2019, $72.06, 11060860, $71.72, $72.87, $71.47
10/21/2019, $71.81, 13113480, $70.52, $71.89, $70.52
10/18/2019, $69.74, 10418240, $69.32, $70.09, $69.14
10/17/2019, $69.6, 11387110, $70.03, $70.34, $69.18
10/16/2019, $69.5, 17358490, $70.82, $71.46, $69.42
10/15/2019, $71.22, 22040950, $70.17, $72.08, $68.7
10/14/2019, $70.24, 11496410, $69.53, $70.495, $69.46
10/11/2019, $70.1, 14928690, $69.99, $70.93, $69.99
10/10/2019, $68.62, 9918329, $67.77, $69.29, $67.55
10/09/2019, $67.43, 8385916, $67, $67.77, $66.79
10/08/2019, $66.4, 13513160, $67.03, $67.18, $66.025
10/07/2019, $68.15, 7840822, $67.87, $68.84, $67.865
10/04/2019, $68.18, 11024420, $66.76, $68.24, $66.665
10/03/2019, $66.7, 12708660, $66.08, $66.73, $64.79
10/02/2019, $66.26, 15111230, $67.76, $67.8, $66.19
10/01/2019, $68.15, 12473310, $69.57, $70.27, $68.01
09/30/2019, $69.08, 8677547, $69.797, $69.9, $69.01
09/27/2019, $69.46, 11561210, $69.82, $70.36, $69.0553
09/26/2019, $69.11, 8562336, $69.32, $69.53, $68.8
09/25/2019, $69.38, 12263770, $67.91, $69.7, $67.87
09/24/2019, $67.9, 16834880, $69.5, $69.57, $67.555
09/23/2019, $69.55, 9600357, $68.62, $69.7, $68.61
09/20/2019, $69.35, 26092950, $70.15, $70.54, $69.33
09/19/2019, $69.73, 10135110, $70.06, $70.47, $69.59
09/18/2019, $70.09, 11327860, $69.21, $70.345, $68.96
09/17/2019, $69.48, 10941740, $69.78, $69.78, $68.67
09/16/2019, $69.83, 12063660, $68.96, $70.11, $68.96
09/13/2019, $70.39, 14313070, $70.34, $70.74, $69.85
09/12/2019, $69.3, 15528650, $68.11, $70.055, $67.93
09/11/2019, $68.9, 11858780, $68.72, $69.2124, $68.11
09/10/2019, $68.98, 18146290, $69.18, $70.01, $68.45
09/09/2019, $68.79, 20193270, $66.76, $69.3, $66.69
09/06/2019, $65.97, 10476210, $66.19, $66.5, $65.75
09/05/2019, $66.34, 14725090, $65.65, $67.28, $65.61
09/04/2019, $64.28, 9692518, $64, $64.48, $63.84
09/03/2019, $63.42, 11991600, $64, $64.04, $62.32
08/30/2019, $64.35, 11847890, $64.34, $64.82, $64.1855
08/29/2019, $63.9, 11478860, $63.31, $64.23, $63.1
08/28/2019, $62.36, 12352140, $61.3, $62.8, $61.3
08/27/2019, $61.66, 17219330, $63.01, $63.1, $61.16
08/26/2019, $62.72, 10628950, $62.57, $62.82, $62.17
08/23/2019, $61.95, 18001250, $63.28, $64.13, $61.52
08/22/2019, $63.91, 9719041, $63.81, $64.21, $63.4102
08/21/2019, $63.25, 14694520, $64.13, $64.17, $63.06
08/20/2019, $63.42, 9819119, $63.72, $64.085, $63.35
08/19/2019, $64.31, 13312710, $64.82, $64.91, $64.16
08/16/2019, $63.48, 16450710, $61.93, $63.66, $61.85
08/15/2019, $61.32, 16340440, $61.98, $62.37, $60.72
08/14/2019, $61.41, 29370680, $62.88, $63.04, $61.18
08/13/2019, $64.83, 19109820, $63.9, $65.96, $63.51
08/12/2019, $64.24, 13039470, $64.61, $64.79, $63.84
08/09/2019, $66.05, 13604610, $66.33, $66.57, $65.21
08/08/2019, $66.74, 13577930, $65.85, $66.79, $65.63
08/07/2019, $65.14, 18418290, $64.63, $65.32, $63.64
08/06/2019, $66.25, 12411460, $66, $66.33, $64.83
08/05/2019, $65.18, 21144780, $65.6, $65.82, $64.58
08/02/2019, $67.61, 14771360, $67.61, $68.06, $66.625
08/01/2019, $68.35, 22570950, $70.67, $71.09, $67.6005
07/31/2019, $71.16, 13617290, $71.4, $71.6551, $70.81
