Date, Close/Last, Volume, Open, High, Low
04/13/2020, $114.14, 10519610, $119.95, $120.05, $113.58
04/09/2020, $125.03, 4753459, $128.65, $129.5998, $123.15
04/08/2020, $127.4, 4686055, $122.99, $128.176, $121.04
04/07/2020, $121.92, 8489853, $122.89, $128.8, $120.51
04/06/2020, $120.43, 5785626, $120.04, $121.73, $118.13
04/03/2020, $114.67, 5036565, $115.5, $116.84, $112.12
04/02/2020, $116.74, 8106522, $111.23, $118.52, $111.13
04/01/2020, $111.35, 6846994, $112.09, $116.75, $109.5
03/31/2020, $116.04, 8979915, $110.73, $116.91, $110.26
03/30/2020, $111.71, 5725565, $106.33, $112.84, $104.93
03/27/2020, $105.44, 5746496, $104.43, $109.64, $103.4
03/26/2020, $110.5, 6060704, $104.85, $110.97, $102.8927
03/25/2020, $104.67, 6578066, $101.17, $108.5, $98.501
03/24/2020, $101.34, 7417117, $96.06, $102.03, $95.17
03/23/2020, $91.85, 6737514, $93.9, $96.244, $90.64
03/20/2020, $95.5, 7650329, $103.12, $103.99, $94.16
03/19/2020, $103.01, 6870804, $99.23, $104.4, $97.25
03/18/2020, $100.12, 6995124, $93.99, $102.9514, $93.105
03/17/2020, $100.2, 7206113, $96.01, $100.44, $92.97
03/16/2020, $93.41, 9898962, $89, $105.85, $88.5
03/13/2020, $99.64, 8718635, $98.39, $99.91, $90.14
03/12/2020, $92.26, 10285930, $93.5, $94.28, $87.5
03/11/2020, $100.69, 6546771, $103.8, $104.745, $100.07
03/10/2020, $106.49, 8293227, $108.64, $109.06, $99.11
03/09/2020, $104.07, 8636218, $112.99, $112.99, $104.03
03/06/2020, $121.41, 5768074, $119, $121.85, $118.83
03/05/2020, $121.97, 6015298, $123.15, $124.85, $121.24
03/04/2020, $127.4, 5074885, $126.07, $127.44, $124.31
03/03/2020, $124.38, 6358116, $127, $129.56, $123.7824
03/02/2020, $127.6, 6100195, $125.05, $127.88, $123.005
02/28/2020, $124.24, 8301938, $119.57, $124.24, $119.03
02/27/2020, $123.27, 7368998, $125.6, $128.53, $123.22
02/26/2020, $128.25, 3904420, $129.65, $130.99, $127.55
02/25/2020, $129, 4840239, $132.97, $133.14, $128.25
02/24/2020, $132.17, 4964814, $132.53, $133.8595, $132.05
02/21/2020, $137.21, 2855843, $136.5, $137.44, $135.11
02/20/2020, $136.93, 2678315, $136.26, $138.89, $136.2
02/19/2020, $136.86, 2134929, $136.79, $137.2099, $136.06
02/18/2020, $136.58, 3869820, $137.46, $138.57, $135.08
02/14/2020, $137.99, 2813705, $139.49, $139.6155, $136.89
02/13/2020, $139.72, 3318815, $140, $140.5, $138.43
02/12/2020, $139.59, 3221976, $138.4, $139.94, $138.09
02/11/2020, $136.19, 2381972, $135.49, $137.23, $135.06
02/10/2020, $134.32, 2331632, $133.04, $134.33, $132.78
02/07/2020, $133.37, 3812251, $136.04, $136.49, $133
02/06/2020, $137.25, 2283759, $138.2, $138.33, $136.13
02/05/2020, $137.44, 4448092, $135.55, $137.47, $135.44
02/04/2020, $133.51, 3501629, $133, $134.78, $132.68
02/03/2020, $129.77, 4385718, $131.44, $133.16, $129.3
01/31/2020, $131.35, 6785669, $133.82, $134.99, $130.54
01/30/2020, $135.37, 3862645, $134.76, $135.97, $132.91
01/29/2020, $135.78, 2620618, $137.59, $137.76, $135.67
01/28/2020, $136.74, 2763803, $137.02, $137.6, $135.62
01/27/2020, $135.73, 2920525, $136.9, $137.81, $135.57
01/24/2020, $140.38, 2526156, $142.55, $142.7, $139.26
01/23/2020, $142.75, 3182744, $141.81, $143.21, $139.8
01/22/2020, $142.63, 3602818, $146.25, $146.56, $142.52
01/21/2020, $145.85, 2476809, $147.2, $147.87, $145.69
01/17/2020, $147.78, 3331614, $147.21, $148.2742, $146.6
01/16/2020, $147.87, 3070921, $146.43, $147.93, $146.24
01/15/2020, $145.57, 2640634, $146.22, $146.74, $145.2
01/14/2020, $146.68, 2743259, $147.45, $147.98, $146.31
01/13/2020, $146.82, 3356908, $146.53, $146.83, $145.55
01/10/2020, $146.13, 2393712, $147.45, $147.72, $145.83
01/09/2020, $147.31, 2272709, $147.81, $147.969, $146.51
01/08/2020, $147.68, 2153182, $146.83, $148.57, $146.4584
01/07/2020, $146.38, 2852082, $147.35, $147.57, $145.51
01/06/2020, $148.34, 2552146, $147.27, $148.56, $146.5408
01/03/2020, $148.44, 3100588, $148.77, $149.96, $147.45
01/02/2020, $150.53, 3311940, $149, $150.55, $147.977
12/31/2019, $147.68, 1952450, $147.43, $148.23, $146.79
12/30/2019, $147.52, 1789153, $148.42, $148.47, $147.01
12/27/2019, $148.28, 1544462, $148.64, $148.9299, $147.99
12/26/2019, $148.22, 1577267, $147.9, $148.23, $146.99
12/24/2019, $147.48, 966205, $148.7, $148.8, $147.29
12/23/2019, $148.5, 2348776, $147.68, $148.53, $146.78
12/20/2019, $147.57, 6806221, $147.38, $147.77, $145.24
12/19/2019, $145.02, 3577540, $146.98, $146.98, $144.3
12/18/2019, $147.12, 2629925, $146.5, $147.3, $145.6
12/17/2019, $146.37, 2850861, $145.5, $146.99, $145.46
12/16/2019, $145.36, 2415585, $147.71, $148.3, $145.23
12/13/2019, $145.53, 3311720, $146.8, $148.3999, $145.15
12/12/2019, $146.78, 3716858, $143.54, $147.4, $143
12/11/2019, $144, 2265798, $143.77, $144.62, $143.29
12/10/2019, $142.87, 1888944, $142.69, $143.59, $141.75
12/09/2019, $142.83, 1610790, $142.97, $143.28, $142.37
12/06/2019, $142.72, 2271409, $142.91, $143.42, $142.17
12/05/2019, $141.05, 2278450, $140.58, $141.12, $139.53
12/04/2019, $140.12, 2484621, $140.98, $142.28, $140
12/03/2019, $140.06, 3962727, $140.05, $140.43, $138.5604
12/02/2019, $142.96, 2899535, $145.2, $146.04, $142.84
11/29/2019, $144.73, 1652467, $144.19, $145.46, $143.79
11/27/2019, $145.69, 2661396, $145.02, $145.72, $143.7
11/26/2019, $146.09, 2468307, $146.4, $146.65, $145.49
11/25/2019, $146.42, 3085159, $144.75, $146.57, $143.8
11/22/2019, $143.88, 2258350, $143.92, $144.46, $143.03
11/21/2019, $143.36, 3297688, $141.55, $143.94, $140.95
11/20/2019, $141.52, 3484788, $142.45, $142.7, $140.1018
11/19/2019, $143.18, 2085171, $144.35, $144.76, $142.76
11/18/2019, $143.59, 2639044, $144.24, $144.78, $143.02
11/15/2019, $145.31, 2827466, $144.56, $145.88, $144.51
11/14/2019, $143.44, 2584145, $144.21, $145.34, $143.21
11/13/2019, $144.49, 3226768, $144.36, $145.86, $143.69
11/12/2019, $146.34, 2846407, $148.11, $148.4699, $146.02
11/11/2019, $148, 2205323, $146.74, $148.15, $146.61
11/08/2019, $148.16, 2778100, $146.66, $148.18, $145.8
11/07/2019, $147.01, 3816745, $147.39, $148.405, $146.7508
11/06/2019, $145.49, 3736631, $146.47, $146.47, $144.66
11/05/2019, $146.37, 4516698, $146.86, $148, $145.665
11/04/2019, $146.92, 5437838, $145.35, $147, $145.02
11/01/2019, $144.49, 6220185, $139.37, $144.61, $139.23
10/31/2019, $137.8, 4037595, $139.37, $140.34, $136.3909
10/30/2019, $140.34, 3948056, $141, $141, $139.61
10/29/2019, $141.33, 4427934, $139.38, $141.45, $138.7701
10/28/2019, $140.06, 6174009, $139.97, $141.63, $138.87
10/25/2019, $139.73, 8319459, $135, $139.98, $134.85
10/24/2019, $133.85, 3935579, $135.09, $135.29, $132.3834
10/23/2019, $135.34, 11307590, $134.23, $135.99, $130.7
10/22/2019, $133.69, 4744362, $132.59, $134.26, $130.94
10/21/2019, $132.23, 4273117, $131.95, $133.45, $131.5
10/18/2019, $130.71, 4330724, $130.15, $132.03, $129.99
10/17/2019, $132.07, 3425488, $130.97, $132.86, $130.18
10/16/2019, $130.19, 3064010, $131, $132.81, $130.11
10/15/2019, $131.03, 3298517, $127.99, $131.68, $127.65
10/14/2019, $128.38, 2885247, $126.81, $128.56, $126.01
10/11/2019, $128.4, 6776172, $125.61, $130.38, $125.4
10/10/2019, $122.69, 3284202, $120.04, $123.03, $119.76
10/09/2019, $119.44, 2638282, $119.49, $120.06, $118
10/08/2019, $117.97, 3550934, $118.79, $119.2, $117.69
10/07/2019, $120.25, 2375347, $120.85, $121.7, $119.75
10/04/2019, $121.04, 2474888, $119.72, $121.15, $119.35
10/03/2019, $120.04, 3168153, $119.34, $120.06, $117.25
10/02/2019, $119.96, 4304179, $121.15, $121.85, $119.34
10/01/2019, $122.37, 3740091, $127.4, $128.5, $122.3
09/30/2019, $126.31, 2804050, $126.34, $127.095, $125.88
09/27/2019, $126.59, 2214299, $127, $127.38, $125.66
09/26/2019, $126.39, 2539176, $126.79, $126.92, $125.65
09/25/2019, $126.61, 2383176, $125.85, $126.82, $125.02
09/24/2019, $125.99, 3447414, $128.74, $129, $125.57
09/23/2019, $128.42, 2831819, $127.34, $128.88, $126.34
09/20/2019, $128.16, 6438036, $130.01, $130.99, $127.87
09/19/2019, $130.12, 2735957, $131.47, $132.03, $129.87
09/18/2019, $131.07, 3022901, $131.63, $132.215, $129.72
09/17/2019, $132.17, 2904129, $132.59, $132.76, $131.19
09/16/2019, $133.15, 2876495, $132.99, $133.7999, $131.99
09/13/2019, $133.78, 3704948, $132.8, $133.99, $131.13
09/12/2019, $131.75, 5594600, $132, $132.69, $130.07
09/11/2019, $133.09, 7592635, $130.85, $133.19, $129.47
09/10/2019, $130.29, 8479717, $127.26, $130.29, $127.22
09/09/2019, $127.25, 4433325, $123.39, $127.39, $123.2
09/06/2019, $122.7, 3315703, $123.71, $124.34, $122.46
09/05/2019, $122.99, 5357890, $120.5, $124.24, $120.5
09/04/2019, $119.1, 3702307, $118.42, $119.24, $118.26
09/03/2019, $117.03, 3781536, $117.9, $117.9, $115.4
08/30/2019, $119, 2912975, $119.02, $119.59, $118.45
08/29/2019, $117.77, 3447962, $116.62, $118.13, $116.49
08/28/2019, $114.86, 3195047, $112.86, $114.95, $111.75
08/27/2019, $113.38, 3161180, $115.16, $115.46, $113.1507
08/26/2019, $114.42, 5201870, $115.06, $115.67, $113.84
08/23/2019, $114.06, 6105282, $116.25, $116.9, $113.32
08/22/2019, $117.89, 2120512, $118.33, $118.9356, $117.22
08/21/2019, $117.68, 2783752, $118, $119.32, $117.54
08/20/2019, $116.67, 2402447, $117.59, $117.79, $116.466
08/19/2019, $117.36, 2631016, $118.22, $118.49, $116.71
08/16/2019, $116.43, 3551929, $116.25, $117.87, $115.92
08/15/2019, $115.25, 4171878, $115.08, $115.6, $113.9703
08/14/2019, $115.21, 5543082, $116.58, $116.9, $115.04
08/13/2019, $119.01, 4363016, $116.94, $122, $116.79
08/12/2019, $116.72, 4405657, $118.95, $119.03, $116.0702
08/09/2019, $119.38, 3805602, $121.51, $121.7, $118.81
08/08/2019, $122.02, 3734773, $121, $122.1, $120.37
08/07/2019, $120.78, 5048726, $120, $121.2, $118.65
08/06/2019, $122.08, 3713912, $122.78, $123.65, $120.64
08/05/2019, $121.65, 5482488, $122.11, $122.81, $120.33
08/02/2019, $124.54, 5968613, $126.55, $126.8, $123.5
08/01/2019, $126.79, 5530111, $131.64, $133.19, $126.42
07/31/2019, $131.67, 4321957, $132.9, $134.37, $131.01
07/30/2019, $132.95, 3257181, $133.32, $133.575, $131.49
07/29/2019, $134.46, 2715564, $133.49, $134.65, $132.85
07/26/2019, $132.92, 4237994, $134.45, $134.7254, $132.63
07/25/2019, $134.71, 4823165, $131.08, $134.9, $131.01
07/24/2019, $131.91, 12664910, $130.98, $134.31, $128.45
07/23/2019, $138.1, 4122180, $135.93, $138.225, $135.53
07/22/2019, $135.24, 3267904, $136.37, $136.66, $134.6
07/19/2019, $136.23, 4837056, $134.22, $137.0451, $134.22
07/18/2019, $134.89, 3552126, $134.87, $135.9302, $134.04
07/17/2019, $135.73, 3750197, $138.2, $138.5095, $135.73
07/16/2019, $139.09, 4051572, $139.41, $140.62, $138.16
07/15/2019, $139.64, 4498676, $138.38, $139.9938, $138.265
07/12/2019, $138.36, 4149828, $134.71, $138.38, $134.6
07/11/2019, $133.96, 3164362, $133.2, $134.01, $132.59
07/10/2019, $132.64, 3933317, $134.73, $135.49, $132.55
07/09/2019, $134.29, 2618659, $134.11, $134.44, $133.35
07/08/2019, $134.84, 2742052, $135.15, $136.13, $134.43
07/05/2019, $135.49, 3072084, $134.43, $135.59, $133.22
07/03/2019, $135.59, 2538551, $136.44, $136.48, $134.33
07/02/2019, $135.85, 3205247, $136.6, $136.99, $135.07
07/01/2019, $136.6, 4846206, $139.3, $140.17, $134.97
06/28/2019, $136.29, 10469430, $136, $137.27, $136
06/27/2019, $135.5, 3594441, $135.7, $136.01, $133.97
06/26/2019, $135.15, 3343653, $134.26, $135.65, $134.175
06/25/2019, $133.71, 3751778, $134.58, $134.91, $132.63
06/24/2019, $134.37, 3197867, $133.64, $134.95, $133.55
06/21/2019, $133.89, 5742483, $133.35, $135.25, $132.55
06/20/2019, $133.63, 3803617, $132.9, $133.8, $131.51
06/19/2019, $130.61, 3847212, $130.32, $131.54, $129.87
06/18/2019, $130.33, 4756118, $128.4, $131.35, $128.21
06/17/2019, $127.32, 2607918, $127.21, $128.23, $126.68
06/14/2019, $127.23, 2530176, $126.61, $127.65, $125.5
06/13/2019, $127.17, 3495200, $127.35, $128.4, $126.76
06/12/2019, $127.1, 3034623, $126.75, $127.52, $126.08
06/11/2019, $127.28, 4516322, $129, $129.6, $126.96
06/10/2019, $125.74, 3705109, $125.47, $127.28, $125.24
06/07/2019, $124.46, 2547716, $124.38, $125.63, $124.08
06/06/2019, $123.39, 3295687, $123.1, $123.95, $122.2342
06/05/2019, $123.12, 3598662, $123.4, $123.64, $121.96
06/04/2019, $122.08, 4060408, $121.81, $122.77, $120.75
06/03/2019, $120.65, 4161778, $119.91, $121.69, $119.76
05/31/2019, $119.81, 4711664, $119.79, $120.7491, $118.74
05/30/2019, $121.84, 2878304, $121.61, $122.6778, $121.2775
05/29/2019, $121.48, 5330040, $120.5, $122.825, $120.26
05/28/2019, $121.59, 4889389, $122.9, $123.46, $121.51
05/24/2019, $122.9, 3802541, $123.52, $124.08, $122.21
05/23/2019, $122.26, 4964856, $122.1, $123.76, $121.41
05/22/2019, $123.56, 4620431, $124.25, $125.4393, $123.52
05/21/2019, $124.95, 5492942, $123.33, $125.071, $122.72
05/20/2019, $122.43, 6312469, $121.56, $123.025, $121.31
05/17/2019, $122.76, 6122573, $124.38, $125.53, $122.315
05/16/2019, $126.61, 4316590, $128.43, $128.53, $126.415
05/15/2019, $127.3, 2875870, $125.91, $127.96, $124.98
05/14/2019, $127.47, 4019072, $126.5, $128.555, $125.7
05/13/2019, $125.3, 8580682, $127.51, $127.52, $124.08
05/10/2019, $131.34, 5240634, $130.53, $131.73, $127.92
05/09/2019, $131.2, 5906152, $130.22, $131.68, $128.18
05/08/2019, $131.95, 4140454, $133.02, $134.42, $131.79
05/07/2019, $133.67, 5622885, $135.2, $136, $132.06
05/06/2019, $136.76, 4866540, $134.78, $137.49, $134.31
05/03/2019, $139.06, 4154832, $136.12, $139.2, $135.8
05/02/2019, $135.17, 5405699, $138.52, $138.54, $134.38
05/01/2019, $138.15, 3652030, $139.58, $139.93, $137.64
04/30/2019, $139.42, 3861118, $139.99, $140, $137.58
04/29/2019, $139.02, 3151643, $139.5, $140.45, $138.82
04/26/2019, $139.03, 5119159, $136.56, $139.03, $135.89
04/25/2019, $136.13, 5094542, $137.05, $137.46, $134.09
04/24/2019, $137.73, 8692313, $139.75, $140.3, $136.56
04/23/2019, $142.03, 5924502, $142, $143.13, $141.44
04/22/2019, $142.38, 3637368, $142.95, $143.18, $141.43
04/18/2019, $143.36, 4503129, $142.8, $144.77, $142.42
04/17/2019, $142.74, 3467591, $143, $144.495, $142.46
04/16/2019, $142.03, 2672612, $140.56, $142.21, $139.59
04/15/2019, $140.25, 3029587, $141.67, $142.43, $139.67
04/12/2019, $141.2, 4379330, $141, $141.92, $139.81
04/11/2019, $138.87, 2760552, $137.59, $139.585, $136.98
04/10/2019, $137.53, 3310581, $137.16, $138.2099, $136.28
04/09/2019, $136.35, 3315292, $138.65, $138.905, $136.07
04/08/2019, $139.82, 2497278, $140, $140.12, $138.61
04/05/2019, $140.36, 2811905, $141.1, $141.15, $139.92
04/04/2019, $140.13, 2961357, $139.14, $140.87, $139
04/03/2019, $139.26, 4819198, $139.85, $140.55, $138.41
04/02/2019, $140.19, 2527234, $140.15, $140.69, $139.23
04/01/2019, $140.25, 4972941, $137.69, $140.37, $136.32
03/29/2019, $135.49, 4680811, $134, $136.28, $133.62
03/28/2019, $132.37, 2435244, $131.9, $132.8, $131.16
03/27/2019, $131.2, 2378317, $132.27, $132.47, $130.25
03/26/2019, $131.84, 2638151, $132.69, $133.56, $131.13
03/25/2019, $131.38, 3199830, $129.59, $132, $129.23
