Date, Close/Last, Volume, Open, High, Low
03/30/2020, $114.04, 2792713, $108.64, $114.71, $105.63
03/27/2020, $108.41, 3714833, $104.81, $113.48, $104.08
03/26/2020, $109.22, 4073861, $102.82, $110.35, $100.5
03/25/2020, $101.8, 4168068, $101.69, $108.345, $97.03
03/24/2020, $102.56, 3525120, $98.77, $102.93, $96.37
03/23/2020, $94.2, 3960999, $97.31, $101.55, $92.04
03/20/2020, $101.56, 4849674, $99, $103.98, $93.1
03/19/2020, $98.53, 3600927, $97.46, $100.89, $93.84
03/18/2020, $99.81, 4346701, $102.99, $108.31, $87.35
03/17/2020, $110.08, 4513359, $103.63, $110.34, $97.7848
03/16/2020, $101.42, 4112695, $107.75, $114.28, $100.69
03/13/2020, $121.86, 5280191, $122.71, $123.42, $113.05
03/12/2020, $116.74, 3339938, $124, $126.525, $116.55
03/11/2020, $131.29, 2664207, $135.05, $136.65, $129.67
03/10/2020, $139.1, 2602207, $139.07, $139.32, $133.88
03/09/2020, $134.97, 3246591, $135.65, $142, $131.96
03/06/2020, $144.82, 3488926, $139.87, $145.45, $139.26
03/05/2020, $144.89, 2569453, $148.18, $148.18, $143.13
03/04/2020, $151.94, 2147928, $147.9, $152.27, $146.64
03/03/2020, $146.18, 2838270, $152.12, $153.56, $145.24
03/02/2020, $151.81, 3069488, $145.13, $152.14, $145.01
02/28/2020, $145.03, 3792933, $146.98, $147.8, $142.24
02/27/2020, $150.11, 3119006, $156.24, $158.09, $150.05
02/26/2020, $158.03, 2354731, $158.23, $160.138, $156.88
02/25/2020, $157.21, 2502152, $160.26, $160.73, $156.55
02/24/2020, $160.49, 1919168, $160.86, $162.66, $159.73
02/21/2020, $163.75, 1267980, $162.65, $164.045, $162.65
02/20/2020, $163.15, 2265556, $163.74, $163.995, $162.68
02/19/2020, $164.21, 1451074, $163.94, $164.39, $162.58
02/18/2020, $163.5, 1366057, $164.42, $164.76, $163.08
02/14/2020, $164.56, 1246348, $164.66, $165.24, $163.05
02/13/2020, $164.83, 1612687, $163.74, $165.23, $163.24
02/12/2020, $163.89, 1174581, $164.77, $165.77, $163.72
02/11/2020, $164.14, 1718570, $163.19, $164.36, $162.32
02/10/2020, $163.35, 1511040, $162.76, $163.36, $161.995
02/07/2020, $162.73, 1908196, $162.61, $164.5282, $162.24
02/06/2020, $163.22, 3035639, $166, $167.74, $162.79
02/05/2020, $165.33, 3119425, $160.28, $165.4, $157.35
02/04/2020, $154.3, 1880786, $154.61, $155.72, $154.15
02/03/2020, $153.23, 1831906, $152.56, $154.85, $152.29
01/31/2020, $151.99, 2336261, $153.59, $154.51, $151.25
01/30/2020, $154.14, 1267132, $150.11, $154.27, $150.06
01/29/2020, $150.89, 1266223, $151.56, $152.26, $150.79
01/28/2020, $150.96, 1716461, $150.87, $152.46, $150.745
01/27/2020, $150.38, 1163104, $150.99, $151.88, $150.38
01/24/2020, $152.01, 1476408, $151.94, $153.14, $151.6
