Date, Close/Last, Volume, Open, High, Low
03/30/2020, $148.06, 2934556, $140.5, $148.66, $139.299
03/27/2020, $136.89, 3220074, $139.42, $141.8, $135.17
03/26/2020, $142.47, 4093343, $128, $143.74, $128
03/25/2020, $127.96, 3121908, $122.97, $134.98, $121.67
03/24/2020, $123.71, 4397392, $121.83, $124.4, $114.18
03/23/2020, $116.98, 4029342, $126.8, $128.69, $115.65
03/20/2020, $128.06, 5346445, $129.31, $136.5, $125.6
03/19/2020, $130.75, 4548244, $137.91, $138.12, $127.25
03/18/2020, $138.31, 4357067, $141.16, $148.68, $131.11
03/17/2020, $146.87, 4441323, $138.7, $153.26, $138.2101
03/16/2020, $135.82, 3833921, $138.93, $147.36, $135.03
03/13/2020, $155.09, 3769067, $149.63, $158, $143.17
03/12/2020, $142.51, 3854395, $143.19, $150.35, $132.6901
03/11/2020, $153.85, 3287286, $155.08, $156.11, $151.295
03/10/2020, $159.35, 2944498, $153.61, $159.43, $148.64
03/09/2020, $150.28, 3291478, $152.98, $155.26, $148.82
03/06/2020, $160.82, 3109434, $159.26, $161.59, $154.73
03/05/2020, $162.24, 2513900, $160.81, $164.12, $160.1
03/04/2020, $163.56, 2384668, $160.62, $164.22, $158.45
03/03/2020, $158.13, 4248705, $156.83, $162.49, $155.67
03/02/2020, $156.24, 4077808, $143.93, $156.52, $143.82
02/28/2020, $143.29, 6204099, $145.13, $147.97, $140.71
02/27/2020, $148.4, 5822365, $148.74, $156.25, $147
02/26/2020, $162.69, 2295684, $163.74, $165.17, $162.33
02/25/2020, $163.02, 2038702, $167.05, $167.92, $162.43
02/24/2020, $166.36, 2092367, $165.35, $168.49, $163.5
02/21/2020, $168.06, 3006039, $166.66, $168.75, $165.91
02/20/2020, $166.99, 2180299, $165.87, $167.94, $165.41
02/19/2020, $165.6, 1211530, $166.27, $166.85, $164.52
02/18/2020, $166.21, 1275274, $166.05, $166.26, $164.8845
02/14/2020, $165.97, 1424644, $164.47, $166.4, $164.01
02/13/2020, $163.92, 1202852, $163.06, $164.215, $162.33
02/12/2020, $163.21, 1969901, $160.83, $163.44, $158.8048
02/11/2020, $161.03, 3488258, $154.34, $163.51, $153.37
02/10/2020, $152.92, 1583610, $151.06, $153, $150.89
02/07/2020, $150.49, 1119306, $151.06, $151.06, $150.43
02/06/2020, $150.5, 1005163, $150.13, $151.205, $149.4117
02/05/2020, $149.96, 1257855, $150.27, $150.755, $149.31
02/04/2020, $150.45, 1264650, $149.63, $151.86, $148.9
02/03/2020, $149.19, 1225018, $150.68, $150.93, $148.94
01/31/2020, $149.84, 1293997, $151.06, $151.79, $148.7213
01/30/2020, $151.13, 968252, $148.63, $151.24, $148.5753
01/29/2020, $149.05, 1519356, $151.8, $151.97, $148.91
01/28/2020, $151.73, 1539144, $150.15, $151.78, $149.73
01/27/2020, $150.3, 1363937, $149.33, $150.41, $148.59
01/24/2020, $149.9, 868149, $150, $150.71, $149.26
01/23/2020, $149.78, 1246838, $149.13, $150.21, $148.0028
01/22/2020, $148.69, 1920130, $149.01, $149.2, $147.98
01/21/2020, $148.21, 1650490, $145.32, $148.34, $145.12
01/17/2020, $145.25, 2070041, $145.51, $146.21, $144.415
01/16/2020, $145.23, 1505533, $144.4, $145.25, $143.77
01/15/2020, $144.05, 1431550, $142.16, $144.4366, $142.12
01/14/2020, $141.95, 1667050, $142.95, $143.48, $141.05
01/13/2020, $143.29, 1743315, $142.92, $143.85, $142.6517
01/10/2020, $142.4, 2760365, $140.4, $142.56, $140.2
01/09/2020, $140.25, 1534400, $139.2, $140.77, $139.17
01/08/2020, $139.45, 2644555, $139.01, $139.9094, $138.59
01/07/2020, $138.87, 1668737, $141, $141.42, $138.16
01/06/2020, $141.26, 1631847, $142.14, $142.68, $141.25
01/03/2020, $142.46, 1254535, $140.85, $142.7, $140.1
01/02/2020, $141.68, 1795533, $142.33, $142.66, $141.13
12/31/2019, $142.15, 1591294, $141.45, $142.2, $140.56
12/30/2019, $141.4, 1125000, $140.69, $141.45, $139.94
