Date, Close/Last, Volume, Open, High, Low
03/30/2020, $64.24, 2909523, $61.27, $64.49, $60.9
03/27/2020, $60.01, 2771051, $58.89, $62.06, $58.11
03/26/2020, $61.04, 3454317, $57.82, $61.79, $57.82
03/25/2020, $58.04, 3125047, $58.42, $59.93, $56.76
03/24/2020, $58.42, 4148336, $57.15, $59.74, $56.11
03/23/2020, $54.7, 3695354, $55.98, $56.845, $53.08
03/20/2020, $56.55, 5137669, $59.92, $60.9327, $56.08
03/19/2020, $59.49, 3370893, $59.72, $62.55, $58.065
03/18/2020, $59.87, 3462685, $59.94, $61.76, $54.54
03/17/2020, $62.37, 4572148, $60.98, $64.308, $57.98
03/16/2020, $60.53, 5019166, $59.92, $61.71, $58.11
03/13/2020, $64.43, 6424411, $66.71, $67.51, $60.68
03/12/2020, $64.68, 4706983, $65.01, $68.09, $64.535
03/11/2020, $68.35, 3955151, $67.47, $69.01, $66.595
03/10/2020, $69.14, 3588010, $71.43, $71.86, $66.75
03/09/2020, $70.26, 4415581, $69.52, $71.81, $69.441
03/06/2020, $73.36, 3283864, $70.45, $73.72, $70.26
03/05/2020, $72.57, 2442263, $71.56, $73.53, $71.04
03/04/2020, $73.49, 2404507, $72.36, $73.55, $71.81
03/03/2020, $71.1, 3217451, $72.67, $73.96, $70.33
03/02/2020, $72.55, 3180106, $69.51, $72.59, $69.22
02/28/2020, $69.27, 5167164, $68.04, $69.34, $67.53
02/27/2020, $69.89, 3146174, $71.52, $72.6, $69.83
02/26/2020, $72.41, 2981590, $72.9, $74.075, $72.18
02/25/2020, $72.41, 3071348, $73.92, $73.99, $72.19
02/24/2020, $73.38, 2780137, $74.41, $75.82, $73.37
02/21/2020, $76.07, 1992209, $76.47, $76.76, $75.71
02/20/2020, $76.71, 1555973, $76.79, $77.02, $75.76
02/19/2020, $76.76, 1880240, $76.94, $77.27, $76.34
02/18/2020, $76.78, 1910011, $77.12, $77.8, $76.67
02/14/2020, $77.07, 3081393, $76.34, $77.26, $76.19
02/13/2020, $76.49, 2038296, $76.12, $76.92, $75.91
02/12/2020, $76.68, 2907231, $80.515, $80.515, $76.36
02/11/2020, $80.23, 3098988, $80, $80.55, $79.2
02/10/2020, $79.62, 1686204, $78.47, $79.67, $78.1
02/07/2020, $78.93, 1137107, $78.79, $79.49, $78.52
02/06/2020, $78.95, 2311738, $78.79, $79.93, $78.54
02/05/2020, $78.595, 6326573, $76.99, $80.9, $75.75
02/04/2020, $74.22, 2209038, $74.03, $74.96, $73.71
02/03/2020, $73.17, 2504586, $72.24, $73.31, $72.05
01/31/2020, $71.83, 1414467, $72.7, $73.07, $71.46
01/30/2020, $72.78, 1270634, $71.91, $72.8175, $71.36
01/29/2020, $72.28, 1788006, $73.6, $73.6, $72.24
01/28/2020, $73.5, 1678695, $73.77, $74.22, $73.35
01/27/2020, $73.41, 1311105, $73.38, $74.27, $73.16
01/24/2020, $74.46, 957441, $75.6, $75.6, $74.14
01/23/2020, $75.68, 1371741, $75.37, $75.76, $74.54
01/22/2020, $75.52, 1368578, $75.96, $76.32, $75.47
01/21/2020, $75.81, 1349001, $75.46, $75.97, $75.31
01/17/2020, $75.86, 1285274, $75.87, $75.94, $75.28
01/16/2020, $75.58, 1519761, $74.8, $75.81, $74.34
01/15/2020, $74.69, 1542282, $73.69, $75.19, $72.85
01/14/2020, $74.21, 1546983, $72.97, $74.24, $72.75
01/13/2020, $73.07, 2012234, $73.48, $73.89, $72.76
01/10/2020, $73.48, 1214593, $74.01, $74.09, $73.275
01/09/2020, $73.76, 1624862, $73.8, $74.3, $73
01/08/2020, $73.445, 1920948, $73.24, $73.83, $73.04
01/07/2020, $73.02, 957113, $73.76, $73.76, $72.98
01/06/2020, $73.99, 1617090, $73.36, $74.05, $73.2
01/03/2020, $73.83, 1451600, $72.82, $73.88, $72.81
01/02/2020, $73.62, 2393503, $73.45, $73.69, $72.81
12/31/2019, $73.39, 1110830, $72.93, $73.51, $72.6
12/30/2019, $73.11, 1278343, $73.28, $73.44, $72.95
12/27/2019, $73.28, 726980, $73.28, $73.525, $72.87
12/26/2019, $73.02, 653639, $73.27, $73.42, $72.71
12/24/2019, $73.29, 281853, $73.41, $73.42, $73.04
12/23/2019, $73.44, 1009482, $73.34, $74.1, $73.225
12/20/2019, $73.26, 4636441, $72.02, $73.3, $71.58
12/19/2019, $71.96, 1266750, $72.07, $72.13, $71.44
12/18/2019, $72.16, 1932165, $71.74, $72.39, $71.5238
12/17/2019, $71.61, 2441962, $72.75, $72.75, $71.59
12/16/2019, $72.67, 2376590, $72.46, $72.85, $72.25
12/13/2019, $72.23, 1618574, $71.9, $72.67, $71.3155
12/12/2019, $71.82, 1893894, $71.63, $72.07, $71.26
12/11/2019, $71.5, 1583353, $71.56, $71.79, $71.06
12/10/2019, $71.71, 1292150, $71.45, $71.83, $71.11
12/09/2019, $71.44, 1818439, $70.94, $71.72, $70.88
12/06/2019, $71.29, 1237533, $71.25, $71.55, $70.95
12/05/2019, $70.77, 1299671, $70.91, $71, $70.41
12/04/2019, $70.6, 1668530, $71.18, $71.2, $70.46
12/03/2019, $71.07, 1749857, $70.49, $71.13, $70.19
12/02/2019, $70.92, 1271567, $71.59, $71.69, $70.53
11/29/2019, $71.59, 1118953, $71.99, $72.14, $71.15
11/27/2019, $72.11, 1491135, $70.13, $72.15, $69.73
11/26/2019, $71.84, 2293943, $71.09, $71.88, $70.6
11/25/2019, $70.68, 2479110, $69.64, $70.84, $69.59
11/22/2019, $69.44, 1961914, $69, $69.92, $68.73
11/21/2019, $68.47, 1966692, $67.73, $68.74, $67.45
11/20/2019, $67.67, 1808836, $67.84, $68.24, $67.1
11/19/2019, $68.14, 2942441, $67.87, $68.34, $67.67
11/18/2019, $67.61, 3198211, $68.44, $68.865, $67.41
11/15/2019, $68.4, 6148715, $67.26, $68.7804, $67.09
11/14/2019, $67.05, 2320816, $66.97, $67.51, $66.96
11/13/2019, $66.86, 1556686, $66.84, $67.355, $66.475
11/12/2019, $67.01, 2133963, $66.54, $67.28, $66.26
11/11/2019, $66.26, 1527151, $66.95, $67.26, $66.135
11/08/2019, $67.31, 1536431, $66.63, $67.34, $66.26
11/07/2019, $66.83, 1320411, $67.2, $67.6943, $66.76
11/06/2019, $66.97, 2061046, $67.3, $67.72, $66.84
11/05/2019, $67.21, 1825874, $67.62, $67.76, $67.12
11/04/2019, $67.46, 1802749, $67.75, $68.06, $67.37
