Date, Close/Last, Volume, Open, High, Low
04/13/2020, $469.7, 988173, $468.97, $473.2, $462.16
04/09/2020, $466.64, 1634269, $465.65, $476.145, $456.19
04/08/2020, $463.93, 1070823, $461.62, $466.14, $450.97
04/07/2020, $451.75, 1632653, $472.83, $475.15, $449.83
04/06/2020, $459.55, 1627491, $451.97, $464.5, $442.75
04/03/2020, $433.8, 1027873, $433.24, $440.615, $425.99
04/02/2020, $435.66, 1377233, $420.26, $436.88, $418.01
04/01/2020, $424.03, 1360944, $418.3, $434.83, $413.39
03/31/2020, $436.31, 2072787, $443.77, $449.17, $432.06
03/30/2020, $450.78, 2043884, $440.74, $454.51, $440.74
03/27/2020, $439.7, 1909941, $439.01, $456.395, $434.9
03/26/2020, $454.17, 2182740, $424.47, $460.54, $422.05
03/25/2020, $420.77, 2222772, $416.01, $441, $408.54
03/24/2020, $419.4, 2817736, $396.52, $421.21, $396.52
03/23/2020, $381.78, 2462506, $371, $399.99, $364.6747
03/20/2020, $371.7, 3322437, $394.81, $404.555, $370
03/19/2020, $393.06, 2466838, $379.57, $414.4, $372.94
03/18/2020, $381.52, 4954762, $374.78, $390.75, $345.67
03/17/2020, $393.02, 3735998, $397.47, $406.63, $388.23
03/16/2020, $389.11, 3274446, $414.98, $418.38, $388.13
03/13/2020, $454.19, 3147668, $446.48, $454.52, $413.66
03/12/2020, $427.54, 3459204, $434, $446.74, $421.86
03/11/2020, $450.65, 3023634, $466.82, $477, $443.915
03/10/2020, $476.76, 2660607, $467.8, $477.87, $460.36
03/09/2020, $463.21, 2566140, $466.58, $478.62, $460.74
03/06/2020, $496.72, 2145304, $486.84, $498.62, $480.65
03/05/2020, $505.14, 4485261, $514.34, $522.76, $501.23
03/04/2020, $522.84, 2013977, $502.38, $524.65, $498.81
03/03/2020, $495.03, 2885077, $489.18, $505.5, $489.18
03/02/2020, $497.13, 2951747, $494.47, $500.7, $490.34
02/28/2020, $493.17, 3590039, $500.7, $509.88, $485.46
02/27/2020, $508.55, 2609140, $513.21, $520.49, $507.51
02/26/2020, $518.09, 1617799, $524.78, $527.5, $516.6845
02/25/2020, $517.99, 1697986, $530.84, $534.83, $517.0067
02/24/2020, $528.7, 1410588, $529.8, $534, $525.59
02/21/2020, $535.34, 1243538, $537.34, $538.43, $529.24
02/20/2020, $539.22, 1049378, $542.01, $544.09, $532.09
02/19/2020, $542.46, 1041453, $539.73, $546.54, $536.94
02/18/2020, $537.6, 739542, $535.25, $538.7, $533.38
02/14/2020, $534.89, 658168, $532.49, $536.25, $532.2
02/13/2020, $534.73, 709402, $534.12, $536.25, $532.555
02/12/2020, $534, 891307, $531.49, $535.425, $528.63
02/11/2020, $530.94, 1098148, $531, $532.3, $524.01
02/10/2020, $530.34, 1253222, $525.75, $531.75, $524.42
02/07/2020, $525.21, 753645, $526.11, $526.55, $521.34
02/06/2020, $526.56, 830690, $524.86, $529.46, $522.9162
02/05/2020, $522.18, 1819300, $522, $530.53, $521.0301
02/04/2020, $531.75, 1596213, $528.85, $532.65, $519.85
