Date, Close/Last, Volume, Open, High, Low
03/30/2020, $178.26, 3677352, $162.74, $178.94, $162.74
03/27/2020, $161.29, 3563369, $160.74, $167.79, $159.8
03/26/2020, $169.54, 4059473, $158.31, $170.85, $154.4101
03/25/2020, $156.82, 4232894, $145, $165.5415, $143
03/24/2020, $147.2, 5464293, $141.94, $147.65, $136.5505
03/23/2020, $130.06, 4226373, $140.25, $140.46, $126
03/20/2020, $142.09, 4711717, $149.32, $150.64, $139.82
03/19/2020, $146.52, 3987466, $141.6, $149.57, $134.1001
03/18/2020, $142.91, 4199593, $145, $146, $118.5
03/17/2020, $155.09, 3765555, $154.21, $162.75, $148.28
03/16/2020, $150.69, 3340843, $150, $162.39, $145.24
03/13/2020, $179.87, 5081760, $172.69, $180, $164.23
03/12/2020, $164.27, 4830169, $175.16, $181.44, $163.58
03/11/2020, $187.23, 4106634, $191.24, $196.54, $183.54
03/10/2020, $197.77, 4188245, $187.79, $198.7, $186.03
03/09/2020, $181.6, 3897811, $181.26, $186.35, $173.9
03/06/2020, $195.52, 3447882, $194.21, $196.55, $188
03/05/2020, $200.93, 3106851, $203.03, $206.35, $198.63
03/04/2020, $209.54, 6127809, $208.04, $211.94, $205.35
03/03/2020, $189.25, 3569998, $194.34, $203.88, $186.9
03/02/2020, $194.34, 3901246, $183.41, $194.54, $180.41
02/28/2020, $182.94, 5468825, $176.25, $184.59, $174.22
02/27/2020, $181.93, 3101344, $184.49, $189.79, $181.72
02/26/2020, $188.92, 2869676, $193.72, $195.5, $188.54
02/25/2020, $191.76, 2824235, $203.34, $203.94, $189.36
02/24/2020, $200.36, 3114549, $207.87, $210.12, $200.05
02/21/2020, $217.19, 1469838, $218.57, $219.82, $216.77
02/20/2020, $220.41, 2206246, $219.31, $221.735, $216.21
02/19/2020, $221.44, 1615292, $221.5, $223.58, $219.5
02/18/2020, $221.95, 1956094, $220.34, $224.57, $219.425
02/14/2020, $220.34, 2077324, $221.64, $222.28, $218.93
02/13/2020, $221.89, 2115889, $220.33, $224.25, $220.33
02/12/2020, $222.56, 2720772, $217.82, $224.64, $217
02/11/2020, $215.18, 1815091, $212.35, $215.33, $210.4
02/10/2020, $210.32, 2041441, $208.03, $211.9, $207.51
02/07/2020, $208.92, 2046800, $210.67, $212.79, $208.01
02/06/2020, $211.86, 3006176, $210.25, $216.18, $207.83
02/05/2020, $206.48, 2122610, $200.09, $207.5, $200.09
02/04/2020, $196.86, 1955726, $194.16, $198.71, $193.9
02/03/2020, $191.77, 2356216, $193.82, $196.08, $191.18
01/31/2020, $192.38, 1816005, $195.38, $195.82, $191.09
01/30/2020, $196.99, 3180044, $200.51, $201.53, $194.87
01/29/2020, $202.54, 1850318, $204.86, $206.415, $201.72
01/28/2020, $205.33, 1603356, $201.35, $206.12, $200.63
01/27/2020, $199.95, 1498385, $202.2, $202.61, $196.65
01/24/2020, $206.01, 1882224, $212.71, $212.99, $204.74
01/23/2020, $212.7, 1511559, $211.04, $213.38, $209.83
01/22/2020, $211.26, 1468743, $213.3, $213.8, $210.37
01/21/2020, $213, 2192245, $211.68, $214.44, $210.4
01/17/2020, $212.52, 1680010, $210.96, $212.64, $209.23
01/16/2020, $210.95, 1387471, $209.41, $211.26, $208.495
