Date, Close/Last, Volume, Open, High, Low
03/30/2020, $66.58, 4950641, $65.99, $66.93, $64.97
03/27/2020, $65.26, 6366488, $64.03, $66.63, $63.36
03/26/2020, $63.82, 9053314, $60.36, $64.34, $60.19
03/25/2020, $59.89, 10375480, $60.76, $62.22, $59.01
03/24/2020, $61.18, 9887497, $61.11, $65.88, $59.61
03/23/2020, $60.47, 8306811, $62.09, $63.47, $58.49
03/20/2020, $62.08, 9168470, $66.74, $66.8525, $61.39
03/19/2020, $66.65, 8927108, $67.98, $68.99, $65.06
03/18/2020, $67.69, 9189527, $67.8, $72.14, $65.35
03/17/2020, $70.2, 9389090, $64.19, $70.43, $63.31
03/16/2020, $62.34, 8849353, $62.16, $66.31, $62.04
03/13/2020, $69.1, 11952950, $66.43, $69.21, $64.2
03/12/2020, $63.89, 9772327, $64.93, $67.45, $63.2
03/11/2020, $68.9, 6860392, $70.14, $70.81, $67.78
03/10/2020, $71.81, 7521849, $71.62, $72.01, $68.09
03/09/2020, $69.99, 7399598, $69.3, $71.61, $69
03/06/2020, $72.51, 6339557, $70.37, $72.755, $69.51
03/05/2020, $72.34, 5877497, $73.71, $74.33, $71.8
03/04/2020, $75.37, 7174957, $73.9, $75.47, $73.01
03/03/2020, $71.78, 7487759, $72.55, $74.11, $71.24
03/02/2020, $72.44, 7940795, $68.51, $72.56, $68.51
02/28/2020, $67.57, 11130860, $68.99, $69.355, $66.32
02/27/2020, $70.15, 6181402, $73.06, $73.72, $70.13
02/26/2020, $72.92, 4188676, $74, $74.475, $72.9
02/25/2020, $73.8, 5739528, $74.4, $74.99, $73.52
02/24/2020, $74.42, 5584385, $71.71, $75.72, $71.19
02/21/2020, $76.27, 5341505, $75.19, $76.54, $75.115
02/20/2020, $75.16, 3350881, $75.46, $75.65, $74.2518
02/19/2020, $75.54, 2686698, $76, $76.27, $75.5
02/18/2020, $76.07, 4371016, $76.61, $76.69, $76.05
02/14/2020, $76.69, 2820355, $76.36, $76.7, $76.115
02/13/2020, $76.37, 2907812, $75.72, $76.61, $75.625
02/12/2020, $75.95, 3735393, $76.21, $76.32, $75.495
02/11/2020, $76.11, 3992624, $77.24, $77.29, $76.1
02/10/2020, $77.35, 4418436, $75.96, $77.41, $75.96
02/07/2020, $76.03, 3222650, $76.4, $76.515, $75.9
02/06/2020, $76.31, 4663995, $75.97, $76.6, $75.83
02/05/2020, $75.73, 4282939, $75.25, $75.87, $74.51
02/04/2020, $75.4, 4671829, $75.28, $76.2, $75.19
02/03/2020, $74.93, 7725529, $74.06, $75.455, $74.06
01/31/2020, $73.78, 13592330, $73.64, $74.97, $73.37
01/30/2020, $69.47, 3539301, $68.8, $69.7, $68.56
01/29/2020, $68.83, 3233503, $69.75, $69.89, $68.81
01/28/2020, $69.71, 2770601, $70.12, $70.49, $69.56
01/27/2020, $70.1, 3688054, $70.15, $70.79, $69.77
01/24/2020, $70.3, 2938348, $70.83, $71.08, $70.08
01/23/2020, $70.61, 2581613, $70.07, $71.065, $70
01/22/2020, $70.53, 2890795, $70.88, $71.08, $70.51
01/21/2020, $71.29, 6470769, $71.07, $71.38, $70.25
01/17/2020, $71.18, 4019743, $70.43, $71.3, $70.43
01/16/2020, $70.75, 2720308, $70.96, $71.175, $70.67
01/15/2020, $70.8, 3606288, $70.34, $71.05, $70.34
01/14/2020, $70.29, 4711929, $70.14, $70.4, $70.03
01/13/2020, $70.14, 4641349, $70.16, $70.56, $69.8
01/10/2020, $70.15, 3724005, $69.73, $70.4283, $69.455
01/09/2020, $69.86, 3996112, $69.38, $69.945, $69.06
01/08/2020, $69.27, 4676066, $67.8, $69.65, $67.73
01/07/2020, $67.55, 4500472, $68.46, $68.46, $67.475
01/06/2020, $68.49, 4607525, $68.08, $68.85, $68.01
01/03/2020, $68.02, 3473852, $67.84, $68.47, $67.675
01/02/2020, $68.12, 3209595, $68.84, $68.94, $67.89
12/31/2019, $68.84, 1960193, $68.77, $68.92, $68.375
12/30/2019, $68.79, 1810662, $68.87, $69.1, $68.55
12/27/2019, $69.18, 2943708, $68.84, $69.34, $68.83
12/26/2019, $68.58, 2493652, $68.8, $68.98, $68.43
12/24/2019, $68.55, 816689, $68.65, $68.73, $68.26
12/23/2019, $68.72, 2775951, $69.01, $69.0622, $68.6
12/20/2019, $68.85, 6008025, $69.1, $69.3, $68.76
12/19/2019, $68.34, 4286396, $67.27, $68.48, $67.27
12/18/2019, $68.27, 5846051, $68.13, $68.43, $67.69
12/17/2019, $67.84, 4647736, $68.65, $68.65, $67.81
12/16/2019, $68.87, 3371164, $68.84, $69.23, $68.52
12/13/2019, $68.69, 5179665, $67.23, $68.87, $67.07
12/12/2019, $67.23, 3658414, $67.55, $67.83, $66.94
12/11/2019, $67.46, 3229328, $67.92, $68.68, $67.3
12/10/2019, $67.93, 3820631, $68.31, $68.67, $67.845
12/09/2019, $68.6, 3631951, $68.25, $68.665, $68.01
12/06/2019, $68.24, 3504747, $67.88, $68.325, $67.39
12/05/2019, $67.82, 4056456, $67.86, $67.92, $67.36
12/04/2019, $68.08, 3278996, $67.12, $68.16, $67.12
12/03/2019, $67.3, 3786263, $67.63, $67.63, $66.795
12/02/2019, $67.57, 3487817, $68, $68, $67.13
11/29/2019, $67.82, 1385098, $67.81, $67.98, $67.49
11/27/2019, $67.68, 2517608, $67.79, $67.8864, $67.22
11/26/2019, $67.79, 3513839, $67.2, $67.8, $67.02
11/25/2019, $66.98, 3020169, $66.83, $66.98, $66.34
11/22/2019, $66.71, 2616321, $66.61, $66.875, $66.22
11/21/2019, $66.75, 3432877, $67.52, $67.7, $66.71
11/20/2019, $67.21, 3008609, $67.23, $67.59, $66.82
11/19/2019, $67.16, 3710400, $67.13, $67.31, $66.52
11/18/2019, $67.13, 4568175, $66.81, $67.94, $66.71
11/15/2019, $66.37, 5146810, $66.66, $66.74, $66.13
11/14/2019, $66.64, 2956239, $66.63, $67.005, $66.54
11/13/2019, $66.88, 3474917, $67, $67.08, $66.515
11/12/2019, $66.64, 3317328, $66.67, $66.97, $66.53
11/11/2019, $66.54, 2640392, $66.4, $66.8, $65.95
11/08/2019, $66.63, 3489444, $66.76, $67.06, $66.375
11/07/2019, $66.87, 4332105, $66.58, $66.94, $65.93
11/06/2019, $66.52, 4412594, $66.31, $66.89, $66.1901
11/05/2019, $65.96, 5394142, $65.17, $66.19, $64.75
11/04/2019, $65.41, 6528489, $66.53, $66.98, $65.24
11/01/2019, $66.81, 6128469, $67.44, $67.5, $65.575
10/31/2019, $68.6, 4374202, $68.42, $68.96, $67.92
10/30/2019, $68.58, 2575699, $67.98, $68.635, $67.8
10/29/2019, $67.92, 3018785, $67.17, $67.955, $67.01
10/28/2019, $67.35, 4595474, $68.64, $68.7, $66.96
10/25/2019, $68.41, 3850349, $68.4, $68.75, $68.21
10/24/2019, $68.34, 5258813, $67.75, $68.535, $67.545
10/23/2019, $67.54, 4107148, $66.82, $67.7, $66.8006
10/22/2019, $67.06, 3881519, $68.55, $68.6, $66.97
10/21/2019, $68.3, 2534664, $68, $68.38, $67.85
10/18/2019, $68.03, 4022608, $68.01, $68.29, $67.47
10/17/2019, $68.08, 3788918, $68.16, $68.645, $67.885
10/16/2019, $67.85, 4466403, $68.38, $68.38, $67.37
10/15/2019, $68.4, 4428964, $69.43, $69.52, $68.23
10/14/2019, $69.41, 2584339, $70.61, $70.785, $69.365
10/11/2019, $70.51, 2579300, $71.11, $71.12, $70.22
10/10/2019, $70.77, 2220107, $69.96, $70.875, $69.7
10/09/2019, $70.63, 1933754, $70.88, $71.12, $70.08
10/08/2019, $70.68, 2546570, $71.49, $71.58, $70.63
10/07/2019, $71.62, 2698655, $71.97, $72.18, $71.56
10/04/2019, $72.07, 2422636, $70.97, $72.14, $70.83
10/03/2019, $70.87, 2292408, $70.81, $71.41, $70.44
10/02/2019, $70.52, 3764058, $71.4, $71.85, $70.07
10/01/2019, $71.73, 3561333, $72.78, $73.21, $71.4901
09/30/2019, $73.51, 3389316, $73.15, $74.28, $73.15
09/27/2019, $73.26, 3766231, $73.14, $73.35, $72.65
09/26/2019, $72.72, 2630666, $72.3, $73.08, $72.16
09/25/2019, $72.24, 2784883, $72.54, $72.8, $71.89
09/24/2019, $72.49, 4400863, $71.96, $72.93, $71.79
09/23/2019, $71.5, 4186181, $70.85, $71.725, $70.84
09/20/2019, $70.95, 4790193, $71.02, $71.26, $70.76
09/19/2019, $70.95, 3841094, $70.94, $71.11, $70.6614
09/18/2019, $70.75, 3551695, $70.18, $70.81, $69.8753
09/17/2019, $69.86, 3385439, $69.57, $70.7, $69.53
09/16/2019, $69.43, 4116883, $70.1, $70.39, $68.97
09/13/2019, $70.71, 4679568, $71.6, $71.72, $70.39
09/12/2019, $72.29, 2644243, $73.37, $73.86, $72.24
09/11/2019, $72.85, 2305690, $71.95, $72.86, $71.4
09/10/2019, $72.12, 4712881, $72.51, $72.52, $71.18
09/09/2019, $73.19, 5152953, $74.6, $74.6, $72.855
09/06/2019, $74.7, 2333408, $74.41, $74.7117, $74.23
09/05/2019, $74.29, 3430918, $75, $75, $74.09
09/04/2019, $74.87, 2422930, $74.83, $74.995, $74.46
09/03/2019, $74.31, 1963799, $73.67, $74.55, $73.46
08/30/2019, $74.15, 2899684, $74.47, $74.5119, $73.91
08/29/2019, $74.2, 1819661, $74.47, $74.55, $73.38
08/28/2019, $74, 2050649, $73.5, $74.07, $73.32
08/27/2019, $73.44, 2582071, $73.28, $73.73, $73.03
08/26/2019, $72.77, 1770258, $72.66, $72.94, $72.21
08/23/2019, $72.23, 3910856, $73.11, $73.8791, $71.81
08/22/2019, $73.04, 1526564, $72.66, $73.285, $72.37
08/21/2019, $72.61, 2527057, $73, $73.17, $72.46
08/20/2019, $72.54, 2463650, $72.96, $73.28, $72.43
08/19/2019, $73.08, 2139452, $73.01, $73.255, $72.64
08/16/2019, $72.28, 2549049, $71.69, $72.5, $71.62
08/15/2019, $71.37, 3698783, $70.87, $71.68, $70.61
