Date, Close/Last, Volume, Open, High, Low
04/13/2020, $185.47, 1140517, $183.52, $187.28, $182.3926
04/09/2020, $184.21, 2114505, $179.23, $186.77, $178.52
04/08/2020, $181.04, 1987792, $182.88, $182.94, $178.51
04/07/2020, $181.5, 2477907, $179.8, $184.76, $178.51
04/06/2020, $181.38, 2551441, $177.59, $182.34, $173.4065
04/03/2020, $177.54, 2277591, $178.31, $182.43, $174.8714
04/02/2020, $179.7, 3044551, $173.79, $182.29, $173.79
04/01/2020, $174.66, 2569834, $171.88, $177.49, $170.98
03/31/2020, $173.25, 2082710, $173.74, $174.55, $170.69
03/30/2020, $174.48, 2328561, $177.6, $179.86, $174
03/27/2020, $173.19, 2211500, $170.45, $177.43, $168.51
03/26/2020, $173.11, 3706701, $167.96, $175, $167.02
03/25/2020, $165.66, 4572660, $166, $170.48, $161.11
03/24/2020, $168.32, 2929520, $171.42, $175.69, $165.22
03/23/2020, $170.14, 3436981, $176.84, $177.44, $168.54
03/20/2020, $177.4, 5571393, $190.61, $191.05, $175.21
03/19/2020, $191.78, 4546105, $193.57, $199.54, $187.03
03/18/2020, $190.95, 7072075, $197.12, $214.26, $185.47
03/17/2020, $197.88, 7478735, $178.91, $205, $176.43
03/16/2020, $174.69, 5350230, $170.2, $178.25, $164.5
03/13/2020, $167.77, 2964639, $164, $168.33, $156.6801
03/12/2020, $158.7, 3280284, $160.1, $169.8, $158
03/11/2020, $169.4, 2377042, $173.05, $174.98, $166.32
03/10/2020, $175, 2766555, $176.62, $178.88, $167.32
03/09/2020, $174.9, 3489624, $167.95, $177.77, $167
03/06/2020, $173.26, 2222295, $171.94, $174.696, $168.57
03/05/2020, $175.85, 2778252, $170.27, $177.32, $169.73
03/04/2020, $172.52, 3144088, $170.9, $174.74, $168.47
03/03/2020, $167.87, 3374747, $173.08, $174.975, $166.09
03/02/2020, $172.01, 3753358, $163.1, $172.1, $162.81
02/28/2020, $159.42, 4701108, $172.33, $172.54, $155.83
02/27/2020, $168.7, 4309236, $170, $174.17, $168.34
02/26/2020, $168.03, 2854620, $167.91, $168.93, $166.5156
02/25/2020, $167.85, 2351899, $167.66, $169.73, $166.66
02/24/2020, $167.19, 2094302, $165.89, $168.2596, $165.71
02/21/2020, $164.64, 794584, $163.69, $165.27, $163.69
02/20/2020, $164.17, 673068, $164.73, $164.9674, $163.59
02/19/2020, $164.84, 612202, $165, $165.72, $164.1034
02/18/2020, $164.82, 629011, $165.26, $165.36, $163.86
02/14/2020, $164.83, 724885, $164.99, $165.1, $164.19
02/13/2020, $164.77, 787800, $164.58, $165.13, $163.81
02/12/2020, $164.23, 1048306, $164.24, $164.31, $162.68
02/11/2020, $164.76, 889117, $167.49, $167.75, $164.66
02/10/2020, $167.66, 787718, $166.86, $168.96, $166.29
02/07/2020, $166.23, 1004402, $165.07, $166.55, $163.51
02/06/2020, $165.07, 1102088, $166.03, $167.39, $164.94
02/05/2020, $165.34, 1882735, $163.28, $165.94, $163.27
02/04/2020, $163.62, 3172785, $158.78, $165, $158.4798
02/03/2020, $155.84, 1676219, $157.65, $158.85, $154.88
01/31/2020, $157.31, 1769788, $156.65, $158.25, $156.51
01/30/2020, $155.86, 912062, $156.04, $156.39, $154.87
01/29/2020, $155.21, 859625, $156, $156.65, $155.15
01/28/2020, $156.07, 1044522, $159.17, $159.46, $156.06
01/27/2020, $159.96, 2502434, $160.41, $162.1736, $159.96
01/24/2020, $158.28, 839836, $160, $160.96, $157.65
01/23/2020, $159.07, 693178, $159.63, $161.16, $158.55
01/22/2020, $159.63, 768511, $159.5, $160.17, $159.01
01/21/2020, $159.1, 1051846, $157.7, $159.15, $156.54
01/17/2020, $157.7, 718444, $157.23, $157.93, $156.73
01/16/2020, $157.13, 489515, $156.88, $157.87, $156.83
01/15/2020, $156.67, 619209, $156.25, $157.54, $156.06
01/14/2020, $156.25, 1166606, $155.73, $156.32, $155
01/13/2020, $156.2, 1064976, $153.77, $156.26, $153.35
01/10/2020, $153.67, 523574, $152.69, $154.08, $152.32
01/09/2020, $152.8, 504939, $152.23, $153.01, $151.72
01/08/2020, $151.97, 901226, $151.78, $153.34, $150.95
