Date, Close/Last, Volume, Open, High, Low
03/30/2020, $35.49, 31400210, $34.74, $35.625, $34.55
03/27/2020, $34.57, 27910410, $35.59, $35.79, $34.41
03/26/2020, $36.74, 38332140, $33.19, $37.31, $33.06
03/25/2020, $33.57, 57834080, $33.78, $34.56, $31.78
03/24/2020, $34.64, 46492840, $35.365, $35.365, $33.525
03/23/2020, $34.17, 38600870, $33.165, $34.67, $31.705
03/20/2020, $33.37, 47308980, $36.09, $36.09, $32.635
03/19/2020, $35.94, 36830350, $35.64, $39.31, $34.6
03/18/2020, $35.68, 42533360, $36.23, $36.75, $33.27
03/17/2020, $38.22, 38934900, $36.58, $38.35, $36.21
03/16/2020, $36.04, 41485660, $34.64, $38.99, $34.5
03/13/2020, $39.33, 66243380, $36.23, $39.72, $34.48
03/12/2020, $34.94, 63254520, $35.58, $37.85, $34.44
03/11/2020, $37.91, 38873080, $37.8, $38.485, $37.38
03/10/2020, $39.1, 48724260, $38.64, $39.15, $36.665
03/09/2020, $37.88, 46926250, $38.17, $38.885, $37.15
03/06/2020, $40.37, 31302060, $38.91, $40.6, $38.83
03/05/2020, $40.77, 25284620, $41.42, $41.775, $40.425
03/04/2020, $42.5, 24997080, $41.97, $42.555, $41.5
03/03/2020, $41.44, 43253400, $42.07, $43.45, $41.1
03/02/2020, $42.52, 40006930, $40.34, $42.53, $39.4
02/28/2020, $40.43, 62188720, $40, $40.98, $38.97
02/27/2020, $41.05, 36098150, $41.86, $42.6, $40.99
02/26/2020, $42.22, 30529330, $44.175, $44.175, $42.19
02/25/2020, $43.17, 22440550, $44.745, $44.89, $43.025
02/24/2020, $44.6, 21720810, $45.12, $46.01, $44.47
02/21/2020, $45.82, 21235480, $45.76, $46.42, $45.66
02/20/2020, $46.02, 12037780, $45.8, $46.15, $45.5
02/19/2020, $45.97, 14814430, $46.22, $46.255, $45.86
02/18/2020, $46.15, 13694480, $46.14, $46.39, $45.81
02/14/2020, $46.09, 15930960, $46.08, $46.18, $45.75
02/13/2020, $46.07, 17913180, $45.9, $46.35, $45.69
02/12/2020, $46.02, 23638290, $44.98, $46.135, $44.91
02/11/2020, $44.79, 11075720, $44.82, $44.85, $44.36
02/10/2020, $44.66, 15016120, $44.64, $44.731, $44.26
02/07/2020, $44.74, 14104150, $44.52, $44.85, $44.27
02/06/2020, $44.6, 15222390, $44.76, $45.06, $44.29
02/05/2020, $44.59, 20332220, $44.65, $45.14, $44.48
02/04/2020, $44.28, 28143240, $43.5, $44.52, $43.38
02/03/2020, $42.66, 26387890, $43.56, $43.65, $42.62
01/31/2020, $43.19, 24008280, $44.12, $44.14, $43
01/30/2020, $44.14, 25105460, $42.87, $44.19, $42.7
01/29/2020, $43.32, 21915250, $44.26, $44.26, $43.15
01/28/2020, $44.04, 15875900, $44.07, $44.415, $43.81
01/27/2020, $44, 24048850, $43.93, $44.75, $43.8
01/24/2020, $44.59, 39229340, $44.904, $45.06, $44.21
01/23/2020, $45.65, 37753020, $46.54, $46.98, $45.5144
01/22/2020, $47.44, 18251630, $47.5, $47.7, $47.27
01/21/2020, $47.3, 19141600, $47.48, $47.48, $46.79
01/17/2020, $47.5, 27667130, $47.68, $47.74, $47.1101
01/16/2020, $46.87, 24424390, $46.44, $46.92, $46.31
01/15/2020, $46.28, 15413470, $46.06, $46.545, $46.01
01/14/2020, $46.03, 16712120, $45.57, $46.22, $45.5
01/13/2020, $45.8, 21789590, $44.92, $45.87, $44.9
01/10/2020, $44.98, 15896330, $45.63, $45.63, $44.925
01/09/2020, $45.51, 14195400, $45.39, $45.61, $45.18
01/08/2020, $45.39, 18097610, $44.94, $45.57, $44.76
01/07/2020, $44.93, 24566230, $44.25, $45.005, $44.22
01/06/2020, $44.67, 17628500, $44.66, $44.87, $44.55
01/03/2020, $45.01, 20496470, $44.83, $45.2213, $44.57
01/02/2020, $45.37, 20171890, $45.36, $45.4, $44.93
12/31/2019, $44.97, 13881710, $45.12, $45.18, $44.765
12/30/2019, $45.18, 12896910, $45.1, $45.34, $44.94
12/27/2019, $45.1, 12272550, $45.1, $45.22, $44.86
12/26/2019, $44.97, 12019720, $44.73, $45, $44.565
12/24/2019, $44.53, 6504699, $44.1, $44.7, $44.1
12/23/2019, $44.1, 22609330, $44.08, $44.25, $43.95
12/20/2019, $44.09, 41423050, $43.74, $44.19, $43.23
12/19/2019, $43.64, 20723160, $43.27, $43.65, $43.025
12/18/2019, $43.19, 27057380, $43.45, $43.88, $43.135
12/17/2019, $43.39, 18743120, $43.89, $43.89, $43.27
12/16/2019, $43.53, 23559580, $43.89, $44.08, $43.32
12/13/2019, $43.58, 28975890, $42.84, $43.8, $42.73
12/12/2019, $43.01, 35992800, $42.19, $43.2, $42.17
12/11/2019, $42.07, 37611390, $42.79, $42.85, $42.01
12/10/2019, $42.77, 30177390, $43.73, $43.8, $42.705
12/09/2019, $43.89, 21650390, $44.26, $45.09, $43.735
12/06/2019, $44.24, 14667740, $44.36, $44.42, $44.01
12/05/2019, $44.04, 22570660, $43.48, $44.09, $43.26
12/04/2019, $43.51, 16872590, $43.7, $43.7386, $43.345
12/03/2019, $43.65, 22523110, $43.35, $43.73, $43.08
12/02/2019, $43.63, 16789380, $44.4, $44.4, $43.555
11/29/2019, $44.15, 8479332, $44.6, $44.6, $44.04
11/27/2019, $44.42, 20426880, $43.85, $44.575, $43.66
11/26/2019, $43.55, 38656970, $43.47, $43.85, $43.25
11/25/2019, $43.35, 26200510, $44.83, $44.9, $43.28
11/22/2019, $44.8, 14107500, $44.53, $44.9, $44.29
11/21/2019, $44.36, 16252820, $44.29, $44.45, $43.78
11/20/2019, $44.215, 15244240, $44.39, $44.63, $43.875
11/19/2019, $44.81, 16469520, $44.76, $44.905, $44.59
11/18/2019, $44.61, 16261420, $44.31, $44.62, $44.08
11/15/2019, $44.56, 23183710, $45.66, $45.67, $44.43
11/14/2019, $45.45, 11364320, $45.14, $45.565, $45.04
11/13/2019, $45.2, 11477580, $45.05, $45.555, $44.97
11/12/2019, $45.23, 12175350, $45.18, $45.31, $44.95
11/11/2019, $45.25, 11169500, $44.88, $45.6, $44.88
11/08/2019, $45.19, 13741760, $44.68, $45.2, $44.43
11/07/2019, $44.7, 15632910, $44.48, $45.005, $44.27
11/06/2019, $44.22, 19927420, $44.32, $44.35, $43.53
11/05/2019, $44.28, 15991270, $43.96, $44.48, $43.67
