Date, Close/Last, Volume, Open, High, Low
03/30/2020, $173.99, 2299669, $174.9, $176.9, $170.88
03/27/2020, $171.34, 2339166, $167, $178.33, $164.16
03/26/2020, $174.84, 3594384, $158, $176.98, $157.01
03/25/2020, $156.33, 4155593, $152, $160.59, $146.35
03/24/2020, $152.26, 3172297, $147.2, $153.255, $144.67
03/23/2020, $139.54, 3848569, $157.82, $157.82, $136.72
03/20/2020, $158.41, 5123422, $155.16, $163.87, $140.19
03/19/2020, $155.22, 4223838, $145.46, $158.33, $131.8
03/18/2020, $142.97, 4677348, $156, $159.1, $137.49
03/17/2020, $166.02, 3602635, $153.77, $168.43, $149.9
03/16/2020, $148.54, 5752382, $163, $168.46, $148.37
03/13/2020, $182.01, 4385807, $180.27, $184.16, $164.76
03/12/2020, $172.31, 4187546, $178.41, $187.85, $171.25
03/11/2020, $194.68, 2817316, $201.4, $203.04, $192.36
03/10/2020, $207.01, 2730779, $208.4, $212.48, $199.72
03/09/2020, $204.91, 3294463, $203.44, $212.86, $202.3093
03/06/2020, $216.26, 2771281, $217.46, $220.49, $212.74
03/05/2020, $221.82, 2800817, $219, $223.82, $216.66
03/04/2020, $223.63, 2348398, $217.7, $224.56, $214.81
03/03/2020, $216.07, 3753770, $209.39, $218.79, $208.71
03/02/2020, $209.4, 3768457, $198.46, $210.33, $198.37
02/28/2020, $198.82, 4751275, $206.16, $208.825, $195.925
02/27/2020, $210.39, 3940868, $220.4, $225.36, $210.23
02/26/2020, $220.18, 4405090, $212.96, $222.29, $211.66
02/25/2020, $208.32, 2754088, $209.66, $211.22, $206.89
02/24/2020, $209.3, 2604798, $207.28, $212.22, $206.2506
02/21/2020, $208.83, 2869537, $208.78, $210.64, $207.5
02/20/2020, $209, 1604230, $207.98, $209.29, $204.69
02/19/2020, $207.5, 1854530, $213.5, $214.32, $207.35
02/18/2020, $213.37, 1240529, $210.15, $214.15, $210.15
02/14/2020, $213.13, 1054480, $208.22, $213.24, $208.02
02/13/2020, $208.31, 1094153, $207.7, $210.25, $206.87
02/12/2020, $207.64, 2374361, $208.1, $210, $204.01
02/11/2020, $211.65, 1270272, $213.59, $215.14, $211.3
02/10/2020, $213.37, 1042738, $213.7, $215, $212.14
02/07/2020, $213.2, 1163114, $212.75, $215.26, $212.66
02/06/2020, $212.63, 1279969, $213.17, $214.57, $210.28
02/05/2020, $213.43, 1870362, $216.22, $216.9, $211.39
02/04/2020, $215.54, 1649252, $216.48, $218.44, $214.79
02/03/2020, $214.57, 1661805, $218, $218.44, $214.16
01/31/2020, $217.11, 1634635, $218.04, $220.35, $216.18
01/30/2020, $218.78, 1559246, $213.16, $218.88, $213.05
01/29/2020, $213.58, 921140, $213.78, $215.17, $211.65
01/28/2020, $213.21, 1406830, $213.01, $213.86, $211.9317
