Date, Close/Last, Volume, Open, High, Low
04/13/2020, $146.45, 934050, $150.04, $150.69, $144.34
04/09/2020, $150.7, 1133528, $152.52, $154.3, $148.83
04/08/2020, $149.56, 1152565, $147.28, $150.59, $144.53
04/07/2020, $145.84, 1580356, $147.91, $149.53, $144
04/06/2020, $142.12, 2088090, $138.62, $144.74, $137.73
04/03/2020, $132.27, 1588859, $132.07, $135.005, $129.46
04/02/2020, $132.76, 1325720, $128.89, $134.225, $127.61
04/01/2020, $130.39, 1160512, $129.77, $131.66, $127.3
03/31/2020, $135.32, 1581971, $133.52, $138.41, $131.39
03/30/2020, $134.48, 1234131, $132, $136.87, $131.2
03/27/2020, $131.66, 1267784, $127.55, $135.44, $127.55
03/26/2020, $134.96, 1534344, $131.51, $135.87, $125.5873
03/25/2020, $127.77, 2242372, $126.05, $132.13, $121.82
03/24/2020, $124.49, 2491591, $110.96, $124.77, $108.94
03/23/2020, $102.76, 2155178, $114.35, $114.98, $101.025
03/20/2020, $116.48, 2114524, $120.91, $122.17, $115.16
03/19/2020, $118.55, 1756416, $121.85, $122.487, $115
03/18/2020, $123.47, 1879540, $127.45, $131.92, $117.79
03/17/2020, $136.8, 2616136, $133.74, $137.81, $128.74
03/16/2020, $131.45, 1922998, $124.91, $136.24, $122.95
03/13/2020, $136.84, 2252431, $135.82, $137.92, $129.5
03/12/2020, $129.09, 2288936, $132.54, $135.33, $127.07
03/11/2020, $141.07, 2210729, $141.9, $145.08, $139.5
03/10/2020, $145.63, 2517760, $144.18, $145.8, $137.99
03/09/2020, $139.27, 2356089, $138.2, $141.325, $136.565
03/06/2020, $148.6, 1757855, $144.68, $149.13, $144.2
03/05/2020, $148.66, 1537085, $152.02, $153.63, $147.465
03/04/2020, $156.44, 1593466, $154.5, $157.34, $153.495
03/03/2020, $152.15, 1744300, $155.17, $159.31, $151.335
03/02/2020, $155.66, 1794376, $151.56, $155.94, $149.01
02/28/2020, $151.29, 2158615, $149.68, $152, $146.98
02/27/2020, $154.46, 1855725, $155.22, $160.37, $151.93
02/26/2020, $157.97, 1499100, $162.79, $163.9, $157.64
02/25/2020, $161.01, 1995270, $163.72, $164.3251, $160.29
02/24/2020, $162.78, 1551511, $162.33, $163.81, $161.21
02/21/2020, $167.46, 1139773, $165.96, $167.53, $163.56
02/20/2020, $167.12, 1019464, $166.1, $169.71, $165.06
02/19/2020, $167.84, 1560787, $166.06, $168.22, $166.06
02/18/2020, $166.06, 1325032, $165.93, $167.1, $164.375
02/14/2020, $166.78, 976369, $166.17, $166.9, $164.88
02/13/2020, $166.1, 1266742, $168.7, $170.11, $165.79
02/12/2020, $168.04, 1163907, $165.54, $168.42, $164.92
02/11/2020, $164.3, 864010, $163.1, $165.22, $163.1
02/10/2020, $162.23, 1057911, $160.25, $162.71, $160.11
02/07/2020, $160.8, 1361136, $164.44, $164.92, $160.4
02/06/2020, $165.95, 1127504, $168.64, $168.65, $164.88
02/05/2020, $166.43, 1410888, $162.7, $166.59, $162.04
02/04/2020, $161, 2826191, $167, $168.64, $160.84
02/03/2020, $162.89, 2248598, $161.31, $164.47, $160.33
01/31/2020, $159.97, 2721492, $163.47, $163.96, $158.18
01/30/2020, $166.1, 979836, $164.16, $166.33, $163.7336
01/29/2020, $165.69, 1249597, $167.27, $167.39, $165.64
01/28/2020, $166.08, 920822, $166.21, $166.96, $164.99
01/27/2020, $164.77, 1184153, $165.41, $166.38, $164.45
01/24/2020, $169.15, 933807, $171.6, $171.735, $167.77
01/23/2020, $171.66, 976410, $169.76, $171.88, $167.42
01/22/2020, $170.11, 941190, $171.74, $172.05, $169.365
01/21/2020, $171.07, 1277441, $173.11, $173.2231, $170.5
01/17/2020, $173.8, 2181589, $175.88, $177.29, $172.98
01/16/2020, $175.26, 1034033, $173.53, $175.435, $172.97
01/15/2020, $172.61, 997106, $171, $172.75, $170.6897
01/14/2020, $172.4, 1132986, $174.97, $175.2995, $172.17
01/13/2020, $172.49, 972175, $171.88, $172.77, $170.92
01/10/2020, $171.43, 1153596, $174.24, $174.31, $171.32
01/09/2020, $173.52, 1199822, $174.76, $175.31, $171.37
01/08/2020, $174.35, 896792, $174.17, $175.42, $173.08
01/07/2020, $174.26, 1437426, $174.08, $174.8371, $171.65
01/06/2020, $174.13, 1253904, $175.56, $175.56, $173.16
01/03/2020, $176.81, 1017606, $177.18, $177.18, $174.38
01/02/2020, $179.32, 1206548, $180.02, $180.875, $177.4
12/31/2019, $178.96, 735797, $179.28, $179.83, $177.98
12/30/2019, $179.16, 560092, $180.63, $180.805, $178.83
12/27/2019, $180.7, 747893, $181.88, $182.62, $180.47
12/26/2019, $181.42, 501681, $181.55, $181.95, $180.66
12/24/2019, $181.16, 276738, $181.6, $181.94, $180.91
12/23/2019, $181.42, 821502, $181.13, $182.27, $180.5
12/20/2019, $181.11, 2285885, $181.1, $181.95, $179.24
12/19/2019, $179.3, 1058213, $181.14, $181.44, $178.11
12/18/2019, $180.8, 1162311, $182.62, $182.62, $179.42
12/17/2019, $182.27, 819397, $181.93, $182.91, $181.24
12/16/2019, $181.81, 1104695, $181.74, $184.015, $181.68
12/13/2019, $182.48, 976827, $183.84, $185.86, $181.51
12/12/2019, $184.88, 1195995, $181.55, $185.64, $180.51
12/11/2019, $182.11, 958957, $181.79, $182.4853, $180.35
12/10/2019, $179.65, 936573, $180.36, $181.01, $178.715
12/09/2019, $181.04, 710087, $180.38, $181.3, $179.36
12/06/2019, $180.41, 713335, $181.14, $182.185, $180.32
12/05/2019, $178.72, 899914, $178.44, $179.36, $177.6
12/04/2019, $178.04, 957351, $178.97, $180.67, $178.02
12/03/2019, $178.1, 1060996, $178.7, $178.7, $175.39
12/02/2019, $181.26, 940187, $183.39, $184.63, $181.1
11/29/2019, $182.86, 455241, $183.62, $184, $182.46
11/27/2019, $184.81, 896584, $185.04, $185.185, $182.89
11/26/2019, $185.04, 917636, $184.08, $185.14, $182.93
11/25/2019, $184.02, 1412649, $181.2, $184.09, $179.71
11/22/2019, $180.15, 1051984, $181.24, $181.4, $178.74
11/21/2019, $180.82, 937870, $180.1, $182.37, $179.5709
11/20/2019, $180.62, 1036355, $182.35, $182.69, $179.5737
11/19/2019, $182.96, 1916661, $184.26, $184.37, $181.27
11/18/2019, $183.46, 838345, $182.2, $183.68, $180.78
11/15/2019, $184, 1088188, $182.5, $184.45, $181.63
11/14/2019, $180.84, 748696, $180.38, $181.82, $179.6644
11/13/2019, $180.69, 961225, $181.3, $181.85, $179.82
11/12/2019, $184.09, 1130359, $186.29, $186.5, $183.735
11/11/2019, $186.44, 905958, $185.02, $186.62, $184.87
11/08/2019, $186.27, 1249382, $183.98, $186.725, $182
11/07/2019, $182.53, 1665655, $182.82, $184.52, $182.09
11/06/2019, $181.39, 1217652, $179.08, $181.42, $176.57
11/05/2019, $179.93, 1047295, $179.31, $181.53, $179
11/04/2019, $179.18, 1357645, $178.45, $179.555, $176.67
11/01/2019, $176.57, 1963625, $173.68, $176.57, $172.32
10/31/2019, $172.48, 1391356, $174.08, $174.59, $169.91
10/30/2019, $174.59, 1884621, $177.24, $177.77, $172.76
10/29/2019, $177.12, 2666945, $174.64, $179.63, $173.65
10/28/2019, $180.03, 1404464, $180.01, $180.56, $178.07
10/25/2019, $178.52, 1303293, $175.72, $179.18, $175.58
10/24/2019, $175.43, 914633, $175.66, $175.72, $173.39
10/23/2019, $175.19, 977218, $174.03, $175.31, $172.88
10/22/2019, $175.1, 1293866, $172.34, $175.5, $170.1141
10/21/2019, $171.32, 978251, $171.64, $172.86, $170.7
10/18/2019, $170.28, 1223602, $167.85, $170.88, $167.24
10/17/2019, $167.64, 649574, $167.31, $168.56, $166.27
10/16/2019, $166.18, 894582, $166.2, $168.45, $165.81
10/15/2019, $166.35, 1077998, $163.14, $167.44, $162.21
10/14/2019, $163.76, 872661, $159.9, $163.9, $157.8509
10/11/2019, $162.76, 1343530, $160.31, $165, $160.31
10/10/2019, $157.05, 812160, $155.69, $158.6, $155.19
10/09/2019, $155.01, 793722, $154.82, $156.02, $153.52
10/08/2019, $153.14, 1031443, $154.49, $155.2225, $152.55
10/07/2019, $156.5, 836109, $157.07, $158.339, $155.86
10/04/2019, $157.86, 977177, $154.81, $158.13, $154.81
10/03/2019, $154.99, 1450989, $153.65, $155.04, $151.15
10/02/2019, $154.12, 1250315, $155.45, $157, $153.65
10/01/2019, $157.54, 1310945, $164.02, $165.35, $157.0338
09/30/2019, $162.67, 990472, $161.2, $163.7299, $160.65
09/27/2019, $161.3, 1002321, $161.06, $161.73, $159.27
09/26/2019, $159.95, 891930, $161.42, $162.25, $159.4
09/25/2019, $161.37, 1507819, $160.12, $162.5, $159.0912
09/24/2019, $160.61, 1428312, $163.22, $163.55, $159.82
09/23/2019, $162.19, 1328142, $160.43, $163.51, $160.2
09/20/2019, $161.57, 3626452, $162.06, $163.93, $161.13
09/19/2019, $162.02, 783920, $162.9, $164.06, $161.57
09/18/2019, $162.35, 1078366, $162.19, $162.81, $160.11
09/17/2019, $163.02, 1351598, $163, $163.44, $161.31
09/16/2019, $163.7, 1126848, $163.87, $165.4035, $163.46
09/13/2019, $165.11, 1058488, $166.17, $167.345, $164.88
09/12/2019, $165.05, 984530, $165.34, $166.41, $162.865
09/11/2019, $165.49, 1254710, $163.5, $165.5, $160.6
09/10/2019, $163.99, 1836893, $161.27, $165.47, $160.68
09/09/2019, $160.82, 1704801, $155.32, $160.99, $155.1
09/06/2019, $154.9, 1124800, $155.01, $156.19, $153.87
09/05/2019, $154.66, 1563596, $151.06, $156.16, $150.55
09/04/2019, $148.97, 975202, $148, $149.15, $147.5
09/03/2019, $145.91, 1268889, $147.62, $148.22, $144.12
08/30/2019, $149.27, 939514, $150.25, $151.18, $148.75
08/29/2019, $149.1, 1368360, $147.34, $149.75, $147.07
08/28/2019, $145.6, 1169166, $142.63, $145.88, $141.53
08/27/2019, $142.8, 1171119, $144.47, $144.94, $142.8
08/26/2019, $143.14, 1197764, $143.66, $143.91, $141.52
08/23/2019, $142.02, 1533186, $145.59, $146.23, $141.14
08/22/2019, $146.68, 1021309, $148.28, $149.42, $145.65
08/21/2019, $147.76, 1014041, $147.91, $149.41, $147.16
08/20/2019, $146.21, 1150511, $147.64, $147.845, $145.77
08/19/2019, $149.04, 2291166, $151.64, $152.15, $148.7226
08/16/2019, $149.25, 1237818, $147, $150.255, $147
08/15/2019, $146.03, 1505556, $144.99, $146.43, $144.05
08/14/2019, $144.49, 1839191, $148.28, $148.99, $144.13
08/13/2019, $151.07, 1414202, $147.5, $154.265, $147.31
08/12/2019, $148.16, 1089012, $149.41, $150.17, $147.2
08/09/2019, $149.96, 1396020, $152.74, $153.25, $148.41
08/08/2019, $153.72, 1240645, $152.86, $154.38, $152.3
08/07/2019, $152.26, 1478289, $151.73, $153.78, $149.39
08/06/2019, $154.4, 1223495, $152.51, $154.42, $151.29
08/05/2019, $151.43, 2317869, $155.57, $156.22, $150.01
08/02/2019, $158.68, 1317108, $158.6, $159.6, $157.05
08/01/2019, $159.73, 1435516, $163.88, $165.24, $158.6715
07/31/2019, $164, 1907057, $164.76, $166.8, $162.06
07/30/2019, $165.17, 2355502, $162.5, $166.51, $162.33
07/29/2019, $173.97, 1194329, $174.86, $175.43, $173.3
07/26/2019, $174.74, 855240, $174.2, $175.28, $173.14
07/25/2019, $174.96, 940890, $175.02, $175.54, $172.95
07/24/2019, $175.37, 1026490, $172.34, $175.91, $171.55
07/23/2019, $173.37, 1144457, $171.49, $173.55, $170.69
07/22/2019, $170.73, 1038509, $173.27, $173.665, $170.39
07/19/2019, $172.8, 1904617, $168.98, $175.18, $168.665
07/18/2019, $167.94, 959122, $169.11, $169.7, $166.65
07/17/2019, $169.29, 1075272, $172.09, $172.22, $169.04
07/16/2019, $172.35, 750194, $170.01, $172.6, $169.315
07/15/2019, $171.12, 650502, $171.58, $172.355, $169.92
07/12/2019, $171.09, 1254163, $169.68, $172.09, $169.65
07/11/2019, $168.86, 951541, $168.4, $168.9, $166.09
07/10/2019, $167.4, 827069, $168, $169.1, $167.03
07/09/2019, $167.29, 1231468, $167.83, $168.455, $166.1
07/08/2019, $169.06, 996260, $168.99, $170, $168.255
07/05/2019, $169.15, 829189, $168.96, $169.65, $165.77
07/03/2019, $170.24, 756702, $171.71, $172.01, $168.89
07/02/2019, $170.2, 1164891, $171.06, $171.625, $169.255
07/01/2019, $172.86, 2385825, $173, $173.7718, $170.24
06/28/2019, $171.34, 2680523, $169.03, $171.44, $168.541
06/27/2019, $168.25, 705552, $169.31, $169.86, $166.86
06/26/2019, $168.91, 831617, $169.7, $170.18, $168.61
06/25/2019, $168.85, 1987479, $170.7, $170.7, $167.93
06/24/2019, $170.16, 1163065, $170.22, $171.309, $169.34
06/21/2019, $169.96, 1713552, $171.42, $171.6, $169.5
06/20/2019, $171.6, 1556615, $170, $171.84, $168.78
06/19/2019, $167.95, 1064291, $166.77, $168.18, $165.965
06/18/2019, $166.84, 1031884, $163.09, $168, $163.09
06/17/2019, $162.28, 787051, $163.93, $164.15, $161.97
06/14/2019, $163.86, 958632, $164.21, $164.21, $161.5553
06/13/2019, $164.36, 836673, $163.52, $164.41, $162
06/12/2019, $163.07, 1068939, $164.08, $164.16, $162.17
06/11/2019, $164.21, 1062647, $165.18, $167.26, $164.02
06/10/2019, $163.08, 885107, $163.1, $164.84, $162.445
06/07/2019, $161.95, 803420, $161.4, $163.02, $160.01
06/06/2019, $160.77, 983802, $159.12, $161.2225, $158.61
06/05/2019, $159.55, 1515459, $157.71, $159.66, $154.97
06/04/2019, $156.34, 1743444, $154.35, $156.36, $152.9
06/03/2019, $152.36, 1653094, $150.9, $153.94, $150.78
05/31/2019, $150.76, 1640757, $154.9, $155.24, $150.48
05/30/2019, $158.53, 1063512, $158.82, $159.97, $157.86
05/29/2019, $157.91, 1076804, $157.59, $159.14, $156.24
05/28/2019, $158.7, 1596090, $160.34, $161.67, $158.68
05/24/2019, $159.92, 935770, $160.47, $161.52, $159.29
05/23/2019, $159.25, 1282964, $159.21, $160.195, $157.74
05/22/2019, $163.5, 1095162, $163.9, $164.46, $162.64
05/21/2019, $164.24, 1098080, $162.4, $164.53, $162.35
05/20/2019, $161.18, 1133469, $158.56, $161.34, $158.56
05/17/2019, $159.24, 1109412, $160.8, $161.11, $158.84
05/16/2019, $162.51, 836860, $162.47, $163.33, $161.9
05/15/2019, $161.42, 1036511, $159.8, $161.96, $157.92
05/14/2019, $160.76, 1232085, $159.45, $161.26, $158.52
05/13/2019, $158.89, 1436525, $162.41, $162.41, $158.06
05/10/2019, $165.39, 928894, $164.6, $165.75, $161.29
05/09/2019, $165.34, 1373709, $163.26, $165.5, $161.44
05/08/2019, $165.35, 755373, $165.47, $166.79, $164.265
05/07/2019, $165.61, 1183956, $165.97, $166.85, $163.98
05/06/2019, $167.6, 1165718, $165.64, $167.84, $164.15
05/03/2019, $169.19, 1296699, $166.53, $169.28, $166.18
05/02/2019, $166.17, 1208415, $165.23, $166.6, $163.8
05/01/2019, $165.47, 1327035, $166.51, $168.45, $164.97
04/30/2019, $166.29, 1857420, $167.54, $169.45, $163.83
04/29/2019, $164.14, 1498581, $163.65, $164.38, $162.72
04/26/2019, $163.34, 1167075, $162.7, $163.53, $161.82
04/25/2019, $162.14, 942769, $165.04, $165.77, $161.68
04/24/2019, $166.17, 698701, $166.43, $167.93, $165.5
04/23/2019, $166.81, 1204918, $166, $167.42, $164.6
04/22/2019, $165.96, 700295, $167.05, $167.06, $165.42
04/18/2019, $167.84, 1511561, $166.45, $168.22, $166
04/17/2019, $165.96, 979579, $168.13, $169.365, $165.745
04/16/2019, $167.22, 970043, $166.62, $167.76, $165.1
04/15/2019, $164.97, 1587008, $166.08, $166.67, $164.56
04/12/2019, $166.07, 934480, $165.6, $166.8, $164.705
04/11/2019, $164.56, 613759, $162.68, $165, $162.08
04/10/2019, $162.54, 545829, $162.32, $163.2, $161.24
04/09/2019, $161.71, 808009, $162.16, $162.86, $160.26
04/08/2019, $163.19, 534256, $163, $163.555, $162.16
04/05/2019, $163.27, 904497, $163.5, $164.43, $162.93
04/04/2019, $163.43, 654288, $160.95, $163.64, $160.43
04/03/2019, $161.45, 616599, $162.19, $162.7675, $160.97
04/02/2019, $161.83, 986416, $162.51, $163.79, $161.625
04/01/2019, $162.33, 1259652, $159.68, $162.6, $159.3501
03/29/2019, $157.87, 1370329, $157.25, $157.94, $156.39
03/28/2019, $155.99, 1197799, $155.9, $156.85, $155.24
03/27/2019, $155.55, 1371634, $156.47, $156.5294, $154.87
03/26/2019, $156.27, 981282, $157.59, $158.3399, $155.7065
03/25/2019, $156.45, 898297, $155.5, $156.74, $155.39
03/22/2019, $155.63, 1348382, $157.64, $157.805, $154.94
03/21/2019, $158.62, 711934, $157.09, $159.2, $157.09
03/20/2019, $157.76, 1462028, $159.48, $159.7739, $156.37
03/19/2019, $160.11, 1496157, $161.22, $162.34, $159.56
03/18/2019, $160.55, 1182162, $157.7, $160.61, $157.5918
03/15/2019, $157.41, 3532801, $157.11, $158.09, $156.55
03/14/2019, $157.11, 1707505, $156.73, $157.83, $156.3
03/13/2019, $156.96, 1796147, $159, $159, $156.65
03/12/2019, $158.42, 1924447, $158.45, $158.8897, $157.25
03/11/2019, $158.04, 1606060, $154.59, $158.24, $154.11
03/08/2019, $154.57, 1402207, $152.76, $155.2, $152.74
03/07/2019, $154.29, 1332683, $153.9, $155.08, $151.88
03/06/2019, $154.52, 1070815, $154.45, $155.42, $153.83
03/05/2019, $154.49, 1031095, $154.45, $156.18, $154.45
03/04/2019, $155.04, 1131722, $155.51, $156.13, $153.32
03/01/2019, $154.41, 1494073, $155.22, $155.905, $153.758
02/28/2019, $154.09, 1000563, $154.98, $154.98, $153.71
02/27/2019, $155.36, 1132422, $155.72, $156.18, $154
02/26/2019, $155.31, 1664322, $154.83, $157.04, $154.03
02/25/2019, $156.08, 970308, $156.9, $157.17, $155.21
02/22/2019, $155.44, 1384318, $154.56, $156.23, $154.12
02/21/2019, $154.07, 1152869, $153.49, $155.34, $152.97
02/20/2019, $155.39, 1497882, $154.11, $155.87, $152.79
02/19/2019, $153.66, 1820195, $155.08, $155.31, $153.46
02/15/2019, $155.47, 1350223, $152.32, $155.5, $151.74
02/14/2019, $151.39, 810548, $151.58, $152.43, $151
02/13/2019, $152.71, 1137265, $152.44, $153.47, $151.42
02/12/2019, $151.79, 1129094, $149.11, $152.16, $148.98
02/11/2019, $148.18, 1272192, $148.16, $149.11, $147.44
02/08/2019, $148.28, 891161, $148.41, $149.26, $146.525
02/07/2019, $149.62, 1141631, $149.41, $150.74, $148.4
02/06/2019, $149.35, 2116542, $147.47, $150.97, $146.24
02/05/2019, $149.82, 1673948, $148.48, $149.92, $147.325
02/04/2019, $148.75, 1343746, $146.88, $148.82, $145.91
02/01/2019, $146.71, 1495938, $147.22, $147.8, $145.8
01/31/2019, $147.11, 1651602, $146.17, $147.32, $144.75
01/30/2019, $146.36, 1155363, $147.74, $147.79, $144.24
01/29/2019, $146.38, 1075282, $144.09, $146.61, $143.64
01/28/2019, $142.82, 1294363, $144.13, $144.13, $140.88
01/25/2019, $146.84, 1026572, $145.98, $147.4, $145.8
01/24/2019, $143.89, 1480887, $143.34, $144.485, $142.58
01/23/2019, $143.45, 1650329, $146.72, $147.1199, $143.4
01/22/2019, $146.18, 1869826, $149.47, $149.88, $145.81
01/18/2019, $150.56, 1963054, $146.33, $150.73, $146.25
01/17/2019, $145.1, 1249936, $140.51, $145.61, $140.51
01/16/2019, $141.37, 1189940, $139.07, $141.7, $138.73
01/15/2019, $138.9, 1422235, $140.43, $140.65, $138.1
01/14/2019, $140.23, 1547575, $138.76, $140.54, $137.58
01/11/2019, $139.54, 1152649, $139.02, $140.1, $138.205
01/10/2019, $139.33, 1431340, $136.53, $139.49, $135.78
01/09/2019, $137.47, 1734791, $138.39, $139.14, $136.78
01/08/2019, $137.2, 1314364, $138.28, $140.06, $136.92
01/07/2019, $136.84, 1113996, $136.14, $138.72, $135.29
01/04/2019, $136.17, 1241120, $132.33, $136.29, $132.27
01/03/2019, $130.74, 1192420, $132.41, $132.83, $130.03
01/02/2019, $133.38, 1172500, $131.22, $134.13, $130.93
12/31/2018, $133.64, 895929, $132.4, $133.69, $131.87
12/28/2018, $131.66, 1071976, $133.07, $134.43, $130.76
12/27/2018, $132.58, 1138646, $128.63, $132.58, $126.02
12/26/2018, $131.07, 1456825, $125.66, $131.13, $124.4
12/24/2018, $125.49, 904274, $127.96, $128.01, $125.418
12/21/2018, $128.22, 2362039, $130.24, $133.2, $127.72
12/20/2018, $130.11, 1643852, $129.89, $133.025, $128.5
12/19/2018, $130.89, 2176869, $131.65, $135.4, $129.2539
12/18/2018, $131.34, 1616838, $132.85, $134.25, $129.94
12/17/2018, $131.45, 1516260, $133.45, $135.38, $130.93
12/14/2018, $133.84, 1110593, $132.86, $135.62, $132.38
12/13/2018, $134.47, 1426439, $136.45, $137.59, $133.83
12/12/2018, $135.97, 1407612, $136.36, $138.33, $135.83
12/11/2018, $134.4, 1173178, $138.57, $139.3481, $133.31
12/10/2018, $136.29, 1275247, $137.49, $138.41, $133.61
12/07/2018, $138.6, 1304702, $142.49, $144.89, $137.58
12/06/2018, $142.29, 1944218, $142.95, $143.38, $137.56
12/04/2018, $146.37, 1667640, $151.92, $151.92, $146.19
12/03/2018, $152.47, 1779148, $154.86, $156.49, $151.33
11/30/2018, $151.06, 1415782, $148.26, $151.58, $148.175
11/29/2018, $148.2, 988202, $148.37, $149.09, $146.775
11/28/2018, $148.56, 860430, $145.82, $148.56, $143.67
11/27/2018, $145.18, 1358671, $146.46, $147.37, $144.33
11/26/2018, $147.19, 1050547, $146.26, $148.85, $145.85
11/23/2018, $144.81, 451681, $143.91, $145.69, $143.78
11/21/2018, $145, 867728, $143.33, $147.24, $142.8331
11/20/2018, $143.17, 1312382, $144.63, $145.08, $141.13
11/19/2018, $145.72, 2220381, $146.15, $147.65, $145.26
11/16/2018, $147.11, 1812351, $147.3, $149.03, $146.9165
11/15/2018, $147.46, 2057859, $144.34, $148.73, $143.4807
11/14/2018, $145.84, 1288296, $144.8, $147.505, $144.19
11/13/2018, $144.5, 1592999, $145.07, $147.61, $144.04
11/12/2018, $144.36, 949724, $143.59, $145.64, $142.28
11/09/2018, $143.07, 2661699, $144.93, $145.85, $141.94
11/08/2018, $146.25, 1176705, $146.08, $147.915, $145.235
11/07/2018, $146.73, 1855797, $146.76, $146.83, $143.19
11/06/2018, $145.11, 855233, $142.9, $145.8, $142.4748
11/05/2018, $143.83, 1324273, $141.8, $144.96, $141.4
11/02/2018, $141.83, 1335486, $143.16, $144.72, $141.25
11/01/2018, $142.19, 1520271, $137.69, $144.24, $137.5231
10/31/2018, $136.69, 3324084, $137.11, $139.355, $136.23
10/30/2018, $134.4, 3201108, $129.73, $134.99, $124.72
10/29/2018, $131.38, 2336855, $131.06, $134.16, $129.31
10/26/2018, $128.77, 2180304, $126.81, $129.54, $124.8742
10/25/2018, $128.37, 3330285, $129.58, $131.1, $128.12
10/24/2018, $128.07, 2133409, $134.68, $135.44, $127.82
10/23/2018, $134.64, 2746464, $134.81, $136.02, $131.1201
10/22/2018, $139.93, 1174539, $140.65, $140.65, $138.12
10/19/2018, $139.96, 1648204, $141.48, $142, $139.14
10/18/2018, $141.2, 2090719, $145.84, $145.84, $140.6
10/17/2018, $146.19, 1133929, $146.58, $147.3, $144.59
10/16/2018, $147.41, 1060882, $147.37, $147.67, $145.75
10/15/2018, $146.06, 959247, $145.41, $147.78, $145.21
10/12/2018, $145.24, 1794630, $147.59, $147.83, $143.07
10/11/2018, $145.47, 1709159, $147.25, $149.23, $144.58
10/10/2018, $147.86, 1801439, $151, $151, $147.2614
10/09/2018, $150.83, 1420217, $153.27, $153.94, $149.61
10/08/2018, $152.84, 1821448, $150.44, $153.29, $150.1
10/05/2018, $151.28, 1280481, $152.32, $152.94, $150.23
10/04/2018, $152.49, 1578941, $152.67, $153.47, $151.364
10/03/2018, $150.59, 1082699, $149.13, $151.86, $148.66
10/02/2018, $148.95, 1019863, $148.35, $149.809, $147.61
10/01/2018, $147.99, 1207199, $147.77, $149.02, $147.25
09/28/2018, $146.07, 1880911, $146.5, $146.78, $145.59
09/27/2018, $147.19, 920824, $147.25, $148.34, $146.13
09/26/2018, $147.03, 986439, $148.02, $148.75, $146.8282
09/25/2018, $148.22, 1475046, $149.07, $149.72, $147.687
09/24/2018, $149.08, 1922129, $150.52, $150.67, $148.62
09/21/2018, $151.02, 2160751, $151.28, $151.83, $150
09/20/2018, $150.84, 1547170, $149.53, $151.87, $149.295
09/19/2018, $148.33, 1251925, $145.87, $149.42, $145.34
09/18/2018, $145.58, 1240299, $144.45, $145.92, $143.09
09/17/2018, $144.49, 1084834, $143.2, $145.67, $143.2
09/14/2018, $143.2, 1021882, $142.4, $143.39, $141.56
09/13/2018, $142.26, 1433566, $143.15, $144, $141.23
09/12/2018, $142.07, 1554241, $141.75, $142.65, $139.28
09/11/2018, $143.05, 1006751, $141.49, $143.54, $140.3
09/10/2018, $142.41, 890182, $141.22, $144, $141.2
09/07/2018, $141.03, 1322131, $140.76, $142.76, $139.29
09/06/2018, $140.91, 1303987, $141.61, $143.54, $140.17
09/05/2018, $142.44, 1994516, $139.67, $142.58, $139.15
09/04/2018, $139.99, 1618477, $141.18, $141.98, $139.04
08/31/2018, $141.8, 1285860, $141.1, $142.22, $140.79
