Date, Close/Last, Volume, Open, High, Low
04/13/2020, $65.15, 4896492, $65.92, $66.15, $63.82
04/09/2020, $66.42, 6814317, $65.13, $68.63, $64.47
04/08/2020, $65.15, 4992123, $60.63, $65.86, $59.7
04/07/2020, $60.15, 5105507, $62.41, $63.22, $59.2
04/06/2020, $60.12, 4579143, $56.99, $60.62, $56.3701
04/03/2020, $54.6, 3841437, $55.95, $56.75, $53.83
04/02/2020, $56.36, 2980924, $55.52, $57.46, $54.02
04/01/2020, $56.12, 4849733, $56.36, $57.64, $55.65
03/31/2020, $59.41, 7812775, $57.71, $59.91, $56.23
03/30/2020, $57.71, 4595984, $55.24, $58.96, $54.87
03/27/2020, $55.1, 4706284, $55.63, $57.48, $53.9
03/26/2020, $58.3, 6653128, $53.25, $58.61, $52.17
03/25/2020, $52.29, 6327494, $48.5, $54.85, $46.71
03/24/2020, $48.73, 8091178, $48.17, $50.25, $46.27
03/23/2020, $45.55, 7328054, $47.97, $48.07, $44.81
03/20/2020, $48.85, 8462954, $54.48, $57.35, $47.95
03/19/2020, $53.6, 5897762, $51.96, $54.5, $48.03
03/18/2020, $52.68, 7918659, $54.03, $55.66, $43.96
03/17/2020, $57.99, 7641271, $55.13, $58.52, $52.75
03/16/2020, $54.03, 7447296, $56.77, $58.43, $54.02
03/13/2020, $63.57, 8702459, $59.5, $63.97, $56.98
03/12/2020, $57.13, 9086611, $52.75, $60.6665, $51.865
03/11/2020, $57.95, 8351623, $58.12, $59.98, $57.15
03/10/2020, $60.37, 8412775, $57.26, $60.7, $56.33
03/09/2020, $55.36, 8343892, $53.94, $57.3299, $53
03/06/2020, $58.56, 8606800, $57.4, $58.83, $56.33
03/05/2020, $59.72, 6569047, $60.39, $62.58, $58.62
03/04/2020, $62.46, 17185560, $60.9, $63.39, $59.74
03/03/2020, $54.03, 8821238, $55.5, $57.35, $53.2368
03/02/2020, $55.44, 9814912, $53.51, $55.6, $51.55
02/28/2020, $53.02, 8612363, $50.66, $53.07, $50.46
02/27/2020, $52.62, 9801810, $53.27, $55.215, $52.15
02/26/2020, $54.39, 9804388, $55.84, $56.57, $53.54
02/25/2020, $55.95, 6020280, $59.78, $59.9, $55.83
02/24/2020, $59.35, 8368189, $62.37, $63.4565, $58.75
02/21/2020, $65.49, 3098893, $65.21, $65.92, $64.84
02/20/2020, $65.73, 3676839, $66.7, $66.92, $65.14
02/19/2020, $67.37, 7282252, $66.72, $67.45, $66.07
02/18/2020, $66.71, 7023357, $65.03, $66.87, $64.78
02/14/2020, $64.94, 5962358, $65.78, $65.88, $64.27
02/13/2020, $65.89, 3112427, $65.79, $66.85, $65.72
02/12/2020, $66.49, 6668938, $64.66, $67.07, $64.57
02/11/2020, $63.71, 3628139, $63.14, $64.21, $63.04
02/10/2020, $63, 4297648, $63.15, $63.27, $62.495
02/07/2020, $63.16, 3818098, $64.43, $64.435, $62.9
02/06/2020, $64.35, 5731248, $65.81, $65.99, $63.71
02/05/2020, $66.07, 6582254, $63.17, $66.34, $63.12
02/04/2020, $61.97, 8366587, $61.82, $64, $60.5
02/03/2020, $62.88, 7313792, $63.31, $63.41, $62.28
01/31/2020, $62.81, 8643416, $62.84, $63.24, $62.189
01/30/2020, $63.52, 6159757, $64.33, $64.57, $62.556
01/29/2020, $65.2, 8212204, $65.08, $65.88, $64.26
01/28/2020, $65.25, 6978730, $64.05, $65.5, $63.99
01/27/2020, $63.42, 11173970, $65.62, $65.66, $62.91
01/24/2020, $66.61, 7332731, $68.31, $68.64, $66.49
01/23/2020, $68.02, 11178770, $66.7, $68.08, $65.055
01/22/2020, $66.76, 8734650, $65.86, $67.49, $65.42
01/21/2020, $65.49, 3458051, $64.23, $66.09, $64.21
01/17/2020, $64.54, 3428432, $65.07, $65.08, $63.47
01/16/2020, $65.13, 2098227, $64.68, $65.18, $64.06
01/15/2020, $64.52, 3355960, $63.35, $64.99, $63.29
01/14/2020, $63.17, 5819054, $63.29, $63.56, $62.89
01/13/2020, $63.4, 4546665, $64.31, $64.44, $62.83
01/10/2020, $64.48, 2897766, $64.5, $64.99, $64.09
01/09/2020, $64.16, 2510544, $64.52, $64.77, $63.96
01/08/2020, $64.37, 3969625, $63.09, $64.59, $62.71
01/07/2020, $63.03, 3495164, $63.03, $63.29, $61.91
01/06/2020, $63.03, 4093868, $61.05, $63.1, $60.95
01/03/2020, $61.16, 4964998, $60.74, $62.12, $60.74
01/02/2020, $61.88, 4969235, $62.98, $63.27, $60.82
12/31/2019, $62.87, 2163096, $63, $63.39, $62.4
12/30/2019, $63.04, 2199515, $63.78, $63.79, $62.795
12/27/2019, $63.65, 1622954, $63.43, $63.67, $63.21
12/26/2019, $63.4, 1870835, $63.34, $63.56, $62.99
12/24/2019, $63.23, 978875, $63, $63.2606, $62.56
12/23/2019, $62.9, 4281687, $62.29, $63.14, $61.75
12/20/2019, $61.93, 6544208, $61.24, $62.06, $60.51
12/19/2019, $61.87, 5747633, $63.07, $63.49, $61.715
12/18/2019, $60.35, 3229193, $59.19, $60.53, $58.88
12/17/2019, $58.94, 3508209, $59.68, $59.9, $58.8
12/16/2019, $60.02, 7383144, $58.06, $60.82, $57.64
12/13/2019, $57.71, 6236434, $57.97, $59.03, $57.05
12/12/2019, $58.52, 3430264, $58.75, $59.7, $58.31
12/11/2019, $58.64, 4781397, $59.39, $59.54, $58.485
12/10/2019, $59.62, 2684917, $59.11, $59.65, $58.97
12/09/2019, $59.17, 3995594, $61.18, $61.2199, $59.135
12/06/2019, $60.98, 3159462, $60.27, $61.285, $60.165
12/05/2019, $60.02, 2754597, $60, $60.22, $59.23
12/04/2019, $59.98, 2530508, $60.3, $60.47, $59.91
12/03/2019, $60.07, 3080198, $59.22, $60.09, $58.53
12/02/2019, $60.18, 5178147, $60.32, $60.92, $59.4125
11/29/2019, $60.47, 1147838, $60.4, $60.64, $59.72
11/27/2019, $60.44, 2983286, $60.11, $60.76, $59.61
11/26/2019, $60.02, 3567767, $60.73, $61.08, $59.91
11/25/2019, $61.17, 4989456, $59.69, $61.285, $59.59
11/22/2019, $59.45, 3429422, $59.9, $60.28, $59.2
11/21/2019, $59.69, 3096583, $59.38, $59.83, $58.9
11/20/2019, $59.46, 4427069, $58.94, $59.545, $58.15
11/19/2019, $59.39, 4223309, $59.68, $59.74, $58.8599
11/18/2019, $59.36, 11093030, $57.88, $60.37, $57.88
11/15/2019, $57.56, 8367370, $54.64, $58.18, $54.26
11/14/2019, $54.65, 3170343, $55.46, $55.4999, $54.47
11/13/2019, $55.35, 5665666, $54.8, $55.94, $54.7
11/12/2019, $55.2, 4468849, $54, $55.34, $53.711
11/11/2019, $53.96, 5643324, $54.59, $54.85, $53.8401
11/08/2019, $55.06, 6699742, $53.33, $55.11, $53.18
11/07/2019, $53.09, 5953839, $50.84, $53.115, $50.84
11/06/2019, $50.83, 3948444, $51.85, $52.39, $50.81
11/05/2019, $51.84, 3506719, $51.99, $52.48, $51.25
11/04/2019, $51.71, 5732675, $52.39, $52.43, $51.01
11/01/2019, $52.13, 5500494, $53.4, $53.7576, $52.06
10/31/2019, $53.08, 5902081, $53.8, $54.36, $52.2
10/30/2019, $54.04, 13838430, $53, $54.44, $52.52
10/29/2019, $49.91, 6441454, $48.62, $50.04, $48.37
10/28/2019, $48.6, 4298343, $48.25, $49.26, $48.1
10/25/2019, $48.23, 4486107, $47.53, $48.415, $47.06
10/24/2019, $47.64, 3471493, $48.7, $48.7, $47.07
10/23/2019, $48.39, 5451928, $48.26, $48.91, $47.5
10/22/2019, $48.75, 11050950, $45.68, $49.58, $45.22
10/21/2019, $45.77, 5602703, $47.2, $47.3, $45.77
10/18/2019, $46.88, 5150743, $47.09, $47.2899, $46.13
10/17/2019, $47.18, 7235873, $45.98, $47.26, $45.8
10/16/2019, $45.54, 3500460, $44.89, $45.75, $44.83
10/15/2019, $45.21, 5752163, $44.68, $45.995, $44.4
10/14/2019, $43.9, 2477668, $44.12, $44.37, $43.71
10/11/2019, $44.27, 3173678, $44.67, $45.24, $44.195
10/10/2019, $44.09, 4536109, $43.68, $44.265, $43.2861
10/09/2019, $43.82, 4140398, $43.1, $43.95, $43.02
10/08/2019, $42.76, 7341958, $43.42, $43.58, $42.63
10/07/2019, $43.82, 5603502, $43.51, $44.41, $43.37
10/04/2019, $43.57, 3181528, $43.44, $43.73, $42.76
10/03/2019, $43.23, 4961161, $42.53, $43.28, $42.45
10/02/2019, $42.73, 5830983, $42.47, $43.45, $42.19
10/01/2019, $42.75, 7670683, $43.5, $43.62, $41.6246
09/30/2019, $43.26, 4852332, $43.09, $43.69, $42.93
09/27/2019, $43.17, 4681522, $43.42, $43.75, $42.77
09/26/2019, $43.13, 6662766, $45.19, $45.35, $42.955
09/25/2019, $45.33, 3354263, $45.64, $46.47, $45.29
09/24/2019, $45.78, 4431952, $46.62, $46.76, $45.22
09/23/2019, $46.39, 3264950, $46.12, $46.49, $45.85
09/20/2019, $46.39, 6167750, $46.68, $46.9, $46.045
09/19/2019, $46.45, 4140254, $46.25, $47.17, $46.2
09/18/2019, $46, 4385712, $45.47, $46.4, $45.41
09/17/2019, $45.55, 5703009, $46.09, $46.23, $45.48
09/16/2019, $46.12, 5330062, $45.15, $46.46, $45.15
09/13/2019, $45.4, 5923908, $45.36, $46.12, $45.25
09/12/2019, $44.89, 6338524, $47.09, $47.17, $44.81
09/11/2019, $46.78, 2730890, $47.42, $47.53, $46.45
09/10/2019, $47.31, 4449064, $46.33, $47.475, $45.78
09/09/2019, $46.23, 5532227, $45.91, $46.4, $45.28
09/06/2019, $45.89, 3079930, $46.3, $46.665, $45.78
09/05/2019, $46.14, 2627297, $46.17, $46.48, $45.5
09/04/2019, $45.61, 2822677, $46.54, $46.67, $45.5
09/03/2019, $46.14, 3041044, $46.22, $46.3099, $45.575
08/30/2019, $46.62, 3042942, $46.74, $47.01, $46.24
08/29/2019, $46.32, 3743330, $45.78, $46.36, $45.51
08/28/2019, $45.32, 4120353, $44.8, $45.75, $44.58
08/27/2019, $45.03, 7528565, $45.3, $45.86, $44.525
08/26/2019, $45.27, 4667414, $45.1, $45.3, $44.73
08/23/2019, $44.72, 4318194, $45.25, $45.85, $44.5
08/22/2019, $45.55, 5372776, $47.04, $47.16, $45.51
08/21/2019, $46.93, 2995350, $46.88, $47.3, $46.77
08/20/2019, $46.54, 4091243, $47.36, $47.4499, $46.49
08/19/2019, $47.44, 6316822, $48.67, $48.67, $47.275
08/16/2019, $48.01, 3718294, $48, $48.59, $47.94
08/15/2019, $47.56, 4356143, $48.05, $48.14, $47.06
08/14/2019, $47.78, 4568181, $48.77, $49, $47.49
08/13/2019, $49.73, 4570572, $47.66, $50, $47.66
08/12/2019, $47.96, 3401108, $48.36, $48.88, $47.82
08/09/2019, $48.7, 3989477, $49.27, $49.715, $48.64
08/08/2019, $49.45, 4418253, $49.22, $49.53, $48.68
08/07/2019, $48.96, 7480111, $48.04, $49.115, $47.03
08/06/2019, $48.95, 6156201, $49.06, $49.34, $48.31
08/05/2019, $48.52, 7517679, $50.22, $50.51, $47.98
08/02/2019, $50.97, 4526471, $51.3, $51.76, $50.12
08/01/2019, $51.35, 5693688, $52, $52.35, $50.8
07/31/2019, $52.09, 4421391, $54.04, $54.24, $52.02
07/30/2019, $53.8, 3621019, $53.87, $53.87, $53.09
07/29/2019, $53.84, 4733245, $53.36, $54.28, $53.21
07/26/2019, $53.42, 3869094, $52.57, $53.81, $52.26
07/25/2019, $52.13, 5370060, $53.79, $53.9, $52.06
