Date, Close/Last, Volume, Open, High, Low
03/30/2020, $53.87, 3843584, $54.59, $54.99, $52.3168
03/27/2020, $55.3, 4392250, $54.62, $57.08, $52.69
03/26/2020, $57.87, 6026677, $55.57, $61.4, $54.46
03/25/2020, $52.34, 5469144, $52.61, $55, $50.0494
03/24/2020, $50.91, 5553281, $46.46, $51.34, $46.01
03/23/2020, $42.87, 6720901, $43.39, $44.94, $42.03
03/20/2020, $45.01, 8038271, $48, $48.3, $43.59
03/19/2020, $46.26, 9057920, $43.08, $47.83, $39.78
03/18/2020, $44.3, 12148680, $49.69, $50.34, $38
03/17/2020, $53.92, 10475220, $56.44, $57.15, $51.3101
03/16/2020, $55.45, 6562322, $61.01, $64.15, $55.44
03/13/2020, $72.84, 5763903, $69, $72.99, $66.29
03/12/2020, $63.63, 7039824, $65.96, $68.32, $61.08
03/11/2020, $71.42, 5370946, $75.96, $76.37, $70.59
03/10/2020, $78.35, 6218225, $76.52, $78.35, $73.62
03/09/2020, $73.07, 4879502, $75.17, $77.14, $71.06
03/06/2020, $82.29, 4155224, $81.67, $83.39, $80.56
03/05/2020, $85.08, 3484997, $86.01, $87.05, $83.9
03/04/2020, $89.33, 2888092, $87.96, $89.48, $85.76
03/03/2020, $86.42, 4685818, $90.9, $92.55, $85.31
03/02/2020, $91.47, 4111779, $88.56, $91.52, $86.93
02/28/2020, $88.26, 6114270, $85.84, $88.3, $84.62
02/27/2020, $89.17, 4273518, $90.03, $93.106, $88.59
02/26/2020, $92.82, 2762349, $94.27, $95.25, $92.78
02/25/2020, $92.78, 4499708, $98.52, $98.54, $92.18
02/24/2020, $98.24, 2522818, $97.57, $99.085, $97
02/21/2020, $101.15, 2764513, $102.51, $102.81, $100.72
02/20/2020, $103.54, 2262928, $101.25, $104.61, $101.25
02/19/2020, $104.14, 2059616, $103.39, $104.36, $102.84
02/18/2020, $103.03, 2009906, $102.13, $103.275, $101.81
02/14/2020, $102.64, 1271687, $102.87, $103.23, $102.22
02/13/2020, $102.78, 2019537, $102.65, $102.99, $102.03
02/12/2020, $102.8, 1767925, $103.23, $103.615, $102.48
02/11/2020, $102.4, 2132055, $102.6, $103.74, $102.31
02/10/2020, $101.95, 1433987, $101.29, $101.95, $100.9
02/07/2020, $101.8, 1640613, $102.38, $102.87, $101.53
02/06/2020, $103.52, 1807705, $105.53, $106, $103.42
02/05/2020, $104.74, 2396416, $103.1, $104.84, $103.1
02/04/2020, $101.7, 1556868, $101.58, $102.55, $101.38
02/03/2020, $99.75, 2113505, $100.57, $101.7, $99.46
01/31/2020, $99.8, 2637314, $101.28, $101.69, $99.21
01/30/2020, $102.17, 2176690, $100.16, $102.29, $99.61
01/29/2020, $101.2, 1883903, $102.36, $102.83, $101.13
01/28/2020, $102.04, 1990474, $102.09, $103.33, $101.34
01/27/2020, $101.16, 2447794, $101.43, $102.11, $100.59
01/24/2020, $104.3, 2528082, $105.38, $105.96, $103.39
01/23/2020, $106.03, 2110757, $106.42, $106.55, $105.2
01/22/2020, $106.76, 5725708, $105, $107.59, $104.55
01/21/2020, $102.19, 3077431, $103.3, $103.74, $102.19
01/17/2020, $104.13, 2680051, $103.1, $104.47, $103.01
01/16/2020, $102.92, 4126513, $102.99, $103.48, $102.32
01/15/2020, $102.34, 1745405, $101.78, $102.82, $101.445
01/14/2020, $102.56, 2251912, $101.9, $103.57, $101.855
01/13/2020, $101.91, 1159926, $101.69, $102.05, $101.3
01/10/2020, $101.55, 1167898, $102.45, $102.62, $101.16
01/09/2020, $102.51, 1825537, $101.99, $102.78, $101.42
01/08/2020, $101.14, 2194646, $100.51, $101.55, $100.2718
01/07/2020, $100.08, 1979263, $100.2, $100.7, $99.825
01/06/2020, $101.08, 1526273, $100.88, $101.13, $100.06
01/03/2020, $102, 1450089, $101.98, $102.515, $101.315
01/02/2020, $103.61, 1603049, $103.41, $103.62, $102.3
12/31/2019, $102.91, 1472807, $102.46, $103.0588, $102.375
12/30/2019, $102.64, 961108, $103.39, $103.45, $102.49
12/27/2019, $103, 840275, $103.63, $103.7441, $102.79
12/26/2019, $103.48, 1124337, $103.16, $103.51, $102.88
12/24/2019, $102.95, 326223, $103.06, $103.25, $102.53
12/23/2019, $102.93, 1333794, $103.37, $103.37, $102.465
12/20/2019, $103.37, 3069986, $104.09, $104.49, $103.1884
12/19/2019, $103.38, 2134539, $104.08, $104.34, $103.13
12/18/2019, $104.18, 2300843, $104.6, $104.6, $103.84
12/17/2019, $104.34, 1655813, $103.9, $104.63, $103.55
12/16/2019, $103.33, 2756915, $105, $105.7, $103.33
12/13/2019, $104.37, 1858514, $103.91, $104.95, $102.955
12/12/2019, $104.03, 2237512, $101.35, $104.54, $101.308
12/11/2019, $101.43, 1990766, $102.5, $102.9, $101.28
12/10/2019, $102.42, 3155086, $102.02, $102.565, $101.7958
12/09/2019, $102.21, 2079142, $101.39, $102.56, $101.245
12/06/2019, $101.38, 1996413, $100.85, $101.84, $100.65
12/05/2019, $99.57, 1795798, $99.5, $100.25, $99.14
12/04/2019, $99.25, 2046828, $98.11, $99.49, $98.02
12/03/2019, $98.17, 3055418, $98.1, $98.35, $96.63
12/02/2019, $99.23, 1750157, $100.33, $100.64, $99.1
11/29/2019, $100.01, 1115471, $99.83, $100.35, $99.52
11/27/2019, $100.25, 1402806, $99.13, $100.29, $99.13
11/26/2019, $99.22, 2553733, $99.54, $99.81, $98.36
11/25/2019, $99.86, 2201010, $98.28, $99.99, $98.24
11/22/2019, $98.1, 2515214, $97.25, $98.33, $96.92
11/21/2019, $96.77, 1646574, $96.91, $97.21, $96
11/20/2019, $96.51, 2526854, $96.5, $97.35, $95.93
11/19/2019, $97.07, 1769253, $97.6, $97.69, $96.71
11/18/2019, $97.2, 2575520, $97.43, $97.43, $96.82
11/15/2019, $97.38, 1758256, $97.31, $97.63, $96.86
11/14/2019, $96.64, 1368443, $96.11, $96.87, $96.02
11/13/2019, $96.31, 1337402, $96.37, $96.89, $95.87
11/12/2019, $97.21, 2581132, $97.11, $97.405, $96.58
11/11/2019, $97.01, 1920989, $96.52, $97.31, $96.47
11/08/2019, $97.26, 2094014, $97.26, $97.4896, $96.1245
11/07/2019, $97.7, 3205830, $97.92, $99.62, $97.48
11/06/2019, $97.04, 2462063, $97.32, $97.49, $96.72
11/05/2019, $97.3, 2508994, $96.75, $97.52, $96.44
11/04/2019, $96.17, 2161768, $95.79, $96.18, $95.36
11/01/2019, $95.25, 2315016, $94.35, $95.4, $93.94
10/31/2019, $93.25, 2472341, $93.95, $94.68, $92.48
10/30/2019, $94.53, 1802896, $94.64, $94.83, $93.32
10/29/2019, $94.46, 2367735, $94.73, $95.635, $93.97
10/28/2019, $95.17, 2846125, $93.36, $95.39, $93.36
10/25/2019, $93.25, 2764631, $91.5, $93.44, $90.46
10/24/2019, $91.98, 2217421, $92.85, $93.125, $91.2901
10/23/2019, $92.79, 1987859, $91.9, $92.86, $91.81
10/22/2019, $92.16, 2173407, $91.13, $92.56, $90.74
10/21/2019, $91.32, 1305882, $90.71, $91.72, $90.57
10/18/2019, $89.8, 2182331, $89.92, $90.52, $89.57
10/17/2019, $90.01, 1446426, $90.54, $91.09, $89.58
10/16/2019, $89.94, 2181474, $90.11, $91.14, $89.79
10/15/2019, $90.13, 1545801, $89.04, $90.75, $88.28
10/14/2019, $88.61, 1852193, $88.52, $89.32, $88.295
10/11/2019, $88.82, 2479129, $88.51, $90.4, $88.27
10/10/2019, $87.03, 1652371, $85.9, $87.81, $85.74
10/09/2019, $85.69, 1657352, $85.17, $86.15, $85.02
10/08/2019, $84.4, 1961500, $85.7, $86.5, $84.36
10/07/2019, $86.88, 1331477, $86.99, $87.95, $86.86
10/04/2019, $87.32, 2014804, $85.93, $87.38, $85.67
10/03/2019, $85.83, 2861573, $86.1, $86.29, $83.73
10/02/2019, $86.25, 2305198, $88.12, $88.15, $85.92
10/01/2019, $89.07, 1577418, $91.68, $92.1, $88.87
09/30/2019, $90.98, 1755040, $91.85, $91.85, $90.86
09/27/2019, $91.34, 1357173, $91.8, $92.26, $90.76
09/26/2019, $91.13, 1636615, $91.42, $91.94, $90.8
09/25/2019, $91.29, 2124582, $91.24, $91.95, $90.23
09/24/2019, $91.35, 3411361, $93.22, $93.32, $90.92
09/23/2019, $92.85, 1802574, $92.07, $93.18, $91.72
09/20/2019, $92.74, 2842625, $93.33, $94.19, $92.73
09/19/2019, $93.27, 1375172, $93.86, $94.73, $93.25
09/18/2019, $93.9, 1452538, $93.44, $94.26, $92.51
09/17/2019, $93.83, 1891177, $94.12, $94.19, $92.77
09/16/2019, $94.34, 2402095, $92.89, $94.39, $92.65
09/13/2019, $93.62, 1787687, $93.92, $94.656, $93.12
09/12/2019, $92.91, 3212006, $91.85, $93.21, $91.01
09/11/2019, $92.09, 1921836, $91.83, $92.1, $90.12
09/10/2019, $91.83, 2184466, $91.35, $92.46, $90.8
09/09/2019, $90.96, 2531212, $88.98, $91.35, $88.77
09/06/2019, $88.19, 1594230, $88.42, $88.68, $87.79
09/05/2019, $88.32, 1872566, $86.98, $88.9, $86.82
09/04/2019, $85.96, 2334343, $86.25, $86.47, $85.35
09/03/2019, $85.35, 2647459, $85.75, $86, $84.47
08/30/2019, $86.62, 1879072, $86.89, $87.27, $86.21
08/29/2019, $86.22, 1861641, $85.63, $86.62, $85.55
08/28/2019, $84.59, 1818471, $82.76, $84.855, $82.67
08/27/2019, $83.11, 1927796, $84.82, $85.03, $82.63
08/26/2019, $84.28, 1428913, $83.55, $84.32, $83.15
08/23/2019, $83.11, 2172429, $85.12, $85.89, $82.68
08/22/2019, $85.73, 2074664, $86.24, $86.8, $85.24
08/21/2019, $86.02, 1073487, $86.36, $86.58, $85.78
08/20/2019, $85.22, 1838049, $86.53, $86.65, $85.11
08/19/2019, $86.97, 2066445, $86.85, $87.45, $86.25
08/16/2019, $85.5, 1819199, $84.51, $85.77, $84.29
08/15/2019, $83.67, 2118139, $83.94, $85.08, $83.265
08/14/2019, $83.45, 3022562, $85.21, $85.77, $83.4
08/13/2019, $87.21, 3076963, $85.51, $87.95, $85.33
08/12/2019, $85.69, 1983030, $86.65, $87.09, $85.31
08/09/2019, $87.71, 2000798, $88.37, $88.595, $87.22
08/08/2019, $88.76, 2597737, $88.4, $89.47, $87.94
08/07/2019, $87.95, 2824540, $86.53, $88.195, $85.36
08/06/2019, $88.3, 2810077, $87.15, $88.415, $85.89
08/05/2019, $86.62, 3189069, $88.18, $88.575, $85.854
08/02/2019, $89.85, 2802145, $90.7, $90.7, $88.2817
08/01/2019, $91.3, 3517018, $92.42, $93.65, $91.0725
07/31/2019, $92.42, 5102844, $91.3, $93.405, $90.94
07/30/2019, $91.21, 12268240, $91.48, $92, $89.2934
07/29/2019, $96.92, 2427935, $98.03, $98.2799, $96.59
07/26/2019, $98.08, 3221299, $95.99, $98.62, $95.59
07/25/2019, $95.9, 2427712, $96.85, $96.87, $95.55
07/24/2019, $96.92, 3944951, $94.26, $97.13, $93.7401
07/23/2019, $94.34, 2275949, $91.93, $94.5, $91.8029
07/22/2019, $91.72, 2917135, $90.52, $92.21, $90.34
07/19/2019, $90.65, 4117997, $92.03, $92.14, $90.23
07/18/2019, $88.76, 2882273, $88.29, $89.1812, $87.84
07/17/2019, $88.19, 1875014, $89.55, $89.85, $88.15
07/16/2019, $89.93, 2270377, $90.15, $90.52, $89.54
07/15/2019, $89.75, 2104772, $91.38, $91.38, $89.39
07/12/2019, $91.07, 1499811, $91.11, $91.36, $90.57
07/11/2019, $90.71, 1491990, $90.61, $91.215, $90.1703
07/10/2019, $90.16, 2495522, $92.22, $92.65, $90
07/09/2019, $92.29, 1982499, $91.02, $92.4596, $91.01
07/08/2019, $91.8, 1409756, $92.07, $92.46, $91.48
07/05/2019, $92.54, 1107026, $93, $93.13, $91.95
07/03/2019, $92.99, 1296971, $91.78, $93, $91.55
07/02/2019, $91.1, 1637912, $91.8, $91.97, $90.63
07/01/2019, $92.04, 1733430, $92.3, $92.83, $91.2316
06/28/2019, $90.74, 3156333, $90.21, $91.09, $89.34
06/27/2019, $89.33, 1439617, $89.59, $90.39, $88.99
06/26/2019, $89.38, 1559021, $89, $89.71, $88.65
06/25/2019, $88.82, 1859162, $88.57, $89.72, $88.07
06/24/2019, $88.72, 3038173, $91, $91.18, $87.99
06/21/2019, $91.52, 3195382, $91.73, $92.36, $90.84
06/20/2019, $91.63, 1365347, $91.56, $91.94, $90.5
06/19/2019, $90.48, 1715537, $91.42, $92.04, $90.22
06/18/2019, $91.29, 2205596, $90, $91.87, $89.9
06/17/2019, $89.95, 1416819, $90.57, $91.05, $89.735
06/14/2019, $90.57, 1310012, $91, $91, $89.58
06/13/2019, $90.77, 1313313, $90.6, $91.44, $90.49
06/12/2019, $90.55, 1011022, $91.38, $91.71, $90.01
06/11/2019, $91.34, 1194438, $91.31, $92.24, $90.98
06/10/2019, $90.43, 1402828, $90.92, $91.735, $90.36
06/07/2019, $90.26, 1296185, $90.16, $90.95, $90.04
06/06/2019, $90.36, 1474467, $89.8, $90.67, $89.61
06/05/2019, $89.9, 1666696, $90, $90.2, $88.515
06/04/2019, $89.92, 2047351, $88.37, $89.94, $87.99
06/03/2019, $87.08, 2050023, $85.98, $87.42, $85.87
05/31/2019, $85.87, 2785426, $87.22, $87.58, $85.72
05/30/2019, $88.35, 1376388, $89.55, $90.2, $87.6729
05/29/2019, $89.44, 1604986, $88.22, $89.56, $87.545
05/28/2019, $88.75, 2016479, $90.36, $90.91, $88.69
05/24/2019, $90.78, 1175749, $89.87, $90.88, $89.73
05/23/2019, $89.25, 1584288, $90.41, $90.41, $88.6
05/22/2019, $91.26, 1117329, $91.66, $92.16, $91.25
05/21/2019, $92.2, 1859198, $91.97, $92.27, $91.6
05/20/2019, $91.38, 1460123, $90.41, $91.88, $90
05/17/2019, $90.54, 1518108, $90.03, $91.38, $89.93
05/16/2019, $90.98, 1631008, $89.87, $91.56, $89.69
