Date, Close/Last, Volume, Open, High, Low
03/30/2020, $291.12, 4395977, $287.49, $291.68, $285.84
03/27/2020, $284.33, 4250350, $287.13, $293.49, $283.33
03/26/2020, $292.3, 5471961, $281.34, $293.7297, $280.86
03/25/2020, $280.86, 5639577, $284.21, $290.7176, $279.21
03/24/2020, $284.94, 7124190, $294.59, $297.35, $282.8305
03/23/2020, $285.53, 5646352, $292.01, $295.6721, $278.4238
03/20/2020, $290.42, 6581183, $307.92, $308.01, $287.02
03/19/2020, $305.22, 5429502, $310.41, $313.8526, $302.63
03/18/2020, $307.5, 6701800, $298, $318, $296
03/17/2020, $306.99, 7170645, $289, $307.19, $286.3
03/16/2020, $283.18, 5465540, $281.83, $299.53, $279.51
03/13/2020, $302.27, 6100115, $288.83, $303.245, $278.27
03/12/2020, $279.85, 7307637, $280.44, $295.625, $276.34
03/11/2020, $297.43, 3625906, $300.86, $307.79, $294.19
03/10/2020, $309.4, 4245488, $307.97, $309.73, $294.42
03/09/2020, $301.98, 5203087, $295.85, $310.33, $293
03/06/2020, $311.34, 6185520, $312.14, $317.49, $302.75
03/05/2020, $315.76, 6407662, $315.77, $324.51, $313.2
03/04/2020, $320.74, 4219326, $308.29, $320.97, $305.0201
03/03/2020, $302.73, 5131419, $309.14, $314.165, $301.03
03/02/2020, $309.14, 7563779, $294.44, $309.51, $291.377
02/28/2020, $281.14, 7096587, $285.25, $287.335, $271.28
02/27/2020, $293.13, 3625276, $301.98, $305, $293
02/26/2020, $305.69, 2239556, $307.55, $311.3, $304.68
02/25/2020, $304.87, 2881835, $315, $316.565, $304.4
02/24/2020, $313.62, 2300379, $315.5, $320, $313.26
02/21/2020, $321.95, 2239230, $322.56, $325.26, $321.03
02/20/2020, $324.08, 1427524, $322.32, $325.07, $321.01
02/19/2020, $323.02, 1413768, $322.08, $324.5294, $321.73
02/18/2020, $322.05, 1547929, $319, $323.48, $318.61
02/14/2020, $318.31, 1113716, $318.87, $319.81, $316.95
02/13/2020, $318.2, 1438248, $314.85, $318.79, $313.535
02/12/2020, $315.12, 1384611, $310.77, $315.48, $310.77
02/11/2020, $310.68, 2047510, $314.03, $314.43, $310.47
02/10/2020, $313.79, 2336523, $313.76, $316.9445, $312.6
02/07/2020, $313.63, 1903467, $310, $313.81, $309.1248
02/06/2020, $310.61, 1917896, $309.35, $311.8387, $307.85
02/05/2020, $308.95, 1731802, $307, $309.59, $305.4
02/04/2020, $304.9, 1982323, $304.57, $305.9083, $302.7622
02/03/2020, $302, 2817541, $307, $308.58, $301.67
01/31/2020, $305.52, 1836994, $308.55, $309.18, $304.56
01/30/2020, $309.47, 1232855, $308.84, $309.64, $306.665
01/29/2020, $309.58, 1714823, $310.86, $311.97, $309.385
01/28/2020, $310.85, 1571672, $310.51, $311.71, $309.1
01/27/2020, $309.45, 2265350, $306.15, $311.77, $305.65
01/24/2020, $310.51, 1986279, $314.02, $314.28, $309.1
01/23/2020, $312.88, 1535973, $312.02, $313.4, $310.7307
01/22/2020, $311.89, 2219022, $313.4, $313.56, $310.21
01/21/2020, $313.26, 3585918, $306.2, $313.34, $305.76
01/17/2020, $304.68, 2506588, $303.4, $305.3, $303.03
01/16/2020, $303.03, 1758762, $301.39, $304.06, $300.975
01/15/2020, $300.82, 1604433, $298.35, $301.04, $298.044
01/14/2020, $299.75, 1460562, $299.25, $301, $298.58
01/13/2020, $299.87, 1779744, $296.92, $300.6495, $296.8
01/10/2020, $297.24, 2025220, $300, $300.27, $296.66
01/09/2020, $299.42, 3262225, $298.55, $301.96, $297.71
01/08/2020, $294.69, 2495438, $290.99, $295.48, $290.5
