Date, Close/Last, Volume, Open, High, Low
03/30/2020, $149.85, 7650429, $147.72, $153, $146.56
03/27/2020, $146, 8273549, $150.63, $151.45, $144.91
03/26/2020, $154.73, 8578887, $148.3, $155.08, $147.73
03/25/2020, $147.06, 10639270, $152.67, $158.02, $146.96
03/24/2020, $153.64, 11834350, $144.63, $154.14, $143.176
03/23/2020, $140.52, 11898210, $138.76, $143.72, $134.0921
03/20/2020, $139.35, 12450120, $140.42, $146.2, $134.6
03/19/2020, $139.46, 10444040, $131.59, $144, $128.86
03/18/2020, $132.24, 12988160, $125.54, $133.42, $115.29
03/17/2020, $135.42, 12191540, $127, $138.01, $122.92
03/16/2020, $124.3, 13845250, $134.01, $141.55, $123.39
03/13/2020, $147.78, 13765420, $149.47, $149.5, $135.32
03/12/2020, $140.59, 13212960, $144.34, $151.23, $140.1
03/11/2020, $154.57, 10345330, $157.68, $159.62, $150.15
03/10/2020, $161.34, 11443930, $157.23, $161.47, $151
03/09/2020, $151.21, 9657064, $151.7, $157.71, $150.64
03/06/2020, $164.08, 9757735, $165.67, $167.57, $158.54
03/05/2020, $169.6, 5797479, $172.57, $173.75, $168.1
03/04/2020, $175.69, 5846719, $172.25, $175.81, $169.63
03/03/2020, $169.37, 8323455, $178.41, $178.42, $167.09
03/02/2020, $176.76, 7761040, $172.2, $176.79, $168.59
02/28/2020, $170.4, 12643590, $164.99, $171.77, $163.12
02/27/2020, $172.15, 9927314, $172.21, $178.33, $170.05
02/26/2020, $178.87, 13926480, $176.54, $182.665, $174.25
02/25/2020, $181.27, 11361120, $188.47, $189.98, $179.43
02/24/2020, $185.94, 8463256, $178.79, $187.15, $178.79
02/21/2020, $189.5, 5244259, $191.84, $192.04, $186.72
02/20/2020, $193.36, 5451154, $194, $195.72, $189.77
02/19/2020, $192.87, 3903153, $192, $193.92, $191.8
02/18/2020, $191.09, 4957450, $190.95, $191.5, $188.92
02/14/2020, $189.95, 3599445, $189.35, $190.25, $188.1
02/13/2020, $188.64, 3132057, $188.5, $191.05, $188.42
02/12/2020, $189.46, 4535367, $189.71, $190.52, $186.77
02/11/2020, $189.11, 4299231, $191.48, $192.6, $188.65
02/10/2020, $189.12, 3873498, $186.17, $189.27, $185.5618
02/07/2020, $185.72, 3713079, $186.85, $188.65, $185.65
02/06/2020, $186.73, 4102926, $186.83, $187.56, $184.24
02/05/2020, $185.49, 6162711, $190.4, $190.55, $182.86
02/04/2020, $188.34, 3983248, $188, $189.69, $186.65
02/03/2020, $185.42, 4755709, $183.26, $185.874, $181.85
01/31/2020, $182.31, 4193259, $184.86, $186.03, $180.79
01/30/2020, $185.67, 3716140, $180.9, $185.94, $180.54
01/29/2020, $181.77, 2789482, $184, $184.1, $181.62
01/28/2020, $182.85, 3445530, $181.14, $183.855, $180.3503
01/27/2020, $180.71, 4239357, $178.77, $181.73, $177.3
01/24/2020, $182.11, 4653931, $185, $186.13, $181.13
01/23/2020, $183.98, 4369337, $183.21, $184.3, $181.3
01/22/2020, $182.75, 4781769, $185.39, $186.44, $182.69
01/21/2020, $185.27, 6302448, $181.51, $186, $181.5
01/17/2020, $182.23, 4577245, $183.23, $183.34, $181.36
01/16/2020, $182.69, 3485298, $182.23, $183.11, $180.96
01/15/2020, $181.06, 3886843, $181.68, $183.085, $180.615
01/14/2020, $182.12, 4347509, $183.5, $183.85, $182.04
01/13/2020, $183.85, 6205333, $181.26, $184.45, $181.13
01/10/2020, $180.2, 5112302, $179.84, $180.68, $178.69
01/09/2020, $179.6, 5954966, $178.84, $179.9, $177.29
01/08/2020, $177.33, 7226234, $175.23, $178.85, $174.75
01/07/2020, $176, 8310525, $173.23, $176.87, $172.09
01/06/2020, $173.45, 8843581, $165, $173.67, $164.45
01/03/2020, $166.17, 3205583, $165.06, $166.77, $165
01/02/2020, $166.99, 5094557, $163.92, $167.07, $163.58
12/31/2019, $162.64, 3273515, $162.04, $163.26, $161.8
12/30/2019, $162.44, 3197087, $164.86, $164.94, $161.2
12/27/2019, $164.98, 3410032, $164.86, $165.46, $163.9
12/26/2019, $164.51, 2156316, $163.4, $164.53, $163.27
12/24/2019, $163.25, 1237991, $163.31, $163.8421, $162.875
12/23/2019, $163.74, 4373626, $164.04, $164.87, $163.35
12/20/2019, $164.55, 8586884, $164.73, $165.17, $163.63
12/19/2019, $163.33, 4186371, $161.59, $163.34, $160.83
12/18/2019, $161.48, 4145091, $161.8, $163.28, $161.48
12/17/2019, $161.63, 4789823, $162, $162.37, $159.74
12/16/2019, $161.96, 5371494, $160.85, $162.74, $160.82
12/13/2019, $161.13, 5742818, $158.86, $161.49, $158.55
12/12/2019, $158.59, 5355489, $155.77, $158.99, $155.31
12/11/2019, $156.39, 4869175, $156.84, $156.88, $155.48
12/10/2019, $156.4, 4075754, $157.01, $157.67, $156.17
12/09/2019, $157.48, 3754080, $157.38, $158.9, $157.06
12/06/2019, $158.01, 4754316, $158.1, $159.5, $157.59
12/05/2019, $158.22, 7127977, $155.74, $158.92, $155.25
12/04/2019, $156.43, 17805510, $160.38, $160.69, $154.5
12/03/2019, $161.57, 6622651, $156.96, $161.85, $156.19
12/02/2019, $161, 5140087, $163.1, $163.21, $158.1
11/29/2019, $162.89, 2432473, $161.61, $163.41, $161.32
11/27/2019, $161.51, 4015939, $161.92, $162.8303, $161.11
11/26/2019, $162.54, 5882383, $161.56, $162.61, $161.31
11/25/2019, $161.71, 5509549, $163.78, $164.65, $161.45
11/22/2019, $162.81, 3761891, $162.98, $163.49, $161.38
11/21/2019, $162.88, 5724203, $165.32, $165.91, $162.21
11/20/2019, $164.2, 8454931, $163.44, $166.34, $162.25
11/19/2019, $163.96, 4956475, $163.64, $164.45, $161.84
11/18/2019, $162.77, 5558132, $164, $164, $161.89
11/15/2019, $163.21, 3693235, $163.72, $163.93, $160.99
11/14/2019, $163.05, 3823268, $163.03, $163.58, $162.39
11/13/2019, $162.6, 5499804, $163.05, $164.42, $162.02
11/12/2019, $162.86, 3710757, $162, $164.37, $161.59
11/11/2019, $161.78, 3541597, $161.22, $162.23, $160.25
11/08/2019, $161.11, 3265364, $159.25, $161.21, $158.91
11/07/2019, $159.5, 3802312, $158.93, $161.13, $158.08
11/06/2019, $158.93, 4207428, $158.94, $160, $157.75
11/05/2019, $158.15, 4014981, $157.59, $159.12, $155.47
11/04/2019, $157.6, 5748077, $160.94, $161.25, $156.69
11/01/2019, $159.74, 4771053, $157.91, $160.09, $156.75
10/31/2019, $156.49, 4578255, $156.56, $158.28, $155.2137
10/30/2019, $158.28, 4724478, $155.74, $158.42, $155.01
10/29/2019, $155.09, 5477303, $154.78, $156.13, $154.42
10/28/2019, $154.79, 7576726, $151.2, $154.92, $149.43
10/25/2019, $150.49, 4991422, $147.05, $150.66, $146.3
10/24/2019, $148.12, 5376741, $146.59, $148.79, $146.4
10/23/2019, $145.13, 4941561, $142.11, $145.569, $141.49
