Date, Close/Last, Volume, Open, High, Low
04/13/2020, $61.57, 4186071, $63.31, $63.88, $60.94
04/09/2020, $64, 5150601, $63.89, $64.8, $63.1
04/08/2020, $63.52, 3771610, $62.23, $63.88, $61.8
04/07/2020, $61.15, 5647445, $64.33, $64.82, $60.8
04/06/2020, $61.27, 6486816, $60.66, $61.69, $59.215
04/03/2020, $56.77, 5271822, $56.61, $57.66, $55.9
04/02/2020, $56.86, 5459117, $54.17, $57.115, $53.63
04/01/2020, $54.85, 4703726, $54.1, $55.23, $53.25
03/31/2020, $57.3, 5591756, $57.72, $58.15, $56.3204
03/30/2020, $58.02, 5029345, $56.11, $58.26, $55.74
03/27/2020, $56.29, 5588525, $56.27, $57.82, $55.03
03/26/2020, $58.57, 6366191, $57.12, $59.13, $55.83
03/25/2020, $56.53, 7658186, $55.11, $60.57, $55.01
03/24/2020, $55.5, 7611979, $50.98, $55.69, $49.51
03/23/2020, $47.66, 7631568, $49.43, $50.79, $46.81
03/20/2020, $49.87, 9862010, $54.51, $55.18, $49.6
03/19/2020, $55.01, 6092520, $50.53, $56.2, $48.785
03/18/2020, $50.97, 7878955, $50.67, $52.48, $48.064
03/17/2020, $54.26, 8822066, $49.51, $54.93, $48.17
03/16/2020, $48.93, 11278640, $49.02, $53.36, $47.56
03/13/2020, $57.94, 12273310, $56.5, $58.79, $54.01
03/12/2020, $53.41, 12256730, $53.55, $56.4, $51.88
03/11/2020, $58.31, 10872460, $60.89, $61.83, $58.06
03/10/2020, $62.88, 8233221, $62.32, $63.16, $59.35
03/09/2020, $60.39, 8465727, $62.95, $63.73, $59.59
03/06/2020, $68.25, 5189534, $65.94, $68.83, $65.72
03/05/2020, $68.96, 4894744, $69.93, $70.58, $68.63
03/04/2020, $72, 5576336, $69.87, $72.24, $69.38
03/03/2020, $68.91, 8122384, $70.23, $73.04, $68.55
03/02/2020, $70.75, 10651340, $70.32, $71.41, $68.98
02/28/2020, $70.45, 11539040, $70.08, $70.96, $68.42
02/27/2020, $72.27, 8697176, $73.66, $75.44, $72.18
02/26/2020, $75.31, 6862669, $76.13, $76.74, $74.73
02/25/2020, $75.57, 8901125, $78.13, $78.64, $75.4
02/24/2020, $78.06, 7515927, $77.97, $78.59, $77.6
02/21/2020, $79.56, 3853566, $79.89, $80.44, $79.46
02/20/2020, $80.45, 2241944, $80.08, $80.62, $79.6
02/19/2020, $80.17, 2251772, $79.8, $80.25, $79.6
02/18/2020, $79.51, 2735055, $79.36, $80.09, $78.98
02/14/2020, $79.59, 2341693, $79.67, $79.95, $79.14
02/13/2020, $79.84, 2443786, $79.3, $79.97, $78.9
02/12/2020, $79.485, 2761611, $79.09, $79.5, $78.46
02/11/2020, $78.52, 2978409, $78.97, $79.445, $78.405
02/10/2020, $78.88, 3284554, $77.39, $78.91, $77.3101
02/07/2020, $77.87, 3097688, $78.92, $79.19, $77.6668
02/06/2020, $78.32, 2262101, $78.52, $78.65, $77.79
02/05/2020, $78.17, 3599047, $78.81, $78.81, $77.895
02/04/2020, $77.77, 2937824, $78.25, $78.55, $77.55
02/03/2020, $77.1, 3439678, $77.18, $77.59, $76.67
01/31/2020, $76.34, 4648987, $77.28, $77.37, $75.875
01/30/2020, $77.78, 3225793, $76.41, $77.845, $76.35
01/29/2020, $77.53, 4944568, $76.73, $78.4, $76.5
01/28/2020, $76.22, 3653356, $75.72, $76.63, $75.3
01/27/2020, $75.17, 3677943, $75, $75.83, $74.61
01/24/2020, $76.7, 3604050, $76.68, $77.04, $76.04
01/23/2020, $76.64, 4368600, $74.54, $76.72, $73.94
01/22/2020, $74.61, 4259913, $75.12, $75.19, $74.225
01/21/2020, $74.83, 4927192, $75.72, $76.06, $74.65
01/17/2020, $76.4, 10446820, $75.5, $77.19, $75.19
01/16/2020, $76.74, 7035542, $75.65, $76.85, $75.65
01/15/2020, $74.99, 4785190, $74.51, $75.58, $74.38
01/14/2020, $74.66, 3083345, $74.48, $75.32, $74.21
01/13/2020, $74.69, 3552134, $73.37, $74.765, $73.15
01/10/2020, $73.36, 2036527, $73.72, $73.8598, $73.265
01/09/2020, $73.74, 2154302, $73.4, $73.75, $73.22
01/08/2020, $73.38, 2870862, $73.47, $73.83, $73.07
01/07/2020, $73, 4787017, $72.7, $73.53, $72.16
01/06/2020, $72.51, 4878819, $72.18, $72.75, $71.74
01/03/2020, $72.89, 3326341, $72, $72.94, $71.63
01/02/2020, $73.19, 2830179, $72.82, $73.19, $72.25
12/31/2019, $72.36, 2079474, $72.18, $72.78, $72.0904
12/30/2019, $72.34, 1892233, $72.83, $72.99, $72.09
12/27/2019, $72.85, 2050872, $72.94, $73.11, $72.61
12/26/2019, $72.87, 1678008, $73, $73.23, $72.39
12/24/2019, $72.98, 862337, $72.86, $73.1, $72.7724
12/23/2019, $72.72, 3807151, $72.9, $73.22, $72.49
12/20/2019, $73.18, 11847160, $72.58, $73.24, $72.14
12/19/2019, $72.59, 3325738, $72.87, $73.19, $72.305
12/18/2019, $72.94, 4703611, $72.3, $73.58, $72.11
12/17/2019, $72.1, 7769631, $72.71, $73.48, $71.71
12/16/2019, $72.79, 3107227, $73.16, $73.55, $72.72
12/13/2019, $72.78, 4701578, $72.57, $73.12, $71.64
12/12/2019, $72.28, 6627592, $71.57, $73.4, $71.21
12/11/2019, $71.73, 5163026, $70.82, $71.79, $70.53
12/10/2019, $70.4, 3483630, $69.9, $70.58, $69.43
12/09/2019, $70.41, 3801820, $71.05, $71.08, $70.275
12/06/2019, $71.27, 4365076, $71.27, $71.95, $71.12
12/05/2019, $70.65, 4832978, $70.55, $70.73, $69.81
12/04/2019, $70.45, 4901987, $70.13, $70.72, $69.88
12/03/2019, $69.71, 7392187, $69.57, $69.75, $68.1
12/02/2019, $70.01, 4452741, $71.42, $71.74, $69.98
