Date, Close/Last, Volume, Open, High, Low
04/13/2020, $195.08, 761660, $198.75, $198.85, $191.46
04/09/2020, $198.74, 934436, $197.94, $207.15, $197.505
04/08/2020, $192.41, 943075, $188.48, $193.97, $185.51
04/07/2020, $185.9, 1611244, $190.78, $195.33, $185.35
04/06/2020, $179.49, 1343113, $169, $180.6, $168.28
04/03/2020, $164.23, 1007933, $163.26, $167.5, $162.19
04/02/2020, $165.19, 1437310, $160.25, $167.29, $158.89
04/01/2020, $162.69, 1114170, $165.44, $167.38, $160.55
03/31/2020, $173.22, 1613673, $178.49, $179.58, $171.9193
03/30/2020, $180.45, 1073752, $181.9, $183.6, $175.35
03/27/2020, $181.57, 1005619, $187.44, $187.7499, $180
03/26/2020, $192.58, 1731574, $194.36, $197.98, $182.54
03/25/2020, $192.33, 1677215, $174.22, $200.56, $168.86
03/24/2020, $173.8, 1375723, $165.82, $178.76, $165.31
03/23/2020, $157.06, 1642876, $177.22, $177.22, $154.33
03/20/2020, $175.09, 2573685, $180.17, $189.42, $167.35
03/19/2020, $183, 1430908, $176.23, $185.37, $160.39
03/18/2020, $177.98, 1914299, $173.57, $182.39, $163.19
03/17/2020, $209.12, 1878243, $206.56, $210.65, $195.85
03/16/2020, $202.51, 1741011, $197.57, $207.68, $197.57
03/13/2020, $243.58, 1253540, $233.25, $244.07, $223.605
03/12/2020, $225.69, 1942683, $231.98, $236.018, $214.24
03/11/2020, $250.41, 665033, $259.98, $262.335, $245.67
03/10/2020, $268.42, 911624, $257.26, $268.9, $253.24
03/09/2020, $250.84, 1113421, $258.97, $259.76, $248.62
03/06/2020, $272.32, 835473, $264.87, $273.76, $263.6
03/05/2020, $275.04, 651865, $278.22, $283.25, $272.12
03/04/2020, $286.11, 681804, $280.54, $286.14, $275.495
03/03/2020, $272.37, 895810, $277.39, $286.63, $270.86
03/02/2020, $279.6, 1058056, $266.06, $279.76, $264.47
02/28/2020, $266.74, 1392276, $255.52, $267.52, $255
02/27/2020, $269.55, 932794, $277.8, $280.45, $269.31
02/26/2020, $283.91, 707388, $281.85, $287.07, $281.6
02/25/2020, $279.88, 875384, $288.11, $289.69, $279.3
02/24/2020, $288.16, 592272, $285.62, $290.32, $284.46
02/21/2020, $293.36, 500297, $294.89, $296.73, $292.24
02/20/2020, $297.7, 585068, $302.51, $304.57, $296.705
02/19/2020, $304.26, 295977, $303.8, $304.81, $302.73
02/18/2020, $302.51, 386638, $300.93, $302.67, $298.83
02/14/2020, $300.88, 263878, $298.71, $301.24, $297.37
02/13/2020, $298.1, 442088, $295.41, $300.115, $295.41
02/12/2020, $297.12, 417112, $294.52, $297.9, $293.25
02/11/2020, $293.49, 263142, $294.04, $294.75, $292.27
02/10/2020, $292.62, 384969, $291.6, $292.84, $289.21
02/07/2020, $291.58, 366057, $291.63, $294.25, $290.675
02/06/2020, $293.65, 438722, $292.47, $294.74, $291.34
02/05/2020, $291.34, 576482, $289.82, $291.88, $288.415
02/04/2020, $285.96, 529893, $285.35, $286.885, $283.04
02/03/2020, $282.01, 480002, $280.41, $284.8, $279.31
01/31/2020, $278.97, 696918, $282.14, $284.62, $278.38
01/30/2020, $283.2, 334643, $275.48, $283.5, $275.2
01/29/2020, $280.25, 480215, $278.85, $282.25, $274.8
01/28/2020, $277.96, 335355, $278.22, $280.66, $277.83
01/27/2020, $278.62, 516840, $278.03, $281.05, $276.03
01/24/2020, $283.44, 244173, $287.22, $287.68, $281.25
01/23/2020, $286.02, 322785, $282.29, $286.17, $281.2
01/22/2020, $282.53, 325694, $283.54, $284.5, $282.17
