Date, Close/Last, Volume, Open, High, Low
03/30/2020, $47.38, 6230160, $47.4, $47.93, $46.33
03/27/2020, $46.66, 5159271, $47.62, $48.49, $46.28
03/26/2020, $49.82, 5291127, $48, $50.45, $47.43
03/25/2020, $47.69, 4920955, $46, $49.36, $45.49
03/24/2020, $46.41, 5853370, $43.68, $46.5, $43.08
03/23/2020, $41.61, 8152757, $44.27, $44.74, $40.01
03/20/2020, $44.1, 6541317, $46.32, $48.46, $43.67
03/19/2020, $46.49, 5650566, $46.63, $47.77, $44.23
03/18/2020, $47.47, 7214397, $47.15, $49.93, $45.79
03/17/2020, $50.1, 6919521, $44.54, $50.65, $43.6675
03/16/2020, $43.58, 6489802, $46.73, $47.72, $43.01
03/13/2020, $52.62, 5853608, $51.61, $52.7, $48.69
03/12/2020, $48.98, 7702013, $49.69, $52.23, $47.75
03/11/2020, $53.14, 6122881, $54.14, $55.37, $52.42
03/10/2020, $55.78, 6703342, $55.59, $56.22, $52.92
03/09/2020, $53.96, 7526393, $55.06, $55.97, $53.46
03/06/2020, $58.24, 5364392, $57.75, $58.85, $57.01
03/05/2020, $59.93, 3893348, $60.47, $61.26, $59.35
03/04/2020, $62.17, 3244159, $60.76, $62.19, $59.35
03/03/2020, $59.61, 5118143, $60.92, $62.88, $58.87
03/02/2020, $61.33, 5676996, $60.595, $61.35, $58.82
02/28/2020, $60.93, 7873500, $60.59, $61.65, $59.46
02/27/2020, $62.32, 5326656, $62.25, $63.85, $61.3
02/26/2020, $63.28, 5205523, $65.11, $65.89, $63.26
02/25/2020, $64.48, 4976869, $67.56, $68, $64.33
02/24/2020, $67.42, 4557343, $68.92, $69.88, $67.39
02/21/2020, $70.09, 4787080, $69.13, $70.2887, $68.8
02/20/2020, $69.56, 3641265, $68.56, $69.74, $68.18
02/19/2020, $68.875, 3612999, $68.37, $69.24, $67.91
02/18/2020, $68.83, 3218156, $68.34, $69.22, $68.04
02/14/2020, $68.42, 4148284, $69.27, $69.405, $67.8
02/13/2020, $69.61, 2827030, $69.26, $69.7, $68.96
02/12/2020, $69.43, 2629760, $69.53, $69.67, $69.045
02/11/2020, $69.2, 3035963, $69.46, $69.46, $68.76
02/10/2020, $69.38, 3076963, $68.89, $69.47, $68.59
02/07/2020, $69.59, 7927052, $70.58, $70.99, $68.55
02/06/2020, $71.42, 7789888, $67.05, $71.48, $66.97
02/05/2020, $64.97, 3815490, $64.59, $65.17, $64.23
02/04/2020, $63.43, 2793093, $63.35, $63.9, $63
02/03/2020, $62.61, 3646750, $61.85, $62.905, $61.57
01/31/2020, $61.38, 3340681, $62.23, $62.34, $60.85
01/30/2020, $62.47, 2428897, $62.17, $62.52, $61.3
01/29/2020, $62.92, 3416121, $62.84, $63.38, $62.59
01/28/2020, $62.6, 2683112, $61.96, $62.875, $61.57
01/27/2020, $61.77, 3309783, $61.83, $62.085, $61.29
01/24/2020, $62.42, 2631179, $62.78, $63.15, $61.985
01/23/2020, $62.55, 3048138, $62.02, $62.58, $61.85
01/22/2020, $62.19, 3534516, $62.6, $62.92, $61.83
01/21/2020, $62.29, 3823608, $62.4, $62.73, $61.94
01/17/2020, $62.77, 4046038, $62.56, $62.93, $62.32
01/16/2020, $62.45, 3048685, $62.02, $62.56, $61.86
01/15/2020, $61.85, 2613378, $61.42, $62, $61.42
01/14/2020, $61.37, 3066835, $61.09, $61.7094, $60.97
01/13/2020, $61.16, 2787219, $60.49, $61.27, $60.21
01/10/2020, $60.64, 2538310, $61.38, $61.38, $60.445
01/09/2020, $61.11, 4049193, $61.5, $61.99, $60.75
01/08/2020, $60.73, 2912095, $60.41, $60.86, $60.22
01/07/2020, $60.32, 2953345, $60.67, $60.694, $59.98
01/06/2020, $60.745, 3017038, $61.04, $61.3, $60.35
01/03/2020, $61.36, 2535670, $61.08, $61.54, $60.89
01/02/2020, $61.92, 2234530, $62.29, $62.46, $61.68
12/31/2019, $62.02, 2035840, $61.54, $62.07, $61.47
12/30/2019, $61.65, 1607599, $62.15, $62.23, $61.39
12/27/2019, $62.16, 1507771, $62.49, $62.84, $62.01
12/26/2019, $62.12, 1709447, $62.37, $62.5, $61.91
12/24/2019, $62.4, 622585, $62.64, $62.66, $62.15
12/23/2019, $62.63, 2020307, $63.15, $63.34, $62.59
12/20/2019, $63.22, 4831736, $62.97, $63.265, $62.01
12/19/2019, $62.71, 3928783, $62.3, $63.08, $62.16
12/18/2019, $62.32, 4410324, $61.69, $62.48, $61.5
12/17/2019, $61.76, 2424215, $61.85, $62.09, $61.51
12/16/2019, $61.66, 2732328, $62.12, $62.52, $61.45
12/13/2019, $61.64, 2162044, $61.67, $62.1, $61.08
12/12/2019, $61.77, 2340443, $60.53, $61.93, $60.43
12/11/2019, $60.68, 2473109, $61.12, $61.21, $60.46
12/10/2019, $61.1, 2284916, $61.79, $61.9, $61.02
12/09/2019, $61.88, 2959932, $62.57, $62.71, $61.74
12/06/2019, $62.66, 2555608, $62.46, $62.845, $62.26
12/05/2019, $62.21, 2887284, $62.57, $62.59, $62.06
12/04/2019, $62.4, 2035813, $62.93, $63.02, $62.365
12/03/2019, $62.75, 2541215, $63.09, $63.14, $62.31
12/02/2019, $63.54, 2387416, $64.09, $64.16, $63.42
11/29/2019, $64.11, 1356247, $63.92, $64.37, $63.9
11/27/2019, $64.15, 1483005, $63.95, $64.18, $63.44
11/26/2019, $63.73, 3332178, $63.31, $63.84, $63.1
11/25/2019, $63.36, 2256479, $63.33, $63.585, $63.22
11/22/2019, $63.19, 3049491, $61.99, $63.23, $61.95
11/21/2019, $63.4, 2296130, $63.46, $63.58, $63.09
11/20/2019, $63.51, 2774457, $63.62, $63.8, $63.0742
11/19/2019, $63.92, 2108794, $63.88, $63.96, $63.4854
11/18/2019, $63.63, 2812820, $62.97, $63.66, $62.97
11/15/2019, $63.38, 2553649, $63.4, $63.4, $62.68
11/14/2019, $63.11, 2600933, $62.29, $63.14, $62.02
11/13/2019, $62.51, 1804113, $62.58, $62.95, $62.38
11/12/2019, $62.84, 2726071, $62.8, $62.96, $62.5
11/11/2019, $62.64, 1534321, $62.68, $62.8996, $62.48
11/08/2019, $62.86, 1858091, $62.89, $62.98, $62.38
11/07/2019, $63.03, 2663642, $62.74, $63.565, $62.57
11/06/2019, $62.26, 2248216, $62, $62.43, $61.89
11/05/2019, $61.92, 2340492, $62.17, $62.2, $61.36
11/04/2019, $62.07, 3750381, $61.47, $62.15, $61.35
11/01/2019, $61.23, 3502387, $61.39, $61.67, $60.87
10/31/2019, $60.94, 5746184, $60, $62.2, $59.89
10/30/2019, $59.89, 3413968, $60.8, $60.8697, $59.75
10/29/2019, $60.45, 3459377, $60.71, $61.11, $60.37
10/28/2019, $60.67, 2728638, $60.44, $60.89, $60.2
10/25/2019, $60.46, 2993159, $60.51, $60.9, $60.27
10/24/2019, $60.51, 1928232, $60.86, $61, $60.18
10/23/2019, $60.35, 2816310, $59.97, $60.37, $59.59
10/22/2019, $59.9, 2693700, $60.93, $61.2297, $59.7
10/21/2019, $60.78, 3310513, $61.32, $61.59, $60.3
10/18/2019, $60.64, 3256964, $61.43, $61.43, $60.6
10/17/2019, $61.38, 2696518, $61.52, $61.77, $60.965
10/16/2019, $61.39, 2668329, $61.4, $61.98, $61.22
10/15/2019, $61.335, 2249149, $60.4, $61.675, $60.37
10/14/2019, $60.38, 1778661, $60.6, $60.7, $60.02
10/11/2019, $60.61, 2588832, $60.45, $61.43, $60.31
