Date, Close/Last, Volume, Open, High, Low
03/30/2020, $76.81, 5701378, $74.29, $78.02, $74.25
03/27/2020, $73.07, 4217144, $70.1, $75.92, $69.4
03/26/2020, $72.44, 4741785, $67.31, $73.5, $67.01
03/25/2020, $67.34, 4987634, $64.83, $70.81, $64.03
03/24/2020, $65.67, 6514358, $62.82, $67.41, $62.0201
03/23/2020, $59.39, 8042738, $67.11, $67.11, $57.79
03/20/2020, $67.22, 9964204, $72.02, $72.04, $66.35
03/19/2020, $71.85, 7855607, $79.93, $80.02, $71.07
03/18/2020, $80.26, 6562658, $75.18, $80.65, $73.48
03/17/2020, $80.48, 8190756, $70.26, $82.7, $70.19
03/16/2020, $68.65, 6506660, $71.28, $77, $67.88
03/13/2020, $78.29, 7362661, $76, $78.36, $71.32
03/12/2020, $71.31, 6777572, $74.5, $76.99, $69.8
03/11/2020, $78.95, 4258896, $81.25, $81.45, $77.92
03/10/2020, $83.22, 4869633, $83.07, $84.12, $79.06
03/09/2020, $81.33, 6171302, $82.36, $84.42, $79.55
03/06/2020, $86.7, 4520419, $84.9, $87.09, $83.53
03/05/2020, $87.17, 3880909, $87.37, $88.79, $86.17
03/04/2020, $89.03, 4571572, $84.23, $89.06, $84.23
03/03/2020, $83.38, 5624529, $83.76, $85.94, $82.93
03/02/2020, $84.18, 5612620, $78.67, $84.32, $78.45
02/28/2020, $78.18, 8247003, $79.8, $79.8, $76.39
02/27/2020, $81.28, 4549151, $85.42, $85.72, $81.19
02/26/2020, $86.77, 3902616, $88.2, $88.8, $86.715
02/25/2020, $87.79, 3880015, $89.8, $90.14, $87.545
02/24/2020, $89.8, 4665593, $89.04, $90.89, $88.85
02/21/2020, $89.38, 3126384, $89.05, $89.75, $88.9069
02/20/2020, $89.25, 3034908, $87.8, $89.32, $87.72
02/19/2020, $87.84, 2665841, $88.98, $89.2, $87.66
02/18/2020, $88.98, 3419502, $87.89, $89.01, $87.31
02/14/2020, $87.46, 2881297, $86.39, $87.61, $86.2
02/13/2020, $86.24, 3571435, $85.75, $86.91, $85.75
02/12/2020, $85.78, 3463901, $85, $86.18, $84.85
02/11/2020, $85.22, 3759894, $85.25, $86.22, $84.86
02/10/2020, $84.59, 2329792, $84.81, $85, $84.21
02/07/2020, $84.81, 2276698, $85.44, $85.6251, $84.76
02/06/2020, $85.27, 1594294, $85.1, $85.69, $84.77
02/05/2020, $84.92, 2604617, $84.44, $85.22, $84.12
02/04/2020, $84.56, 3025798, $85.99, $86.05, $84.53
02/03/2020, $85.84, 2030830, $85.95, $86.14, $85.63
01/31/2020, $85.75, 3968293, $86.36, $86.61, $85.23
01/30/2020, $86.48, 3380539, $85.34, $86.69, $84.93
01/29/2020, $85.39, 2973062, $84.59, $85.455, $84.44
01/28/2020, $84.52, 2718831, $83.45, $84.615, $83.4334
