Date, Close/Last, Volume, Open, High, Low
03/30/2020, $28.67, 29527480, $28.49, $29.29, $26
03/27/2020, $29.55, 34960740, $30.72, $31.32, $29.02
03/26/2020, $31.7, 57913540, $32.61, $35.89, $30.424
03/25/2020, $31.1, 70733900, $31.49, $33.28, $27.4
03/24/2020, $26.89, 65730290, $26.26, $28.98, $24.52
03/23/2020, $22.22, 44426360, $22.17, $22.83, $20.6
03/20/2020, $21.35, 55062900, $23.17, $26.85, $21.26
03/19/2020, $21.51, 44623380, $23.36, $24.15, $20
03/18/2020, $23.49, 64242530, $29.79, $29.79, $19.1
03/17/2020, $31.74, 33097460, $36.23, $37.19, $30.6
03/16/2020, $35.81, 35535360, $32.8, $38.08, $31.23
03/13/2020, $38.36, 33052490, $38.54, $38.74, $34.79
03/12/2020, $33.71, 36331860, $37.47, $38.78, $33.46
03/11/2020, $42.67, 23567780, $44, $44.34, $41.73
03/10/2020, $45.47, 28693310, $45.57, $45.88, $41.46
03/09/2020, $43.52, 25784750, $43.04, $45.01, $42.425
03/06/2020, $45.89, 25809310, $43.47, $46.9283, $42.87
03/05/2020, $45.01, 22918800, $46.5, $46.57, $44.4175
03/04/2020, $48.5, 20381790, $47.5, $48.64, $46.021
03/03/2020, $46.18, 26344100, $49.81, $49.97, $46.04
03/02/2020, $47.16, 20098720, $46.22, $47.25, $44.33
02/28/2020, $46.13, 19860960, $46.02, $47.7899, $45.1352
02/27/2020, $48.19, 21949060, $46.72, $50.98, $45.03
02/26/2020, $49.59, 15994710, $51.44, $51.77, $49
02/25/2020, $50.89, 15836500, $54.54, $54.71, $50.75
02/24/2020, $54.23, 17983120, $54.83, $55.375, $53.335
02/21/2020, $57.87, 6296079, $57.96, $58.02, $56.87
02/20/2020, $58.38, 5239459, $58.2, $58.99, $58.12
02/19/2020, $58.51, 4399855, $58.49, $58.58, $58.03
02/18/2020, $58.72, 5691853, $58.87, $59.47, $58.41
02/14/2020, $58.9, 3810080, $59.24, $59.47, $58.58
02/13/2020, $59.13, 4353149, $58.75, $59.21, $58.35
02/12/2020, $59.47, 5227469, $59.29, $59.915, $59.18
02/11/2020, $58.66, 4566462, $58.1, $59.1, $57.97
02/10/2020, $57.71, 4541102, $57.54, $58.12, $57.43
02/07/2020, $57.92, 3836844, $57.96, $58.25, $57.52
02/06/2020, $58.18, 5210207, $59.8, $60.03, $58.02
02/05/2020, $58.89, 6067216, $58.97, $59.2993, $58.5998
02/04/2020, $57.93, 6880807, $57.2, $58.4, $57.15
02/03/2020, $56.04, 7498975, $56.2, $57.25, $56
01/31/2020, $55.74, 9320794, $56.7, $57.08, $55.43
01/30/2020, $57.1, 5980732, $55.65, $57.18, $55.65
01/29/2020, $56.65, 5663665, $57.64, $57.8, $56.57
01/28/2020, $57.48, 6343686, $57.55, $57.97, $56.75
01/27/2020, $56.83, 13090190, $56.49, $57.18, $55.62
01/24/2020, $58.81, 10989510, $60.1, $60.21, $57.84
01/23/2020, $60.27, 7774547, $59.19, $60.375, $58.19
01/22/2020, $59.64, 7096446, $60.63, $60.72, $59.56
01/21/2020, $60.34, 16591970, $61.25, $61.61, $58.43
