Date, Close/Last, Volume, Open, High, Low
03/30/2020, $146.77, 2490680, $149.35, $149.79, $146.27
03/27/2020, $146.12, 3686297, $138.17, $147.72, $137.52
03/26/2020, $140.52, 3471836, $136.9, $142.8684, $135.26
03/25/2020, $137.23, 3661313, $141.54, $143.42, $136.6918
03/24/2020, $141.82, 3252125, $145.17, $149.67, $137.71
03/23/2020, $139.87, 2985116, $139.88, $145.29, $137.02
03/20/2020, $140.13, 4530692, $142.39, $144.91, $135.04
03/19/2020, $143, 4064373, $149.17, $151.3, $141.44
03/18/2020, $148.74, 4848522, $145.5, $157.65, $137.9
03/17/2020, $154.53, 4964691, $137.9, $156.475, $137.59
03/16/2020, $136.1, 3806802, $134.19, $139.6, $125
03/13/2020, $145.81, 6267024, $148.71, $148.99, $138.49
03/12/2020, $141.97, 6710462, $152.01, $157.07, $140.15
03/11/2020, $157.63, 3850768, $163.09, $165.73, $156.685
03/10/2020, $166.25, 3791561, $162.63, $167.44, $160.12
03/09/2020, $159.28, 3253590, $150.79, $162.04, $150.05
03/06/2020, $158.38, 1836996, $154.26, $158.92, $152.17
03/05/2020, $157.48, 1970603, $158.28, $161.02, $155.5
03/04/2020, $160.16, 1664747, $157.89, $160.51, $156.51
03/03/2020, $156.42, 2573767, $159.52, $163.28, $154.36
03/02/2020, $159.6, 2581634, $150.36, $159.75, $150.25
02/28/2020, $150.3, 3858851, $155.73, $156.22, $147.5569
02/27/2020, $157.66, 3595999, $161.15, $162.505, $157.44
02/26/2020, $162.67, 2126949, $162.05, $164.49, $161.21
02/25/2020, $161.5, 2335923, $165.67, $166.9, $161.05
02/24/2020, $164.86, 2282333, $163.53, $166.51, $163.53
02/21/2020, $166.88, 1455114, $165.89, $167.04, $165.03
02/20/2020, $165.73, 1101628, $163.79, $166.03, $163.16
02/19/2020, $163.79, 1540340, $162.02, $164.38, $161.575
02/18/2020, $161.71, 1604180, $158.3, $162.35, $157.75
02/14/2020, $158.03, 1434040, $159.31, $160.12, $157.46
02/13/2020, $159.85, 984143, $158.43, $160.24, $157.77
02/12/2020, $158.66, 1093784, $156.5, $158.94, $155.635
02/11/2020, $155.95, 916896, $156.22, $156.66, $155.52
02/10/2020, $155.59, 1102471, $154.08, $155.65, $153.83
02/07/2020, $154.97, 814484, $155.3, $155.76, $154.02
02/06/2020, $155.47, 1118562, $157.76, $157.97, $155.19
02/05/2020, $157.26, 1037451, $156.6, $157.76, $156.465
02/04/2020, $155.99, 1429524, $155.91, $157.62, $155.63
02/03/2020, $154.77, 1109796, $154.28, $157.14, $154
01/31/2020, $153.41, 1974995, $157.04, $157.29, $152.91
01/30/2020, $156.99, 1528107, $154.96, $157, $154.3702
01/29/2020, $155.75, 719977, $157, $157.43, $155.71
01/28/2020, $156.66, 1117980, $156.42, $157.64, $155.87
01/27/2020, $155.86, 1539839, $153.11, $156.905, $152.62
01/24/2020, $154.34, 1050705, $154.92, $155, $153.41
01/23/2020, $155.14, 1283380, $153.85, $155.5072, $153.38
01/22/2020, $154.5, 1458674, $157.95, $158.32, $154.19
01/21/2020, $157.54, 1381612, $157.35, $158.7, $157.23
01/17/2020, $157.99, 1486809, $158.63, $160.41, $157.53
01/16/2020, $158.27, 1472828, $157.53, $158.53, $156.92
01/15/2020, $156.59, 2638045, $155.34, $157.34, $155.2103
01/14/2020, $157.98, 2837185, $155.07, $158.96, $155.07
01/13/2020, $154.12, 2011834, $151.96, $154.83, $151.43
01/10/2020, $153.22, 2747909, $153.17, $154.12, $152.49
01/09/2020, $152.58, 2832636, $151.8, $153.755, $151.78
01/08/2020, $151.55, 3208434, $152, $152.63, $151.13
01/07/2020, $152.21, 2845830, $154.19, $154.76, $152.14
01/06/2020, $154.54, 2295596, $154.41, $154.72, $152.1
01/03/2020, $155.39, 1715458, $155.3, $156.36, $154.66
01/02/2020, $156.54, 1847729, $156.95, $157.12, $155.24
12/31/2019, $155.98, 1097229, $157.17, $157.45, $155.23
12/30/2019, $157.35, 1350377, $156.15, $158.19, $155.38
12/27/2019, $156.65, 974414, $155.48, $156.75, $155.24
12/26/2019, $155.31, 1001279, $156.22, $156.22, $154.2
12/24/2019, $156.25, 500669, $155.79, $156.6, $155.25
12/23/2019, $155.16, 1266813, $157.03, $157.16, $155
12/20/2019, $156.71, 2695995, $157.84, $158.12, $156.45
12/19/2019, $157, 2368151, $155.46, $157.105, $154.95
12/18/2019, $155.3, 1920130, $155.74, $155.8, $154.575
12/17/2019, $155.18, 2153684, $153.38, $155.64, $153.13
12/16/2019, $152.77, 2471931, $154.84, $155.16, $152.54
12/13/2019, $154.63, 2243691, $155.07, $155.25, $152.945
12/12/2019, $155.58, 1895302, $154.16, $156.29, $154.13
12/11/2019, $154.51, 1921279, $154.22, $154.84, $153.86
12/10/2019, $154.37, 1877939, $154.38, $155.54, $153.89
12/09/2019, $154.82, 2521398, $154.26, $155.545, $153.2
12/06/2019, $154.72, 3190898, $155.91, $156.5, $153.8
12/05/2019, $155.1, 5712342, $155.56, $156.05, $152
12/04/2019, $153.55, 3615691, $154.63, $155.73, $153.18
12/03/2019, $153, 4841462, $153.41, $154.02, $152.715
12/02/2019, $154.68, 3709771, $158.28, $158.43, $154.53
11/29/2019, $157.36, 1105525, $157.99, $158.305, $157.09
11/27/2019, $158.42, 1834641, $158.65, $159.01, $157.6
11/26/2019, $158.47, 3974391, $156.29, $160.32, $155.4235
11/25/2019, $159.92, 2652371, $159.89, $161.01, $159.715
11/22/2019, $159.79, 1300988, $161.35, $161.74, $159.77
11/21/2019, $160.78, 1332392, $160.49, $162.05, $160.25
11/20/2019, $160.95, 1974577, $159.82, $162.1, $159.22
11/19/2019, $158.43, 1618982, $159.13, $160.19, $157.18
11/18/2019, $159.98, 1230255, $160.07, $160.73, $159.37
11/15/2019, $160.14, 2034401, $160.36, $160.36, $158
11/14/2019, $159.49, 1564764, $158.5, $160.91, $157.94
11/13/2019, $157.99, 2238770, $156.34, $158.06, $154.59
11/12/2019, $156.98, 1373640, $156.96, $162.53, $156.5
11/11/2019, $157, 1001035, $157.72, $157.74, $155.64
11/08/2019, $157.86, 1314397, $159.23, $159.9, $156.38
11/07/2019, $159.23, 1211986, $160.34, $161.1, $158.81
11/06/2019, $159.61, 1025325, $159.63, $160.435, $158.88
11/05/2019, $159.69, 1414193, $158.16, $160.17, $157.97
11/04/2019, $158.21, 1696656, $160.48, $160.71, $156.71
11/01/2019, $159.9, 1072789, $161.47, $161.9, $159.37
10/31/2019, $160.34, 1451703, $161.14, $161.66, $159.33
10/30/2019, $161.63, 828645, $160.33, $162.05, $160.02
10/29/2019, $160.62, 1083211, $162.39, $162.94, $160.54
10/28/2019, $162.64, 1060336, $162.38, $163.09, $161.25
10/25/2019, $162.18, 764376, $162.52, $163.52, $161.73
10/24/2019, $162.91, 1277164, $163.21, $164.1801, $162.04
10/23/2019, $162.98, 1512125, $166.09, $166.98, $162.17
10/22/2019, $165.8, 1242055, $164.51, $166.65, $164.39
10/21/2019, $164.35, 1290309, $164.97, $165.47, $163.43
10/18/2019, $164.41, 1760027, $163.12, $164.97, $162.34
10/17/2019, $162.87, 1633291, $162.55, $163.42, $162.03
10/16/2019, $162.24, 1091193, $161.74, $162.5, $160.74
10/15/2019, $162.07, 1171877, $162.79, $163.26, $161.55
10/14/2019, $161.21, 1828095, $162.8, $163.059, $161.045
10/11/2019, $162.25, 1486680, $161.9, $164.29, $161.1
10/10/2019, $160.52, 1727750, $160.43, $160.76, $158.86
10/09/2019, $160.85, 1230793, $160.1, $161.66, $160
10/08/2019, $159.84, 1464421, $158.94, $161.55, $157.98
10/07/2019, $160.01, 1686014, $159.98, $161.0829, $158.33
10/04/2019, $160.97, 1948686, $157.01, $161.35, $157.01
10/03/2019, $157.41, 1547355, $157.61, $158.14, $155.29
10/02/2019, $157.62, 1657789, $157.71, $158.59, $156.11
10/01/2019, $159.04, 1756538, $159.73, $160.78, $157
09/30/2019, $158.94, 2040494, $159.68, $160.78, $158.688
09/27/2019, $160.02, 1364833, $160.5, $160.57, $158.78
09/26/2019, $159.5, 1330662, $159.57, $160.44, $158.22
09/25/2019, $159.15, 1466477, $158.77, $160.06, $157.52
09/24/2019, $158.81, 1415181, $159.68, $160.86, $156.96
09/23/2019, $158.71, 1392707, $157.73, $160.67, $157.56
09/20/2019, $156.23, 1926382, $157.39, $158.6, $156.22
09/19/2019, $156.81, 1281964, $157.44, $157.55, $155.87
09/18/2019, $156.7, 1572308, $156.96, $157.36, $154.69
09/17/2019, $156.82, 2138170, $153.9, $156.84, $153.335
09/16/2019, $153.17, 1884693, $156.63, $156.9899, $152.36
09/13/2019, $157.78, 1579551, $156.46, $158.23, $156.265
09/12/2019, $157.1, 1740826, $158.11, $158.8, $155.975
09/11/2019, $156.01, 2530909, $156.17, $158.67, $155.24
09/10/2019, $157.09, 3188128, $158.23, $158.28, $155.31
09/09/2019, $160.76, 1947344, $162.04, $162.34, $159.79
09/06/2019, $161.54, 1584911, $159.92, $162.19, $159.69
09/05/2019, $159.82, 1536682, $159.84, $161.09, $158.97
09/04/2019, $157.8, 1737089, $157.41, $158.18, $156.47
09/03/2019, $155.63, 2384633, $155.41, $157.88, $155.21
08/30/2019, $156.09, 2689468, $156.62, $158.91, $154.61
08/29/2019, $156.09, 6858995, $151.62, $157.4392, $151.1
08/28/2019, $141.03, 2451398, $138.51, $141.76, $138
08/27/2019, $138.75, 1969056, $140, $140.38, $138.68
08/26/2019, $139.22, 1478622, $138.28, $139.3, $137.7
08/23/2019, $136.99, 1500439, $139.1, $139.64, $136.27
08/22/2019, $139.74, 1688674, $138.61, $140.19, $138.29
08/21/2019, $138.79, 1975559, $139.96, $140.37, $137.935
08/20/2019, $137.21, 1254646, $137.88, $138.69, $136.555
08/19/2019, $138.1, 2014262, $137.89, $138.89, $135.66
08/16/2019, $135.91, 1374453, $134.47, $136.427, $134.22
08/15/2019, $133.81, 1474745, $134.95, $135.82, $132.8
08/14/2019, $133.85, 1763314, $134.31, $135.92, $133.39
08/13/2019, $135.38, 1502175, $134.14, $137.49, $133
08/12/2019, $134.94, 1246477, $135.01, $136.84, $134.18
08/09/2019, $135.58, 1068669, $137.65, $138.12, $135.49
08/08/2019, $137.39, 1583008, $136.37, $137.96, $135.74
08/07/2019, $134.59, 1148660, $133.41, $134.84, $132.25
08/06/2019, $134.46, 1647655, $132.56, $134.745, $131.51
08/05/2019, $132.65, 1800523, $132.61, $133.54, $131.03
08/02/2019, $133.69, 2004810, $132.3, $134.6, $132.03
08/01/2019, $132.15, 2137097, $133.86, $136.02, $131.55
07/31/2019, $134.02, 1547856, $133.93, $135.14, $132.57
07/30/2019, $134.2, 1551000, $135.61, $135.61, $133.61
07/29/2019, $135.8, 1491639, $137.85, $138.14, $135.51
07/26/2019, $137.97, 1281345, $137.78, $138.62, $137.16
07/25/2019, $137.72, 1729595, $138.73, $138.73, $136.8
07/24/2019, $139.15, 1608543, $137.37, $139.245, $137.03
07/23/2019, $137.22, 2442883, $138.11, $138.11, $134.07
07/22/2019, $138.04, 2824417, $141.26, $141.31, $137.6
07/19/2019, $141.28, 1857869, $143.25, $143.35, $141.21
07/18/2019, $142.82, 2226625, $144.58, $144.8, $141.5
07/17/2019, $144.97, 1455409, $143.89, $145.06, $143.43
07/16/2019, $144.2, 1234827, $142.5, $144.46, $142.16
07/15/2019, $142.26, 1322394, $141.79, $142.5716, $141.38
07/12/2019, $141.52, 1219776, $140.81, $141.69, $140.57
07/11/2019, $140.36, 1584197, $141.34, $142.06, $139.91
07/10/2019, $140.93, 1842250, $139.81, $141.05, $139.1479
07/09/2019, $139.55, 1487378, $138.19, $140.05, $138.19
07/08/2019, $138.57, 1504465, $139.23, $139.68, $138.19
07/05/2019, $139.95, 1316782, $138.83, $140.12, $138.22
07/03/2019, $139.09, 944281, $137.34, $139.12, $137.34
07/02/2019, $137.11, 1061785, $136.28, $137.11, $135.88
07/01/2019, $135.87, 1342754, $136.01, $137.16, $135.02
06/28/2019, $135.16, 2526811, $136.14, $136.43, $134.57
06/27/2019, $136.46, 1330040, $136.23, $136.8, $135.95
06/26/2019, $136.47, 1560974, $136.1, $137.15, $135.4
06/25/2019, $136.01, 1777384, $137.49, $137.77, $136.01
06/24/2019, $137.14, 1164183, $138.91, $139.065, $136.82
06/21/2019, $138.78, 2208229, $139.07, $139.78, $138.5
06/20/2019, $138.81, 1357160, $139, $139.04, $138.09
06/19/2019, $138.17, 1364597, $137.05, $138.49, $135.67
06/18/2019, $137.05, 2035820, $136.48, $137.12, $135.74
06/17/2019, $135.9, 1495944, $137.05, $137.39, $135.74
06/14/2019, $135.69, 1239878, $136.12, $136.27, $135.29
06/13/2019, $135.96, 1729074, $136.51, $137.35, $135.33
06/12/2019, $136.04, 994255, $135.47, $136.43, $135.38
06/11/2019, $135.51, 1679722, $135.24, $135.91, $134.625
06/10/2019, $134.97, 1927867, $133.67, $135.46, $133.5228
06/07/2019, $133.15, 1271558, $132.25, $133.43, $132.19
06/06/2019, $131.46, 1448791, $130.85, $131.975, $130.39
06/05/2019, $130.4, 1972077, $130.4, $130.61, $129.11
06/04/2019, $130, 1828894, $129, $130.43, $128.96
06/03/2019, $129, 2318582, $127.87, $129.59, $127.87
05/31/2019, $127.28, 2892919, $126.16, $127.49, $125.52
05/30/2019, $127, 5519001, $124.79, $128.07, $122.77
05/29/2019, $118.51, 3196186, $119.14, $119.9, $118.2
05/28/2019, $119.96, 2280958, $121.52, $122.28, $119.92
05/24/2019, $121.96, 1157198, $121.17, $122.17, $120.74
05/23/2019, $120.64, 1439304, $121.48, $121.84, $120.15
05/22/2019, $122.05, 1557227, $121.44, $122.56, $121.01
05/21/2019, $121.55, 2280041, $120.41, $122.34, $119.515
05/20/2019, $119.82, 1431770, $119.83, $120.08, $119.05
05/17/2019, $120.19, 1970201, $118.87, $121.04, $118.87
05/16/2019, $119.72, 2006712, $118.75, $120.54, $118.06
05/15/2019, $118.04, 2064885, $117.36, $118.37, $116.15
05/14/2019, $117.28, 3275821, $118.28, $118.79, $116.98
05/13/2019, $118.26, 2308124, $120.07, $120.35, $117.285
05/10/2019, $121.84, 1374549, $122.25, $122.54, $120.2
05/09/2019, $122.96, 1019308, $121.7, $123.35, $121.58
05/08/2019, $122.28, 1277893, $121.92, $122.9738, $120.86
05/07/2019, $122.25, 1152798, $123.42, $123.59, $121.3
05/06/2019, $124.36, 1191851, $123.16, $124.6673, $122.82
05/03/2019, $124.7, 938682, $125.08, $125.59, $124.5503
05/02/2019, $124.63, 1039372, $124.18, $125.06, $123.69
05/01/2019, $123.82, 1726635, $125.97, $126.4, $123.73
04/30/2019, $126.09, 1812933, $126.32, $126.75, $125.15
04/29/2019, $125.1, 958251, $125.06, $125.57, $124.48
04/26/2019, $125.26, 1429899, $124.83, $125.97, $123.79
04/25/2019, $126.38, 1285961, $125.96, $126.84, $125.554
04/24/2019, $126.04, 1382448, $124.62, $126.48, $124.22
04/23/2019, $124.23, 1556583, $123.66, $124.58, $122.63
04/22/2019, $123.56, 1127215, $123.2, $124.03, $122.985
04/18/2019, $123.55, 1815198, $124.3, $124.7692, $123.48
04/17/2019, $124.3, 1337033, $124.15, $124.83, $123.95
04/16/2019, $123.7, 1743377, $124.46, $124.6623, $123.42
04/15/2019, $123.85, 1810682, $122.4, $124.15, $122.4
04/12/2019, $122.38, 931710, $122.65, $123.15, $122.16
04/11/2019, $122.41, 1379315, $122.32, $122.75, $121.88
04/10/2019, $121.81, 2418514, $121.76, $122.645, $121.38
04/09/2019, $121.42, 1204045, $121.76, $122.26, $121
04/08/2019, $122.3, 2003656, $122.24, $122.71, $121.25
04/05/2019, $122.58, 3098884, $120.35, $123.5, $120.31
04/04/2019, $120.16, 1665398, $118, $120.375, $117.575
04/03/2019, $118.17, 1136873, $118.5, $119.06, $117.81
04/02/2019, $117.89, 1733493, $118.23, $118.33, $116.76
04/01/2019, $118.33, 2217653, $119.49, $119.74, $118.09
03/29/2019, $119.3, 1962077, $119.48, $119.9, $118.5
03/28/2019, $119.36, 1514917, $119.45, $119.6993, $118.54
03/27/2019, $118.71, 2230144, $118.76, $120.73, $118.5
03/26/2019, $118.77, 1491297, $119.36, $120.15, $118.42
03/25/2019, $118.75, 1403906, $117.42, $119.655, $117.22
03/22/2019, $117.47, 1766659, $117.34, $118.5, $117.29
03/21/2019, $117.82, 2087563, $117.12, $118.34, $116.98
03/20/2019, $117.13, 2173996, $116.93, $118.11, $116.15
03/19/2019, $117.24, 2197516, $117.36, $117.66, $116.07
03/18/2019, $116.53, 4134929, $115.62, $116.61, $114.18
03/15/2019, $113.89, 6255794, $111.81, $114.57, $111.04
03/14/2019, $111.64, 11270560, $111.639, $112.46, $108.74
03/13/2019, $120.68, 3144092, $120, $121.27, $119.7
03/12/2019, $119.61, 2039228, $120, $120.15, $118.68
03/11/2019, $119.71, 2139394, $118.89, $119.95, $118.57
03/08/2019, $118.71, 2560473, $118.69, $119.79, $117.8569
03/07/2019, $118.88, 2654965, $118.74, $119.66, $118.1
03/06/2019, $119.27, 2106302, $119.99, $120.21, $118.1
03/05/2019, $119.61, 1855693, $119.85, $120, $118.93
03/04/2019, $118.87, 1641207, $120.31, $120.34, $118.45
03/01/2019, $119.5, 1642289, $119.57, $120.2, $118.57
02/28/2019, $118.46, 2226435, $116.75, $119.02, $116.36
02/27/2019, $118.17, 1298223, $118.07, $119.1, $117.11
02/26/2019, $118.38, 1598413, $118.99, $119.28, $117.31
02/25/2019, $118.76, 1621184, $119.41, $119.93, $118.34
02/22/2019, $118.38, 1311784, $118.39, $118.97, $118.18
02/21/2019, $118.46, 1369641, $118.89, $119.1, $117.8995
02/20/2019, $118.99, 2004794, $119.43, $119.86, $118.45
02/19/2019, $119.15, 3067535, $119.73, $119.9, $118.43
02/15/2019, $119, 2371782, $119.47, $120.33, $118.765
02/14/2019, $118.52, 1695496, $118.29, $119.435, $117.61
02/13/2019, $118.9, 2079255, $118.25, $119.35, $117.19
02/12/2019, $118.01, 1381817, $117.95, $118.48, $117.51
02/11/2019, $117.25, 1175808, $116.45, $117.545, $116.095
02/08/2019, $116.32, 1416590, $116.72, $117.15, $115.72
02/07/2019, $117.37, 1394813, $115.95, $117.39, $115.61
02/06/2019, $116.35, 1297450, $115.93, $116.82, $115.07
02/05/2019, $116.04, 1554537, $116.98, $117.18, $115.61
02/04/2019, $116.64, 1025839, $115.19, $116.64, $114.7275
02/01/2019, $115.04, 1720280, $115.43, $115.53, $113.4564
01/31/2019, $115.43, 1691611, $115.07, $116.31, $114.727
01/30/2019, $115.28, 1947985, $115.57, $115.9099, $114.53
01/29/2019, $114.8, 1466302, $114.65, $114.87, $113.31
01/28/2019, $114.12, 1261766, $113.1, $114.15, $113.05
01/25/2019, $114.2, 1423786, $114.76, $114.76, $113.74
01/24/2019, $113.75, 2309725, $113.98, $115.21, $113.29
01/23/2019, $113.59, 2219610, $113.39, $115.09, $112.59
01/22/2019, $112.9, 2235528, $113, $114.36, $112.35
01/18/2019, $113.53, 2910047, $113.09, $113.79, $112.4
01/17/2019, $112.27, 1699880, $111.47, $112.77, $111.35
01/16/2019, $112.21, 3293084, $111.55, $112.65, $111.295
01/15/2019, $112.17, 2786447, $112.95, $114.25, $111.9
01/14/2019, $113.1, 3304099, $115.82, $115.98, $113.04
01/11/2019, $116.06, 2060847, $116.5, $117.24, $115.64
