Date, Close/Last, Volume, Open, High, Low
03/30/2020, $140.82, 4769746, $137.54, $141.61, $134.49
03/27/2020, $138.58, 5256481, $134.13, $141.83, $133.68
03/26/2020, $138.66, 5268797, $131.85, $139.5753, $130.22
03/25/2020, $129.32, 5737666, $126.66, $132.935, $123.78
03/24/2020, $129.15, 5257467, $125.75, $132, $125.131
03/23/2020, $121.39, 8979306, $135.95, $137.17, $119.6
03/20/2020, $123.81, 6373807, $125.88, $130, $121.62
03/19/2020, $124.19, 5753879, $127.68, $129.48, $122
03/18/2020, $128.14, 4908264, $124.2, $130.445, $121.07
03/17/2020, $131.78, 4852250, $129.63, $135.73, $126.12
03/16/2020, $127.64, 4893720, $129.94, $136.25, $123.53
03/13/2020, $141.39, 5745603, $136.47, $142.08, $127.225
03/12/2020, $128.89, 5855064, $129.85, $135.6864, $127.88
03/11/2020, $139.37, 4783206, $141.51, $142.08, $137.37
03/10/2020, $144.31, 4064896, $146.48, $147.25, $139.04
03/09/2020, $141.59, 4252772, $140.5, $143.555, $138.14
03/06/2020, $148.43, 3156378, $145.23, $148.96, $143.37
03/05/2020, $149.47, 4494187, $152.98, $153.115, $147.41
03/04/2020, $155.98, 3463276, $150.58, $156.14, $149.3
03/03/2020, $147.54, 3105432, $151.84, $155.93, $146.09
03/02/2020, $150.69, 4682742, $145.31, $150.72, $143.02
02/28/2020, $144.58, 7942815, $142.16, $146.8, $141.22
02/27/2020, $147.05, 4238505, $149.85, $153.13, $147.04
02/26/2020, $152.19, 3203085, $151.41, $155.51, $150.5
02/25/2020, $151.65, 3188035, $157.73, $158, $150.75
02/24/2020, $156.82, 2467155, $155.3, $159.11, $155.3
02/21/2020, $161.88, 1945795, $159.31, $162.08, $158.9301
02/20/2020, $160.26, 2428907, $163.48, $163.8, $158.73
02/19/2020, $163.91, 2642379, $164.44, $164.8, $162.69
02/18/2020, $164, 1916689, $166.29, $166.4, $163.33
02/14/2020, $165.95, 1633778, $163.43, $165.96, $163.02
02/13/2020, $163.42, 2734027, $163.25, $163.786, $161.95
02/12/2020, $163.83, 1653431, $163.56, $164.87, $163.18
02/11/2020, $163.68, 1651039, $163.58, $164.3, $163.02
02/10/2020, $162.99, 1669863, $162.36, $163.67, $161.38
02/07/2020, $161.99, 1661586, $163.39, $163.85, $161.7
02/06/2020, $163.98, 1844268, $163.68, $165.12, $162.5594
02/05/2020, $162.89, 1945999, $163.78, $164.21, $162.065
02/04/2020, $162.76, 2616379, $163.25, $163.8, $162.45
02/03/2020, $161, 2997635, $162, $163.12, $160.515
01/31/2020, $160.87, 3747546, $167.24, $167.3, $160.34
01/30/2020, $169.05, 3834512, $165, $169.19, $163.5658
01/29/2020, $165.22, 1898327, $164.57, $166.18, $163.36
01/28/2020, $163.76, 2105494, $161.5, $164.125, $161.01
01/27/2020, $161.2, 2347619, $160.65, $161.87, $159.61
01/24/2020, $162.25, 1970737, $163.31, $163.51, $161.62
01/23/2020, $162.48, 2153326, $163.62, $164.03, $162.205
01/22/2020, $163.77, 1882412, $163.86, $164.54, $163.08
01/21/2020, $163.71, 2293122, $162.91, $164.17, $162.6
01/17/2020, $163.06, 2608845, $162.25, $163.165, $161.47
01/16/2020, $161.51, 2427104, $161.65, $161.96, $160.45
01/15/2020, $160.8, 2660189, $161.55, $162.37, $160.27
01/14/2020, $161.39, 3041105, $159.86, $161.99, $159.36
01/13/2020, $159.57, 2273312, $158.45, $159.75, $158.17
01/10/2020, $158.12, 1995485, $158.24, $158.58, $157.37
01/09/2020, $157.67, 2104949, $156.98, $158.84, $156.39
01/08/2020, $156.29, 2788122, $157.3, $157.74, $156.27
01/07/2020, $156.13, 1987169, $155.02, $156.67, $154.1
01/06/2020, $154.61, 2749356, $153.45, $154.76, $153.26
01/03/2020, $154.15, 2329043, $153.43, $155.31, $152.43
01/02/2020, $155.11, 2376842, $153.96, $155.24, $153.13
12/31/2019, $153.48, 2194258, $152.72, $153.58, $152.25
12/30/2019, $152.84, 2022631, $152.94, $152.98, $152.15
12/27/2019, $152.88, 2592807, $153.2, $153.38, $152.4
12/26/2019, $152.82, 1717171, $152.87, $153.33, $152.52
12/24/2019, $153.34, 1548843, $152.84, $153.48, $152.46
12/23/2019, $153.24, 16125820, $153.71, $153.85, $152.445
12/20/2019, $152.85, 19635670, $151.06, $153.05, $150.74
12/19/2019, $150.44, 35377500, $150.93, $154, $149.17
12/18/2019, $150.01, 32595940, $151, $151.44, $149.57
12/17/2019, $150.77, 26206060, $151.73, $152.28, $150.07
12/16/2019, $151.44, 92051880, $148.12, $153.54, $148.03
12/13/2019, $148.52, 64102580, $151.18, $152.06, $148.28
12/12/2019, $151.3, 73815320, $149.35, $153.02, $149.07
12/11/2019, $149.67, 53190490, $149.4, $150.47, $148.19
12/10/2019, $148.84, 40697160, $147.88, $148.94, $146.24
12/09/2019, $147.53, 34798350, $148.47, $149.31, $147.27
12/06/2019, $148.22, 22420130, $147.71, $148.94, $146.79
12/05/2019, $147.19, 15095730, $146.94, $147.3, $145.51
12/04/2019, $147.31, 15413490, $146.9, $149.61, $145.97
12/03/2019, $146.69, 9958819, $144.53, $146.99, $144.11
12/02/2019, $145.69, 8350426, $146.49, $146.68, $144.07
11/29/2019, $145.98, 1997850, $146.66, $147, $145.21
11/27/2019, $146.59, 8756126, $146.31, $147.2, $145.77
11/26/2019, $145.98, 8373793, $145, $146.4, $144.74
11/25/2019, $144.94, 4891993, $143.99, $145, $143.65
11/22/2019, $143.32, 4440869, $143.59, $143.85, $142.46
11/21/2019, $143.18, 6931099, $142.61, $143.28, $141.05
11/20/2019, $142.96, 6078476, $143.07, $143.82, $142.44
11/19/2019, $143.6, 7171273, $140.16, $143.8, $139.25
11/18/2019, $140.23, 5129438, $142.6, $143.075, $140.11
11/15/2019, $142.99, 13746220, $139.26, $143.03, $138.965
11/14/2019, $136.15, 2158407, $136.84, $137.1403, $135.13
11/13/2019, $137.05, 4835397, $135.29, $137.7, $134.46
11/12/2019, $135.54, 1530844, $134.67, $136.2864, $134.53
11/11/2019, $134.52, 1099506, $134.65, $135.74, $134.165
11/08/2019, $135.23, 1662480, $134.71, $135.62, $134.365
11/07/2019, $134.5, 2543328, $134.84, $135.22, $134.07
11/06/2019, $134.86, 2569769, $133.87, $135.05, $133.35
11/05/2019, $133.47, 3161504, $135.17, $135.55, $132.88
11/04/2019, $135.22, 2174517, $137.56, $137.99, $135.2
11/01/2019, $136.57, 2298415, $138.72, $139.33, $136.53
10/31/2019, $137.82, 2537405, $138.2, $138.7, $136.66
10/30/2019, $138.25, 3171608, $137.41, $138.81, $136.8
10/29/2019, $137.27, 2352533, $135.84, $138.71, $135.78
10/28/2019, $136.21, 1945457, $136.28, $137.5124, $136.02
10/25/2019, $135.87, 2365242, $135.73, $136.31, $135.08
10/24/2019, $136.44, 2840184, $137.68, $138.33, $135.69
10/23/2019, $138.45, 2422466, $137.68, $138.995, $137.4
10/22/2019, $137.08, 1847572, $138.35, $139.73, $136.97
10/21/2019, $138.23, 1422896, $138.69, $138.895, $137.52
10/18/2019, $138.01, 1434323, $137.43, $138.58, $137.01
10/17/2019, $137.77, 1042513, $137.97, $138.5, $137.59
10/16/2019, $137.39, 2112877, $137.2, $138.48, $136.91
10/15/2019, $137.59, 2095113, $139.7, $140.7, $137.59
10/14/2019, $138.8, 1123686, $139.83, $140, $138.42
10/11/2019, $138.72, 1951323, $140.15, $141.99, $138.69
10/10/2019, $138.76, 1799047, $136.56, $139.42, $136.19
10/09/2019, $137.2, 1655127, $136.96, $137.75, $136.21
10/08/2019, $135.62, 2743990, $138.39, $138.65, $134.42
10/07/2019, $139.68, 1847793, $140.72, $141.13, $139.65
10/04/2019, $141.65, 1929309, $139.36, $141.73, $139.21
10/03/2019, $138.81, 1947609, $136.75, $138.84, $135.33
10/02/2019, $137.11, 2934459, $140.53, $141.08, $136.47
10/01/2019, $141.92, 1689382, $144.25, $145.36, $141.76
09/30/2019, $144.43, 2194959, $142.23, $145.15, $141.83
