Date, Close/Last, Volume, Open, High, Low
03/30/2020, $99.8, 23119210, $96, $100.46, $92.1
03/27/2020, $96.4, 30591530, $100.45, $101.49, $95.54
03/26/2020, $105.36, 24532410, $100.83, $107.7319, $100.8
03/25/2020, $100.73, 28533050, $100.66, $105.9199, $95.51
03/24/2020, $98.12, 32538100, $92.33, $99.168, $91.8
03/23/2020, $85.76, 32246580, $84.49, $87.28, $81.09
03/20/2020, $85.98, 31957770, $95.99, $96.99, $85.84
03/19/2020, $94.93, 30866820, $88, $97.4, $85.11
03/18/2020, $88.8, 43592470, $87.59, $89.34, $79.07
03/17/2020, $93.53, 27526240, $95.8, $97.4604, $91.15
03/16/2020, $95.01, 35379530, $91.8, $98.28, $90
03/13/2020, $102.52, 40960060, $100.78, $102.87, $92.25
03/12/2020, $91.81, 40392870, $97.62, $100, $91.64
03/11/2020, $105.51, 24794290, $108.42, $108.9, $102.86
03/10/2020, $111.46, 24083650, $108.1, $111.58, $102.43
03/09/2020, $104.35, 26233570, $108.69, $110.43, $104.28
03/06/2020, $115.27, 22899620, $110.76, $115.87, $110.32
03/05/2020, $113.98, 22397240, $116.86, $116.96, $112.11
03/04/2020, $119.18, 13842100, $118.96, $119.24, $115.48
03/03/2020, $116.45, 19529720, $121.15, $121.78, $115.15
03/02/2020, $119.98, 21775920, $119.13, $119.98, $116.03
02/28/2020, $117.65, 35453800, $114.51, $118.31, $113.21
02/27/2020, $118.04, 30827530, $119.81, $122.9, $117.92
02/26/2020, $123.36, 31227000, $126.12, $128.37, $122.13
02/25/2020, $128.19, 21032490, $133.75, $133.94, $127.98
02/24/2020, $133.01, 19336450, $132.9, $134.4365, $131.21
02/21/2020, $138.97, 7725829, $139.86, $139.88, $138.58
02/20/2020, $140.37, 5981715, $141.63, $141.63, $138.85
02/19/2020, $141.3, 7080871, $139.63, $141.87, $139.23
02/18/2020, $139.14, 8223909, $139.02, $139.66, $138.1
02/14/2020, $139.54, 9110543, $141.1, $141.28, $139.13
02/13/2020, $140.9, 7543117, $141.17, $141.9, $140.82
02/12/2020, $141.85, 8168150, $141.34, $142.22, $140.87
02/11/2020, $141.01, 10790080, $142.85, $142.99, $140.46
02/10/2020, $142.59, 8162055, $141.03, $142.59, $140.46
02/07/2020, $141.02, 10948880, $141.89, $141.9895, $140.12
02/06/2020, $142.7, 9504618, $141.92, $143.945, $141.22
02/05/2020, $141.37, 27824120, $146.6, $147.3, $138.57
02/04/2020, $144.73, 23519730, $145.49, $145.59, $143.25
