Date, Close/Last, Volume, Open, High, Low
04/13/2020, $140.71, 2361237, $146.85, $146.98, $140.19
04/09/2020, $148.29, 3032938, $146.97, $152.59, $146.625
04/08/2020, $145.81, 2104257, $140.75, $147.11, $139.03
04/07/2020, $140.5, 2359531, $142.85, $144.06, $139.23
04/06/2020, $139.5, 2425873, $141.15, $142.4, $138.96
04/03/2020, $136.49, 2819803, $133.96, $137.57, $132.19
04/02/2020, $135.01, 2551528, $132.3, $136.28, $131.06
04/01/2020, $134.48, 2542194, $132.85, $135.16, $127.12
03/31/2020, $138.91, 3774731, $139.17, $139.53, $130.0182
03/30/2020, $139.81, 3774595, $134.58, $140.98, $134.3101
03/27/2020, $132.85, 3703023, $130.33, $135.94, $129.64
03/26/2020, $134.13, 3885133, $121.81, $134.86, $121.2101
03/25/2020, $121.43, 3729826, $116.98, $128.99, $116.98
03/24/2020, $116.72, 4666484, $111.55, $118.21, $107.6301
03/23/2020, $107.9, 3915371, $120.48, $120.48, $105
03/20/2020, $121.2, 4731976, $125.95, $129.63, $119.01
03/19/2020, $125.27, 4429267, $137.2, $137.35, $121.39
03/18/2020, $137.34, 7986656, $131.81, $139.67, $128.33
03/17/2020, $138.24, 8060963, $131.68, $139.75, $128.94
03/16/2020, $128.31, 6914191, $132.42, $139.62, $127.51
03/13/2020, $143.34, 6545870, $133.37, $143.61, $127.63
03/12/2020, $128.37, 9406154, $127.99, $130.72, $124.62
03/11/2020, $137, 34695210, $131, $138.2, $129.09
03/10/2020, $134.45, 9934981, $124.36, $135.71, $123.41
03/09/2020, $120.67, 2708425, $120.49, $123.96, $119
03/06/2020, $128.24, 3622060, $126.22, $129.13, $124.06
03/05/2020, $129.87, 2408668, $132.62, $134.305, $128.05
03/04/2020, $134.98, 2950387, $131.69, $135.03, $130.55
03/03/2020, $129.59, 4144360, $130.73, $133.22, $127.16
03/02/2020, $130.49, 6312713, $120.9, $130.77, $120.61
02/28/2020, $120.11, 5045765, $121.13, $121.13, $115.4
02/27/2020, $123.19, 2844949, $129.22, $129.36, $122.98
02/26/2020, $130.38, 2665431, $133.5, $133.95, $130.32
02/25/2020, $133.54, 5027139, $136.38, $137.18, $132.92
02/24/2020, $135.27, 3314031, $136.98, $137.23, $134.67
02/21/2020, $138.13, 3346758, $136.53, $138.46, $136.03
02/20/2020, $136.3, 3939671, $133.38, $136.36, $132.88
02/19/2020, $132.41, 2250542, $133.04, $133.73, $132.05
02/18/2020, $133.2, 3167830, $131.54, $133.23, $131.17
02/14/2020, $131.5, 3785890, $125.91, $131.83, $125.2
02/13/2020, $126.53, 1610139, $126.49, $127.7, $126.43
02/12/2020, $127.05, 1829700, $125.36, $127.89, $125.29
02/11/2020, $125.52, 1869917, $126.44, $127.64, $125.31
02/10/2020, $126.08, 1854212, $123.79, $126.11, $123.1
02/07/2020, $123.28, 922840, $124.19, $124.29, $122.85
02/06/2020, $124.02, 1127825, $123.95, $124.34, $123.27
02/05/2020, $123.86, 1748316, $125.12, $125.15, $123.46
02/04/2020, $124.99, 1222480, $123.64, $125.48, $123.325
02/03/2020, $123.14, 1395952, $123.37, $124.51, $122.72
01/31/2020, $122.99, 1923082, $125.61, $126.14, $122.4
01/30/2020, $125.74, 1594673, $127.21, $128.3, $125.515
01/29/2020, $127.63, 1895939, $130.22, $130.4371, $127.5
01/28/2020, $129.82, 1678130, $129.13, $130.31, $129.13
01/27/2020, $129.02, 1526964, $127.52, $129.47, $127.52
01/24/2020, $128.26, 1916343, $127.44, $129.16, $126.97
01/23/2020, $127.11, 1258879, $126.12, $127.52, $126.05
01/22/2020, $126.28, 1647962, $126.1, $127.17, $125.81
01/21/2020, $125.73, 1286419, $124.43, $125.81, $123.8
01/17/2020, $124.44, 1354987, $123.82, $124.7761, $123.15
01/16/2020, $123.67, 2232101, $122.85, $123.99, $122.1
01/15/2020, $120.99, 1443667, $120.96, $121.92, $120.62
01/14/2020, $120.75, 2408226, $121.97, $122.7, $119.98
01/13/2020, $121.97, 2072057, $120.61, $122.2, $119.76
01/10/2020, $120.37, 2048756, $119.06, $120.67, $118.45
01/09/2020, $118.72, 980002, $118.3, $119.67, $118.07
01/08/2020, $118.71, 2553853, $117.84, $118.95, $117.24
01/07/2020, $117.69, 1006351, $118.38, $118.53, $116.76
01/06/2020, $118.86, 1151042, $119.47, $119.65, $118.05
01/03/2020, $119.94, 869372, $117.23, $120.18, $117.08
01/02/2020, $118, 1072059, $120.01, $120.36, $117.46
12/31/2019, $119.74, 1129560, $118.41, $119.78, $118.05
12/30/2019, $118.31, 694360, $117.93, $118.35, $117.135
12/27/2019, $118.18, 580289, $118.5, $118.8, $117.31
12/26/2019, $118.11, 745102, $116.96, $118.11, $116.96
12/24/2019, $116.74, 486744, $116.97, $117.46, $116.26
12/23/2019, $116.62, 1099466, $118.28, $118.77, $116.33
12/20/2019, $118.02, 2730563, $120.65, $120.92, $117.53
12/19/2019, $119, 2011184, $116.1, $119.09, $115.74
12/18/2019, $116.42, 1655097, $113.81, $116.64, $113.77
12/17/2019, $113.81, 1300491, $115.69, $116.05, $113.58
12/16/2019, $115.49, 1587088, $114, $115.86, $113.25
12/13/2019, $113.71, 2847181, $114.45, $115.18, $112.32
12/12/2019, $114.67, 2054913, $116.21, $117, $114.55
12/11/2019, $117.02, 1751567, $117.94, $118.05, $115.62
12/10/2019, $117.59, 1576789, $118.74, $118.92, $117.46
12/09/2019, $118.72, 1243204, $118.37, $119.27, $118.05
12/06/2019, $118.37, 1411283, $118.15, $119.38, $117.92
12/05/2019, $117.52, 2132412, $119.2, $119.61, $116.73
12/04/2019, $119.1, 1129680, $117.6, $119.38, $117.55
12/03/2019, $118.1, 1622280, $119.32, $119.72, $117.71
12/02/2019, $119.26, 1774360, $120.92, $120.985, $118.91
11/29/2019, $120.95, 497728, $121, $121.555, $120.65
11/27/2019, $121.2, 1320792, $120.67, $121.37, $120.39
11/26/2019, $120.62, 2669554, $118.11, $120.82, $117.88
11/25/2019, $118.3, 1759706, $120.33, $121.11, $117.81
11/22/2019, $119.6, 1885375, $120.07, $120.34, $119.04
11/21/2019, $119.84, 1511655, $120.8, $121.05, $118.87
11/20/2019, $121.34, 1932208, $121.95, $122.2, $120.29
11/19/2019, $121.99, 1582082, $121.09, $122.1, $120.2
11/18/2019, $120.47, 1621061, $118.98, $120.67, $118.98
11/15/2019, $118.87, 1674208, $117.61, $118.92, $117.03
11/14/2019, $117.12, 1741802, $116.29, $117.22, $115.95
11/13/2019, $116.13, 1972454, $116.52, $116.82, $115.75
11/12/2019, $116.1, 3393615, $116.81, $118.42, $116.01
11/11/2019, $116.66, 2027562, $116.56, $117.52, $116.24
11/08/2019, $116.57, 2595764, $117.05, $118.43, $116.18
11/07/2019, $118.68, 2692520, $122.34, $122.69, $118.02
11/06/2019, $122.7, 1541173, $123.72, $124.33, $122.25
11/05/2019, $123.33, 1624802, $123.72, $123.9973, $122.2
11/04/2019, $124.07, 1670895, $126.76, $126.92, $123.8
11/01/2019, $126.8, 1499552, $127.4, $127.77, $125.47
10/31/2019, $127.04, 2384348, $129.2, $129.41, $126.43
10/30/2019, $129.41, 7840725, $129.04, $130.13, $123.25
10/29/2019, $130.59, 3003152, $132.42, $134.25, $126.51
10/28/2019, $132.28, 973061, $132.94, $132.94, $131.73
10/25/2019, $132.82, 1009552, $134.19, $134.19, $132.541
10/24/2019, $134.35, 681857, $136.01, $136.01, $133.94
10/23/2019, $135.74, 1052473, $135.22, $136.32, $134.21
10/22/2019, $134.81, 836322, $134.54, $135.11, $133.88
10/21/2019, $134.33, 868760, $132.89, $134.41, $132.39
10/18/2019, $132.98, 813074, $131.77, $133.08, $130.745
10/17/2019, $131.77, 973378, $130.57, $132.3199, $130.49
10/16/2019, $130.6, 860417, $129.83, $130.62, $128.59
10/15/2019, $129.79, 1548020, $129.99, $130.2, $128.87
10/14/2019, $129.85, 785398, $129.69, $130.66, $129.39
10/11/2019, $129.31, 944365, $131, $131.1, $129.23
10/10/2019, $130.65, 877347, $130.2, $130.77, $129.34
10/09/2019, $130.66, 1405925, $129.6, $131.15, $129.36
10/08/2019, $129, 1461471, $128.56, $130.32, $127.63
10/07/2019, $128.26, 1688380, $129.67, $130.08, $127.88
10/04/2019, $130.27, 1286792, $129.89, $130.37, $129.25
10/03/2019, $129.65, 1788511, $127.82, $130.67, $127.82
10/02/2019, $127.66, 1780639, $129.39, $129.87, $126.16
10/01/2019, $129.06, 1223436, $129.61, $129.86, $128.53
09/30/2019, $129.81, 984193, $128.87, $130.1, $128.55
09/27/2019, $128.85, 1696801, $128.72, $129.5, $128.25
09/26/2019, $128.53, 1440365, $128.1, $129.05, $127.78
09/25/2019, $127.67, 1183251, $127.68, $128.03, $126.83
09/24/2019, $127.56, 1830899, $126.97, $128.04, $126.53
09/23/2019, $126.31, 1894454, $124.72, $126.83, $124.72
09/20/2019, $125.03, 2222002, $124.32, $125.56, $124.03
09/19/2019, $123.83, 2924996, $125.03, $127.01, $123.78
09/18/2019, $125.3, 1600056, $128.64, $129, $123.98
09/17/2019, $128.08, 1086189, $126.78, $128.33, $126.78
09/16/2019, $126.39, 1801597, $124.1, $126.77, $123.98
09/13/2019, $124.32, 2232369, $126.22, $126.83, $124
09/12/2019, $126.53, 1944911, $127.25, $129.57, $126.46
09/11/2019, $128.5, 1307598, $126.77, $128.72, $126.52
09/10/2019, $127.65, 1620774, $127.81, $127.97, $126.24
09/09/2019, $128.09, 1761829, $128.62, $128.705, $127.43
09/06/2019, $128.62, 1123501, $126.99, $128.68, $126.49
09/05/2019, $126.67, 1437948, $126.38, $126.9, $125.2
09/04/2019, $126.45, 1022934, $126.15, $126.65, $125.55
09/03/2019, $125.53, 1244750, $123.34, $125.54, $122.79
08/30/2019, $123.63, 770991, $124.14, $124.44, $123.25
08/29/2019, $123.6, 727985, $122.01, $124.09, $121.85
08/28/2019, $121.28, 659795, $120.67, $121.6403, $120.34
08/27/2019, $120.34, 989039, $121.84, $122.328, $120.31
08/26/2019, $121.19, 579092, $121.36, $121.92, $120.26
08/23/2019, $120.72, 750500, $123.22, $123.57, $120.27
08/22/2019, $122.87, 617886, $123.36, $124, $122.07
08/21/2019, $123.29, 463009, $123.16, $124, $122.54
08/20/2019, $123.09, 702003, $124.01, $124.535, $122.81
08/19/2019, $124.33, 780200, $124.41, $125, $123.61
08/16/2019, $123.67, 1484661, $121.03, $124.44, $120.69
08/15/2019, $120.56, 1031415, $118.29, $120.77, $117.95
08/14/2019, $118, 929483, $120.15, $120.15, $117.95
08/13/2019, $120.19, 871176, $119.66, $120.66, $118.82
08/12/2019, $119.75, 843868, $120.2, $120.25, $119.045
08/09/2019, $120.3, 853525, $119.51, $120.56, $117.76
08/08/2019, $119.74, 936202, $118.26, $119.83, $117.04
08/07/2019, $118.53, 1158231, $116.52, $118.84, $116.068
08/06/2019, $117.09, 847348, $115.69, $117.91, $115.02
08/05/2019, $115.51, 1214477, $116.61, $117.13, $114.18
08/02/2019, $117.21, 929010, $115.56, $117.93, $115.38
08/01/2019, $115.53, 1555301, $114.2, $115.78, $112.415
07/31/2019, $114.36, 2003194, $113.58, $116.16, $112.765
07/30/2019, $114, 1701969, $111.03, $114.51, $111.0198
