Date, Close/Last, Volume, Open, High, Low
03/30/2020, $79.85, 2910513, $77, $80.56, $77
03/27/2020, $77.05, 2863585, $76.58, $78.79, $75.23
03/26/2020, $78.14, 3507770, $76.77, $79.54, $76.06
03/25/2020, $76.37, 3022471, $79.83, $82.8, $76.13
03/24/2020, $79.66, 3509263, $82.2, $82.99, $77.03
03/23/2020, $76.37, 4496210, $76.71, $83.76, $73.19
03/20/2020, $75.97, 5334657, $72.078, $78.77, $71.32
03/19/2020, $70.87, 4218428, $65.63, $77.64, $64.26
03/18/2020, $65.57, 4355619, $73.09, $77.342, $60.2
03/17/2020, $76.45, 5021610, $68.55, $77.98, $68
03/16/2020, $67.02, 5182719, $68.57, $74.91, $66.85
03/13/2020, $74.7, 5591647, $73.23, $74.85, $69.485
03/12/2020, $70.35, 6504178, $80.12, $81.9, $70.1
03/11/2020, $83.67, 3447296, $86.32, $87.79, $83.06
03/10/2020, $88.06, 4897218, $85.08, $88.95, $84.32
03/09/2020, $83.51, 5052676, $75.44, $84.66, $75.1201
03/06/2020, $80.24, 3880012, $76, $80.54, $75.56
03/05/2020, $77.99, 4237254, $78.63, $79.73, $77.51
03/04/2020, $78.91, 7807304, $81.22, $82.49, $78.07
03/03/2020, $81.82, 3248608, $84.1, $84.75, $80.71
03/02/2020, $84.56, 3936858, $83.23, $84.71, $80.91
02/28/2020, $83.03, 4580498, $83.37, $83.74, $80.69
02/27/2020, $85.3, 3271132, $86.76, $88.19, $84.81
02/26/2020, $87.75, 2372200, $89.45, $89.87, $87.66
02/25/2020, $88.67, 2739614, $91.62, $92.36, $88.51
02/24/2020, $91.04, 2805325, $92.34, $92.72, $90.095
02/21/2020, $93.89, 2279182, $92.71, $94.08, $92.4
02/20/2020, $93.22, 1979469, $91.91, $93.61, $91.7959
02/19/2020, $91.99, 2154874, $91.11, $92.55, $90.52
02/18/2020, $91.08, 2078829, $88.9, $91.17, $88.9
02/14/2020, $88.68, 1690303, $88.89, $88.95, $88.01
02/13/2020, $89.27, 1200367, $89.21, $89.46, $88.04
02/12/2020, $89.52, 1370609, $88.49, $89.63, $88.25
02/11/2020, $88.19, 1708171, $87.3, $88.71, $87.3
02/10/2020, $87.18, 1201925, $87.18, $87.4183, $86.77
02/07/2020, $87.14, 1286510, $87.89, $87.89, $86.66
02/06/2020, $87.94, 1815663, $88.98, $88.98, $87.87
02/05/2020, $88.71, 1314958, $88.84, $89.08, $88.13
02/04/2020, $88.31, 1588072, $88.25, $89.54, $87.86
02/03/2020, $87.51, 1906023, $87.56, $88.25, $87.14
01/31/2020, $87.07, 2704686, $87.42, $87.55, $86.23
01/30/2020, $87.61, 2497032, $85.7, $87.75, $85.37
01/29/2020, $86.11, 2028715, $87.13, $87.4, $86.04
01/28/2020, $86.76, 3821484, $88.52, $88.91, $86.64
01/27/2020, $88.4, 2805527, $86.73, $88.88, $86.19
01/24/2020, $87.71, 4061341, $88, $88.65, $87.34
01/23/2020, $87.94, 3679702, $89.2, $89.55, $87.91
01/22/2020, $89.87, 3153779, $89.96, $90.75, $89.69
01/21/2020, $89.5, 9623985, $91.24, $91.55, $89.45
01/17/2020, $91.55, 2447311, $91, $91.73, $90.87
01/16/2020, $91.08, 2142335, $91.17, $91.92, $90.83
01/15/2020, $90.75, 3945175, $90.04, $90.92, $89.86
01/14/2020, $90.57, 4549207, $89.83, $90.73, $88.62
01/13/2020, $90.77, 3509535, $90.76, $91.52, $90.46
01/10/2020, $91.35, 2682390, $91.36, $91.98, $90.64
01/09/2020, $91.06, 4132667, $89.27, $91.16, $89.12
01/08/2020, $89.79, 5915431, $91.95, $91.95, $89.79
01/07/2020, $91.93, 2975340, $92.61, $93.39, $91.77
01/06/2020, $93.03, 3431928, $91.59, $93.06, $90.8801
01/03/2020, $93.03, 2103443, $93.01, $93.58, $92.5
01/02/2020, $93.78, 2157095, $94.69, $94.69, $93.3
12/31/2019, $94.05, 1873467, $93.67, $94.38, $93.38
12/30/2019, $93.49, 3409578, $92.81, $94.008, $92.34
12/27/2019, $92.84, 2768333, $92.11, $92.96, $91.94
12/26/2019, $92.08, 1617232, $93.3, $93.3, $91.8358
12/24/2019, $93.23, 952893, $92.76, $93.39, $92.46
12/23/2019, $92.44, 2413921, $94.11, $94.5, $92.3
12/20/2019, $94.06, 3744768, $92.52, $94.12, $92.0987
12/19/2019, $92.1, 2245781, $91.87, $92.64, $91.52
12/18/2019, $91.83, 2366467, $92.28, $92.38, $91.14
12/17/2019, $92.04, 3266295, $94.48, $94.94, $92.02
12/16/2019, $94.22, 3070309, $94, $94.57, $92.57
12/13/2019, $93.59, 3749954, $92.39, $93.92, $91.92
12/12/2019, $92.55, 2865654, $91.46, $93, $91.245
12/11/2019, $91.5, 2259201, $91.51, $91.68, $89.88
12/10/2019, $91.55, 2658523, $93.04, $94.26, $91.18
12/09/2019, $93.2, 3066662, $92.1, $93.42, $91.87
12/06/2019, $92.24, 3195445, $91.43, $92.59, $91.17
12/05/2019, $90.8, 4687879, $89.95, $91.59, $89.44
12/04/2019, $89.26, 3946487, $89.36, $90.1, $88.68
12/03/2019, $88.65, 3511169, $88.54, $90.08, $88.26
12/02/2019, $89.47, 8045327, $91.5, $91.5894, $89.09
11/29/2019, $91.46, 3004817, $92.76, $93.05, $91.2
11/27/2019, $93.03, 7360008, $94.5, $94.68, $92.85
11/26/2019, $95.26, 23935230, $95.7635, $98.98, $92.6499
11/25/2019, $112.39, 3381895, $109.83, $113.35, $109.75
11/22/2019, $109.04, 2030744, $108.55, $110.16, $108.03
11/21/2019, $107.995, 1540978, $107.32, $109.49, $107
11/20/2019, $107.26, 1339665, $107.25, $108.35, $106.42
11/19/2019, $106.88, 1262487, $108.78, $109.28, $106.59
11/18/2019, $109.06, 1428464, $108.54, $109.5, $108.29
11/15/2019, $108.85, 1223258, $109.37, $109.45, $107.76
11/14/2019, $108.75, 1311696, $108.82, $109.33, $107.45
11/13/2019, $108.4, 1601632, $107.69, $108.46, $106.22
11/12/2019, $107.69, 1697854, $108.5, $109, $107.6
11/11/2019, $108.93, 1450912, $109.79, $109.83, $107.91
11/08/2019, $110.35, 1299776, $112.31, $112.85, $109.99
11/07/2019, $112.47, 1265135, $113.37, $114.83, $112.4
11/06/2019, $112.79, 830135, $113.08, $113.39, $112.29
11/05/2019, $113.28, 1260637, $111.84, $114.07, $111.82
11/04/2019, $112.21, 1105918, $112.06, $112.89, $111.52
11/01/2019, $111.74, 1290436, $111.14, $112.4, $110.67
10/31/2019, $110.4, 1812494, $111.71, $112.06, $109.25
10/30/2019, $112.06, 1200906, $112.36, $112.67, $110.8
10/29/2019, $112.58, 1150388, $113.73, $114.34, $112.54
10/28/2019, $113.42, 1695132, $114.92, $115.4, $113.37
10/25/2019, $114.55, 1439216, $115.21, $116.2, $114.02
10/24/2019, $115.6, 1172464, $116.24, $116.74, $115
10/23/2019, $116.63, 1378873, $117.86, $118.1, $115.51
10/22/2019, $118.44, 2013812, $117.45, $119.71, $117.44
10/21/2019, $116.69, 1354747, $117.26, $117.505, $115.95
10/18/2019, $116.98, 1348725, $117.2, $118.04, $116.86
10/17/2019, $117.37, 1124662, $117.27, $117.62, $116.7066
10/16/2019, $116.9, 1645488, $116.66, $116.99, $115.8
10/15/2019, $116.51, 1241212, $115, $116.63, $115
10/14/2019, $115.02, 1162701, $115.35, $115.98, $114.93
10/11/2019, $115.19, 2202706, $115, $116.59, $114.8001
10/10/2019, $113.91, 1115153, $113.25, $114.03, $112.3
10/09/2019, $112.99, 1545864, $113.16, $114.69, $112.92
10/08/2019, $112.48, 1747850, $111.11, $114.1, $110.81
10/07/2019, $112.16, 1777012, $115.13, $115.655, $111.83
10/04/2019, $115.725, 2596205, $113.21, $116.59, $113.15
10/03/2019, $112.92, 1947156, $112.77, $113.14, $110.65
10/02/2019, $113.07, 2460576, $112.25, $113.37, $111.01
10/01/2019, $113.25, 1658272, $115.09, $115.09, $113
09/30/2019, $114.16, 2026362, $114.46, $115.7895, $113.8601
09/27/2019, $114.3, 1840219, $113.29, $114.42, $112.6
09/26/2019, $112.46, 1392119, $113.51, $113.58, $111.33
09/25/2019, $112.95, 1352368, $113.37, $114.16, $111.85
09/24/2019, $113.37, 1694622, $113.67, $114.51, $111.82
09/23/2019, $113.42, 1994105, $111.1, $113.94, $111.1
09/20/2019, $111.07, 2574954, $111.96, $113.6661, $111.04
09/19/2019, $111.74, 1576588, $112.46, $112.92, $111.68
09/18/2019, $112.26, 1748303, $111.36, $112.27, $110.38
09/17/2019, $111.04, 1247804, $109.74, $111.1, $109.25
09/16/2019, $109.56, 1746594, $112.1, $112.135, $109.51
09/13/2019, $112.86, 1801589, $111.89, $113.12, $111.51
09/12/2019, $111.94, 1550339, $111.83, $112.91, $111.01
09/11/2019, $111.36, 3242855, $111.02, $112.65, $110.42
09/10/2019, $109.93, 1826153, $108.55, $110.015, $106.81
09/09/2019, $108.9, 2687108, $109.87, $110.72, $107.705
09/06/2019, $109.62, 2531158, $107.68, $109.72, $107.17
09/05/2019, $107.63, 2448533, $106.43, $108.29, $106.19
09/04/2019, $105, 2570467, $102.86, $105.18, $102.5068
09/03/2019, $101.99, 2110933, $101.19, $102.15, $99.875
08/30/2019, $101.53, 3975403, $98.25, $101.93, $97.91
08/29/2019, $97.67, 6131275, $102.5, $104.24, $96.68
08/28/2019, $99.6, 2972706, $96.45, $99.87, $96.2756
08/27/2019, $96.75, 2292666, $96.37, $97.97, $95.88
08/26/2019, $95.87, 2595966, $96.35, $96.59, $94.52
08/23/2019, $95.16, 2533329, $96.92, $98.09, $94.83
08/22/2019, $97.21, 1355023, $96.03, $97.43, $95.95
08/21/2019, $96.08, 1556872, $95.84, $96.23, $94.88
08/20/2019, $93.63, 1512447, $95.81, $95.99, $93.49
08/19/2019, $96.2, 2303834, $95.17, $96.4, $94.64
08/16/2019, $93.71, 1686625, $93.89, $94.55, $93.395
08/15/2019, $93.14, 1564899, $93.72, $94.92, $92.34
