Date, Close/Last, Volume, Open, High, Low
03/30/2020, $28.65, 6817047, $28.31, $29.39, $27.8101
03/27/2020, $28.56, 9101424, $28, $29.2618, $26.92
03/26/2020, $29.68, 14302170, $30.28, $31.3, $28.95
03/25/2020, $30.38, 10539250, $29.18, $32.425, $28.6
03/24/2020, $28.47, 12333650, $28.66, $29.96, $26.9
03/23/2020, $26.58, 11703120, $27.14, $28.43, $26.01
03/20/2020, $27.44, 12649120, $28.59, $29.69, $26.59
03/19/2020, $28.12, 13893430, $26.28, $31.35, $25.93
03/18/2020, $26.44, 16955890, $24.84, $28.2899, $24.51
03/17/2020, $26.6, 19873250, $25.67, $27.6, $22.74
03/16/2020, $22, 12345390, $23.1, $25.43, $21.95
03/13/2020, $25.69, 17350830, $27.93, $28.01, $22.58
03/12/2020, $23.67, 18163270, $25.45, $26.39, $22.39
03/11/2020, $27.99, 12459430, $30.19, $30.33, $27.8501
03/10/2020, $31.4, 12975440, $32.51, $33.33, $29.315
03/09/2020, $30.53, 15081530, $34.75, $34.94, $30.43
03/06/2020, $38.97, 6928360, $38.72, $39.69, $38.31
03/05/2020, $40.1, 5447386, $40.03, $40.63, $39.66
03/04/2020, $41.91, 4967253, $41.45, $41.97, $40.21
03/03/2020, $40.56, 6765291, $41.35, $42.7439, $39.74
03/02/2020, $41.42, 7706652, $41.05, $41.42, $39.78
02/28/2020, $40.41, 10281590, $38.12, $40.49, $38.05
02/27/2020, $39.55, 10009270, $41.33, $41.46, $39.5
02/26/2020, $43.05, 6472198, $44.45, $44.88, $43.02
02/25/2020, $43.95, 5529265, $46.5, $46.535, $43.58
02/24/2020, $46.24, 5075879, $46.61, $47.04, $45.8
02/21/2020, $48.3, 3972853, $48.58, $48.77, $48.08
02/20/2020, $48.76, 4154273, $47.52, $48.81, $47.44
02/19/2020, $47.56, 5644897, $47.82, $48.29, $47.41
02/18/2020, $47.74, 3594866, $48.19, $48.52, $47.2289
02/14/2020, $48.63, 3206989, $48.51, $48.94, $48.38
02/13/2020, $48.3, 3302628, $48.9, $48.99, $48.02
02/12/2020, $49.38, 2964166, $49.69, $50.37, $48.99
02/11/2020, $48.79, 3705361, $48.54, $50.01, $48.5
02/10/2020, $48.19, 2488501, $47.8, $48.72, $47.8
02/07/2020, $48.03, 3802288, $48.54, $48.54, $47.45
02/06/2020, $49.2, 5985231, $49.61, $49.66, $48.56
02/05/2020, $49.61, 5403247, $48.88, $49.74, $48.52
02/04/2020, $48.05, 5287027, $47.65, $48.38, $47.44
02/03/2020, $46.74, 6366290, $46.31, $46.97, $45.73
01/31/2020, $46.07, 7532256, $47.7, $47.865, $45.92
01/30/2020, $48.47, 5644923, $48.31, $48.98, $47.66
01/29/2020, $49.67, 6828078, $48.98, $49.95, $48.6
01/28/2020, $47.16, 5813835, $47.4, $47.72, $47.02
01/27/2020, $47.18, 4827182, $47.31, $47.58, $46.64
01/24/2020, $48.49, 5919607, $49.88, $50.27, $48.04
01/23/2020, $50.25, 5797697, $50.22, $50.75, $49.15
01/22/2020, $50.87, 5149562, $52.73, $52.8, $50.6819
01/21/2020, $52.6, 4156004, $52.98, $53.15, $52.2
01/17/2020, $53.34, 3897498, $52.53, $53.36, $52.425
01/16/2020, $52.48, 3765886, $52.58, $52.87, $52.17
01/15/2020, $52.27, 2235782, $52.19, $52.65, $51.7
01/14/2020, $52.24, 3689824, $52.19, $52.97, $51.95
01/13/2020, $52.35, 2665522, $51.5, $52.4, $51.47
01/10/2020, $51.5, 3277354, $52.86, $52.87, $51.4
01/09/2020, $52.19, 2668211, $52.75, $53.07, $51.8101
01/08/2020, $52.73, 3629805, $52.41, $53.17, $51.92
01/07/2020, $52.19, 5126211, $52.29, $53.0648, $51.99
01/06/2020, $52.21, 4297095, $52.32, $52.88, $52
01/03/2020, $52.42, 5004338, $53.11, $53.6, $52.41
01/02/2020, $53.75, 5145916, $55.23, $55.54, $53.64
12/31/2019, $54.73, 2145816, $54.02, $54.78, $53.93
12/30/2019, $54.34, 1943757, $54.86, $55.05, $54.24
12/27/2019, $54.83, 1688528, $55.29, $55.55, $54.72
12/26/2019, $55.22, 1909555, $54.98, $55.23, $54.52
12/24/2019, $54.9, 926169, $55, $55.25, $54.65
12/23/2019, $54.93, 2679650, $54.49, $55.05, $54.22
12/20/2019, $54.61, 10476680, $55.05, $55.25, $54.02
12/19/2019, $54.52, 3358448, $54.43, $54.87, $54.06
12/18/2019, $54.25, 3659050, $54.36, $54.69, $53.54
12/17/2019, $54.66, 2665310, $54.1, $54.74, $53.93
12/16/2019, $54.17, 4039980, $53.61, $54.54, $53.51
12/13/2019, $53.28, 3198875, $54.64, $54.82, $53.25
12/12/2019, $54.45, 2882839, $53.25, $54.58, $52.82
12/11/2019, $53.1, 3253354, $53.5, $54.07, $53.05
12/10/2019, $53.13, 2609676, $53.36, $53.39, $52.69
12/09/2019, $53.27, 2390252, $53.96, $53.98, $52.99
12/06/2019, $53.22, 2852859, $52.59, $53.75, $52.59
12/05/2019, $52, 2692693, $52.53, $52.65, $51.68
12/04/2019, $52.28, 3791442, $53.49, $53.49, $52.21
12/03/2019, $51.82, 3990311, $51.96, $52.01, $51.05
12/02/2019, $53.16, 3364773, $53, $53.75, $52.89
11/29/2019, $53.37, 1887577, $54.01, $54.28, $53.12
11/27/2019, $54.28, 3926099, $54.68, $54.9, $53.9
11/26/2019, $55.37, 4681127, $55.2, $55.75, $54.82
11/25/2019, $55.2, 5100517, $54.82, $55.23, $54.36
11/22/2019, $54.2, 3119237, $53.98, $54.66, $53.6
11/21/2019, $53.88, 4621468, $52.71, $53.92, $52.35
11/20/2019, $52.67, 5397019, $53.14, $53.45, $52.1
11/19/2019, $53.39, 5230290, $54.81, $54.81, $52.79
11/18/2019, $54.32, 3445289, $54.75, $54.91, $54.12
11/15/2019, $54.86, 3869714, $54.27, $55.29, $54.14
11/14/2019, $53.95, 2601055, $53.3, $54.14, $53.15
11/13/2019, $53.66, 3451109, $54.19, $54.48, $53.46
11/12/2019, $55.16, 2742739, $56, $56.11, $54.53
11/11/2019, $55.81, 3199377, $55.55, $56.25, $55.22
11/08/2019, $55.99, 4830964, $55.5, $55.99, $55.02
11/07/2019, $55.8, 6686466, $54.94, $55.94, $54.42
11/06/2019, $54.28, 3864950, $54.16, $54.74, $53.81
11/05/2019, $54.2, 6079448, $54.01, $55, $53.65
11/04/2019, $54.17, 5439516, $52.65, $54.41, $52.46
11/01/2019, $52.31, 3241478, $50.98, $52.49, $50.9
10/31/2019, $50.49, 3793969, $50.88, $51.03, $49.71
10/30/2019, $51.03, 3605620, $51.2, $51.47, $50.33
10/29/2019, $51.49, 3471444, $50.96, $51.6299, $50.37
10/28/2019, $51.21, 4545977, $50.75, $51.44, $50.43
10/25/2019, $50.48, 5408419, $49.78, $50.76, $48.9
10/24/2019, $49.47, 6119276, $48.65, $49.99, $47.84
10/23/2019, $47.23, 4291653, $46.78, $47.51, $46.55
10/22/2019, $46.82, 4940254, $47.08, $47.3843, $46.02
10/21/2019, $47.12, 3999364, $48.59, $48.97, $47.09
10/18/2019, $47.96, 3013731, $47.91, $48.1908, $47.36
10/17/2019, $47.81, 2726017, $47.44, $48.54, $47.14
10/16/2019, $47.12, 3630954, $47.49, $47.92, $47.01
10/15/2019, $47.2, 3352309, $46.82, $48.1, $46.53
10/14/2019, $46.82, 3250767, $46.72, $47.27, $46.2396
10/11/2019, $47.13, 3699395, $45.75, $47.72, $45.503
10/10/2019, $44.92, 4494329, $44.33, $45.29, $44.02
10/09/2019, $44.01, 2849483, $44.39, $44.54, $44
10/08/2019, $43.85, 2999823, $44.75, $45.05, $43.83
10/07/2019, $45.17, 2984476, $45.08, $45.77, $44.765
10/04/2019, $45.34, 3589401, $45.18, $45.7803, $45.01
10/03/2019, $45.31, 3482650, $44.85, $45.39, $44.37
10/02/2019, $44.93, 4836305, $44.67, $45.17, $44.36
10/01/2019, $45.97, 3844589, $47.94, $48.57, $45.9
09/30/2019, $47.65, 2568316, $47.26, $47.79, $47.11
09/27/2019, $47.07, 3725668, $47.4, $47.8799, $47.01
09/26/2019, $47.23, 2998602, $47.51, $47.69, $46.9343
09/25/2019, $47.68, 4416000, $46.55, $47.97, $46.13
09/24/2019, $46.6, 4524939, $47.78, $48, $45.95
09/23/2019, $47.91, 3606911, $47.39, $48.215, $47.12
09/20/2019, $48.21, 10589640, $47.47, $48.85, $47.07
09/19/2019, $47.64, 2536357, $48.12, $48.41, $47.49
09/18/2019, $47.51, 2592587, $47.9, $47.9, $47.02
09/17/2019, $48, 4921708, $48.67, $49.09, $47.61
09/16/2019, $49.01, 5040553, $48.69, $49.98, $48.28
09/13/2019, $48.2, 4027567, $47.64, $48.44, $47.25
09/12/2019, $46.97, 3649704, $47.07, $47.19, $45.57
09/11/2019, $46.88, 4445017, $46.52, $47.05, $45.58
09/10/2019, $46.32, 4704049, $45.1, $46.37, $44.78
09/09/2019, $44.45, 3848017, $43.53, $44.6273, $43.26
09/06/2019, $43.24, 3217914, $43.54, $43.66, $42.66
09/05/2019, $43.36, 4044431, $43.15, $43.97, $43.09
09/04/2019, $42.54, 2668512, $42.59, $42.79, $41.85
09/03/2019, $41.8, 3360303, $42.14, $42.23, $41.15
08/30/2019, $42.63, 4105361, $42.83, $43, $42.27
08/29/2019, $42.37, 3296607, $42.33, $43, $42.21
08/28/2019, $42.52, 4641840, $41.15, $42.64, $40.76
08/27/2019, $41.17, 4153371, $41.19, $41.73, $40.919
08/26/2019, $40.82, 3404507, $41.27, $41.35, $40.61
08/23/2019, $40.71, 6718214, $42, $42.02, $40.44
08/22/2019, $42.05, 6074608, $43.32, $43.9, $42.02
08/21/2019, $43.28, 4398365, $43.85, $44.2398, $43.24
08/20/2019, $43.16, 5973272, $45.25, $45.25, $43.07
08/19/2019, $45.6, 3615483, $45.36, $45.8634, $45.15
08/16/2019, $44.51, 4586010, $43.29, $44.81, $42.77
08/15/2019, $43.38, 3494579, $44.34, $44.37, $42.96
08/14/2019, $44.08, 6178272, $45.8, $46.15, $44
08/13/2019, $46.85, 5415836, $45.78, $47.76, $45.58
08/12/2019, $45.69, 4491578, $46.39, $46.8, $45.52
08/09/2019, $46.64, 4472721, $46.42, $46.99, $46.1
08/08/2019, $46.79, 4573351, $45.197, $46.82, $45.19
08/07/2019, $44.89, 4490080, $44.1, $45, $43.91
08/06/2019, $44.43, 4702804, $45.11, $45.45, $43.735
08/05/2019, $44.77, 5147308, $45.06, $45.13, $44.07
08/02/2019, $45.6, 5346434, $46.69, $47.5, $45.37
08/01/2019, $46.85, 5803209, $48.15, $48.6, $46.78
07/31/2019, $48.44, 5188502, $48.49, $49.43, $47.95
07/30/2019, $48.4, 4194314, $47.78, $48.44, $47.78
07/29/2019, $48.05, 4219839, $48.52, $48.88, $47.98
07/26/2019, $49.11, 5066020, $50.27, $50.3, $48.92
07/25/2019, $50.77, 4254577, $51.64, $51.99, $50.3
07/24/2019, $52.79, 3516493, $52.5, $52.99, $52.04
07/23/2019, $52.62, 4387686, $51, $52.9, $50.95
07/22/2019, $50.88, 2815169, $51.504, $51.57, $50.6
07/19/2019, $51.52, 3221517, $51.77, $51.83, $51.5
07/18/2019, $51.75, 3662569, $51.55, $52.05, $51.28
07/17/2019, $51.6, 4417567, $52.16, $52.3, $51.23
07/16/2019, $52.32, 6011246, $50.95, $52.6446, $50.95
07/15/2019, $50.93, 4923844, $49.77, $50.95, $49.66
07/12/2019, $49.71, 4328444, $48.46, $50.04, $48.08
07/11/2019, $47.78, 4202113, $47.73, $48.06, $47.18
07/10/2019, $47.55, 3507432, $48.34, $48.42, $47.52
07/09/2019, $47.87, 4967429, $48.3, $48.43, $47.5
07/08/2019, $48.52, 5936049, $49.34, $49.5, $48.385
