Date, Close/Last, Volume, Open, High, Low
04/13/2020, $108.64, 1149931, $109.98, $110.31, $107.2
04/09/2020, $111.25, 2435077, $104.94, $113.3, $104.94
04/08/2020, $103.84, 1357121, $97.86, $104.71, $97.13
04/07/2020, $97.45, 1285138, $99.78, $101.49, $97.34
04/06/2020, $96.04, 1103089, $91.46, $97.13, $90.93
04/03/2020, $87.13, 1815619, $87.82, $89.37, $86.255
04/02/2020, $89.17, 1636334, $87.07, $91.98, $86.75
04/01/2020, $88.08, 2145341, $92.02, $92.02, $85.53
03/31/2020, $94.97, 1918496, $98.14, $99.23, $94.91
03/30/2020, $99.43, 1480068, $98.41, $100.26, $96
03/27/2020, $97.53, 1704087, $94.77, $100.545, $91.28
03/26/2020, $97.98, 1607361, $91.69, $99.08, $91.05
03/25/2020, $92.48, 2268199, $85.89, $96.71, $84
03/24/2020, $86.52, 2128319, $80.51, $87.17, $79.14
03/23/2020, $76.81, 2192925, $81.36, $84.77, $74.5711
03/20/2020, $83, 4536880, $86.61, $87.67, $81.19
03/19/2020, $85.41, 2920404, $76.9, $86.25, $73.82
03/18/2020, $77, 2669866, $83.84, $83.84, $71.21
03/17/2020, $88.38, 3017382, $85.17, $89.61, $83.256
03/16/2020, $83.03, 2782120, $81, $91.61, $79.92
03/13/2020, $96.44, 2238632, $95.17, $96.44, $89.58
03/12/2020, $91.18, 2625373, $95.97, $99.19, $87.45
03/11/2020, $104.11, 3071224, $106, $106.66, $102.6
03/10/2020, $108.01, 3275239, $104.51, $108.14, $100.8606
03/09/2020, $102.53, 3072410, $109.5, $109.5, $101.6814
03/06/2020, $116.12, 2678147, $112.9, $116.62, $110.57
03/05/2020, $116.26, 2002467, $117.31, $117.79, $114.7
03/04/2020, $119.31, 1838169, $114.39, $119.35, $114.05
03/03/2020, $113.02, 3049485, $116.66, $119.49, $112.055
03/02/2020, $116.64, 2516963, $113.07, $116.86, $111.4
02/28/2020, $111.67, 2907750, $116.31, $116.31, $110.2
02/27/2020, $118.01, 2247914, $124.02, $124.38, $117.93
02/26/2020, $124.73, 1499983, $128.37, $129.035, $124.68
02/25/2020, $128.12, 1444554, $132.83, $133.27, $128.08
02/24/2020, $132.86, 2082111, $134.63, $135.66, $132.78
02/21/2020, $134.96, 1715497, $133.99, $135.67, $133.84
