Date, Close/Last, Volume, Open, High, Low
04/13/2020, $109.3, 2680780, $105.65, $109.78, $104.65
04/09/2020, $105.8, 3717255, $106, $109.38, $105.06
04/08/2020, $106.8, 3199788, $106.95, $108.24, $105.25
04/07/2020, $106.32, 5496345, $107.13, $107.46, $100.11
04/06/2020, $106.51, 4280187, $105.39, $107.5, $104.55
04/03/2020, $102.83, 4084351, $102.81, $104.35, $100.79
04/02/2020, $102.29, 3793001, $98.1, $102.82, $97.5
04/01/2020, $97.53, 4056555, $98.38, $99.84, $96.7
03/31/2020, $100.17, 3762591, $97.79, $101, $96.62
03/30/2020, $97.69, 3352746, $96.77, $99.29, $96.17
03/27/2020, $95.37, 4519950, $96.53, $99.68, $94.63
03/26/2020, $99.2, 5751429, $90.47, $99.57, $90.08
03/25/2020, $89.64, 5005557, $93.53, $94.15, $89.46
03/24/2020, $94.3, 5765217, $100, $103.1, $90.81
03/23/2020, $95.47, 8149026, $89.73, $97.72, $88.4272
03/20/2020, $86.94, 6174432, $92.24, $94.37, $86.75
03/19/2020, $90.06, 6549719, $90.95, $93.98, $86
03/18/2020, $90.21, 7073379, $91.5, $97.69, $85.92
03/17/2020, $95.41, 6370149, $91.6, $98.2, $87.11
03/16/2020, $88.67, 6196643, $89.19, $96.12, $85.69
03/13/2020, $97.06, 5841963, $98.74, $99.61, $92.745
03/12/2020, $93.35, 6288715, $94.79, $99.42, $92.55
03/11/2020, $101.18, 4906155, $101.61, $102.17, $98.33
03/10/2020, $103.38, 6525740, $101.4, $103.57, $96.65
03/09/2020, $100.93, 4784294, $101.57, $104.18, $99.91
03/06/2020, $107.67, 3886216, $106.45, $108.76, $105
03/05/2020, $110.21, 3029863, $109.49, $111.93, $109.11
03/04/2020, $111.83, 4289801, $108.29, $111.935, $108.06
03/03/2020, $106.7, 3984827, $106.73, $109.71, $105.38
03/02/2020, $106.89, 4291754, $101.92, $106.93, $101.71
02/28/2020, $101.37, 6853693, $100.29, $101.89, $98.59
02/27/2020, $102.74, 4906228, $104.35, $106.4, $102.72
02/26/2020, $106.54, 2858165, $106.36, $108.26, $105.6
02/25/2020, $105.38, 3651288, $107.72, $109.22, $105.235
02/24/2020, $107.03, 2817317, $105.05, $107.93, $105.02
02/21/2020, $108.01, 2546911, $108.49, $108.94, $106.8
02/20/2020, $109.2, 4034215, $108.72, $109.37, $107.445
02/19/2020, $109.78, 1539982, $110.1, $110.9, $109.4
02/18/2020, $109.46, 2171412, $109.09, $109.83, $108.7
02/14/2020, $109.69, 1227518, $108.9, $109.89, $108.75
02/13/2020, $108.84, 1627014, $109.15, $109.34, $107.97
02/12/2020, $109.72, 1567210, $109.67, $109.98, $108.59
