Date, Close/Last, Volume, Open, High, Low
03/30/2020, $161.4, 1773790, $160.02, $162.58, $157.265
03/27/2020, $157.48, 1800637, $154.97, $162.2, $153.415
03/26/2020, $161.69, 2426032, $154.69, $163.21, $153.02
03/25/2020, $151.78, 2236381, $151.02, $157.01, $148.21
03/24/2020, $152.97, 3079064, $135.41, $154.46, $132.0301
03/23/2020, $125.22, 3445600, $141.32, $141.32, $124.6
03/20/2020, $141.88, 2746228, $159.42, $159.43, $140.57
03/19/2020, $159.58, 2084641, $155.57, $164.45, $151.48
03/18/2020, $156.53, 2396133, $164.98, $170.9, $143.61
03/17/2020, $169.5, 2791050, $167.59, $176.7, $163.64
03/16/2020, $166.12, 2419439, $163.3, $173.29, $157.41
03/13/2020, $180.07, 1908580, $173.85, $180.86, $164.45
03/12/2020, $165.06, 2583534, $174.63, $178.39, $165
03/11/2020, $186.58, 2145438, $185.36, $187.64, $182.3014
03/10/2020, $190.85, 2935676, $188.96, $191.73, $180.91
03/09/2020, $183.84, 2081610, $182.75, $189.97, $181.25
03/06/2020, $194.41, 1864404, $193.91, $195.75, $188.88
03/05/2020, $198.91, 1599066, $199.29, $202.74, $197.55
03/04/2020, $204.34, 1897653, $197.91, $204.53, $195.4
03/03/2020, $193.92, 3065732, $192.2, $197.04, $191
03/02/2020, $191.22, 1778744, $182.7, $191.28, $182.09
02/28/2020, $180.45, 3424874, $178.34, $180.61, $174.01
02/27/2020, $183.48, 2116613, $191.38, $192.7099, $183.43
02/26/2020, $194.43, 1716299, $195.5, $197.64, $193.84
02/25/2020, $194.78, 1285801, $202, $203.41, $193.715
02/24/2020, $202.52, 1306992, $203.84, $205.51, $202.26
02/21/2020, $207.5, 1053766, $205.81, $208.83, $205.59
02/20/2020, $206.31, 1200155, $210, $211.235, $205.0214
02/19/2020, $210.31, 1200776, $208.62, $210.71, $208.22
02/18/2020, $207.68, 1355825, $207.18, $209.67, $204.71
02/14/2020, $207.31, 1377372, $207.52, $208.13, $206.49
02/13/2020, $207.06, 1088348, $206.36, $208.65, $205.305
02/12/2020, $206.82, 1100004, $205.64, $207.5, $204.81
02/11/2020, $204.62, 901061, $204.8, $205.88, $204.52
02/10/2020, $204.94, 877468, $204.99, $205.72, $204.33
02/07/2020, $205.64, 832194, $206.98, $207.5, $205.11
02/06/2020, $207.11, 1235608, $206.5, $207.17, $205.3
02/05/2020, $206.3, 1443939, $204.82, $206.5, $202.49
02/04/2020, $203.45, 1388800, $202.32, $204.58, $201.735
02/03/2020, $201.53, 1612716, $197.06, $201.82, $196.2
01/31/2020, $196.11, 1094982, $198.27, $199.25, $195.57
01/30/2020, $199.48, 654079, $197.6, $199.68, $196.27
01/29/2020, $197.81, 587705, $199, $199.67, $197.71
01/28/2020, $198.18, 894886, $196.89, $198.87, $196.16
01/27/2020, $196.75, 1156651, $196.19, $197.409, $195.46
01/24/2020, $198.01, 891073, $198.55, $199.29, $197
01/23/2020, $198.3, 1253251, $197.06, $198.46, $195.74
01/22/2020, $196.4, 1408186, $196.47, $197.49, $195.67
01/21/2020, $195.54, 1273063, $195.4, $197.01, $194.71
01/17/2020, $195.58, 1157275, $193.48, $195.6, $192.25
01/16/2020, $193, 1393671, $192.32, $193.49, $191.87
01/15/2020, $191.45, 656951, $189.86, $192.4, $189.82
01/14/2020, $189.96, 1212629, $190.95, $191.81, $189.46
01/13/2020, $191.41, 645432, $189.27, $191.47, $189.27
01/10/2020, $188.93, 828574, $190.45, $190.53, $188.72
01/09/2020, $190.04, 1115646, $187.91, $190.29, $187.91
01/08/2020, $187.54, 1185906, $187.5, $188.83, $186.19
01/07/2020, $187.47, 1556870, $187.11, $189.9, $186.33
01/06/2020, $187.71, 1294797, $188.33, $189.29, $187.68
01/03/2020, $189.32, 1251083, $188.6, $191.54, $187.36
01/02/2020, $190.23, 1481512, $193.66, $193.89, $189.85
12/31/2019, $192.99, 775127, $191.78, $193.12, $191
12/30/2019, $191.62, 522975, $191.75, $192.22, $190.45
12/27/2019, $191.68, 646117, $192.46, $192.95, $191.31
12/26/2019, $191.64, 454285, $191.25, $191.78, $190.73
12/24/2019, $191.45, 249542, $191.98, $192.65, $191.12
12/23/2019, $192.2, 948659, $191.84, $193.17, $190.68
12/20/2019, $191.22, 2500806, $192.85, $193.38, $189.03
12/19/2019, $191.78, 1790283, $189.59, $192.97, $188.3
12/18/2019, $185.69, 1717805, $187.52, $187.81, $185.43
12/17/2019, $186.9, 909926, $185.87, $187.36, $185.165
12/16/2019, $185.98, 1274839, $186.11, $187.385, $185.68
12/13/2019, $185.5, 653273, $184.67, $186.58, $184.58
12/12/2019, $185.18, 895264, $185.53, $186.52, $184.75
12/11/2019, $185.11, 1087245, $185.88, $186.405, $184.15
12/10/2019, $185.15, 789965, $185.82, $186.94, $185.02
12/09/2019, $185.2, 668431, $186, $186.59, $184.77
12/06/2019, $186.41, 690557, $187.13, $187.91, $186.05
12/05/2019, $185.05, 1432453, $184.79, $186.05, $184.13
12/04/2019, $183.88, 1128775, $185.97, $187.35, $183.79
12/03/2019, $185.34, 1235314, $184.11, $185.73, $183.05
12/02/2019, $185.16, 997178, $187.31, $187.31, $185.07
11/29/2019, $186.67, 458182, $186.16, $187.545, $185.75
11/27/2019, $186.95, 745414, $186.54, $187.85, $185.37
11/26/2019, $186.23, 2212059, $182.45, $186.66, $181.815
11/25/2019, $182.06, 1418586, $182.81, $183.39, $181.43
11/22/2019, $182.51, 1627154, $183.24, $184.03, $182.1
11/21/2019, $183.02, 2366811, $185, $186.14, $182.85
11/20/2019, $186.22, 2228698, $190.02, $190.49, $186.16
11/19/2019, $189.43, 1850871, $191.5, $192.06, $189.29
11/18/2019, $191.26, 757315, $191.89, $192.31, $190.36
11/15/2019, $191.74, 750522, $192.95, $193.23, $190.99
11/14/2019, $191.76, 584949, $190.33, $191.99, $190.05
11/13/2019, $190.4, 766438, $187.82, $190.79, $187.025
11/12/2019, $188.32, 684999, $189.33, $190.55, $187.59
11/11/2019, $188.84, 502704, $189.24, $190.695, $188.4769
11/08/2019, $190.39, 587816, $191.24, $192.63, $189.73
11/07/2019, $190.8, 775776, $193.05, $193.25, $189.63
11/06/2019, $192.96, 739392, $193.49, $193.89, $192.25
11/05/2019, $192.97, 1325172, $189, $193.21, $188.95
11/04/2019, $189.84, 893967, $191.96, $192.6999, $189.4825
11/01/2019, $190.98, 927170, $193.4, $193.73, $190.405
10/31/2019, $192.07, 796924, $193.92, $195.155, $190.9607
10/30/2019, $193.71, 1341603, $194.65, $195.23, $192.34
10/29/2019, $194.52, 2174262, $186.48, $194.95, $185.06
10/28/2019, $191.59, 923764, $192.8, $193.35, $190.59
10/25/2019, $191.94, 573199, $190.75, $192.04, $189.805
10/24/2019, $190.83, 1553221, $188.92, $192.26, $188.52
10/23/2019, $188.35, 1599626, $189.24, $190.51, $187.54
10/22/2019, $188.4, 1158484, $191.61, $191.85, $188.34
10/21/2019, $191.61, 1131343, $194.06, $194.5, $190.79
10/18/2019, $193.82, 673277, $194.2, $194.86, $192.31
10/17/2019, $194.04, 741374, $196.11, $196.44, $193.07
10/16/2019, $195.23, 824497, $194.56, $195.905, $193.29
10/15/2019, $194.65, 646098, $195.37, $195.74, $194.38
10/14/2019, $194.01, 691366, $194.39, $195.705, $193.94
10/11/2019, $194.74, 794530, $195.08, $197.44, $194.5
10/10/2019, $193.19, 706568, $190.93, $193.39, $190.48
10/09/2019, $191.31, 834564, $191.49, $192.59, $190.575
10/08/2019, $189.65, 1104113, $190.87, $191.39, $189.29
10/07/2019, $191.11, 1331255, $193.54, $194.46, $191.06
10/04/2019, $194.62, 799613, $193.23, $196.38, $193.15
10/03/2019, $192.83, 797097, $191.65, $192.94, $189.01
10/02/2019, $191.83, 950745, $194.46, $195.7, $190.62
10/01/2019, $195.86, 966837, $198.97, $199.43, $195.39
09/30/2019, $198.04, 787538, $197.99, $199.1, $197.55
09/27/2019, $197.79, 984991, $199.78, $200, $196.42
09/26/2019, $198.43, 975236, $197.02, $199.36, $196.1
09/25/2019, $197.3, 753921, $195.62, $197.38, $194.42
09/24/2019, $194.86, 1076328, $197.31, $198.85, $194.655
09/23/2019, $195.83, 541485, $195.25, $196.65, $195.22
09/20/2019, $196.06, 1592809, $196.79, $197.72, $195.6
09/19/2019, $196.5, 765291, $195.16, $197.33, $195.16
09/18/2019, $196.06, 820992, $195.5, $196.3673, $194.25
09/17/2019, $194.82, 1098623, $192.91, $196.53, $192.33
09/16/2019, $192.11, 1396653, $197.28, $197.95, $191.56
09/13/2019, $198.89, 948818, $198.43, $199.08, $196.67
09/12/2019, $197.77, 1036431, $199.42, $202, $196.94
09/11/2019, $197.19, 1335011, $197.3, $198.4, $195.37
09/10/2019, $197.26, 1978504, $199.92, $200.225, $195.86
09/09/2019, $200.78, 1381481, $208, $208, $198.94
09/06/2019, $206.69, 988904, $206.46, $207.7, $205.05
09/05/2019, $205.33, 900883, $208.17, $208.75, $205.24
09/04/2019, $206.83, 856144, $206.86, $207.23, $205.54
09/03/2019, $204.49, 1110298, $204.97, $205.82, $203.1
08/30/2019, $206.31, 1079818, $208, $208.385, $205.7
08/29/2019, $207, 1084523, $206, $207.96, $205.81
08/28/2019, $204.78, 1157762, $203.56, $205.2, $202.79
08/27/2019, $204.72, 1763046, $204.76, $206.93, $203.96
08/26/2019, $202.9, 1109455, $203.16, $203.77, $202.23
08/23/2019, $201.82, 1167111, $206.65, $207.84, $200.67
08/22/2019, $206.88, 794406, $208.11, $209.09, $204.86
08/21/2019, $207.1, 677452, $207.76, $208.26, $206.43
08/20/2019, $206.6, 734073, $208.3, $208.57, $206.26
08/19/2019, $208.57, 963733, $209.22, $209.87, $206.01
08/16/2019, $206.81, 1177079, $204.24, $207.63, $203.867
08/15/2019, $203.67, 945903, $202.94, $204.125, $201.82
08/14/2019, $201.64, 1091609, $205, $206.23, $201.22
08/13/2019, $207.46, 834458, $205.22, $208.3, $203.76
08/12/2019, $204.87, 938224, $205.72, $206.85, $204.34
08/09/2019, $205.97, 704235, $204.67, $206.92, $203.4
08/08/2019, $205.04, 806530, $202.02, $205.17, $201.23
08/07/2019, $200.19, 1196276, $196.02, $201.07, $195
08/06/2019, $196.73, 1364294, $195.81, $197.03, $192.53
08/05/2019, $194.35, 1325210, $197.67, $198.49, $192.18
08/02/2019, $199.99, 1178772, $200.66, $201.22, $198.27
08/01/2019, $200.93, 1150096, $202.41, $204.715, $199.45
07/31/2019, $201.73, 1590509, $206.01, $207.85, $199.1
07/30/2019, $205.68, 2193446, $199.37, $209.24, $198.43
07/29/2019, $200.62, 1606287, $199.67, $201.2, $199.655
07/26/2019, $199.62, 623060, $198.3, $199.82, $196.48
07/25/2019, $198.33, 738296, $198.27, $199.0818, $195.89
07/24/2019, $197.95, 765121, $199.58, $199.58, $197.48
07/23/2019, $199.96, 594792, $198.21, $199.99, $197.87
07/22/2019, $197.24, 494138, $197.98, $198.06, $196.65
07/19/2019, $197.28, 627631, $198.24, $198.78, $197.13
07/18/2019, $197.69, 688202, $196.46, $197.72, $195.265
07/17/2019, $195.95, 887368, $198, $198.34, $195.8
07/16/2019, $197.93, 847782, $199.03, $199.62, $197.46
07/15/2019, $198.93, 656506, $199.99, $200, $198.24
07/12/2019, $199.8, 813151, $200.2, $200.39, $197.96
07/11/2019, $199.56, 1103368, $198.12, $199.6, $196.78
07/10/2019, $198.13, 1676724, $197.44, $199.22, $196.62
07/09/2019, $195.86, 737047, $196.74, $197.25, $195.125
07/08/2019, $197.55, 871746, $197, $198.91, $195.82
07/05/2019, $197.07, 850212, $197.78, $197.78, $194.2
07/03/2019, $199.78, 586521, $198.29, $199.805, $197.65
07/02/2019, $197.97, 908026, $195.96, $198.04, $195.3075
07/01/2019, $195.76, 1372381, $197.96, $198.34, $193.08
06/28/2019, $197.44, 5929322, $192.74, $197.44, $192.185
06/27/2019, $192.2, 1467266, $189.53, $192.73, $189.1425
06/26/2019, $188.25, 1192199, $192.07, $192.22, $188.12
06/25/2019, $191.63, 909912, $191.99, $192.51, $190.34
06/24/2019, $191.64, 929121, $190.26, $192.39, $189.6002
06/21/2019, $189.59, 1888923, $192.26, $192.45, $189.32
06/20/2019, $192.36, 1493971, $190.31, $192.66, $189.62
06/19/2019, $188.57, 1653123, $188.98, $189.33, $186.44
06/18/2019, $188.98, 1986131, $190.13, $192.28, $187.91
06/17/2019, $190.44, 2251301, $197.93, $197.93, $189.4609
06/14/2019, $198.87, 749687, $198.71, $199.31, $197.705
06/13/2019, $198.76, 733507, $199.66, $200.77, $198.02
