Date, Close/Last, Volume, Open, High, Low
03/30/2020, $80.73, 2557246, $79.72, $81.09, $78.04
03/27/2020, $77.9, 2291656, $74.26, $79.72, $74.01
03/26/2020, $75.92, 2771015, $70.62, $76.73, $70.2
03/25/2020, $70.93, 3122064, $69.35, $74.46, $67.8
03/24/2020, $70.51, 3372220, $67.5, $71.21, $64.58
03/23/2020, $65.35, 5018114, $72.5, $72.69, $62.03
03/20/2020, $72.59, 4902417, $81.24, $81.5, $71.07
03/19/2020, $80.09, 5082117, $92.56, $92.56, $79.56
03/18/2020, $92.2, 4117639, $88.91, $93.88, $86.43
03/17/2020, $93.88, 5431965, $81.42, $94.63, $81.42
03/16/2020, $79.55, 5037269, $82.65, $86.64, $78.82
03/13/2020, $88.07, 5699658, $86.34, $89.16, $84.02
03/12/2020, $83.79, 6073045, $80.63, $86.01, $78.43
03/11/2020, $86.5, 4162782, $87.57, $88, $84.69
03/10/2020, $89.4, 4040365, $89.41, $91.525, $87.4
03/09/2020, $88.66, 5398434, $85.55, $89.93, $83.52
03/06/2020, $87.9, 4705566, $85.29, $88.5, $85.16
03/05/2020, $87.58, 2282940, $86.65, $88.08, $86.07
03/04/2020, $88.01, 2415126, $84.81, $88.34, $84.81
03/03/2020, $83.84, 3129749, $84.39, $86.43, $83.57
03/02/2020, $84.53, 3615465, $79.59, $84.82, $79.28
02/28/2020, $78.82, 5357530, $81.26, $81.28, $77.8
02/27/2020, $83.19, 2752617, $87.35, $87.89, $83.17
02/26/2020, $87.69, 2455375, $88.43, $89.15, $87.67
02/25/2020, $88.25, 2328693, $89.2, $89.4, $88.02
02/24/2020, $88.89, 2393497, $89.46, $90.13, $88.6
02/21/2020, $90.18, 3976892, $91.21, $91.68, $89.27
02/20/2020, $94.58, 1319292, $93.87, $94.65, $93.63
02/19/2020, $93.88, 1029906, $94.27, $94.58, $93.735
02/18/2020, $94.35, 2172713, $93.72, $94.58, $93.63
02/14/2020, $94.3, 1249173, $93.92, $94.48, $93.75
02/13/2020, $93.64, 1244306, $92.8, $93.74, $92.23
02/12/2020, $92.87, 1552527, $92.79, $93.15, $92.445
02/11/2020, $93.18, 1141743, $93.29, $93.62, $93.01
