Date, Close/Last, Volume, Open, High, Low
03/30/2020, $56.31, 2756487, $55.71, $57.17, $54.43
03/27/2020, $55.36, 2840131, $55.1, $57.57, $54.18
03/26/2020, $57.73, 3211470, $54.13, $59.55, $53.85
03/25/2020, $53.82, 3338325, $50.03, $56.79, $50.03
03/24/2020, $50.38, 2995137, $46.33, $51.2, $45.97
03/23/2020, $44.47, 3527886, $46.46, $48.42, $44.14
03/20/2020, $46.86, 4052682, $48.87, $51.57, $46.56
03/19/2020, $48.76, 3083514, $48.51, $49.28, $45
03/18/2020, $49.04, 5257155, $48.41, $50.82, $45.78
03/17/2020, $51.36, 4838486, $47.04, $53.96, $45.55
03/16/2020, $46.15, 4654018, $48.47, $51.11, $43.63
03/13/2020, $53.25, 4280683, $54.94, $55.35, $49.78
03/12/2020, $52.43, 4432223, $56.04, $56.55, $51.28
03/11/2020, $59.74, 3380093, $62.08, $62.08, $58.63
03/10/2020, $63.89, 5080192, $62.56, $64.05, $60.2
03/09/2020, $61.76, 3728347, $65.24, $66.44, $61.76
03/06/2020, $67.59, 3461314, $67.45, $68.205, $66.17
03/05/2020, $69.01, 2115214, $69.53, $71.07, $68.505
03/04/2020, $70.16, 4519546, $68.81, $70.17, $68.14
03/03/2020, $68.3, 4350730, $69.81, $71.82, $67.91
03/02/2020, $70.44, 3847754, $67.53, $70.47, $67.11
02/28/2020, $67.19, 5410625, $68.58, $68.94, $65.26
02/27/2020, $70.25, 2110180, $74.01, $74.21, $69.85
02/26/2020, $74.31, 1679399, $75.06, $75.85, $74.26
02/25/2020, $75.08, 1652108, $76.41, $76.81, $74.76
02/24/2020, $76.32, 1403965, $77.75, $77.81, $76.31
02/21/2020, $77.57, 1441484, $77.2, $78.53, $77.04
02/20/2020, $77.32, 1498916, $76.57, $77.42, $76.505
02/19/2020, $76.64, 1671308, $77.16, $78.07, $76.405
02/18/2020, $77.12, 1707564, $77.38, $77.57, $76.895
02/14/2020, $77.14, 1323641, $77.45, $77.52, $76.905
02/13/2020, $77.37, 1534798, $77.67, $77.95, $76.6
02/12/2020, $77.5, 1462226, $77.89, $78.09, $77.28
02/11/2020, $78, 1630663, $78.49, $78.93, $77.94
02/10/2020, $78.2, 1047628, $77.21, $78.31, $76.73
02/07/2020, $77, 1195265, $76.37, $77.32, $76.21
02/06/2020, $76.29, 1329535, $77.42, $77.61, $76.22
02/05/2020, $77.33, 1695388, $75.76, $77.67, $75.58
02/04/2020, $75.47, 2916515, $77.94, $77.94, $75.08
02/03/2020, $77.66, 1315403, $76.76, $77.85, $76.59
01/31/2020, $76.55, 2950530, $76.55, $77.39, $76.31
01/30/2020, $76.67, 1318147, $76.8, $77.01, $76.5
01/29/2020, $76.98, 1239609, $76.78, $77.215, $76.54
01/28/2020, $76.8, 1587507, $76.37, $77.25, $76.37
01/27/2020, $76.21, 1475679, $76.97, $77.38, $76.02
01/24/2020, $76.92, 1535097, $77.48, $77.99, $76.74
01/23/2020, $77.69, 1388004, $76.94, $77.84, $76.84
01/22/2020, $77.07, 1503866, $78.35, $78.49, $76.86
01/21/2020, $78.2, 1675013, $77.1, $78.26, $77.04
01/17/2020, $76.96, 1626301, $76.69, $77.47, $76.63
01/16/2020, $76.56, 1681232, $76.89, $76.9999, $76.295
01/15/2020, $76.93, 1983206, $75.79, $77.27, $75.79
01/14/2020, $75.03, 2325834, $75.29, $75.66, $74.62
01/13/2020, $75.37, 1243736, $75.34, $75.885, $75.26
01/10/2020, $75.5, 1676924, $76.14, $76.495, $75.11
01/09/2020, $76.14, 1414175, $75.73, $76.21, $75.41
01/08/2020, $75.74, 1886209, $76.15, $76.825, $75.68
01/07/2020, $75.86, 1615836, $75.13, $76.2, $74.84
01/06/2020, $75.13, 1360126, $74.76, $75.19, $74.2525
01/03/2020, $74.78, 1459386, $74.32, $74.87, $74.13
01/02/2020, $74.38, 2521946, $74.71, $75.58, $74.31
12/31/2019, $75.41, 1556551, $74.69, $75.47, $74.61
12/30/2019, $74.71, 2004670, $74.57, $74.95, $73.9
12/27/2019, $75.22, 1406260, $75.44, $75.49, $74.71
12/26/2019, $75.35, 1044244, $75.07, $75.42, $74.71
12/24/2019, $74.82, 572349, $74.83, $75.07, $74.66
12/23/2019, $74.81, 1407947, $75, $75.84, $74.62
12/20/2019, $75.19, 5259286, $73.53, $75.46, $73.3
12/19/2019, $73.42, 2120533, $74.52, $74.6, $73.32
12/18/2019, $74.27, 3719028, $73.86, $74.48, $72.09
12/17/2019, $73.55, 2018949, $73.78, $74.17, $73.17
12/16/2019, $74, 1944768, $72.77, $74, $72.3
12/13/2019, $72.69, 2192410, $72, $72.97, $71.26
12/12/2019, $71.45, 1535457, $71.38, $71.94, $71.14
12/11/2019, $71.53, 2392346, $71.57, $71.93, $70.875
12/10/2019, $71.28, 1525128, $71.04, $71.53, $70.94
12/09/2019, $71.01, 1256991, $71.66, $71.66, $70.875
12/06/2019, $71.37, 1811059, $71, $71.92, $71
12/05/2019, $71.34, 2069757, $70.99, $71.945, $70.83
12/04/2019, $71, 3479421, $71.47, $72.09, $70.775
12/03/2019, $71.74, 2807621, $71.78, $72.53, $71.39
12/02/2019, $71.56, 4371803, $68.91, $71.735, $68.15
11/29/2019, $69.1, 2520106, $70.15, $70.41, $68.67
11/27/2019, $69.83, 4465646, $69.29, $70.6, $68.8901
11/26/2019, $69, 4825842, $70.02, $70.53, $68.46
11/25/2019, $70.28, 2230247, $71.48, $71.69, $70.06
11/22/2019, $71.25, 2051149, $71.27, $71.71, $70.805
11/21/2019, $71.01, 2385966, $70.84, $71.25, $70.01
11/20/2019, $70.92, 2127486, $68.87, $71.07, $68.55
11/19/2019, $68.86, 2260662, $69.17, $69.2408, $68.41
11/18/2019, $69.5, 2505907, $70.05, $70.41, $69.3
11/15/2019, $70.1, 2123721, $69.66, $70.35, $69.07
11/14/2019, $69.68, 2398866, $68.71, $70.18, $68.71
11/13/2019, $68.11, 1932368, $67.12, $68.57, $66.66
11/12/2019, $66.84, 2235589, $66.41, $67.16, $66.18
11/11/2019, $66.31, 1625761, $66.4, $66.535, $65.75
11/08/2019, $66.3, 1675677, $65.25, $66.39, $64.9353
11/07/2019, $65.69, 3214597, $65.33, $66.07, $65.04
11/06/2019, $65.67, 2797000, $66.37, $66.99, $65.66
11/05/2019, $66.14, 3358705, $65.95, $67.26, $65.9
11/04/2019, $66.18, 3654325, $65.16, $66.405, $64.27
11/01/2019, $65.58, 3818739, $62.74, $65.67, $62.2
10/31/2019, $62.9, 4212079, $62.48, $63.58, $61.98
10/30/2019, $62.16, 6694906, $63.88, $65.49, $60.31
10/29/2019, $65.4, 3407066, $64.55, $65.94, $64.03
10/28/2019, $64.56, 4551921, $63.33, $66.69, $63.085
10/25/2019, $66.05, 12586500, $70.94, $71, $62.69
10/24/2019, $72.19, 1307105, $72.41, $72.41, $71.53
10/23/2019, $72.42, 1958613, $71.61, $72.5, $71.41
10/22/2019, $71.54, 1398890, $70.61, $71.64, $70.61
10/21/2019, $70.49, 1284502, $70.63, $70.87, $70.3
10/18/2019, $70.52, 1334409, $70.47, $70.69, $69.94
10/17/2019, $70.56, 1308491, $69.78, $70.68, $69.61
10/16/2019, $69.84, 1766856, $69.9, $69.965, $69.37
10/15/2019, $69.89, 2479230, $69.95, $70.65, $69.59
10/14/2019, $70.06, 2931844, $71.38, $71.6, $68.7884
10/11/2019, $71.33, 3658717, $74.09, $74.47, $71.13
10/10/2019, $74.19, 1665381, $74.07, $74.44, $73.28
10/09/2019, $74.4, 1402080, $75.08, $75.23, $73.975
10/08/2019, $74.73, 2148684, $74.89, $75.305, $74.36
10/07/2019, $74.89, 1491465, $75.47, $75.71, $74.51
10/04/2019, $75.59, 1867594, $74.22, $75.72, $73.82
10/03/2019, $73.95, 2017242, $74.54, $74.59, $73.48
10/02/2019, $74.48, 2147986, $73.81, $74.54, $72.82
10/01/2019, $73.9, 1441705, $75.25, $75.75, $73.84
