Date, Close/Last, Volume, Open, High, Low
03/30/2020, $46.63, 4569310, $45.96, $46.98, $45.26
03/27/2020, $45.58, 5209613, $46.18, $47.035, $45.1
03/26/2020, $48.8, 6629779, $48.69, $49.36, $46.23
03/25/2020, $47.61, 6406966, $44.75, $49.94, $44.2
03/24/2020, $44.3, 5698011, $40.89, $44.74, $40.16
03/23/2020, $38.08, 7546190, $42.84, $43, $37.75
03/20/2020, $44.09, 7373698, $46.5, $48.1194, $43.219
03/19/2020, $46.02, 7001028, $40.52, $47.97, $39.3
03/18/2020, $41.14, 10350070, $43.99, $44.55, $38
03/17/2020, $47.42, 8577972, $47.66, $48, $45.16
03/16/2020, $46.96, 10564270, $44.92, $48.46, $43.44
03/13/2020, $50.33, 12188130, $48.8, $50.33, $45.3
03/12/2020, $46.18, 8994572, $47.54, $51.86, $45.12
03/11/2020, $52.14, 11823020, $51.66, $53.1, $50.94
03/10/2020, $53.86, 10773530, $52.52, $53.865, $49.77
03/09/2020, $50.36, 12611000, $55, $57, $50.33
03/06/2020, $62.14, 7721439, $62.82, $64.06, $61.22
03/05/2020, $64.73, 4692958, $64.51, $66.5, $64.26
03/04/2020, $66.67, 4313422, $64.72, $66.94, $64.41
03/03/2020, $63.74, 5142525, $66.22, $67.9, $63.2105
03/02/2020, $66.3, 4778469, $64.54, $66.53, $63.52
02/28/2020, $64.11, 6483771, $62.45, $64.22, $62.11
02/27/2020, $64.38, 4641667, $65.05, $67.71, $64.37
02/26/2020, $66.63, 4799644, $67.27, $68.61, $66.57
02/25/2020, $66.6, 4330268, $69.37, $69.69, $66.32
02/24/2020, $69.19, 3591952, $69.57, $69.95, $69
02/21/2020, $72.09, 2593358, $71.47, $72.1, $71
02/20/2020, $72.02, 2338207, $71.76, $72.82, $71.51
02/19/2020, $71.86, 2961410, $71.87, $72.58, $71.58
02/18/2020, $71.44, 4292381, $72.26, $72.71, $70.7
02/14/2020, $73.51, 2797075, $73.06, $73.51, $72.61
02/13/2020, $73.14, 3549835, $74.35, $74.49, $72.39
02/12/2020, $75.4, 3357951, $74.55, $75.585, $74.3
02/11/2020, $73.83, 2729780, $73.87, $74.67, $73.7
02/10/2020, $73.39, 2753052, $73.46, $73.76, $72.77
02/07/2020, $73.77, 2283730, $74.94, $74.94, $73.615
02/06/2020, $75.25, 2241710, $76.63, $76.63, $74.9136
02/05/2020, $76.01, 3944289, $74.6, $76.16, $74.54
02/04/2020, $73.24, 3781151, $74.54, $74.76, $72.965
02/03/2020, $72.6, 3933625, $72.1, $73.34, $71.74
01/31/2020, $71.63, 4309872, $73.31, $73.7, $71.2
01/30/2020, $73.83, 2659389, $73, $73.86, $72.65
01/29/2020, $73.91, 3087519, $74.98, $75, $73.87
01/28/2020, $74.43, 4289661, $74.12, $74.89, $73.6
01/27/2020, $73.74, 3566001, $75.04, $75.23, $73.73
01/24/2020, $76.7, 2037816, $77.83, $77.83, $76.23
01/23/2020, $77.59, 1819619, $76.61, $77.71, $76.034
01/22/2020, $77.02, 3024260, $77.78, $77.8, $76.87
01/21/2020, $77.25, 3146356, $77.43, $77.64, $76.68
01/17/2020, $77.78, 5008297, $77.84, $78.38, $77.66
01/16/2020, $77.87, 2438803, $77.09, $77.885, $77.01
01/15/2020, $76.66, 2367984, $76.87, $77.28, $76.32
01/14/2020, $76.87, 2280248, $77.23, $77.56, $76.78
01/13/2020, $77.39, 1964450, $77.15, $77.435, $76.95
01/10/2020, $76.94, 2628909, $77.95, $77.98, $76.83
01/09/2020, $77.8, 2309130, $77.76, $77.82, $77.03
01/08/2020, $77.51, 2554317, $77.11, $77.77, $76.84
01/07/2020, $77.24, 2497027, $76.54, $77.45, $76.3701
01/06/2020, $77.05, 3788980, $75.88, $77.09, $75.75
01/03/2020, $76.42, 2672646, $76, $76.51, $75.56
01/02/2020, $77.48, 2447577, $76.57, $77.51, $76.28
12/31/2019, $76.26, 1655564, $76.36, $76.747, $76.03
12/30/2019, $76.44, 1253969, $76.63, $76.81, $76.12
12/27/2019, $76.51, 992714, $76.86, $76.87, $76.33
12/26/2019, $76.67, 877370, $76.35, $76.67, $76.065
12/24/2019, $76.1, 489733, $76.99, $76.99, $76.0777
12/23/2019, $76.79, 1458313, $76.44, $76.86, $76.22
12/20/2019, $76.27, 5460172, $76.92, $76.95, $76.07
12/19/2019, $76.09, 2426942, $76.06, $76.28, $75.72
12/18/2019, $76.04, 2664232, $76.46, $76.48, $75.63
12/17/2019, $76.15, 10667330, $76.61, $76.61, $76.0157
12/16/2019, $76.16, 2276117, $76.57, $76.96, $76.16
12/13/2019, $75.98, 3425622, $76.53, $77.24, $75.59
12/12/2019, $76.97, 2496553, $75.67, $77.12, $75.47
12/11/2019, $75.73, 2237405, $74.89, $75.77, $74.55
12/10/2019, $74.55, 4268869, $74.95, $75.23, $74.52
12/09/2019, $75.16, 2972805, $75.14, $75.54, $75.04
12/06/2019, $75.09, 3087876, $74.9, $75.2, $74.63
12/05/2019, $73.98, 2970077, $73.99, $74.11, $73.38
12/04/2019, $73.5, 2463552, $73.27, $74.19, $73.085
12/03/2019, $72.61, 2772737, $72.67, $72.86, $71.9
12/02/2019, $73.36, 2444586, $73.95, $74.75, $73.31
11/29/2019, $73.86, 1086887, $74.16, $74.31, $73.69
11/27/2019, $74.44, 1505077, $74.43, $74.53, $73.87
11/26/2019, $74.43, 2077265, $74.41, $74.45, $73.89
11/25/2019, $74.35, 2274639, $74, $74.38, $73.675
11/22/2019, $73.66, 2425845, $73.69, $73.75, $73.23
11/21/2019, $73.56, 2116199, $72.94, $73.6, $72.53
11/20/2019, $72.75, 2243477, $72.97, $73.21, $72.31
11/19/2019, $73.28, 2133182, $73.58, $73.58, $72.845
11/18/2019, $73.07, 1678582, $73.15, $73.3, $72.75
11/15/2019, $73.53, 2134196, $73.39, $73.7, $72.985
11/14/2019, $72.73, 2001019, $72.34, $73.25, $72.2723
11/13/2019, $73.58, 2785724, $73.5, $73.8, $73.26
11/12/2019, $74.07, 2310124, $74.26, $74.7, $73.89
11/11/2019, $73.81, 1674105, $73.29, $73.885, $73.17
11/08/2019, $73.88, 2216434, $73.71, $73.895, $73.32
11/07/2019, $73.79, 2571954, $73.88, $74.29, $73.57
11/06/2019, $73.6, 4031051, $73.13, $74.25, $72.87
11/05/2019, $73.79, 6575541, $72.1, $73.925, $72
11/04/2019, $73.22, 6675739, $72.47, $75.54, $72.29
11/01/2019, $71.79, 2897445, $70.61, $71.79, $70.46
10/31/2019, $70.15, 2936128, $70.75, $71.03, $69.39
10/30/2019, $71.03, 1796491, $70.75, $71.05, $69.86
10/29/2019, $70.86, 2436575, $70.55, $71.225, $70.505
10/28/2019, $70.99, 2078087, $71.27, $71.44, $70.53
10/25/2019, $70.82, 1945357, $70.11, $71.1, $69.91
10/24/2019, $69.88, 1790553, $70.75, $70.8, $69.44
10/23/2019, $70.56, 2498727, $70.25, $70.63, $69.92
10/22/2019, $70.23, 2227297, $69.56, $70.43, $68.95
10/21/2019, $69.43, 2348098, $69.06, $69.75, $68.94
10/18/2019, $68.65, 3877198, $67.97, $68.82, $67.92
10/17/2019, $68.05, 2832710, $67.8, $68.47, $67.7
10/16/2019, $67.32, 2783137, $67.43, $68.09, $67.28
10/15/2019, $67.73, 4784747, $67.21, $68.42, $66.64
10/14/2019, $67.21, 2156895, $66.61, $67.38, $66.535
10/11/2019, $67.04, 3738215, $66.25, $68.03, $65.97
10/10/2019, $65.05, 2842115, $63.78, $65.43, $63.78
10/09/2019, $63.62, 2778156, $63.68, $64.12, $62.98
10/08/2019, $63.16, 2742670, $63.76, $64.015, $63.1
10/07/2019, $64.45, 2053741, $65.03, $65.49, $64.44
10/04/2019, $65.19, 3216013, $64.36, $65.2, $64.36
10/03/2019, $64.4, 3331469, $63.1, $64.43, $62.8
10/02/2019, $63.5, 4188617, $64.28, $64.6, $62.98
10/01/2019, $65.25, 7704578, $67.97, $68.27, $65.175
09/30/2019, $66.86, 5055231, $66.95, $67.21, $66.62
09/27/2019, $66.4, 6476658, $65.08, $66.8, $64
09/26/2019, $64.19, 1933669, $64.48, $64.48, $63.83
09/25/2019, $64.46, 2399496, $63.89, $64.59, $63.75
09/24/2019, $63.99, 3693382, $65, $65.28, $63.78
09/23/2019, $64.93, 2610564, $64.4, $65.2637, $64.15
09/20/2019, $64.95, 4134010, $65.35, $65.74, $64.51
09/19/2019, $65.17, 2067722, $65.1, $65.54, $64.79
09/18/2019, $64.91, 3523240, $64.57, $64.92, $64.02
09/17/2019, $64.95, 2220073, $65.3, $65.4, $64.35
09/16/2019, $65.66, 2279358, $65.53, $65.91, $65.22
09/13/2019, $65.55, 2247727, $65.58, $66.2099, $65.16
09/12/2019, $64.71, 2408460, $65, $65.5206, $64.41
09/11/2019, $65.2, 3047321, $64.96, $65.37, $64.19
09/10/2019, $64.81, 3056875, $63.88, $64.81, $63.59
09/09/2019, $63.78, 3505778, $62.54, $63.88, $62.41
